ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,1.1148,,,,,,,,,,,,,b1df486c-2d45-4bd2-a14d-42c51914136f,19,,"[57.3, 46.8]",267077,0,,,,,1.3488338,,Right Foot,,,,"[63.1, 72.5]",,High Pass,,26.346348,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,1,From Kick Off,Luis Alberto Suárez Díaz,5246.0,Center Forward,2,Barcelona,217,['e1efd1b1-8652-4735-a9ad-67f15100e973'],14,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:14.989,Pass,,2016/2017
,,,,,,,,,,,,,,,1.5455,,,,,,,,,,,,,86db13a0-76e2-4470-a348-e5287d30dfe4,23,,"[62.8, 55.7]",267077,0,,,,,-0.42473283,,Left Foot,,,,"[82.7, 46.7]",,Ground Pass,,21.840559,,Incomplete,,André Filipe Tavares Gomes,10802.0,,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,2,Barcelona,217,"['2d0e294f-9276-494b-9488-71e06183c8ee', '3d774538-0b96-4e5e-8f68-cb4b6fef67c8']",18,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:18.873,Pass,,2016/2017
,,,,,,,,,,,,,,,0.865526,,,,,,,,,,,,,3d774538-0b96-4e5e-8f68-cb4b6fef67c8,25,,"[37.4, 33.4]",267077,0,,,,,0.5735706,,Right Foot,,,,"[48.7, 40.7]",,Ground Pass,,13.452881,,,,Gerard Moreno Balaguero,6766.0,,,,,,Recovery,1,Regular Play,David López Silva,6754.0,Right Center Back,3,Espanyol,214,"['10927bc6-fd22-404d-a504-8e3045e3a6fd', '86db13a0-76e2-4470-a348-e5287d30dfe4']",20,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:20.418,Pass,,2016/2017
,,,,,,,,,,,,,,,1.138986,,,,,,,,,,,,,7b6c8adb-35c8-48f6-9ead-f50739a85c19,29,,"[58.1, 59.8]",267077,0,,,,,1.7311717,,Left Foot,,,,"[55.9, 73.4]",,Ground Pass,,13.776793,,,,José Manuel Jurado Marín,6870.0,,,,,,,1,Regular Play,Gerard Moreno Balaguero,6766.0,Right Center Forward,3,Espanyol,214,['634321c2-b78c-4582-b303-079ae8a48573'],25,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:25.251,Pass,,2016/2017
,,,,,,,,,,,,,,,0.765899,,,,,,,,,,,,,46e3d687-8cfd-4aa3-bb85-de57a6db4362,32,,"[55.9, 73.4]",267077,0,,,,,-1.8259788,,Right Foot,,,,"[51.7, 57.3]",,Ground Pass,,16.63881,,,,Víctor Sánchez Mata,6758.0,,,,,,,1,Regular Play,José Manuel Jurado Marín,6870.0,Right Midfield,3,Espanyol,214,['340ce1d0-e5c6-4de7-91e2-fbac4134ee86'],26,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:26.430,Pass,,2016/2017
,,,,,,,,,,,,,,,0.7024,,,,,,,,,,,,,c022c58f-2b10-4f40-8286-1498ce9332b4,35,,"[51.0, 57.3]",267077,0,,,,,-0.44487047,,Right Foot,,,,"[59.6, 53.2]",,Ground Pass,,9.527329,,Incomplete,,Javier Fuego Martínez,6751.0,,,,,,,1,Regular Play,Víctor Sánchez Mata,6758.0,Right Defensive Midfield,3,Espanyol,214,"['748555b6-fc4b-4df0-8455-4454bce461d8', 'c5b67134-fc09-4b62-ac19-95980628e05b']",27,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:27.236,Pass,,2016/2017
,,,,,,,,,,,,,,,1.0356,,,,,,,,,,,,,fb4ce422-02a0-41ee-b748-f81ea976e07e,40,,"[58.9, 21.2]",267077,0,,,,,-0.7047226,,Right Foot,,,,"[71.6, 10.4]",,Ground Pass,,16.671232,,,,Neymar da Silva Santos Junior,4320.0,,,,,,,1,Regular Play,André Filipe Tavares Gomes,10802.0,Left Center Midfield,4,Barcelona,217,['8bb2a2fe-8f02-408e-9353-f301f0ea2029'],29,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:29.395,Pass,,2016/2017
,,,,,,,,,,,,,,,0.7939,,,,,,,,,,,,,024f95e3-d0ca-4f8b-a732-fba25e71fe3c,44,,"[80.1, 22.1]",267077,0,,,,,1.0246297,,Right Foot,,,,"[86.3, 32.3]",,Ground Pass,,11.936499,,Incomplete,,Luis Alberto Suárez Díaz,5246.0,,,,,,,1,Regular Play,Neymar da Silva Santos Junior,4320.0,Left Wing,4,Barcelona,217,"['3bdf1397-8e7b-4253-8171-585d83a19f22', '5094938a-1af8-4a13-9224-500cfc78452b', '819157d6-193d-4117-86be-23da23b60999']",32,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:32.174,Pass,True,2016/2017
,,,,,,,,,,,,,,,1.0619,,,,,,,,,,,,,db960cd8-190f-4695-847b-bc6f95275fa8,50,,"[82.9, 38.7]",267077,0,,,,,1.5707964,,Left Foot,,,,"[82.9, 45.4]",,Ground Pass,,6.7,,,,Luis Alberto Suárez Díaz,5246.0,,,,,,,1,Regular Play,Neymar da Silva Santos Junior,4320.0,Left Wing,4,Barcelona,217,"['027ab8ba-731f-4b16-8220-587f7f1dcb85', 'e30e8322-01fa-4734-ac40-689566549969']",34,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:34.795,Pass,True,2016/2017
,,,,,,,,,,,,,,,1.6828,,,,,,,,,,,,,ad003f99-5de0-4bd0-9032-27fd77f22abf,53,,"[83.3, 45.8]",267077,0,,,,,2.6739924,,Right Foot,,,,"[73.2, 50.9]",,Ground Pass,,11.314592,,Incomplete,,Sergi Roberto Carnicer,6379.0,,,,,,,1,Regular Play,Luis Alberto Suárez Díaz,5246.0,Center Forward,4,Barcelona,217,"['044fa00b-ed0a-4daa-b054-0ab9d6045da4', '861170ff-7f70-4b5a-bc8a-6fe1d2fc070d']",35,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:35.977,Pass,,2016/2017
