ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,a95db090-7d1f-4c6f-a239-06dfbe55db77,1,,,,3825627,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4691, 'name': 'Claudio Andrés Bravo Muñoz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 6}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 10609, 'name': 'Jérémy Mathieu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 3508, 'name': 'Sandro Ramírez Castillo'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2015/2016
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,6f132fbf-012a-4b37-af3e-971602ce4595,2,,,,3825627,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 26070, 'name': 'Antonio Rodríguez Martínez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 25}, {'player': {'id': 11298, 'name': 'José Ignacio Martínez García'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 6713, 'name': 'Diego Javier Llorente Ríos'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 27}, {'player': {'id': 26222, 'name': 'José Eduardo Rosa Vale de Castro'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 10727, 'name': 'Răzvan Dincă Raț'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 26848, 'name': 'Roberto Trashorras Gayoso'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 6852, 'name': 'Jozabed Sánchez Ruiz'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 23761, 'name': 'Alhassane Bangoura'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 9246, 'name': 'Patrick Ebert'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 7900, 'name': 'Tiago Manuel Dias Correia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 11542, 'name': 'Javier Guerra Rodríguez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 24}]}",Rayo Vallecano,360,00:00:00.000,Starting XI,,2015/2016
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,4ba70b26-064f-4ee5-8df2-80a2b09ca62e,3,,,,3825627,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['b4bff912-22a6-4a8f-b68a-8efa4f2a3818'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,b4bff912-22a6-4a8f-b68a-8efa4f2a3818,4,,,,3825627,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['4ba70b26-064f-4ee5-8df2-80a2b09ca62e'],0,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,97183c30-35e2-4a2c-a44e-adb66c48a7fd,1986,,,,3825627,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,111,Barcelona,217,['af418529-d1d8-4da0-8ad1-060d870dc2f1'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,af418529-d1d8-4da0-8ad1-060d870dc2f1,1987,,,,3825627,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,111,Barcelona,217,['97183c30-35e2-4a2c-a44e-adb66c48a7fd'],0,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,0.328112,,,,,,,,,,,,,,,9f62bcd0-57cf-40be-bc4d-32a59ac51cf8,5,,,"[61.0, 40.1]",3825627,0,,,,,-1.9655875,,Right Foot,,,"[59.5, 36.5]",,High Pass,,3.9,,,,Patrick Ebert,9246.0,,,,,Kick Off,1,From Kick Off,Javier Guerra Rodríguez,11542.0,Center Forward,2,Rayo Vallecano,360,['862fcd23-0a16-4788-b1dd-ed41259ce7b4'],0,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:00.328,Pass,,2015/2016
,,,,,,,,,,,,,,,1.341581,,,,,,,,,,,,,,,5baba234-a916-4276-a982-270977aabc4e,8,,,"[59.5, 37.8]",3825627,0,,,,,2.6049044,,Left Foot,,,"[43.7, 47.2]",,Ground Pass,,18.384777,,,,Roberto Trashorras Gayoso,26848.0,,,,,,1,From Kick Off,Patrick Ebert,9246.0,Center Attacking Midfield,2,Rayo Vallecano,360,['1b2863d1-cfb0-43b5-a49a-04ecbdc394f4'],0,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:00.692,Pass,,2015/2016
,,,,,,,,,,,,,,,1.635285,,,,,,,,,,,,,,,bbcb12be-53c9-409e-bde1-da8969914fba,11,,,"[43.5, 49.6]",3825627,0,,,,,1.6403561,,Right Foot,,,"[41.8, 74.0]",,Ground Pass,,24.45915,,,,José Ignacio Martínez García,11298.0,,,,,,1,From Kick Off,Roberto Trashorras Gayoso,26848.0,Right Defensive Midfield,2,Rayo Vallecano,360,['ba6e0699-d433-47c2-8592-7b059d3beb25'],3,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:03.084,Pass,,2015/2016
,,,,,,,,,,,,,,,1.630448,,,,,,,,,,,,,,,1b31451d-97ee-4e8b-976e-a897de48d439,14,,,"[42.4, 74.6]",3825627,0,,,,,-2.2921314,,Right Foot,,,"[30.0, 60.5]",,Ground Pass,,18.776848,,,,Diego Javier Llorente Ríos,6713.0,,,,,,1,From Kick Off,José Ignacio Martínez García,11298.0,Right Back,2,Rayo Vallecano,360,['57d9319e-b35f-4854-a397-ae9755481871'],5,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:05.445,Pass,,2015/2016
