50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,74db1fdf-fa46-4e9b-9be8-f78f98295975,1,,,,70275,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sevilla,213,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 25946, 'name': 'Andrés Palop Cervera'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 27119, 'name': 'Alex Sandro Mendonça Dos Santos'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 26638, 'name': 'Alberto Botía Rabasco'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 26791, 'name': 'Emir Spahić'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 6913, 'name': 'Fernando Navarro i Corbacho'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 16453, 'name': 'Gary Alexis Medel Soto'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 26396, 'name': 'Hedwiges Maduro'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 6821, 'name': 'Jesús Navas González'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 26790, 'name': 'Piotr Trochowski'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 15}, {'player': {'id': 20542, 'name': 'Álvaro Negredo Sánchez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Sevilla,213,00:00:00.000,Starting XI,,2012/2013
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a940ff44-2d05-4573-a3f8-111cbb586cff,2,,,,70275,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sevilla,213,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 27053, 'name': 'Alexandre Dimitri Song-Billong'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 3478, 'name': 'Francesc Fàbregas i Soler'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 3385, 'name': 'Alexis Alejandro Sánchez Sánchez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2012/2013
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d0061071-51f5-44d0-8203-e27ab784530a,3,,,,70275,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sevilla,213,['0c78e28a-8347-4fb4-972d-ec4db594b1e9'],0,,,,,,,,,,,,,,,,Sevilla,213,00:00:00.000,Half Start,,2012/2013
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0c78e28a-8347-4fb4-972d-ec4db594b1e9,4,,,,70275,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sevilla,213,['d0061071-51f5-44d0-8203-e27ab784530a'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2012/2013
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,afba2b75-95a6-42de-8fb3-beebdd266c7f,2005,,,,70275,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,91,Sevilla,213,['1080a433-84b6-4e2c-ae3a-53c3ab211613'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2012/2013
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1080a433-84b6-4e2c-ae3a-53c3ab211613,2006,,,,70275,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,91,Sevilla,213,['afba2b75-95a6-42de-8fb3-beebdd266c7f'],0,,,,,,,,,,,,,,,,Sevilla,213,00:00:00.000,Half Start,,2012/2013
,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,0c8b8958-c15d-424e-86bc-ad094036dde9,5,,,"[60.0, 40.0]",70275,0,,,,,1.815775,,Right Foot,,,,"[59.2, 43.2]",,Ground Pass,,3.2984846,,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,Kick Off,1,From Kick Off,Francesc Fàbregas i Soler,3478.0,Left Center Midfield,2,Barcelona,217,['88641c6b-2baf-49a1-8e7e-40336d7ff063'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.746,Pass,,2012/2013
,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,68d0ab16-e00d-4e93-9f8a-d7e8d964c994,8,,,"[57.9, 42.8]",70275,0,,,,,-2.479745,,Right Foot,,,,"[49.3, 36.1]",,Ground Pass,,10.9018345,,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,2,Barcelona,217,['cc384403-63ed-4924-a42a-29e56df73c60'],1,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.402,Pass,,2012/2013
,,,,,,,,,,,,,,,,,,,1.268227,,,,,,,,,,,,,b03b2ce6-47d7-4141-9504-85309d9e58a1,11,,,"[57.3, 37.1]",70275,0,,,,,1.9058205,,Left Foot,,,,"[52.6, 50.6]",,Ground Pass,,14.294754,,,,,Xavier Hernández Creus,20131.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['a73a086a-0c02-45d8-a1d7-989446d66097'],6,,,,,,,,,,,,,,,,Barcelona,217,00:00:06.255,Pass,,2012/2013
,,,,,,,,,,,,,,,,,,,0.975323,,,,,,,,,,,,,1a22805b-b253-45cd-86e7-5e4c52190382,14,,,"[51.6, 47.0]",70275,0,,,,,-1.9588999,,Right Foot,,,,"[44.2, 28.9]",,Ground Pass,,19.554283,,,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Right Center Midfield,2,Barcelona,217,['4b376cdd-428c-41d0-b82d-04b2e4e9753b'],10,,,,,,,,,,,,,,,,Barcelona,217,00:00:10.322,Pass,,2012/2013
