50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,1.780756,,,,,,,,,,,,2b1870d9-010f-448f-9156-a484f96f1a9d,20,,"[49.1, 55.2]",266528,0,,,,-1.8094057,,Right Foot,,,"[41.0, 21.9]",,Ground Pass,,34.27098,,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,"['0642b769-12dd-4458-9c8c-7cb526c30e9d', 'f49fbee2-b969-46ce-bbff-6da4a196c9a2']",15,,,,,,,,,,,,,,,,,Barcelona,217,00:00:15.120,Pass,True,2016/2017
,,,,,,,,,,,,,,1.513259,,,,,,,,,,,,f3af0ccf-b540-4636-8e6b-138712503b39,23,,"[41.0, 21.9]",266528,0,,,,-1.3496227,,Right Foot,,,"[44.8, 5.0]",,Ground Pass,,17.32195,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Left Center Back,2,Barcelona,217,['2cdb3e6e-ebfd-462c-a9ce-7c90c83a8f34'],17,,,,,,,,,,,,,,,,,Barcelona,217,00:00:17.294,Pass,,2016/2017
,,,,,,,,,,,,,,1.551899,,,,,,,,,,,,796d6eaf-385d-4494-8f10-5862de3b3cc9,26,,"[44.8, 5.0]",266528,0,,,,2.5737486,,Left Foot,,,"[27.4, 16.1]",,Ground Pass,,20.63904,,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,['299fe68b-a1cd-45a3-93f9-f88bb0176fb3'],18,,,,,,,,,,,,,,,,,Barcelona,217,00:00:18.960,Pass,,2016/2017
,,,,,,,,,,,,,,2.091339,,,,,,,,,,,,5bfb691d-7a0f-4a22-b0ab-0caa5fefb210,29,,"[25.5, 21.9]",266528,0,,,,1.4973092,,Left Foot,,,"[27.9, 54.5]",,Low Pass,,32.688225,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Left Center Back,2,Barcelona,217,['0cc0cfee-9475-4c62-90df-110435f23c23'],23,,,,,,,,,,,,,,,,,Barcelona,217,00:00:23.995,Pass,,2016/2017
,,,,,,,,,,,,,,1.062124,,,,,,,,,,,,03620a64-dbff-45be-808f-6224fe9b53bb,33,,"[50.4, 59.1]",266528,0,,,,1.3184323,,Right Foot,,,"[54.5, 75.0]",,Ground Pass,,16.420109,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,"['bd6cf383-3f44-4ad7-8ccd-0f88997781bd', 'f1547058-ee41-473e-93ad-17490fe144ee']",35,,,,,,,,,,,,,,,,,Barcelona,217,00:00:35.032,Pass,True,2016/2017
,,,,,,,,,,,,,,2.165541,,,,,,,,,,,,86181a39-ac26-4d7b-8ce9-cfcfe2d84dcd,37,,"[56.2, 74.1]",266528,0,,,,-2.5113988,,Right Foot,,,"[39.2, 61.7]",,Ground Pass,,21.041862,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Sergi Roberto Carnicer,6379.0,Right Back,2,Barcelona,217,"['1fc61912-d691-437c-ae79-7d228af39d04', 'cceaae96-1bbe-486f-ba75-c5e53992bafc']",36,,,,,,,,,,,,,,,,,Barcelona,217,00:00:36.591,Pass,True,2016/2017
,,,,,,,,,,,,,,1.868451,,,,,,,,,,,,1d8293dd-5dea-4e3e-85ce-fe92de2f49a0,40,,"[39.2, 61.7]",266528,0,,,,-1.7074746,,Right Foot,,,"[34.4, 26.8]",,Ground Pass,,35.22854,,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['72c7b8b6-e549-4a98-8cfd-634d8c2f0e18'],38,,,,,,,,,,,,,,,,,Barcelona,217,00:00:38.796,Pass,,2016/2017
,,,,,,,,,,,,,,1.122949,,,,,,,,,,,,f46c91ae-b720-4ef9-b471-783d58149f96,43,,"[45.7, 29.6]",266528,0,,,,-1.3217416,,Right Foot,,,"[50.1, 12.3]",,Ground Pass,,17.85077,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Left Center Back,2,Barcelona,217,['e8ab129f-670a-4646-ab00-de000e8d7ac9'],45,,,,,,,,,,,,,,,,,Barcelona,217,00:00:45.039,Pass,,2016/2017
,,,,,,,,,,,,,,0.6202,,,,,,,,,,,,2f8311e6-80b8-4459-a46f-f108599ee71d,47,,"[56.2, 14.5]",266528,0,,,,-0.13863973,,Left Foot,,,"[64.8, 13.3]",,Ground Pass,,8.683317,,,,Andrés Iniesta Luján,5216.0,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,['5d77b190-12ec-42d3-bf05-1d3744507047'],48,,,,,,,,,,,,,,,,,Barcelona,217,00:00:48.645,Pass,,2016/2017
,,,,,,,,,,,,,,0.747381,,,,,,,,,,,,79b5b826-6dce-4838-96ed-34ea18833fbc,49,,"[64.8, 13.3]",266528,0,,,,-1.7004988,,Left Foot,,,"[63.6, 4.1]",,Ground Pass,,9.277931,,,,Neymar da Silva Santos Junior,4320.0,,,,,,1,From Kick Off,Andrés Iniesta Luján,5216.0,Left Center Midfield,2,Barcelona,217,['ae82c759-d5fd-4677-81e0-d7bab5f409d5'],49,,,,,,,,,,,,,,,,,Barcelona,217,00:00:49.266,Pass,,2016/2017
