ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4ae13b27-825c-4bfc-8139-bb3aa3a969d5,1,,,3773526,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 43728, 'name': 'Óscar Mingueza García'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 28}, {'player': {'id': 8118, 'name': 'Frenkie de Jong'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 21}, {'player': {'id': 6826, 'name': 'Clément Lenglet'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 17304, 'name': 'Héctor Junior Firpo Adames'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 39073, 'name': 'Moriba Kourouma Kourouma'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 27}, {'player': {'id': 24841, 'name': 'Ricard Puig Martí'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 22390, 'name': 'Francisco António Machado Mota de Castro Trincão'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2020/2021
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,75d87558-c436-4e5f-abe5-1f2ce1be12b1,2,,,3773526,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6629, 'name': 'Fernando Pacheco Flores'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6618, 'name': 'Martín Aguirregabiria Padilla'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 30419, 'name': 'Alberto Rodríguez Baró'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 3093, 'name': 'Florian Grégoire Claude Lejeune'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 6612, 'name': 'Rubén Duarte Sánchez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 26387, 'name': 'Edgar Antonio Méndez Ortega'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 16}, {'player': {'id': 10605, 'name': 'Rodrigo Andrés Battaglia'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 6622, 'name': 'Tomás Pina Isla'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 6387, 'name': 'Iñigo Córdoba Kerejeta'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 17}, {'player': {'id': 3265, 'name': 'José Luis Sanmartín Mato'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 6732, 'name': 'Lucas Pérez Martínez'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",Deportivo Alavés,206,00:00:00.000,Starting XI,,2020/2021
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f414c34c-71b1-4e8b-8b3d-fd52f329af96,3,,,3773526,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['14dcba6c-0a15-4172-af83-ea26071ab7b5'],0,,,,,,,,,,,,,,,,,,,Deportivo Alavés,206,00:00:00.000,Half Start,,2020/2021
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,14dcba6c-0a15-4172-af83-ea26071ab7b5,4,,,3773526,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['f414c34c-71b1-4e8b-8b3d-fd52f329af96'],0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2020/2021
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,839d0e48-c0a3-4b92-872a-b91a39d36af6,2047,,,3773526,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,66,Deportivo Alavés,206,['0b801451-be46-45d0-b4d8-e1e063eec5c8'],0,,,,,,,,,,,,,,,,,,,Deportivo Alavés,206,00:00:00.000,Half Start,,2020/2021
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0b801451-be46-45d0-b4d8-e1e063eec5c8,2048,,,3773526,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,66,Deportivo Alavés,206,['839d0e48-c0a3-4b92-872a-b91a39d36af6'],0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2020/2021
,,,,,,,,,,,,,,,1.363316,,,,,,,,,,,,,78fc7547-ba8b-4229-8d94-00e674921b2b,5,,"[61.0, 40.1]",3773526,0,,,,,3.0192127,,Left Foot,,,"[42.3, 42.4]",,Ground Pass,,18.840914,,,,Alberto Rodríguez Baró,30419.0,,,,,Kick Off,1,From Kick Off,Lucas Pérez Martínez,6732.0,Left Center Forward,2,Deportivo Alavés,206,['58bd9fe3-f7d6-46b8-ab96-7e1ae2b8f245'],1,,,,,,,,,,,,,,,,,,,Deportivo Alavés,206,00:00:01.033,Pass,,2020/2021
,,,,,,,,,,,,,,,2.800983,,,,,,,,,,,,,78460b99-91b9-48b7-925b-5932d79ff449,8,,"[42.3, 42.4]",3773526,0,,,,,-0.6150377,,Right Foot,,,"[84.2, 12.8]",,High Pass,,51.30078,,,,José Luis Sanmartín Mato,3265.0,,,,,,1,From Kick Off,Alberto Rodríguez Baró,30419.0,Right Center Back,2,Deportivo Alavés,206,['06b8651e-9c00-4051-acda-14745956d885'],3,,,,,,,,,,,,,,,,,,,Deportivo Alavés,206,00:00:03.396,Pass,,2020/2021
,,,,,,,,,,,,,,,1.415597,,,,,,,,,,,,,a26d0120-a686-42bd-b9ea-db35d8fb4305,10,,"[84.2, 12.8]",3773526,0,,,,True,0.79202056,,,,,"[91.7, 20.4]",,High Pass,,10.6775465,,Incomplete,,Iñigo Córdoba Kerejeta,6387.0,,,,,,1,From Kick Off,José Luis Sanmartín Mato,3265.0,Right Center Forward,2,Deportivo Alavés,206,"['4b0ab035-751e-4fab-98a9-c3c57b7046a5', 'ccb8015d-a90c-477c-9a39-f813cbd01012', 'f72a24b0-19b8-4196-9514-254ec959a017']",6,,,,,,,,,,,,,,,,,,,Deportivo Alavés,206,00:00:06.197,Pass,True,2020/2021
,,,,,,,,,,,,,,,1.919998,,,,,,,,,,,,,47ddc5f8-f03d-4379-a5a3-3b3df649d78b,16,,"[27.5, 55.3]",3773526,0,,,,,-2.5090902,,Right Foot,,,"[9.9, 42.4]",,Ground Pass,,21.82132,,,,Marc-André ter Stegen,20055.0,,,,,,1,Regular Play,Frenkie de Jong,8118.0,Right Center Back,3,Barcelona,217,"['0656db7a-973e-4ac2-a2f9-14104c915c70', '3e93d9be-c3a8-47c2-b56b-2f416b0064b7']",8,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:08.452,Pass,True,2020/2021
