50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.571662,,,,,,,,,,,,d1cf4aa1-f9b9-4eab-96f6-a73a7ed61729,18,,"[66.3, 24.5]",69229,0,,,,,-1.2172544,,Left Foot,,,"[72.5, 7.7]",,Low Pass,,17.90754,,,,José Manuel Jiménez Ortiz,26436.0,,,,,,1,From Kick Off,Adrián González Morales,6557.0,Center Attacking Midfield,2,Getafe,216,['2d4f7e46-db8b-4f8a-8924-7a144103e0b2'],11,,,,,,,,,,,,,,,,,Getafe,216,00:00:11.155,Pass,,2009/2010
,,,,,,,,,,,,,,,,1.23472,,,,,,,,,,,,1c90b362-d264-49d3-8459-e89dd08d37c9,22,,"[70.5, 7.7]",69229,0,,,,,2.1498706,,Right Foot,,,"[65.4, 15.5]",,Ground Pass,,9.319335,,,,Fabio Celestini,20321.0,,,,,,1,From Kick Off,José Manuel Jiménez Ortiz,26436.0,Left Back,2,Getafe,216,"['2eb86970-dcef-424f-a1ae-d021e4c7354d', '750a858a-085b-49fb-b274-a9983744f1e3']",14,,,,,,,,,,,,,,,,,Getafe,216,00:00:14.638,Pass,True,2009/2010
,,,,,,,,,,,,,,,,1.3261,,,,,,,,,,,,4d55b21e-1533-4984-8d0c-3425474711e0,28,,"[63.0, 43.2]",69229,0,,,,,-1.4891279,,Right Foot,,,"[65.3, 15.1]",,Ground Pass,,28.193972,,,,Jeffren Isaac Suárez Bermúdez,26624.0,,,,,,1,From Kick Off,Zlatan Ibrahimović,3672.0,Center Forward,2,Getafe,216,['ac7b9956-988a-4bbb-a60f-000a027fbcf0'],19,,,,,,,,,,,,,,,,,Barcelona,217,00:00:19.745,Pass,,2009/2010
,,,,,,,,,,,,,,,,1.041,,,,,,,,,,,,82d59825-7b40-45e8-9414-b46a8cf52c0b,34,,"[83.8, 14.4]",69229,1,,,,,0.73504287,,Right Foot,,,"[103.6, 32.3]",,High Pass,,26.69176,,Incomplete,,,,,,,,Free Kick,1,From Free Kick,Xavier Hernández Creus,20131.0,Right Center Midfield,3,Barcelona,217,['07441384-7872-4676-b8f2-9a8aa69ebf29'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:01:00.086,Pass,,2009/2010
,,,,,,,,,,,,,,,,0.631412,,,,,,,,,,,,8cf79f73-f174-49e2-9a32-f375baa6b8fb,37,,"[50.8, 54.8]",69229,1,,,,,-0.6998929,,Right Foot,,,"[54.6, 51.6]",,Low Pass,,4.967897,,,,Fabio Celestini,20321.0,,,,,Recovery,1,Regular Play,Daniel Parejo Muñoz,6595.0,Right Defensive Midfield,4,Getafe,216,['81f10fd6-2c68-4b9d-a861-d1ad323317db'],6,,,,,,,,,,,,,,,,,Getafe,216,00:01:06.838,Pass,,2009/2010
,,,,,,,,,,,,,,,,1.7776,,,,,,,,,,,,71d4fc58-5087-4046-bbbf-a12cc5ccd9d9,40,,"[55.7, 52.0]",69229,1,,,,,-1.2357948,,Right Foot,,,"[65.9, 22.7]",,Low Pass,,31.024668,,,,Adrián González Morales,6557.0,,,,,,1,Regular Play,Fabio Celestini,20321.0,Left Defensive Midfield,4,Getafe,216,['8ccf7a55-a98a-4e03-92e6-09cfbbce0f4d'],8,,,,,,,,,,,,,,,,,Getafe,216,00:01:08.342,Pass,,2009/2010
,,,,,,,,,,,,,,,,0.7822,,,,,,,,,,,,3185b01d-7a68-4d4b-ae52-fa3e4ba1e1bc,43,,"[65.9, 19.1]",69229,1,,,,,-0.5292468,,Left Foot,,,"[76.5, 12.9]",,Ground Pass,,12.280066,,Unknown,,Juan Ángel Albín Leites,26425.0,,,,,,1,Regular Play,Adrián González Morales,6557.0,Center Attacking Midfield,4,Getafe,216,['3bdc0309-253a-4be2-b404-694df64d68da'],11,,,,,,,,,,,,,,,,,Getafe,216,00:01:11.445,Pass,,2009/2010
,,,,,,,,,,,,,,,,1.369515,,,,,,,,,,,,81a67190-22d2-4e7c-9303-e8b178c490b0,45,,"[54.6, 47.0]",69229,1,,,,,-1.5525692,,Right Foot,,,"[55.3, 8.6]",,Ground Pass,,38.40638,,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,Recovery,1,Regular Play,Xavier Hernández Creus,20131.0,Right Center Midfield,5,Barcelona,217,['3ed711b1-c90d-447b-bda2-736ceb958cbd'],12,,,,,,,,,,,,,,,,,Barcelona,217,00:01:12.754,Pass,,2009/2010
,,,,,,,,,,,,,,,,1.4817,,,,,,,,,,,,29a82081-8d5d-4602-8c94-a6013234cd30,48,,"[55.3, 8.6]",69229,1,,,,,1.9416876,,Left Foot,,,"[51.1, 19.4]",,Ground Pass,,11.587925,,,,Dmytro Chygrynskiy,18608.0,,,,,,1,Regular Play,Eric-Sylvain Bilal Abidal,20177.0,Left Back,5,Barcelona,217,['1b448381-64cc-4165-aba9-88c206458cc3'],14,,,,,,,,,,,,,,,,,Barcelona,217,00:01:14.615,Pass,,2009/2010
,,,,,,,,,,,,,,,,3.0326,,,,,,,,,,,,0de8edea-f332-4706-bac7-9c1f130beb00,51,,"[53.9, 31.0]",69229,1,,,,,0.570253,,Right Foot,,,"[105.2, 63.9]",,High Pass,,60.943417,,,,Pedro Eliezer Rodríguez Ledesma,3958.0,,,,,,1,Regular Play,Dmytro Chygrynskiy,18608.0,Left Center Back,5,Barcelona,217,['08eaff48-e714-4e8d-a51f-483c70eefb41'],18,,,,,,,,,,,,,,,,,Barcelona,217,00:01:18.424,Pass,,2009/2010
