50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.046016,,,,,,,,,,,,,eb97c176-fa79-4577-b71a-e8b068a8eb8c,18,,"[46.8, 77.2]",69207,0,,,,0.04542328,,Right Foot,,,,"[62.2, 77.9]",,Ground Pass,,15.415901,,,,,Sergio García De La Fuente,6767.0,,,,,,1,From Kick Off,Nélson Augusto Tomar Marcos,26589.0,Right Back,2,Real Betis,218,['f104e2ac-ee72-4a39-9f47-173577256f8e'],9,,,,,,,,,,,,,,,,,Real Betis,218,00:00:09.074,Pass,,2008/2009
,,,,,,,,,,,,,,,,1.102728,,,,,,,,,,,,,a07c618a-fbe5-42b2-92ba-6d71b7e5211e,25,,"[56.9, 80.0]",69207,0,,,,-0.7978199,,,,,,"[72.8, 63.7]",,High Pass,,22.770596,,,,,José María Romero Poyón,25940.0,,,,,Throw-in,1,From Throw In,Nélson Augusto Tomar Marcos,26589.0,Right Back,3,Real Betis,218,['929109e7-4471-4e3b-9ee5-90aafe1d830b'],18,,,,,,,,,,,,,,,,,Real Betis,218,00:00:18.447,Pass,,2008/2009
,,,,,,,,,,,,,,,,0.176932,,,,,,,,,,,,,8ba5f9b3-5376-4663-99d0-0a942c1de63d,28,,"[70.6, 62.7]",69207,0,,,,2.2073045,,Right Foot,,,,"[67.2, 67.3]",,Ground Pass,,5.72014,,,,,Sergio García De La Fuente,6767.0,,,,,,1,From Throw In,José María Romero Poyón,25940.0,Right Wing,3,Real Betis,218,['cda22cac-608f-4226-91fe-56c9aa43ea58'],19,,,,,,,,,,,,,,,,,Real Betis,218,00:00:19.549,Pass,,2008/2009
,,,,,,,,,,,,,,,,0.426397,,,,,,,,,,,,,c1908443-db0b-4633-b5f1-0758c8e1d705,32,,"[67.9, 66.9]",69207,0,,,,-1.294469,,Right Foot,,,,"[69.8, 60.2]",,Ground Pass,,6.9641943,,,,,José María Romero Poyón,25940.0,,,,,,1,From Throw In,Sergio García De La Fuente,6767.0,Center Forward,3,Real Betis,218,"['18be475d-9819-4ddd-b875-43d96cd0563f', 'b6318be8-5ab2-47ee-8679-0f98e131f15d']",20,,,,,,,,,,,,,,,,,Real Betis,218,00:00:20.246,Pass,True,2008/2009
,,,,,,,,,,,,,,,,1.316659,,,,,,,,,,,,,9cd99ead-9842-4a34-b090-2643beeb3734,39,,"[58.5, 23.5]",69207,0,,,,2.5549984,,Right Foot,,,,"[42.1, 34.4]",,Ground Pass,,19.691877,,,,,Rafael Márquez Álvarez,5558.0,,,,,,1,Regular Play,Gnégnéri Yaya Touré,3087.0,Center Defensive Midfield,4,Barcelona,217,['73721ddf-e1a0-4992-8bd8-7bace02b4649'],24,,,,,,,,,,,,,,,,,Barcelona,217,00:00:24.781,Pass,,2008/2009
,,,,,,,,,,,,,,,,1.865167,,,,,,,,,,,,,0ef10b94-bff8-4bcf-8f7c-730371ce6e59,42,,"[42.8, 41.5]",69207,0,,,,-1.6595676,,Right Foot,,,,"[41.1, 22.4]",,Ground Pass,,19.175505,,,,,José Martín Cáceres Silva,5248.0,,,,,,1,Regular Play,Rafael Márquez Álvarez,5558.0,Right Center Back,4,Barcelona,217,['bff0ed1c-c3e8-4a69-87fd-22b87538fdc5'],28,,,,,,,,,,,,,,,,,Barcelona,217,00:00:28.216,Pass,,2008/2009
,,,,,,,,,,,,,,,,1.126772,,,,,,,,,,,,,f5ce2c06-d342-4130-bb98-ce8bc4cb4d62,45,,"[53.9, 15.3]",69207,0,,,,-0.4789136,,Right Foot,,,,"[74.7, 4.5]",,Ground Pass,,23.436724,,,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,1,Regular Play,José Martín Cáceres Silva,5248.0,Left Center Back,4,Barcelona,217,['8a810170-8f71-4327-9939-1ac7a031411c'],33,,,,,,,,,,,,,,,,,Barcelona,217,00:00:33.203,Pass,,2008/2009
,,,,,,,,,,,,,,,,2.544,,,,,,,,,,,,,78f428aa-9269-44d4-9f4f-c439dc59e7d6,48,,"[74.7, 4.2]",69207,0,,,,2.1955788,,Left Foot,,,,"[44.7, 45.8]",,Ground Pass,,51.288986,,,,,Rafael Márquez Álvarez,5558.0,,True,,,,1,Regular Play,Eric-Sylvain Bilal Abidal,20177.0,Left Back,4,Barcelona,217,['f9e36ca4-8b44-4c4e-8732-1545d117d3e2'],35,,,,,,,,,,,,,,,,,Barcelona,217,00:00:35.374,Pass,,2008/2009
,,,,,,,,,,,,,,,,1.387819,,,,,,,,,,,,,5099dac7-bbf8-4138-bad2-ec9bd685570b,51,,"[57.3, 60.0]",69207,0,,,,1.1681417,,Right Foot,,,,"[64.2, 76.2]",,Ground Pass,,17.608236,,,,,Daniel Alves da Silva,4324.0,,,,,,1,Regular Play,Rafael Márquez Álvarez,5558.0,Right Center Back,4,Barcelona,217,['dfbde695-3958-4e59-b542-61ee4ef998ca'],42,,,,,,,,,,,,,,,,,Barcelona,217,00:00:42.144,Pass,,2008/2009
,,,,,,,,,,,,,,,,1.640737,,,,,,,,,,,,,d2f831c3-1b08-4f11-a655-29334c8b9df0,55,,"[61.3, 71.0]",69207,0,,,,-2.6236506,,Right Foot,,,,"[43.4, 60.8]",,Ground Pass,,20.602184,,,,,Rafael Márquez Álvarez,5558.0,,,,,,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,4,Barcelona,217,"['82427a13-98bf-4a64-a090-81ffbfab3aa2', 'b6855968-6d8e-4d2a-9804-4ce019a57ff2']",44,,,,,,,,,,,,,,,,,Barcelona,217,00:00:44.821,Pass,True,2008/2009
