bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,8553b2fc-af4b-46be-995f-5df83c3297db,1,,,16056,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 6826, 'name': 'Clément Lenglet'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 11392, 'name': 'Arthur Henrique Ramos de Oliveira Melo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 3109, 'name': 'Malcom Filipe Silva de Oliveira'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2018/2019
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,9a7f43a7-658b-4cce-81b2-b870e5fa4361,2,,,16056,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 3412, 'lineup': [{'player': {'id': 6792, 'name': 'Pau López Sabata'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6648, 'name': 'Aïssa Mandi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 7068, 'name': 'Marc Bartra Aregall'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 5}, {'player': {'id': 6777, 'name': 'Sidnei Rechel da Silva Júnior'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 6658, 'name': 'Cristian Tello Herrera'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 11}, {'player': {'id': 17304, 'name': 'Héctor Junior Firpo Adames'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 20}, {'player': {'id': 5563, 'name': 'José Andrés Guardado Hernández'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 5214, 'name': 'William Silva de Carvalho'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 3313, 'name': 'Giovani Lo Celso'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 21}, {'player': {'id': 7910, 'name': 'Lorenzo Jesús Morón García'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 16}, {'player': {'id': 6651, 'name': 'Joaquín Sánchez Rodríguez'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 17}]}",Real Betis,218,00:00:00.000,Starting XI,,2018/2019
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,5a639562-2ae8-45db-ae89-8b9bcc743c29,3,,,16056,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['dd140bc3-3537-4bd1-a15e-20e725fd11b5'],0,,,,,,,,,,,,,,,,,Real Betis,218,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,dd140bc3-3537-4bd1-a15e-20e725fd11b5,4,,,16056,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['5a639562-2ae8-45db-ae89-8b9bcc743c29'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,35d4a8fc-83b0-4342-8565-12aba8ac9bb7,1707,,,16056,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,95,Real Betis,218,['1592e0e3-448b-4704-bdbc-cb4341004ca4'],0,,,,,,,,,,,,,,,,,Real Betis,218,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,1592e0e3-448b-4704-bdbc-cb4341004ca4,1708,,,16056,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,95,Real Betis,218,['35d4a8fc-83b0-4342-8565-12aba8ac9bb7'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,0.861826,,,,,,,,,,,,,,e586df2f-8a7e-4de8-bc99-5fbf5113c7f4,5,,"[60.0, 40.0]",16056,0,,,,-3.027052,,Right Foot,,,,"[48.7, 38.7]",,Ground Pass,,11.374533,,,,,Sergio Busquets i Burgos,5203.0,,,,,,Kick Off,1,From Kick Off,Luis Alberto Suárez Díaz,5246.0,Center Forward,2,Barcelona,217,['466212fa-7bb2-4d12-b13a-d92b997baa67'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.652,Pass,,2018/2019
,,,,,,,,,,,,,,,0.955586,,,,,,,,,,,,,,bb2d42e6-3fe5-4f60-a43e-532f4042717d,8,,"[48.7, 41.1]",16056,0,,,,1.7141364,,Right Foot,,,,"[47.3, 50.8]",,Ground Pass,,9.80051,,,,,Ivan Rakitić,5470.0,,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['f4d0edf3-9c19-4cd8-8d74-44201311d537'],2,,,,,,,,,,,,,,,,,Barcelona,217,00:00:02.334,Pass,,2018/2019
,,,,,,,,,,,,,,,1.543363,,,,,,,,,,,,,,049887d0-6d17-42a5-ad57-67a060192764,11,,"[46.8, 52.2]",16056,0,,,,1.7570925,,Right Foot,,,,"[43.2, 71.3]",,Ground Pass,,19.436306,,,,,Sergi Roberto Carnicer,6379.0,,,,,,,1,From Kick Off,Ivan Rakitić,5470.0,Right Center Midfield,2,Barcelona,217,['68dfc5ee-fa6f-4770-ae54-292ce1471c10'],4,,,,,,,,,,,,,,,,,Barcelona,217,00:00:04.330,Pass,,2018/2019
,,,,,,,,,,,,,,,1.78368,,,,,,,,,,,,,,1e48c39d-5c50-42af-a1cc-434035022c76,14,,"[42.5, 71.3]",16056,0,,,,-2.4444366,,Right Foot,,,,"[22.2, 54.3]",,Ground Pass,,26.478104,,,,,Gerard Piqué Bernabéu,5213.0,,,,,,,1,From Kick Off,Sergi Roberto Carnicer,6379.0,Right Back,2,Barcelona,217,['04a6f05d-747e-4cfd-b5f8-2122d9c9bb76'],6,,,,,,,,,,,,,,,,,Barcelona,217,00:00:06.627,Pass,,2018/2019
