bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,cfeb7364-baad-4ee1-9f9a-f9e109f71f7f,16,,"[26.4, 54.8]",69337,0,,,,,-1.3906157,,Right Foot,,,,"[31.3, 27.9]",,Ground Pass,,27.34264,,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Right Center Back,2,Barcelona,217,['b1391f5c-3aa1-4ab1-8797-c24137d21a4f'],9,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:09.334,Pass,,2011/2012
,,,,,,,,,,,,,,,,,,1.2389,,,,,,,,,,,,,28d49347-2fbc-482b-8a6f-ccea97640224,19,,"[36.1, 23.0]",69337,0,,,,,-0.97294873,,Right Foot,,,,"[47.2, 6.7]",,Ground Pass,,19.720547,,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Left Center Back,2,Barcelona,217,['fa02eeca-d0f6-493a-82ab-5b045f94d1eb'],12,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:12.570,Pass,,2011/2012
,,,,,,,,,,,,,,,,,,1.1292,,,,,,,,,,,,,a90ea9af-ee8b-4b97-93a6-9587d865377e,23,,"[49.7, 7.1]",69337,0,,,,,-0.042031307,,Left Foot,,,,"[71.1, 6.2]",,Ground Pass,,21.418917,,,,Andrés Iniesta Luján,5216.0,,,,,,1,From Kick Off,Eric-Sylvain Bilal Abidal,20177.0,Left Back,2,Barcelona,217,['46e09fb3-1efe-43d3-9e20-fbdebde71459'],15,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:15.219,Pass,,2011/2012
,,,,,,,,,,,,,,,,,,1.5863,,,,,,,,,,,,,bd93d2f7-b19c-4ea9-b48d-a78aa5585858,27,,"[69.3, 4.2]",69337,0,,,,,3.0423527,,Right Foot,,,,"[46.2, 6.5]",,Ground Pass,,23.21422,,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,1,From Kick Off,Andrés Iniesta Luján,5216.0,Right Center Midfield,2,Barcelona,217,['c4a9f859-9999-4c1a-a689-66a1ce5f67ed'],17,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:17.222,Pass,,2011/2012
,,,,,,,,,,,,,,,,,,1.4473,,,,,,,,,,,,,5282582f-60e5-494c-a5ae-5c8c9725bcd3,30,,"[43.5, 7.1]",69337,0,,,,,2.0629597,,Left Foot,,,,"[30.9, 30.6]",,Ground Pass,,26.66477,,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Kick Off,Eric-Sylvain Bilal Abidal,20177.0,Left Back,2,Barcelona,217,['9748b8f9-a41c-4b4c-a7df-ed704b5b6ca0'],20,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:20.161,Pass,,2011/2012
,,,,,,,,,,,,,,,,,,2.1948,,,,,,,,,,,,,6eb1dede-6041-461e-a349-9f38a74e3086,33,,"[33.1, 37.5]",69337,0,,,,,1.1447326,,Right Foot,,,,"[51.3, 77.6]",,Ground Pass,,44.036915,,,,Daniel Alves da Silva,4324.0,,True,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Left Center Back,2,Barcelona,217,['a38d24c0-20c8-44f6-8976-c047bf577c6d'],23,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:23.178,Pass,,2011/2012
,,,,,,,,,,,,,,,,,,0.8608,,,,,,,,,,,,,cb0e5f7d-8cef-4ce1-9346-2967f0dd2091,37,,"[52.2, 77.6]",69337,0,,,,,-1.3171222,,Right Foot,,,,"[57.1, 58.7]",,Ground Pass,,19.524857,,,,Xavier Hernández Creus,20131.0,,,,,,1,From Kick Off,Daniel Alves da Silva,4324.0,Right Back,2,Barcelona,217,"['3f9768b4-feff-4122-b62a-68b0687e4942', '58cacede-306b-4d84-a666-eee2064e4d4b']",26,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:26.449,Pass,True,2011/2012
,,,,,,,,,,,,,,,,,,2.950599,,,,,,,,,,,,,cc583d5b-722b-417c-9ac1-af6b8a6f2f51,40,,"[56.8, 60.1]",69337,0,,,,,3.0556803,,Right Foot,,,,"[35.9, 61.9]",,Low Pass,,20.97737,,,,Carles Puyol i Saforcada,20125.0,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Left Center Midfield,2,Barcelona,217,['679ca755-fd7d-48b9-aa82-c441da41c7ae'],27,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:27.803,Pass,,2011/2012
,,,,,,,,,,,,,,,,,,0.8783,,,,,,,,,,,,,1d679589-ea4c-4d89-9b03-9ee39dc4e600,43,,"[40.3, 55.0]",69337,0,,,,,-1.3583643,,Right Foot,,,,"[41.4, 49.9]",,Ground Pass,,5.217279,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Right Center Back,2,Barcelona,217,['5a2e1874-c730-4d07-86a7-b6377f39e2e3'],32,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:32.506,Pass,,2011/2012
,,,,,,,,,,,,,,,,,,2.16714,,,,,,,,,,,,,65743bd8-513c-4304-9b6a-e099a81752a1,46,,"[42.3, 48.8]",69337,0,,,,,1.0668248,,Right Foot,,,,"[57.3, 76.0]",,Ground Pass,,31.061874,,,,Daniel Alves da Silva,4324.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['f47cb12e-f504-4e6a-a5af-e0001cfc6903'],36,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:36.849,Pass,,2011/2012
