bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.738632,,,,,,,,,,,,,,,35a04e4c-8ded-4086-9ef9-00215e7c4880,277,,,"[70.0, 73.4]",3773372,5,,,,-2.823037,,Right Foot,,,"[60.6, 70.3]",Ground Pass,,9.89798,,,,Óscar Mingueza García,43728.0,,,,,,1,Regular Play,Sergino Dest,21881.0,Right Wing Back,45,Barcelona,217,['9930956c-b393-43bd-be15-5ef595dd2568'],7,,,,,,,,,,,,,,,,,,Barcelona,217,00:05:07.246,Pass,,2020/2021
,,,,,,,,,,,,,,,1.524298,,,,,,,,,,,,,,,450bfbbe-c4c3-4bc2-a57f-ece29fcb3df4,281,,,"[62.4, 68.4]",3773372,5,,,,-2.1023006,,Right Foot,,,"[50.7, 48.5]",Ground Pass,,23.084627,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,Regular Play,Óscar Mingueza García,43728.0,Right Center Back,45,Barcelona,217,"['3c8700f8-317a-466e-8950-e00e75a8ad75', 'ed6ae2c1-2a0b-4f48-a148-df0ebbfad42c']",8,,,,,,,,,,,,,,,,,,Barcelona,217,00:05:08.320,Pass,True,2020/2021
,,,,,,,,,,,,,,,1.215386,,,,,,,,,,,,,,,0c7239bc-9b79-4788-95fe-29b6ca912776,284,,,"[56.0, 33.5]",3773372,5,,,,-1.7443869,,Right Foot,,,"[52.3, 12.4]",Ground Pass,,21.421951,,,,Clément Lenglet,6826.0,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Center Back,45,Barcelona,217,['1e75e8f9-c7a6-4703-8668-b8736098348c'],14,,,,,,,,,,,,,,,,,,Barcelona,217,00:05:14.194,Pass,,2020/2021
,,,,,,,,,,,,,,,2.509251,,,,,,,,,,,,,,,4fc8ee12-4169-44b7-8ca8-9ea1e0cd4b07,287,,,"[51.9, 12.6]",3773372,5,,,,2.398477,,Left Foot,,,"[24.8, 37.5]",Ground Pass,,36.802444,,,,Marc-André ter Stegen,20055.0,,,,,,1,Regular Play,Clément Lenglet,6826.0,Left Center Back,45,Barcelona,217,['8ff5f5ae-6760-4ca2-babc-8a96b25a1574'],16,,,,,,,,,,,,,,,,,,Barcelona,217,00:05:16.439,Pass,,2020/2021
,,,,,,,,,,,,,,,1.362326,,,,,,,,,,,,,,,4b7570f3-bbe9-4597-9de2-4499df942bbe,290,,,"[24.1, 42.0]",3773372,5,,,,0.86360824,,Left Foot,,,"[38.8, 59.2]",Ground Pass,,22.62587,,,,Óscar Mingueza García,43728.0,,,,,,1,Regular Play,Marc-André ter Stegen,20055.0,Goalkeeper,45,Barcelona,217,['ede94944-2822-4a6e-9547-7c2ee5ca5acf'],19,,,,,,,,,,,,,,,,,,Barcelona,217,00:05:19.313,Pass,,2020/2021
,,,,,,,,,,,,,,,1.198981,,,,,,,,,,,,,,,02cbf1ae-9461-481d-9982-df2ef16f73d7,293,,,"[42.0, 60.6]",3773372,5,,,,-0.6088329,,Right Foot,,,"[56.2, 50.7]",Ground Pass,,17.310402,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,Regular Play,Óscar Mingueza García,43728.0,Right Center Back,45,Barcelona,217,['a1ddfd23-e734-4e52-9fe2-6b13212f7f7b'],22,,,,,,,,,,,,,,,,,,Barcelona,217,00:05:22.693,Pass,,2020/2021
,,,,,,,,,,,,,,,1.36255,,,,,,,,,,,,,,,90ce9e30-1534-412f-9d63-8c1335d9e08b,297,,,"[57.3, 51.9]",3773372,5,,,,0.7501187,,Left Foot,,,"[70.5, 64.2]",Ground Pass,,18.04245,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,45,Barcelona,217,"['47fa2ecd-932e-4654-81d3-a02018d126b6', 'aac21e6c-e2dd-43fc-a716-73faf470a106']",24,,,,,,,,,,,,,,,,,,Barcelona,217,00:05:24.302,Pass,True,2020/2021
,,,,,,,,,,,,,,,0.847517,,,,,,,,,,,,,,,a545f409-24b5-4dd1-8ba7-e8c6357687c9,304,,,"[69.1, 63.8]",3773372,5,,,,1.4801364,,Left Foot,,,"[69.6, 69.3]",Ground Pass,,5.5226803,,,,Óscar Mingueza García,43728.0,,,,,Free Kick,1,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Right Center Forward,46,Barcelona,217,['87a9a3e0-3c93-4510-95ae-513250ee56e0'],48,,,,,,,,,,,,,,,,,,Barcelona,217,00:05:48.157,Pass,,2020/2021
,,,,,,,,,,,,,,,2.074346,,,,,,,,,,,,,,,358de1be-83c3-4c2c-b0f1-38991f64e71c,307,,,"[72.5, 69.3]",3773372,5,,,,-2.1616426,,Right Foot,,,"[56.2, 45.0]",Ground Pass,,29.260553,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Free Kick,Óscar Mingueza García,43728.0,Right Center Back,46,Barcelona,217,['32119cfa-5a97-4c88-aeb7-c9562e619822'],50,,,,,,,,,,,,,,,,,,Barcelona,217,00:05:50.575,Pass,,2020/2021
,,,,,,,,,,,,,,,1.421776,,,,,,,,,,,,,,,540c6571-ad6a-46e2-a534-0962f4e0a7f4,310,,,"[56.2, 45.0]",3773372,5,,,,1.3237727,,Right Foot,,,"[62.0, 68.0]",Ground Pass,,23.720034,,,,Óscar Mingueza García,43728.0,,,,,,1,From Free Kick,Gerard Piqué Bernabéu,5213.0,Center Back,46,Barcelona,217,['5df28c6b-4d41-44d8-a2c0-46e8be0b6141'],55,,,,,,,,,,,,,,,,,,Barcelona,217,00:05:55.127,Pass,,2020/2021
,,,,,,,,,,,,,,,0.872808,,,,,,,,,,,,,,,d2747b75-c4a2-4ca6-8236-33b89c37e45b,313,,,"[65.6, 68.2]",3773372,5,,,,0.08715727,,Right Foot,,,"[75.9, 69.1]",Ground Pass,,10.339246,,,,Frenkie de Jong,8118.0,,,,,,1,From Free Kick,Óscar Mingueza García,43728.0,Right Center Back,46,Barcelona,217,['76e9f836-9b6a-49e3-b281-c09be3284620'],57,,,,,,,,,,,,,,,,,,Barcelona,217,00:05:57.815,Pass,,2020/2021
,,,,,,,,,,,,,,,0.996349,,,,,,,,,,,,,,,90800898-3609-4589-8fb3-4a34d738d956,315,,,"[75.9, 69.1]",3773372,5,,,,-2.725154,,Right Foot,,,"[70.7, 66.8]",Ground Pass,,5.6859474,,,,Óscar Mingueza García,43728.0,,,,,,1,From Free Kick,Frenkie de Jong,8118.0,Right Center Midfield,46,Barcelona,217,['47838823-39dc-47fc-80f0-c0990b506985'],58,,,,,,,,,,,,,,,,,,Barcelona,217,00:05:58.688,Pass,,2020/2021
,,,,,,,,,,,,,,,1.458577,,,,,,,,,,,,,,,8d2f14fa-b404-4841-8e45-b2b249e273f5,318,,,"[68.9, 62.2]",3773372,6,,,,-0.8539182,,Left Foot,,,"[87.9, 40.4]",High Pass,,28.917814,,Incomplete,,Pedro González López,30486.0,,,,,,1,From Free Kick,Óscar Mingueza García,43728.0,Right Center Back,46,Barcelona,217,"['a9090283-4302-42a0-bad6-cdc986fa0796', 'f07a162d-f5c0-4f41-89a9-68f413308eb5']",4,,,,,,,,,,,,,,,,,,Barcelona,217,00:06:04.085,Pass,,2020/2021
,,,,,,,,,,,,,,,1.148129,,,,,,,,,,,,,,,f07a162d-f5c0-4f41-89a9-68f413308eb5,320,,,"[32.2, 39.7]",3773372,6,,,,-0.83270013,,Right Foot,,,"[48.3, 22.0]",High Pass,,23.926971,,,,Jorge Resurrección Merodio,5199.0,,,,,Interception,1,Regular Play,Felipe Augusto de Almeida Monteiro,11167.0,Center Back,47,Atlético Madrid,212,"['8d2f14fa-b404-4841-8e45-b2b249e273f5', 'd68e001c-3b9e-483e-b3cd-8470e7187d38']",5,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:06:05.544,Pass,,2020/2021
,,,,,,,,,,,,,,,0.922469,,,,,,,,,,,,,,,a5bf1738-6005-4a71-9948-90fa4ddb4bd3,322,,,"[47.1, 22.2]",3773372,6,,,,0.76830584,,Right Foot,,,"[59.0, 33.7]",High Pass,,16.548716,,,,Luis Alberto Suárez Díaz,5246.0,,,,,,1,Regular Play,Jorge Resurrección Merodio,5199.0,Left Defensive Midfield,47,Atlético Madrid,212,['2bf455fb-d316-411e-88a8-0dea733cd550'],6,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:06:06.692,Pass,,2020/2021
,,,,,,,,,,,,,,,2.288399,,,,,,,,,,,,,,,788b9ae2-60a2-4847-94a5-5123d015fcac,325,,,"[54.0, 35.6]",3773372,6,,,,1.8776226,,Head,,,"[47.6, 55.8]",High Pass,,21.189621,,,,Ángel Martín Correa,6377.0,,,,,,1,Regular Play,Luis Alberto Suárez Díaz,5246.0,Center Forward,47,Atlético Madrid,212,"['02cecd2f-c824-4dd4-9c42-cbae6f87b626', 'eb7881af-5fb5-4cf9-b201-5b02680524ea']",7,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:06:07.774,Pass,True,2020/2021
,,,,,,,,,,,,,,,1.535913,,,,,,,,,,,,,,,9e8107e0-1625-43e7-b621-b21f48483986,328,,,"[46.7, 56.7]",3773372,6,,,,2.266347,,Right Foot,,,"[36.6, 68.8]",Ground Pass,,15.761345,,,,Kieran Trippier,3308.0,,,,,,1,Regular Play,Ángel Martín Correa,6377.0,Right Wing,47,Atlético Madrid,212,['96ff2d02-649c-4715-9caf-3ba8b8d9c931'],10,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:06:10.231,Pass,,2020/2021
