ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,2.363798,,,,,,,,,,,,d99d8523-cb53-4a5a-adec-bee9107bd065,2294,,,"[20.5, 53.9]",69185,59,,,,,-0.40997306,,Right Foot,,"[44.2, 43.6]",,Ground Pass,,25.84144,,,Incomplete,,,,,,,,,Interception,2,From Goal Kick,Rafael Márquez Álvarez,5558.0,Right Center Back,151,Atlético Madrid,212,"['eda66eb5-f42c-4d93-a057-624073c70069', 'fd812148-85f3-4d44-91e1-da5c0062f214']",56,,,,,,,,,,,,,,,,,,Barcelona,217,00:14:56.239,Pass,,2008/2009
,,,,,,,,,,,,,,,,,0.673948,,,,,,,,,,,,fd3826a0-3acf-493b-b30c-0ad12071b9e1,2297,,,"[77.4, 40.9]",69185,59,,,,,0.33891624,,Right Foot,,"[91.3, 45.8]",,Ground Pass,,14.738385,,,,,Sergio Leonel Agüero del Castillo,3237.0,,,,,,,2,From Goal Kick,Raúl García Escudero,6391.0,Right Defensive Midfield,151,Atlético Madrid,212,['f5da58fc-209b-4963-9ca9-91dda1487c6a'],59,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:14:59.322,Pass,,2008/2009
,,,,,,,,,,,,,,,,,1.329489,,,,,,,,,,,,34fba39c-aa11-4065-961c-5d213368eb95,2305,,,"[43.2, 37.8]",69185,60,,,,,1.6454871,,Right Foot,,"[42.1, 52.5]",,Ground Pass,,14.741099,,,,,Xavier Hernández Creus,20131.0,,,,,,,2,Regular Play,Gnégnéri Yaya Touré,3087.0,Center Defensive Midfield,152,Barcelona,217,['7021d335-8824-4173-93e8-9b57b873c7bf'],5,,,,,,,,,,,,,,,,,,Barcelona,217,00:15:05.023,Pass,,2008/2009
,,,,,,,,,,,,,,,,,2.01536,,,,,,,,,,,,3205f059-8596-4685-8deb-0a051af27375,2309,,,"[40.2, 48.7]",69185,60,,,,,0.42585048,,Right Foot,,"[59.6, 57.5]",,Ground Pass,,21.302582,,,,,Gnégnéri Yaya Touré,3087.0,,,,,,,2,Regular Play,Xavier Hernández Creus,20131.0,Right Center Midfield,152,Barcelona,217,['18e9c745-3886-463b-b12a-b6dcffea46fb'],8,,,,,,,,,,,,,,,,,,Barcelona,217,00:15:08.221,Pass,,2008/2009
,,,,,,,,,,,,,,,,,1.597604,,,,,,,,,,,,476719ac-7f49-4311-a576-708941968fa0,2312,,,"[67.1, 61.1]",69185,60,,,,,0.37583786,,Right Foot,,"[85.6, 68.4]",,Ground Pass,,19.888187,,,,,Daniel Alves da Silva,4324.0,,,,,,,2,Regular Play,Gnégnéri Yaya Touré,3087.0,Center Defensive Midfield,152,Barcelona,217,['9f8b8ba9-449e-4d41-bf17-26a37cce93b3'],11,,,,,,,,,,,,,,,,,,Barcelona,217,00:15:11.795,Pass,,2008/2009
,,,,,,,,,,,,,,,,,1.979394,,,,,,,,,,,,7a770cab-bc4b-470d-957c-c52c0cf48b5a,2315,,,"[95.5, 70.5]",69185,60,,,,,-1.0983549,,Right Foot,True,"[111.7, 38.8]",,High Pass,,35.59958,,,Incomplete,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,2,Regular Play,Daniel Alves da Silva,4324.0,Right Back,152,Barcelona,217,"['213599dc-d52f-4b17-ab85-c168290122c7', '3c78ddc0-cb1c-4d25-bfcb-bc4ff7d8146a']",14,,,,,,,,,,,,,,,,,,Barcelona,217,00:15:14.970,Pass,,2008/2009
,,,,,,,,,,,,,,,,,2.8234,,,,,,,,,,,,52646d77-a47c-4681-bb71-d50b8ebb2241,2319,,,"[15.0, 49.5]",69185,60,,,,,0.13427772,,Drop Kick,,"[75.7, 57.7]",,High Pass,,61.251366,,,Incomplete,,Sergio Leonel Agüero del Castillo,3237.0,,,,,,,2,Regular Play,Leonardo Neoren Franco,26119.0,Goalkeeper,153,Atlético Madrid,212,"['4b7f284a-3611-4442-a277-3e541e35cc7b', 'dcd12e25-b763-45a1-bf59-a58b4b2835e4']",22,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:15:22.217,Pass,,2008/2009
,,,,,,,,,,,,,,,,,1.149119,,,,,,,,,,,,dcd12e25-b763-45a1-bf59-a58b4b2835e4,2321,,,"[45.3, 23.3]",69185,60,,,,True,0.6713909,,,,"[52.6, 29.1]",,High Pass,,9.323626,,,Incomplete,,,,,,,,,Recovery,2,Regular Play,Carles Puyol i Saforcada,20125.0,Left Center Back,153,Atlético Madrid,212,"['52646d77-a47c-4681-bb71-d50b8ebb2241', '818e03e7-910e-48db-8c5e-ea192dfdb0d4', 'eb82f0f0-24f8-4848-bf14-156cc676beff']",25,,,,,,,,,,,,,,,,,,Barcelona,217,00:15:25.040,Pass,True,2008/2009
,,,,,,,,,,,,,,,,,1.0639,,,,,,,,,,,,2d1573cf-5ed2-46f2-90df-28dd24d0e349,2332,,,"[120.0, 80.0]",69185,61,,,,,-1.7243401,,Right Foot,,"[114.8, 46.4]",,High Pass,,34.0,,,Incomplete,True,,,,,,Outswinging,,Corner,2,From Corner,Simão Pedro Fonseca Sabrosa,19765.0,Left Midfield,154,Atlético Madrid,212,['73105132-db40-4aa1-a563-bfe84ad326eb'],6,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:16:06.746,Pass,,2008/2009
,,,,,,,,,,,,,,,,,2.0644,,,,,,,,,,,,69a09cbb-6556-4f18-a914-e7e2f8352899,2334,,,"[120.0, 80.0]",69185,61,,,,,-2.386611,79f3d071-8d47-41df-b6a7-10a7275b25ef,Right Foot,,"[94.6, 56.1]",,Ground Pass,,34.876495,,,,,Raúl García Escudero,6391.0,True,,,,,Corner,2,From Corner,Simão Pedro Fonseca Sabrosa,19765.0,Left Midfield,155,Atlético Madrid,212,['8442da4d-48d2-4877-b40f-5d9d864a468f'],26,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:16:26.515,Pass,,2008/2009
