ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.184728,,,,,,,,,,,,,bf0071d9-0fda-4c0a-8826-307611b8083c,17,,"[52.9, 43.4]",3773428,0,,,,,-1.7493262,,Left Foot,,,"[50.5, 30.1]",Ground Pass,,13.514807,,,,,Frenkie de Jong,8118.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Right Defensive Midfield,2,Barcelona,217,['dbc8aa17-4ff3-4aee-9ae9-8884d986bb6e'],6,,,,,,,,,,,,,,,,,Barcelona,217,00:00:06.538,Pass,,2020/2021
,,,,,,,,,,,,,,,,0.8122,,,,,,,,,,,,,9be7ed08-6cbb-47a8-bb65-6ffb51da6eb7,20,,"[52.9, 28.2]",3773428,0,,,,,-0.54819137,,Right Foot,,,"[64.2, 21.3]",Ground Pass,,13.24009,,,,,Philippe Coutinho Correia,3501.0,,,,,,1,From Kick Off,Frenkie de Jong,8118.0,Left Defensive Midfield,2,Barcelona,217,['c6fd6ae6-36df-4a9e-9e03-49d6e80426af'],8,,,,,,,,,,,,,,,,,Barcelona,217,00:00:08.842,Pass,,2020/2021
,,,,,,,,,,,,,,,,0.733523,,,,,,,,,,,,,25d61b75-cd4d-4f4c-82b1-c9386a619ac9,23,,"[64.2, 21.3]",3773428,0,,,,,2.5002284,,Right Foot,,,"[56.7, 26.9]",Ground Pass,,9.360022,,,,,Frenkie de Jong,8118.0,,,,,,1,From Kick Off,Philippe Coutinho Correia,3501.0,Left Wing,2,Barcelona,217,['07c561db-16bc-4128-aa9c-f9cab9f900c8'],9,,,,,,,,,,,,,,,,,Barcelona,217,00:00:09.734,Pass,,2020/2021
,,,,,,,,,,,,,,,,0.735144,,,,,,,,,,,,,d434e606-97d2-45a7-b54d-ded82119e31b,26,,"[55.9, 29.3]",3773428,0,,,,,1.5360278,,Right Foot,,,"[56.3, 40.8]",Ground Pass,,11.506954,,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Frenkie de Jong,8118.0,Left Defensive Midfield,2,Barcelona,217,['36cde622-dad3-4a72-8f4a-88efbb1839ac'],11,,,,,,,,,,,,,,,,,Barcelona,217,00:00:11.660,Pass,,2020/2021
,,,,,,,,,,,,,,,,1.459089,,,,,,,,,,,,,d822a470-dcec-42e0-a2f0-9b106927ed63,29,,"[62.3, 29.0]",3773428,0,,,,,-1.220168,,Right Foot,,,"[70.2, 7.4]",Ground Pass,,22.999348,,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Right Defensive Midfield,2,Barcelona,217,['0e038910-9c6a-49cf-b36a-accc0a9894f5'],16,,,,,,,,,,,,,,,,,Barcelona,217,00:00:16.511,Pass,,2020/2021
,,,,,,,,,,,,,,,,0.596924,,,,,,,,,,,,,77c39d50-c40b-4a54-b9ad-31de277a4640,32,,"[69.6, 9.4]",3773428,0,,,,,1.9646649,,Left Foot,,,"[66.4, 17.1]",Ground Pass,,8.338465,,,,,Philippe Coutinho Correia,3501.0,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,['a6a2c969-3494-470f-80fb-b7df9fed1163'],19,,,,,,,,,,,,,,,,,Barcelona,217,00:00:19.301,Pass,,2020/2021
,,,,,,,,,,,,,,,,0.265552,,,,,,,,,,,,,febc84ed-d411-4e57-9a2d-fb1183fd3fce,36,,"[64.9, 11.1]",3773428,0,,,,,-1.9064349,,Right Foot,,,"[63.4, 6.8]",Ground Pass,,4.554119,,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Philippe Coutinho Correia,3501.0,Left Wing,2,Barcelona,217,"['6ed560a4-2313-4e22-b863-548bbdbb2129', 'e6b9a499-4025-4204-8131-43eea7b054e0']",20,,,,,,,,,,,,,,,,,Barcelona,217,00:00:20.815,Pass,True,2020/2021
,,,,,,,,,,,,,,,,1.058369,,,,,,,,,,,,,f0a93124-54a2-47d1-a6cc-e83e06cf77fb,39,,"[63.4, 6.8]",3773428,0,,,,,1.8464873,,Left Foot,,,"[59.1, 22.0]",Ground Pass,,15.796518,,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,"['6ed560a4-2313-4e22-b863-548bbdbb2129', '8d3842e8-503f-489f-9815-633bd142897f']",21,,,,,,,,,,,,,,,,,Barcelona,217,00:00:21.120,Pass,True,2020/2021
,,,,,,,,,,,,,,,,0.950021,,,,,,,,,,,,,016312c7-c3e9-487f-9695-79ad61119543,42,,"[65.5, 24.8]",3773428,0,,,,,1.8857132,,Left Foot,,,"[61.2, 38.0]",Ground Pass,,13.882723,,,,,Frenkie de Jong,8118.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Right Defensive Midfield,2,Barcelona,217,['11ba2f6e-a886-4841-9e1a-56022c5358f7'],23,,,,,,,,,,,,,,,,,Barcelona,217,00:00:23.799,Pass,,2020/2021
,,,,,,,,,,,,,,,,1.151205,,,,,,,,,,,,,9dc6a751-cbf4-49f7-80c4-8a1255b303b6,45,,"[57.2, 41.2]",3773428,0,,,,,1.3050144,,Right Foot,,,"[62.1, 59.2]",Ground Pass,,18.655025,,,,,Óscar Mingueza García,43728.0,,,,,,1,From Kick Off,Frenkie de Jong,8118.0,Left Defensive Midfield,2,Barcelona,217,['cd9c2609-2083-4f66-a9a1-7112ab69cae8'],26,,,,,,,,,,,,,,,,,Barcelona,217,00:00:26.071,Pass,,2020/2021
,,,,,,,,,,,,,,,,0.588148,,,,,,,,,,,,,c1d086b1-7943-41d4-8ce2-de02acbfddcf,48,,"[64.9, 62.6]",3773428,0,,,,,0.30175322,,Right Foot,,,"[80.0, 67.3]",Ground Pass,,15.81455,,,,,Sergino Dest,21881.0,,,,,,1,From Kick Off,Óscar Mingueza García,43728.0,Right Center Back,2,Barcelona,217,['c21c50a2-8192-4f25-92e9-ba503159608b'],28,,,,,,,,,,,,,,,,,Barcelona,217,00:00:28.456,Pass,,2020/2021
,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,1128ace0-f0e0-47c6-99e8-af0636535a9d,54,,"[44.8, 16.6]",3773428,0,,,,,2.6928694,,Left Foot,,,"[39.4, 19.2]",Ground Pass,,5.9933295,,,,,Jens Jønsson,30370.0,,,,,Recovery,1,Regular Play,Alejandro Fernández Iglesias,23967.0,Left Center Midfield,3,Cádiz,552,['94e8f290-7e6c-460f-b149-5e5623bf6d4b'],31,,,,,,,,,,,,,,,,,Cádiz,552,00:00:31.125,Pass,,2020/2021
,,,,,,,,,,,,,,,,0.985538,,,,,,,,,,,,,05a20310-5982-4248-ac13-905f0595449b,56,,"[39.4, 19.2]",3773428,0,,,,,-1.4137665,,Right Foot,,,"[41.3, 7.2]",Ground Pass,,12.149486,,,,,Alberto Perea Correoso,23811.0,,,,,,1,Regular Play,Jens Jønsson,30370.0,Center Defensive Midfield,3,Cádiz,552,['2ada037b-67c6-49d5-b961-c41b360209cc'],31,,,,,,,,,,,,,,,,,Cádiz,552,00:00:31.703,Pass,,2020/2021
