ball_receipt_outcome,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2b41351f-c7de-4b4f-b1dd-5e40a4bef55d,1,,,267085,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Madrid,220,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 11179, 'name': 'Iker Casillas Fernández'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5721, 'name': 'Daniel Carvajal Ramos'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 20016, 'name': 'Kléper Laveran Lima Ferreira'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5201, 'name': 'Sergio Ramos García'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 5552, 'name': 'Marcelo Vieira da Silva Júnior'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 5463, 'name': 'Luka Modrić'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 5574, 'name': 'Toni Kroos'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 5695, 'name': 'James David Rodríguez Rubio'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 4926, 'name': 'Francisco Román Alarcón Suárez'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 23}, {'player': {'id': 19677, 'name': 'Karim Benzema'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 5207, 'name': 'Cristiano Ronaldo dos Santos Aveiro'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",Real Madrid,220,00:00:00.000,Starting XI,,2014/2015
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,cf20dda7-f5ca-4529-8455-9736f01bcaff,2,,,267085,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Madrid,220,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4691, 'name': 'Claudio Andrés Bravo Muñoz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 10609, 'name': 'Jérémy Mathieu'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2014/2015
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6b55d9a4-41a6-42fc-818a-96189df9a132,3,,,267085,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Madrid,220,['6ae554f4-fd45-4681-a58e-3cb1da26559e'],0,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6ae554f4-fd45-4681-a58e-3cb1da26559e,4,,,267085,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Madrid,220,['6b55d9a4-41a6-42fc-818a-96189df9a132'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5698b732-5f13-477e-a49a-6985554c00ed,1811,,,267085,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,92,Real Madrid,220,['3e84824a-fe67-4d4c-9d5d-0f17ac7d4d8c'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3e84824a-fe67-4d4c-9d5d-0f17ac7d4d8c,1812,,,267085,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,92,Real Madrid,220,['5698b732-5f13-477e-a49a-6985554c00ed'],0,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,0.6072,,,,,,,,,,,,,78be8b8e-39f7-412f-9a3f-fddaf361e312,5,,"[61.0, 40.1]",267085,0,,,,1.9784279,,Left Foot,,,,"[59.1, 44.5]",,Ground Pass,,4.7927027,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,Kick Off,1,From Kick Off,Neymar da Silva Santos Junior,4320.0,Left Wing,2,Barcelona,217,['1866573c-777e-4363-a993-84a3bb873d6c'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.460,Pass,,2014/2015
,,,,,,,,,,,,,,1.1168,,,,,,,,,,,,,dbf77143-2348-44f7-b214-aa011508f171,7,,"[58.9, 43.1]",267085,0,,,,-2.8315375,,Right Foot,,,,"[48.6, 39.8]",,Ground Pass,,10.815729,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,2,Barcelona,217,['cf9c23f2-8e3f-4497-ba33-d0f2a708a95b'],1,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.068,Pass,,2014/2015
,,,,,,,,,,,,,,1.5359,,,,,,,,,,,,,bbc92f69-5cc5-41c2-9fa0-d10080e27d6c,10,,"[48.6, 39.7]",267085,0,,,,-2.49407,,Right Foot,,,,"[36.7, 30.7]",,Ground Pass,,14.92012,,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['61bc87bd-728f-4721-97d7-1fc5fc472b42'],3,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.376,Pass,,2014/2015
,,,,,,,,,,,,,,2.05,,,,,,,,,,,,,b155140f-8914-4d35-92a6-c161570dfa95,12,,"[36.7, 30.7]",267085,0,,,,1.8141289,,Right Foot,,,,"[29.6, 59.3]",,Ground Pass,,29.468119,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Left Center Back,2,Barcelona,217,['75b46f10-03b5-4f4d-b9e7-28801c8a4816'],4,,,,,,,,,,,,,,,,Barcelona,217,00:00:04.912,Pass,,2014/2015
