bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6cc6ba19-201c-4725-9ed8-5336cf27432d,1,,,9783,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6768, 'name': 'Diego López Rodríguez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6756, 'name': 'Marc Navarro Ceciliano'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 6754, 'name': 'David López Silva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 6769, 'name': 'Edinaldo Gomes Pereira'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 6757, 'name': 'Aarón Martín Caricol'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 3236, 'name': 'Sergi Darder Moll'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 25}, {'player': {'id': 6758, 'name': 'Víctor Sánchez Mata'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 6870, 'name': 'José Manuel Jurado Marín'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 6770, 'name': 'Esteban Félix Granero Molina'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 23}, {'player': {'id': 6761, 'name': 'Leonardo Carrilho Baptistão'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 11}, {'player': {'id': 6766, 'name': 'Gerard Moreno Balaguero'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",Espanyol,214,00:00:00.000,Starting XI,,2017/2018
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,cb3e3364-5fc9-42e2-b937-d90b3822efd4,2,,,9783,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6374, 'name': 'Nélson Cabral Semedo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 6849, 'name': 'Lucas Digne'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5542, 'name': 'José Paulo Bezzera Maciel Júnior'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 6402, 'name': 'Francisco Alcácer García'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2017/2018
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1e0c9658-f38e-4943-9581-f19c8008fffb,3,,,9783,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,['8b3f22c4-9f79-4f1f-a482-d0c7889cab54'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8b3f22c4-9f79-4f1f-a482-d0c7889cab54,4,,,9783,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,['1e0c9658-f38e-4943-9581-f19c8008fffb'],0,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7fd707b4-c39a-4607-9c13-c108bb29ad31,1713,,,9783,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,94,Espanyol,214,['a42df5fc-b616-4292-8cf8-c26508a886f9'],0,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a42df5fc-b616-4292-8cf8-c26508a886f9,1714,,,9783,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,94,Espanyol,214,['7fd707b4-c39a-4607-9c13-c108bb29ad31'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,1.761747,,,,,,,,,,,,,575527ba-4f46-4cdd-ba9b-080981de81c0,5,,"[60.0, 40.0]",9783,0,,,,,-2.8172581,,Right Foot,,,"[36.8, 32.2]",,Ground Pass,,24.47611,,,,Edinaldo Gomes Pereira,6769.0,,,,,Kick Off,1,From Kick Off,Leonardo Carrilho Baptistão,6761.0,Right Center Forward,2,Espanyol,214,['6cfbe7fe-9d45-432c-a87f-2efebb741bc5'],0,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.292,Pass,,2017/2018
,,,,,,,,,,,,,,,2.262579,,,,,,,,,,,,,28d524c7-3835-4595-bf7d-592b0e626a22,8,,"[37.6, 33.9]",9783,0,,,,,0.77214414,,Right Foot,,,"[72.0, 67.4]",,High Pass,,48.01677,,Incomplete,,José Manuel Jurado Marín,6870.0,,,,,,1,From Kick Off,Edinaldo Gomes Pereira,6769.0,Left Center Back,2,Espanyol,214,"['5746addf-283c-45b2-8a6f-5f30981c969a', 'ea9da555-e84c-4951-87be-1c955bb9fa96']",3,,,,,,,,,,,,,,,,Espanyol,214,00:00:03.893,Pass,,2017/2018
,,,,,,,,,,,,,,,1.09498,,,,,,,,,,,,,79e44f11-66db-470e-901a-1e2d634c332e,15,,"[73.6, 56.7]",9783,0,,,,,-2.3825042,,Right Foot,,,"[65.8, 49.3]",,Ground Pass,,10.751744,,,,Víctor Sánchez Mata,6758.0,,,,,,1,From Kick Off,Marc Navarro Ceciliano,6756.0,Right Back,2,Espanyol,214,"['2b74bf96-b58c-4d94-ae8b-dcca48b28363', '4e65730f-be3e-43d3-934a-202db2598226']",8,,,,,,,,,,,,,,,,Espanyol,214,00:00:08.226,Pass,True,2017/2018
,,,,,,,,,,,,,,,3.453419,,,,,,,,,,,,,67902f64-8485-44c8-a893-d70cb48ae04a,18,,"[65.8, 47.1]",9783,0,,,,,-1.0272537,,Right Foot,,,"[94.2, 0.1]",,High Pass,,54.914116,,Out,,,,,True,,,,1,From Kick Off,Víctor Sánchez Mata,6758.0,Left Defensive Midfield,2,Espanyol,214,,9,,,,,,,,,,,,,,,,Espanyol,214,00:00:09.561,Pass,,2017/2018
