bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.346307,,,,,,,,,,,,34bad3d9-a565-4cd8-b3fb-739df9ade7da,18,,"[38.2, 37.5]",68319,0,,,,1.9766306,,Right Foot,,,"[32.7, 50.3]",,Ground Pass,,13.931619,,,Carles Puyol i Saforcada,20125.0,,,,,,1,From Kick Off,José Edmílson Gomes de Moraes,25910.0,Center Defensive Midfield,2,Barcelona,217,"['77ddbcb1-05fe-4288-a2c5-9ca6a92e9f26', 'd6036dd8-90d9-4175-bcae-22a43f78264e']",7,,,,,,,,,,,,,,,,,Barcelona,217,00:00:07.722,Pass,True,2005/2006
,,,,,,,,,,,,,,,,1.786907,,,,,,,,,,,,d5e0676d-59f5-426e-8f3a-f24d77e1c137,21,,"[32.7, 55.2]",68319,0,,,,0.23332588,,Right Foot,,,"[65.1, 62.9]",,Ground Pass,,33.302402,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Right Center Back,2,Barcelona,217,['cfd2f386-ca01-45aa-bae5-de63be45835b'],10,,,,,,,,,,,,,,,,,Barcelona,217,00:00:10.548,Pass,,2005/2006
,,,,,,,,,,,,,,,,1.4301,,,,,,,,,,,,01825c21-f84e-43fc-a42f-315a7bcded89,25,,"[65.7, 58.3]",68319,0,,,,-2.7610862,,Left Foot,,,"[59.2, 55.7]",,Ground Pass,,7.0007143,Incomplete,,Xavier Hernández Creus,20131.0,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,2,Barcelona,217,"['1368c12f-c824-4306-b581-c0deea2fbec1', '3b7a0ef1-a741-46e0-8426-c3e38ccbd543', '417efde3-a4ff-48e7-a9d5-c3d3c40af200']",13,,,,,,,,,,,,,,,,,Barcelona,217,00:00:13.828,Pass,True,2005/2006
,,,,,,,,,,,,,,,,0.796329,,,,,,,,,,,,a2f09b89-1243-4981-88ae-8466aeb9d6f8,33,,"[57.6, 26.7]",68319,0,,,,1.5707964,,Left Foot,,,"[57.6, 35.5]",,Ground Pass,,8.8,,,David Beckham,15661.0,,,,,Recovery,1,Regular Play,Pablo Gabriel García Pérez,25932.0,Right Defensive Midfield,3,Real Madrid,220,['bdb8298f-c807-46bc-967b-8b9a10d51957'],16,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:16.862,Pass,,2005/2006
,,,,,,,,,,,,,,,,3.02151,,,,,,,,,,,,e7e6f8d6-ec26-4f0e-97fc-4ac5b4e18ecb,39,,"[58.1, 38.1]",68319,0,,,,-0.050158694,,Right Foot,,,"[107.9, 35.6]",,High Pass,,49.862713,Incomplete,,Róbson de Souza,25930.0,,,Through Ball,True,,1,Regular Play,Pablo Gabriel García Pérez,25932.0,Right Defensive Midfield,3,Real Madrid,220,"['078cec7d-735b-4941-81e5-2f9eb7c14244', 'd2eafb18-c4b1-4668-9650-4c8d488d921a']",18,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:18.983,Pass,,2005/2006
,,,,,,,,,,,,,,,,1.9697,,,,,,,,,,,,8e441138-b877-48c8-bd00-4905b1866664,42,,"[15.4, 34.6]",68319,0,True,,,-0.8492382,,Keeper Arm,,,"[35.9, 11.3]",,Low Pass,,31.034496,,,Giovanni van Bronckhorst,17797.0,,,,,,1,Regular Play,Víctor Valdés Arribas,20176.0,Goalkeeper,4,Barcelona,217,['4ff45833-5cea-46c8-b0a2-ce7813d1caa0'],24,,,,,,,,,,,,,,,,,Barcelona,217,00:00:24.967,Pass,,2005/2006
,,,,,,,,,,,,,,,,1.399723,,,,,,,,,,,,fce838ec-90df-4322-99e9-1eb0378cec55,44,,"[36.1, 11.3]",68319,0,,,,2.5518951,,Left Foot,,,"[22.5, 20.4]",,Ground Pass,,16.36368,,,Rafael Márquez Álvarez,5558.0,,,,,,1,Regular Play,Giovanni van Bronckhorst,17797.0,Left Back,4,Barcelona,217,['e8960d46-d68c-41fa-b37c-b0e1312a7435'],27,,,,,,,,,,,,,,,,,Barcelona,217,00:00:27.057,Pass,,2005/2006
,,,,,,,,,,,,,,,,1.465307,,,,,,,,,,,,b12447a8-be81-4b11-b8f7-752d451d91ab,47,,"[27.8, 18.7]",68319,0,,,,-0.89979017,,Right Foot,,,"[38.2, 5.6]",,Ground Pass,,16.726326,,,Giovanni van Bronckhorst,17797.0,,,,,,1,Regular Play,Rafael Márquez Álvarez,5558.0,Left Center Back,4,Barcelona,217,['0b968812-9bcb-4b9e-ace8-a5918f681e26'],30,,,,,,,,,,,,,,,,,Barcelona,217,00:00:30.093,Pass,,2005/2006
,,,,,,,,,,,,,,,,1.417432,,,,,,,,,,,,06a2fb7e-c8fd-454a-aa79-a9d141898499,50,,"[43.0, 7.1]",68319,0,,,,0.055220187,,Left Foot,,,"[62.9, 8.2]",,Ground Pass,,19.930378,,,Ronaldo de Assis Moreira,25879.0,,,,,,1,Regular Play,Giovanni van Bronckhorst,17797.0,Left Back,4,Barcelona,217,['87c323b3-6c51-40f1-973c-598265a7725c'],33,,,,,,,,,,,,,,,,,Barcelona,217,00:00:33.062,Pass,,2005/2006
,,,,,,,,,,,,,,,,1.2748,,,,,,,,,,,,436030d3-3da1-4bc8-b619-66699479368e,58,,"[38.2, 80.0]",68319,0,True,,,-2.161608,,,,,"[27.2, 63.6]",,Low Pass,,19.747404,,,Sergio Ramos García,5201.0,,,,,Throw-in,1,From Throw In,Miguel Ángel Salgado Fernández,15601.0,Right Back,5,Real Madrid,220,['c5fb29a6-8547-4f28-acb1-2fe658e793db'],43,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:43.744,Pass,,2005/2006
