ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b99bd90c-ee50-4007-ba41-8d050f524672,1,,,69218,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,RC Deportivo La Coruña,219,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 26029, 'name': 'Daniel Aranzubia Aguado'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 26209, 'name': 'Manuel Pablo García Díaz'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 26623, 'name': 'Diego Daniel Colotto'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 19}, {'player': {'id': 26107, 'name': 'Alberto Lopo García'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 7}, {'player': {'id': 6320, 'name': 'Filipe Luís Kasmirski'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 26064, 'name': 'Antonio Tomás González'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 26206, 'name': 'Sergio González Soriano'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 6735, 'name': 'Adrián López Álvarez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 25881, 'name': 'Juan Antonio Rodríguez Villamuela'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 22}, {'player': {'id': 5563, 'name': 'José Andrés Guardado Hernández'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 18}, {'player': {'id': 26493, 'name': 'Miguel Ángel Ferrer Martínez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 24}]}",RC Deportivo La Coruña,219,00:00:00.000,Starting XI,,2009/2010
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2ebaa357-01a2-4c67-a2f8-2e6cbec6088f,2,,,69218,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,RC Deportivo La Coruña,219,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 20177, 'name': 'Eric-Sylvain Bilal Abidal'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 15516, 'name': 'Thierry Henry'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 3672, 'name': 'Zlatan Ibrahimović'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2009/2010
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,09f3ed1d-0470-471a-a8ab-f143ba43aca6,3,,,69218,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,RC Deportivo La Coruña,219,['0e164ff8-13f2-4a2c-9734-1054f58c8733'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0e164ff8-13f2-4a2c-9734-1054f58c8733,4,,,69218,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,RC Deportivo La Coruña,219,['09f3ed1d-0470-471a-a8ab-f143ba43aca6'],0,,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f8a91fbf-ec48-42fd-b12e-9eabdd72595e,1957,,,69218,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,95,Barcelona,217,['8659a662-ceae-4b3b-ad16-c6472d7705e6'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8659a662-ceae-4b3b-ad16-c6472d7705e6,1958,,,69218,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,95,Barcelona,217,['f8a91fbf-ec48-42fd-b12e-9eabdd72595e'],0,,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,,0.6644,,,,,,,,,,,,,a65ef5d6-ef82-4a4f-bd9b-33fb1a287e4f,5,,"[61.0, 41.0]",69218,0,,True,,,-2.767866,,Right Foot,,,,"[55.9, 39.0]",,Ground Pass,,5.4781384,,,,Juan Antonio Rodríguez Villamuela,25881.0,,,,,Kick Off,1,From Kick Off,Miguel Ángel Ferrer Martínez,26493.0,Center Forward,2,RC Deportivo La Coruña,219,['5382eef9-1aa6-4eed-9642-9c6fd987fa3f'],1,,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:01.126,Pass,,2009/2010
,,,,,,,,,,,,,,,1.645783,,,,,,,,,,,,,79547e95-fdf3-47bd-b139-2918a6d9cda0,7,,"[56.1, 39.0]",69218,0,,True,,,-2.8693569,,Left Foot,,,,"[32.1, 32.3]",,Ground Pass,,24.917664,,,,Alberto Lopo García,26107.0,,,,,,1,From Kick Off,Juan Antonio Rodríguez Villamuela,25881.0,Center Attacking Midfield,2,RC Deportivo La Coruña,219,['0611aac0-5ac8-410a-b5cd-5234755defca'],2,,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:02.720,Pass,,2009/2010
,,,,,,,,,,,,,,,2.7728,,,,,,,,,,,,,47926536-ac5a-413c-9a48-e02f19e18f4d,9,,"[32.3, 32.6]",69218,0,,,,,0.03871304,,Left Foot,,,,"[89.1, 34.8]",,High Pass,,56.84259,,Incomplete,,,,,,,,,1,From Kick Off,Alberto Lopo García,26107.0,Left Center Back,2,RC Deportivo La Coruña,219,['0939e2d7-7c32-4cc3-98ab-61ef184d9b37'],5,,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:05.661,Pass,,2009/2010
,,,,,,,,,,,,,,,2.4878,,,,,,,,,,,,,0939e2d7-7c32-4cc3-98ab-61ef184d9b37,11,,"[31.9, 46.2]",69218,0,,,,,0.024534954,,Head,,,,"[64.5, 47.0]",,High Pass,,32.609814,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,Recovery,1,From Counter,Gerard Piqué Bernabéu,5213.0,Right Center Back,3,Barcelona,217,"['47926536-ac5a-413c-9a48-e02f19e18f4d', 'd1ace3a5-2504-4b41-a33c-1a70b5335125']",8,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:08.434,Pass,,2009/2010
