bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_out,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,55b72868-c631-4515-9a63-0504de08ebc4,1,,,69304,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6768, 'name': 'Diego López Rodríguez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6772, 'name': 'Mario Gaspar Pérez Martínez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 27}, {'player': {'id': 25931, 'name': 'Gonzalo Javier Rodríguez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 7034, 'name': 'Mateo Pablo Musacchio'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 26765, 'name': 'José Manuel Catalá Mazuecos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 22819, 'name': 'Bruno Soriano Llido'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 20127, 'name': 'Carlos Marchena López'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6997, 'name': 'Borja Valero Iglesias'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 20}, {'player': {'id': 11386, 'name': 'Santiago Cazorla González'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 8}, {'player': {'id': 7141, 'name': 'Giuseppe Rossi'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 22}, {'player': {'id': 25426, 'name': 'Marco Gastón Ruben Rodríguez'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Villarreal,222,00:00:00.000,Starting XI,,2010/2011
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,9c53880d-ed07-42cc-935b-b9d5197eeee8,2,,,69304,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 22102, 'name': 'Adriano Correia Claro'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 5208, 'name': 'Thiago Alcântara do Nascimento'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 30}, {'player': {'id': 20169, 'name': 'Seydou Kéita'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 4891, 'name': 'Ibrahim Afellay'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 20}, {'player': {'id': 12737, 'name': 'David Villa Sánchez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Barcelona,217,00:00:00.000,Starting XI,,2010/2011
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,127f0ea4-103b-4922-990f-7c3c85e55690,3,,,69304,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,['b5b4c7f3-4b75-4a02-bb18-0d10cba592bd'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,b5b4c7f3-4b75-4a02-bb18-0d10cba592bd,4,,,69304,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,['127f0ea4-103b-4922-990f-7c3c85e55690'],0,,,,,,,,,,,,,,,,,Villarreal,222,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,300993dc-fb49-4691-8425-e6e0d6cc801e,2113,,,69304,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,93,Barcelona,217,['051f5075-94ad-420e-9a65-3f0736e08a44'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,051f5075-94ad-420e-9a65-3f0736e08a44,2114,,,69304,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,93,Barcelona,217,['300993dc-fb49-4691-8425-e6e0d6cc801e'],0,,,,,,,,,,,,,,,,,Villarreal,222,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,,,,0.849575,,,,,,,,,,,,,,f8507cc5-cf37-42e6-b999-5318dbf3fd0e,5,,"[60.0, 40.0]",69304,0,,,,,-1.1856388,,Right Foot,,,"[61.5, 36.3]",Ground Pass,,3.992493,,,,,Andrés Iniesta Luján,5216.0,,,,,,Kick Off,1,From Kick Off,David Villa Sánchez,12737.0,Center Forward,2,Barcelona,217,['44db405d-9cca-4761-9927-8d4e3517e9e5'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.714,Pass,,2010/2011
,,,,,,,,,,,,,,,,0.913155,,,,,,,,,,,,,,95cc298f-47ab-437b-98ac-0d7c0a82146a,8,,"[60.1, 35.6]",69304,0,,,,,2.7763913,,Left Foot,,,"[43.1, 42.1]",Ground Pass,,18.200275,,,,,Thiago Alcântara do Nascimento,5208.0,,,,,,,1,From Kick Off,Andrés Iniesta Luján,5216.0,Right Wing,2,Barcelona,217,['4cd74912-17df-4e11-8060-c8c39fe54760'],1,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.780,Pass,,2010/2011
,,,,,,,,,,,,,,,,1.6522,,,,,,,,,,,,,,66efb933-e3fd-4d22-8062-07734cd3e4f6,11,,"[42.8, 43.9]",69304,0,,,,,1.6069251,,Right Foot,,,"[41.9, 68.8]",Ground Pass,,24.91626,,,,,Daniel Alves da Silva,4324.0,,,,,,,1,From Kick Off,Thiago Alcântara do Nascimento,5208.0,Right Center Midfield,2,Barcelona,217,['85600a34-e5e4-466d-a773-aa8412119a2d'],3,,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.502,Pass,,2010/2011
,,,,,,,,,,,,,,,,1.5934,,,,,,,,,,,,,,3c4d7c66-91f8-44db-b5f8-0dcf1cde4177,14,,"[41.7, 62.2]",69304,0,,,,,-2.5718362,,Right Foot,,,"[28.9, 54.0]",Ground Pass,,15.201316,,,,,Gerard Piqué Bernabéu,5213.0,,,,,,,1,From Kick Off,Daniel Alves da Silva,4324.0,Right Back,2,Barcelona,217,['83ed0d73-0ff6-497d-bea2-c0f16d51a20a'],6,,,,,,,,,,,,,,,,,Barcelona,217,00:00:06.888,Pass,,2010/2011
