50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,1.350371,,,,,,,,,,,,ca0c36a0-9f59-405f-b626-101e58751a6c,3561,,"[29.0, 31.9]",303473,90,,,,1.2285645,,Right Foot,,,,"[34.7, 47.9]",,Ground Pass,,16.984993,,,Ivan Rakitić,5470.0,,,,,,2,Regular Play,Frenkie de Jong,8118.0,Left Center Midfield,159,Barcelona,217,['f4045e12-c30b-4ce4-b3ec-afefa7aab2d3'],4,,,,,,,,,,,,,,,,,Barcelona,217,00:45:04.128,Pass,,2019/2020
,,,,,,,,,,,,,,,,,1.417985,,,,,,,,,,,,b4febb0e-4754-4782-9566-46b61de6186a,3564,,"[35.2, 46.7]",303473,90,,,,-0.30636716,,Right Foot,,,,"[54.8, 40.5]",,Ground Pass,,20.557238,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,2,Regular Play,Ivan Rakitić,5470.0,Right Center Midfield,159,Barcelona,217,['b636d6bd-fbe3-4139-90d7-db81e4b67c42'],5,,,,,,,,,,,,,,,,,Barcelona,217,00:45:05.558,Pass,,2019/2020
,,,,,,,,,,,,,,,,,1.290733,,,,,,,,,,,,92fe634c-e241-4cc3-99c8-2f569bcd7bfd,3568,,"[83.3, 51.8]",303473,90,,,,0.97145635,,Left Foot,,,,"[90.2, 61.9]",,Ground Pass,,12.231925,,,Ivan Rakitić,5470.0,,,,,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,159,Barcelona,217,['e2ca954c-0116-4690-8587-4c4bc9e13b88'],11,,,,,,,,,,,,,,,,,Barcelona,217,00:45:11.020,Pass,,2019/2020
,,,,,,,,,,,,,,,,,1.81113,,,,,,,,,,,,fcd01610-70aa-4dd2-81eb-d388d50a3769,3570,,"[91.2, 60.5]",303473,90,,,,-0.7454195,,Right Foot,,,,"[109.4, 43.7]",,Ground Pass,,24.768528,Incomplete,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,2,Regular Play,Ivan Rakitić,5470.0,Right Center Midfield,159,Barcelona,217,"['71b7e403-e56a-4caf-97ca-fc1b20aacf23', 'f146e140-e62b-497b-95e3-9d7cd15d760f']",12,,,,,,,,,,,,,,,,,Barcelona,217,00:45:12.311,Pass,,2019/2020
,,,,,,,,,,,,,,,,,2.566269,,,,,,,,,,,,3292c812-2455-486d-80e6-72ada8f6beab,3574,,"[13.7, 45.6]",303473,90,,,,0.5379881,,Keeper Arm,,,,"[56.1, 70.9]",,High Pass,,49.374588,,,Munir El Haddadi Mohamed,6616.0,,,,,,2,Regular Play,Tomáš Vaclík,11541.0,Goalkeeper,159,Barcelona,217,['4352043a-e786-4fd5-99ca-1a6af787dcc7'],17,,,,,,,,,,,,,,,,,Sevilla,213,00:45:17.026,Pass,,2019/2020
,,,,,,,,,,,,,,,,,1.108936,,,,,,,,,,,,e8fb65cf-39c1-4dc4-8448-3d6cb626141a,3578,,"[63.0, 72.8]",303473,90,,,,-1.0875434,,Left Foot,,,,"[68.3, 62.7]",,Low Pass,,11.406138,Incomplete,,Javier Hernández Balcázar,3058.0,,,,,,2,Regular Play,Munir El Haddadi Mohamed,6616.0,Left Wing,159,Barcelona,217,"['4ff3e4cb-48e4-4581-824b-8853731779cc', 'bb0b8267-ff54-422b-a8c0-c26a923af183', 'ca117513-e5eb-4a0d-8cb9-49d95a6e1c19']",21,,,,,,,,,,,,,,,,,Sevilla,213,00:45:21.100,Pass,True,2019/2020
,,,,,,,,,,,,,,,,,1.024707,,,,,,,,,,,,48736c8a-2f31-481c-810c-3c73a05a1231,3588,,"[79.7, 23.6]",303473,90,,,,1.5707964,,Left Foot,,,,"[79.7, 40.2]",,Ground Pass,,16.6,,,Ivan Rakitić,5470.0,,,,,Free Kick,2,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Right Midfield,160,Barcelona,217,['abd26ce0-8b23-4000-a0f1-b9d0ef50aa50'],49,,,,,,,,,,,,,,,,,Barcelona,217,00:45:49.192,Pass,,2019/2020
,,,,,,,,,,,,,,,,,1.622651,,,,,,,,,,,,7378bc3f-c5b7-46bd-88df-e02c87222997,3591,,"[79.7, 40.3]",303473,90,,,,-1.6189178,,Right Foot,,,,"[78.0, 5.0]",,High Pass,,35.34091,,,Nélson Cabral Semedo,6374.0,,,,,,2,From Free Kick,Ivan Rakitić,5470.0,Right Center Midfield,160,Barcelona,217,['d192137c-013e-457d-94cf-4d140808ad08'],51,,,,,,,,,,,,,,,,,Barcelona,217,00:45:51.032,Pass,,2019/2020
,,,,,,,,,,,,,,,,,1.548124,,,,,,,,,,,,fb6bfc36-b20c-405e-9853-a3c7f43c2333,3594,,"[77.4, 7.8]",303473,90,,,,2.6779451,,Right Foot,,,,"[50.4, 21.3]",,Low Pass,,30.186918,,,Gerard Piqué Bernabéu,5213.0,,,,,,2,From Free Kick,Nélson Cabral Semedo,6374.0,Left Back,160,Barcelona,217,['8944d1a7-d2ff-4bd0-8e46-46f2bd28eeb5'],55,,,,,,,,,,,,,,,,,Barcelona,217,00:45:55.950,Pass,,2019/2020
,,,,,,,,,,,,,,,,,1.451651,,,,,,,,,,,,f3da84f6-d1cf-4e37-9604-351310a00644,3597,,"[44.4, 26.6]",303473,90,,,,1.672217,,Right Foot,,,,"[42.1, 49.2]",,Ground Pass,,22.716734,,,Sergio Busquets i Burgos,5203.0,,,,,,2,From Free Kick,Gerard Piqué Bernabéu,5213.0,Left Center Back,160,Barcelona,217,['4612b7d2-7fac-47fd-a1c8-1180b360aa11'],59,,,,,,,,,,,,,,,,,Barcelona,217,00:45:59.140,Pass,,2019/2020
,,,,,,,,,,,,,,,,,1.448918,,,,,,,,,,,,374b4efb-0d49-4de5-b3b5-7256c5705614,3600,,"[42.8, 55.0]",303473,91,,,,0.97613454,,Right Foot,,,,"[56.8, 75.7]",,Ground Pass,,24.989798,,,Sergi Roberto Carnicer,6379.0,,,,,,2,From Free Kick,Sergio Busquets i Burgos,5203.0,Right Center Back,160,Barcelona,217,['105f9f26-fda1-4270-aae2-0662d362beb3'],2,,,,,,,,,,,,,,,,,Barcelona,217,00:46:02.038,Pass,,2019/2020
,,,,,,,,,,,,,,,,,0.816488,,,,,,,,,,,,0618eb15-09d9-4fb9-958c-874fcebcb48d,3603,,"[51.5, 66.8]",303473,91,,,,-1.0543133,,Left Foot,,,,"[56.1, 58.7]",,Ground Pass,,9.315042,,,Ivan Rakitić,5470.0,,,,,,2,From Free Kick,Sergi Roberto Carnicer,6379.0,Right Back,160,Barcelona,217,['d069b864-847a-41af-86df-a6ad8a5c7139'],6,,,,,,,,,,,,,,,,,Barcelona,217,00:46:06.109,Pass,,2019/2020
,,,,,,,,,,,,,,,,,0.596251,,,,,,,,,,,,bf73de0c-9ffd-4ee0-ab22-bb3bfa5667d2,3606,,"[47.8, 66.5]",303473,91,,,,-1.3687712,,Left Foot,,,,"[49.5, 58.2]",,Ground Pass,,8.472308,,,Sergi Roberto Carnicer,6379.0,,,,,,2,From Free Kick,Ivan Rakitić,5470.0,Right Center Midfield,160,Barcelona,217,['24ee1531-f686-48ce-a3e7-049f5ab6613c'],9,,,,,,,,,,,,,,,,,Barcelona,217,00:46:09.761,Pass,,2019/2020
,,,,,,,,,,,,,,,,,0.698747,,,,,,,,,,,,4c4a1474-90b5-4085-a9e1-19a733f92f17,3608,,"[49.5, 56.9]",303473,91,,,,2.332943,,Right Foot,,,,"[43.2, 63.5]",,Ground Pass,,9.124144,,,Ivan Rakitić,5470.0,,,,,,2,From Free Kick,Sergi Roberto Carnicer,6379.0,Right Back,160,Barcelona,217,['b6f48198-1daa-4324-9d3c-07a3c2a37d6b'],10,,,,,,,,,,,,,,,,,Barcelona,217,00:46:10.357,Pass,,2019/2020
,,,,,,,,,,,,,,,,,0.950341,,,,,,,,,,,,028fbc0a-74b5-491f-b978-1671974885e8,3611,,"[40.9, 58.7]",303473,91,,,,0.9971297,,Right Foot,,,,"[45.1, 65.2]",,Ground Pass,,7.738863,,,Sergi Roberto Carnicer,6379.0,,,,,,2,From Free Kick,Ivan Rakitić,5470.0,Right Center Midfield,160,Barcelona,217,['d5196201-2540-407e-b9d2-7aa231fee8e7'],12,,,,,,,,,,,,,,,,,Barcelona,217,00:46:12.230,Pass,,2019/2020
,,,,,,,,,,,,,,,,,2.813643,,,,,,,,,,,,0db3a28e-32b8-4021-953f-c9e9be8e54c6,3615,,"[36.3, 69.1]",303473,91,,,,-2.5983589,,Left Foot,,,,"[5.0, 50.2]",,Ground Pass,,36.563644,,,Marc-André ter Stegen,20055.0,,,,,,2,From Free Kick,Sergi Roberto Carnicer,6379.0,Right Back,160,Barcelona,217,"['9a3f439e-5279-4838-9053-7bab9373e0e3', 'c51f3f99-b845-4135-bbae-a7d6bbcc3f8a']",15,,,,,,,,,,,,,,,,,Barcelona,217,00:46:15.089,Pass,True,2019/2020
,,,,,,,,,,,,,,,,,2.516769,,,,,,,,,,,,d766186a-4b7c-4cd0-8194-83499680abd5,3618,,"[4.1, 47.9]",303473,91,,,,-0.96226037,,Right Foot,,,,"[31.9, 8.0]",,High Pass,,48.629723,,,Nélson Cabral Semedo,6374.0,,,,,,2,From Free Kick,Marc-André ter Stegen,20055.0,Goalkeeper,160,Barcelona,217,['6043a6be-ece6-4929-821b-c2a40fe83eda'],19,,,,,,,,,,,,,,,,,Barcelona,217,00:46:19.452,Pass,,2019/2020
,,,,,,,,,,,,,,,,,2.459754,,,,,,,,,,,,0612a1e5-8dbc-4640-8e30-2ee8f81e8025,3621,,"[84.7, 80.0]",303473,91,True,,,-2.3337264,,,,,,"[76.0, 70.9]",,Low Pass,,12.589679,,,Joan Jordán Moreno,6701.0,,,,,Throw-in,2,From Throw In,Sergio Reguilón Rodríguez,18620.0,Left Back,161,Sevilla,213,['4b0c3a7a-3d09-4e79-a9d2-0a020436925b'],26,,,,,,,,,,,,,,,,,Sevilla,213,00:46:26.094,Pass,,2019/2020
,,,,,,,,,,,,,,,,,2.541499,,,,,,,,,,,,2434ea6a-b3e8-4afc-b8a9-f14b5bc0b770,3623,,"[80.3, 66.8]",303473,91,,,,-1.742621,,Right Foot,,,,"[72.3, 20.7]",,High Pass,,46.788994,,,Sergio Reguilón Rodríguez,18620.0,,True,,,,2,From Throw In,Joan Jordán Moreno,6701.0,Left Center Midfield,161,Sevilla,213,['bc38b54d-542a-4516-b1c1-d4920df2c97e'],31,,,,,,,,,,,,,,,,,Sevilla,213,00:46:31.957,Pass,,2019/2020
,,,,,,,,,,,,,,,,,1.51402,,,,,,,,,,,,ea1aa213-8dbc-43b2-b2af-30e994b7cb75,3626,,"[84.3, 24.6]",303473,91,,,,2.2443635,,Left Foot,,,,"[76.0, 35.0]",,Ground Pass,,13.306014,,,Fernando Francisco Reges,16003.0,,,,,,2,From Throw In,Sergio Reguilón Rodríguez,18620.0,Left Back,161,Sevilla,213,['0d67bbb0-07bd-4833-b9ca-d8074e5aea57'],37,,,,,,,,,,,,,,,,,Sevilla,213,00:46:37.461,Pass,,2019/2020
,,,,,,,,,,,,,,,,,2.17066,,,,,,,,,,,,9f9840a6-e4de-4550-8a17-d05610a9cb6c,3629,,"[77.5, 36.8]",303473,91,,,,1.1479424,,Right Foot,,,,"[93.7, 72.8]",,High Pass,,39.47708,,,Jesús Navas González,6821.0,,,,,,2,From Throw In,Fernando Francisco Reges,16003.0,Center Defensive Midfield,161,Sevilla,213,['5e4738ba-b03f-412c-a0d5-0f806dee10ee'],40,,,,,,,,,,,,,,,,,Sevilla,213,00:46:40.366,Pass,,2019/2020
,,,,,,,,,,,,,,,,,1.22609,,,,,,,,,,,,4978d323-3843-4b30-aaa4-e5ee16c424b3,3632,,"[99.7, 72.3]",303473,91,,,,-2.2924511,,Right Foot,,,,"[84.3, 54.8]",,Ground Pass,,23.311155,,,Éver Maximiliano David Banega,5504.0,,,,,,2,From Throw In,Jesús Navas González,6821.0,Right Back,161,Sevilla,213,['de8df242-1c89-4dec-b98f-bec91d0912d3'],44,,,,,,,,,,,,,,,,,Sevilla,213,00:46:44.454,Pass,,2019/2020
,,,,,,,,,,,,,,,,,1.61948,,,,,,,,,,,,38baf1b4-2cf4-47b7-a5c3-b724549004b9,3635,,"[85.0, 50.5]",303473,91,,,,-0.7673123,,Right Foot,,,,"[104.7, 31.5]",,High Pass,,27.369509,,,Javier Hernández Balcázar,3058.0,,,,,,2,From Throw In,Éver Maximiliano David Banega,5504.0,Right Center Midfield,161,Sevilla,213,['e04a67c5-68e1-4326-85c9-e039dbd7acfb'],47,,,,,,,,,,,,,,,,,Sevilla,213,00:46:47.296,Pass,,2019/2020
