bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a8705d9e-0ce2-4f67-91e1-3486ed7a2fc2,1,,,3764661,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Athletic Club,215,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 11748, 'name': 'Unai Simón Mendibil'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6699, 'name': 'Ander Capa Rodríguez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 6397, 'name': 'Unai Núñez Gestoso'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 6665, 'name': 'Íñigo Martínez Berridi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 3023, 'name': 'Yuri Berchiche Izeta'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 35473, 'name': 'Unai Vencedor Paris'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 27}, {'player': {'id': 6667, 'name': 'Mikel Vesga Arruti'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 6649, 'name': 'Óscar de Marcos Arana'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 18}, {'player': {'id': 6842, 'name': 'Iker Muniain Goñi'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 6393, 'name': 'Iñaki Williams Arthuer'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 6391, 'name': 'Raúl García Escudero'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 22}]}",Athletic Club,215,00:00:00.000,Starting XI,,2020/2021
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,fba722f6-c49f-49ad-8b42-b187a6716457,2,,,3764661,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Athletic Club,215,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 21881, 'name': 'Sergino Dest'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 32480, 'name': 'Ronald Federico Araújo da Silva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 6826, 'name': 'Clément Lenglet'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 8118, 'name': 'Frenkie de Jong'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 30486, 'name': 'Pedro González López'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2020/2021
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f98a0df3-6835-404b-aaad-14bfe96b9ea2,3,,,3764661,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Athletic Club,215,['c45dab48-a11a-47e5-aa8c-45581671fa70'],0,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.000,Half Start,,2020/2021
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c45dab48-a11a-47e5-aa8c-45581671fa70,4,,,3764661,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Athletic Club,215,['f98a0df3-6835-404b-aaad-14bfe96b9ea2'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2020/2021
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7689aef7-59d0-48f8-ad30-201ecaad6c4c,1892,,,3764661,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,102,Barcelona,217,['39957c1d-4e50-44f0-8ccf-345d6d7d95ba'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2020/2021
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,39957c1d-4e50-44f0-8ccf-345d6d7d95ba,1893,,,3764661,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,102,Barcelona,217,['7689aef7-59d0-48f8-ad30-201ecaad6c4c'],0,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.000,Half Start,,2020/2021
,,,,,,,,,,,,,,1.676682,,,,,,,,,,,,,ac8bb084-1bb8-45b7-8f27-b952af4ef52d,5,,"[60.0, 40.0]",3764661,0,,,,3.1363842,,Right Foot,,,"[40.8, 40.1]",,Ground Pass,,19.20026,,,,Íñigo Martínez Berridi,6665.0,,,,,Kick Off,1,From Kick Off,Iker Muniain Goñi,6842.0,Left Midfield,2,Athletic Club,215,['768e043c-9363-418b-a0e3-2f5251f6c44c'],0,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.416,Pass,,2020/2021
,,,,,,,,,,,,,,2.753948,,,,,,,,,,,,,06b93a72-732e-4edf-ad5e-0060d60d7e8b,8,,"[42.7, 40.6]",3764661,0,,,,0.602186,,Left Foot,,,"[84.6, 69.4]",,High Pass,,50.843388,,,,Raúl García Escudero,6391.0,,,,,,1,From Kick Off,Íñigo Martínez Berridi,6665.0,Left Center Back,2,Athletic Club,215,['a4f6a4a9-c300-44c0-a7ad-6fba92ff0f64'],3,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:03.491,Pass,,2020/2021
,,,,,,,,,,,,,,1.822655,,,,,,,,,,,,,940138f9-c95e-40a8-901a-e3e8f3649aff,10,,"[84.6, 69.0]",3764661,0,,,True,-0.25962964,,,,,"[97.4, 65.6]",,High Pass,,13.243867,,Incomplete,,Iñaki Williams Arthuer,6393.0,,,,,,1,From Kick Off,Raúl García Escudero,6391.0,Left Center Forward,2,Athletic Club,215,"['69628150-d491-423f-8b1d-0ab3ce357603', 'aae0635d-fdc1-43cb-b1bb-c2753d17354f', 'b39a625b-b392-46da-bc34-787ca60b011d']",6,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:06.245,Pass,True,2020/2021
,,,,,,,,,,,,,,1.291723,,,,,,,,,,,,,aae0635d-fdc1-43cb-b1bb-c2753d17354f,13,,"[22.7, 14.5]",3764661,0,,,,-0.14601226,,Head,,,"[29.5, 13.5]",,High Pass,,6.873136,,,,Pedro González López,30486.0,,,,,Recovery,1,From Kick Off,Clément Lenglet,6826.0,Left Center Back,2,Athletic Club,215,"['940138f9-c95e-40a8-901a-e3e8f3649aff', 'b227f6cd-962e-44cc-84b4-751c2344d428']",8,,,,,,,,,,,,,,,,,Barcelona,217,00:00:08.067,Pass,,2020/2021
