ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_out,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ec16602b-b436-4dba-aa6b-00a33692f18a,2169,,"[62.5, 61.8]",267373,50,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,Carlos Alberto Vela Garrido,5560.0,Right Wing,90,Real Sociedad,210,"['06a83b18-c9c4-46ff-a3c3-2a564c56c421', '20bd6f83-7da0-4655-a7d5-4f3aff9ad774']",2,,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:05:02.434,Ball Receipt*,True,2016/2017
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eb624403-62d5-4b53-badc-55ed1590b789,2180,,"[37.1, 14.1]",267373,50,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Jordi Alba Ramos,5211.0,Left Back,92,Barcelona,217,['70ab7a38-efb9-4de3-9345-94db90948a74'],23,,,,,,,,,,,,,,,,,,,Barcelona,217,00:05:23.406,Ball Receipt*,,2016/2017
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f3781893-802a-4ca1-b48d-d93aae4aeaa2,2183,,"[22.5, 24.4]",267373,50,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Marc-André ter Stegen,20055.0,Goalkeeper,92,Barcelona,217,"['59bd94f6-a1b7-464e-b9de-16ffaaf1e0ab', '8f64ee84-e675-4a22-81bd-902591c0bc31']",25,,,,,,,,,,,,,,,,,,,Barcelona,217,00:05:25.219,Ball Receipt*,True,2016/2017
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2c3dfd4c-84c2-4929-9c55-df1378842904,2186,,"[27.4, 57.1]",267373,50,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Gerard Piqué Bernabéu,5213.0,Right Center Back,92,Barcelona,217,['d8af788f-6c69-46a7-b3ef-f10a563443ae'],28,,,,,,,,,,,,,,,,,,,Barcelona,217,00:05:28.863,Ball Receipt*,,2016/2017
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e59ffebd-d2c1-45e2-ab09-179da1fe9b6f,2189,,"[35.6, 76.8]",267373,50,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Sergi Roberto Carnicer,6379.0,Right Back,92,Barcelona,217,['bafd45a3-095f-4cee-b38c-4048f7b113a6'],31,,,,,,,,,,,,,,,,,,,Barcelona,217,00:05:31.663,Ball Receipt*,,2016/2017
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13a649a8-2ff1-4cf6-bfa8-ede27b87199c,2193,,"[63.2, 77.8]",267373,50,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Francisco Alcácer García,6402.0,Left Center Forward,92,Barcelona,217,['d359634f-920a-4b54-a9bf-cd66df5a9c68'],38,,,,,,,,,,,,,,,,,,,Barcelona,217,00:05:38.090,Ball Receipt*,,2016/2017
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7d23bea9-05fb-4160-a200-857a56277d2e,2196,,"[103.6, 67.9]",267373,50,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Sergi Roberto Carnicer,6379.0,Right Back,92,Barcelona,217,['a0f7a0ac-8cd8-4e9c-9d9d-98ab18dc4f5e'],41,,,,,,,,,,,,,,,,,,,Barcelona,217,00:05:41.609,Ball Receipt*,,2016/2017
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c14a7b22-b18b-413f-93fc-c5f110be3619,2199,,"[106.0, 43.7]",267373,50,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Center Attacking Midfield,92,Barcelona,217,['fe410a14-189c-4f05-801d-a09a8f4c9543'],43,,,,,,,,,,,,,,,,,,,Barcelona,217,00:05:43.149,Ball Receipt*,,2016/2017
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98598afb-8422-429f-87b3-d8e7cd394734,2205,,"[99.2, 22.3]",267373,50,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,André Filipe Tavares Gomes,10802.0,Right Center Midfield,92,Barcelona,217,['ba66ec64-e151-4fd9-9f4f-c36f04bc28fa'],49,,,,,,,,,,,,,,,,,,,Barcelona,217,00:05:49.713,Ball Receipt*,,2016/2017
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6339be9a-20b0-451e-a2ae-201d58611099,2218,,"[79.0, 48.0]",267373,51,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Carlos Alberto Vela Garrido,5560.0,Right Wing,94,Real Sociedad,210,['129ac391-36db-4f59-8444-f11be2ef9062'],19,,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:06:19.299,Ball Receipt*,,2016/2017
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,874272ad-cc2e-40cb-8edf-e0510fe5b821,2223,,"[101.9, 34.2]",267373,51,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Raúl Rodríguez Navas,6693.0,Right Center Back,95,Real Sociedad,210,['c8a6c4e7-64c2-41cf-bbc4-ce5599a96466'],55,,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:06:55.879,Ball Receipt*,,2016/2017
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6d61eaec-42d9-44bd-bbb4-caa11df49617,2227,,"[3.8, 43.7]",267373,51,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Marc-André ter Stegen,20055.0,Goalkeeper,96,Barcelona,217,['ccaf554c-0023-460f-9995-8a71d206a62b'],58,,,,,,,,,,,,,,,,,,,Barcelona,217,00:06:58.143,Ball Receipt*,,2016/2017
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b9ebf02e-5545-41ba-a130-96f134b4fa07,2229,,"[19.7, 63.9]",267373,52,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,96,Barcelona,217,['9ce6ce2b-ea62-4b29-b409-85eb0881e8f9'],8,,,,,,,,,,,,,,,,,,,Barcelona,217,00:07:08.504,Ball Receipt*,,2016/2017
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5467d4db-7d08-4689-b5fb-340ed88bf3f7,2232,,"[67.8, 76.4]",267373,52,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Ivan Rakitić,5470.0,Left Center Midfield,96,Barcelona,217,['bf0f994e-6c9d-437a-ade3-893b113f543c'],14,,,,,,,,,,,,,,,,,,,Barcelona,217,00:07:14.540,Ball Receipt*,,2016/2017
