bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_in_play,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,3af33665-2acc-4872-bf76-1f8a4e3b7721,1,,,266670,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6792, 'name': 'Pau López Sabata'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6791, 'name': 'Javier López Rodríguez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 16}, {'player': {'id': 6762, 'name': 'Álvaro González Soberón'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 16456, 'name': 'Enzo Pablo Roco Roco'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 27241, 'name': 'Víctor Guillermo Álvarez Delgado'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 5}, {'player': {'id': 6701, 'name': 'Joan Jordán Moreno'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 6867, 'name': 'Papa Kouly Diop'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 6838, 'name': 'Hernán Arsenio Pérez González'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 5719, 'name': 'Marco Asensio Willemsen'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 25}, {'player': {'id': 6624, 'name': 'Jorge Franco Alviz'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 7781, 'name': 'Felipe Salvador Caicedo Corozo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",Espanyol,214,00:00:00.000,Starting XI,,2015/2016
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,17fb2d3d-ae42-4d90-b072-87d22204ab82,2,,,266670,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4691, 'name': 'Claudio Andrés Bravo Muñoz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 6}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2015/2016
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,314de8d4-6c2b-4daf-92d0-ee33f98621c0,3,,,266670,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,['7d12d64d-d12e-472d-bd4b-98019ecd79b8'],0,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,7d12d64d-d12e-472d-bd4b-98019ecd79b8,4,,,266670,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,['314de8d4-6c2b-4daf-92d0-ee33f98621c0'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,d4272e25-f54c-4d88-88b9-b30cb0d9581d,1545,,,266670,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,86,Barcelona,217,['29ded5bf-45f7-4ee7-9629-1b087c2c0916'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,29ded5bf-45f7-4ee7-9629-1b087c2c0916,1546,,,266670,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,86,Barcelona,217,['d4272e25-f54c-4d88-88b9-b30cb0d9581d'],0,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,,1.029,,,,,,,,,,,,,,5ef4c04d-4295-4f5b-b41c-c5a488c74b46,5,,"[60.0, 40.0]",266670,0,,,,,-1.815775,,Left Foot,,,,"[59.6, 38.4]",Ground Pass,,1.6492423,,,Marco Asensio Willemsen,5719.0,,,,,,Kick Off,1,From Kick Off,Felipe Salvador Caicedo Corozo,7781.0,Center Forward,2,Espanyol,214,['0962c7be-18d3-48f3-9d61-8c7580db4704'],0,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.451,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.3307,,,,,,,,,,,,,,62cbb71c-e085-4756-bb10-d8d983b861fa,8,,"[57.9, 38.6]",266670,0,,,,,-3.0548544,,Left Foot,,,,"[48.7, 37.8]",Ground Pass,,9.234717,,,Joan Jordán Moreno,6701.0,,,,,,,1,From Kick Off,Marco Asensio Willemsen,5719.0,Center Attacking Midfield,2,Espanyol,214,['1f647e7a-9f6b-4d46-8010-3ca570f7f9f3'],1,,,,,,,,,,,,,,,,Espanyol,214,00:00:01.520,Pass,,2015/2016
,,,,,,,,,,,,,,,,2.0556,,,,,,,,,,,,,,9b4e306a-9af5-46af-85b4-da5e943ba8de,11,,"[51.8, 47.2]",266670,0,,,,,1.7846198,,Left Foot,,,,"[48.0, 64.7]",Ground Pass,,17.90782,,,Javier López Rodríguez,6791.0,,,,,,,1,From Kick Off,Joan Jordán Moreno,6701.0,Right Defensive Midfield,2,Espanyol,214,['79fa708b-bc6e-4e35-a2f1-7353a7a66e16'],4,,,,,,,,,,,,,,,,Espanyol,214,00:00:04.164,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.3911,,,,,,,,,,,,,,2ca00253-c926-43fc-9ea8-3d0663f8c808,14,,"[47.2, 66.3]",266670,0,,,,,0.5880026,,Right Foot,,,,"[64.0, 77.5]",Low Pass,,20.191088,,,Hernán Arsenio Pérez González,6838.0,,,,,,,1,From Kick Off,Javier López Rodríguez,6791.0,Right Back,2,Espanyol,214,['ee4a7a46-f8ef-485e-ae8c-5e2854346ebd'],6,,,,,,,,,,,,,,,,Espanyol,214,00:00:06.966,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.4835,,,,,,,,,,,,,,88952959-e683-45cf-a344-8fd0d8c9dcdc,19,,"[57.7, 60.0]",266670,0,,,,,-2.0732937,,Right Foot,,,,"[51.6, 48.9]",Ground Pass,,12.665702,,,Joan Jordán Moreno,6701.0,,,,,,,1,From Kick Off,Hernán Arsenio Pérez González,6838.0,Right Wing,2,Espanyol,214,"['1cbb4c9f-226e-4a01-9189-f40c0681fcd7', '4d1b26bd-a7a6-4916-86ce-f57fd6d9d63f']",11,,,,,,,,,,,,,,,,Espanyol,214,00:00:11.717,Pass,True,2015/2016
