50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.532765,,,,,,,,,,,,,,6a4143a4-705a-4066-a80e-b94f8d063af7,17,,,"[78.8, 80.0]",69213,0,,,,,-1.5295826,,,,,"[79.2, 70.3]",Low Pass,,9.708244,,,Sergio Busquets i Burgos,5203.0,,,,,Throw-in,1,From Throw In,Daniel Alves da Silva,4324.0,Right Back,3,Barcelona,217,['0e24b5a6-901b-4978-8e7f-d588fafb8c75'],24,,,,,,,,,,,,,,,,Barcelona,217,00:00:24.794,Pass,,2009/2010
,,,,,,,,,,,,,,,0.594439,,,,,,,,,,,,,,5365410c-63c0-44d2-a9f9-34acb02c9e5a,20,,,"[79.2, 70.3]",69213,0,,,,,1.8125492,,Right Foot,,,"[77.4, 77.6]",Low Pass,,7.5186434,,,Daniel Alves da Silva,4324.0,,,,,,1,From Throw In,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,3,Barcelona,217,['562bc5f7-af0e-48ac-ad70-edceb8365a88'],25,,,,,,,,,,,,,,,,Barcelona,217,00:00:25.362,Pass,,2009/2010
,,,,,,,,,,,,,,,1.701422,,,,,,,,,,,,,,84c89f9a-8e09-436f-bb3e-adf599f2a086,23,,,"[77.4, 77.6]",69213,0,,,,,-2.251098,,Right Foot,,,"[56.2, 51.4]",High Pass,,33.70282,,,Gabriel Alejandro Milito,25919.0,,,,,,1,From Throw In,Daniel Alves da Silva,4324.0,Right Back,3,Barcelona,217,['10af9386-1c2c-4ce6-99a8-8df6f3a8db9c'],26,,,,,,,,,,,,,,,,Barcelona,217,00:00:26.165,Pass,,2009/2010
,,,,,,,,,,,,,,,2.095295,,,,,,,,,,,,,,05908aaa-ff53-41b3-9373-b1972a29f3b1,26,,,"[59.3, 35.0]",69213,0,,,,,-0.4574107,,Left Foot,,,"[78.6, 25.5]",Ground Pass,,21.511393,Incomplete,,Gnégnéri Yaya Touré,3087.0,,,,,,1,From Throw In,Gabriel Alejandro Milito,25919.0,Left Center Back,3,Barcelona,217,"['5fc81c47-e81e-4ef5-9563-f9844ac7b1cc', '6769406e-3833-4935-b929-2247f068825f']",31,,,,,,,,,,,,,,,,Barcelona,217,00:00:31.142,Pass,,2009/2010
,,,,,,,,,,,,,,,1.019768,,,,,,,,,,,,,,5fc81c47-e81e-4ef5-9563-f9844ac7b1cc,28,,,"[42.4, 55.5]",69213,0,,,,,-2.6940727,,Right Foot,,,"[29.9, 49.5]",Ground Pass,,13.865424,,,Nicolás Martín Pareja,7909.0,,,,,Recovery,1,Regular Play,Juan Daniel Forlín,24744.0,Right Center Midfield,4,Espanyol,214,"['05908aaa-ff53-41b3-9373-b1972a29f3b1', 'c2bbdd3e-e69c-4531-a5d3-f5eee414e78d']",33,,,,,,,,,,,,,,,,Espanyol,214,00:00:33.237,Pass,,2009/2010
,,,,,,,,,,,,,,,1.630662,,,,,,,,,,,,,,ec9f205b-cf6a-4b86-bdec-98744bd9aae6,32,,,"[27.8, 47.8]",69213,0,,,,,0.49098456,,Right Foot,,,"[58.1, 64.0]",High Pass,,34.35884,Incomplete,,José María Callejón Bueno,7029.0,,,,,,1,Regular Play,Nicolás Martín Pareja,7909.0,Right Center Back,4,Espanyol,214,"['7b1d803f-8bdd-42bd-a22d-70ab47d7e0c4', 'a67c3fc3-e66a-4412-88af-fa6f7836510e', 'f7315ec2-d97f-497b-8af7-a95d5fd84708']",35,,,,,,,,,,,,,,,,Espanyol,214,00:00:35.416,Pass,True,2009/2010
,,,,,,,,,,,,,,,1.22488,,,,,,,,,,,,,,c526e52a-213f-49a3-8f2d-c3c486623e84,38,,,"[54.0, 60.5]",69213,0,,,,,1.9331435,,Right Foot,,,"[48.2, 75.8]",Ground Pass,,16.362457,,,Francisco Javier Chica Torres,26170.0,,,,,,1,Regular Play,Juan Daniel Forlín,24744.0,Right Center Midfield,4,Espanyol,214,['f426346a-8e52-4012-b892-434896a73d94'],39,,,,,,,,,,,,,,,,Espanyol,214,00:00:39.629,Pass,,2009/2010
,,,,,,,,,,,,,,,1.3985,,,,,,,,,,,,,,3ed6cd80-e9f6-4b0d-96db-e4a531f52c08,42,,,"[48.0, 74.8]",69213,0,,,,,-0.43662715,,Right Foot,,,"[52.5, 72.7]",Ground Pass,,4.9658837,,,José María Callejón Bueno,7029.0,,,,,,1,Regular Play,Francisco Javier Chica Torres,26170.0,Right Back,4,Espanyol,214,"['0e9855ca-fc6d-4fcd-819e-d62c074bbd61', 'a0856055-c3fd-4013-b609-e85d2fe37b8f']",41,,,,,,,,,,,,,,,,Espanyol,214,00:00:41.699,Pass,True,2009/2010
,,,,,,,,,,,,,,,0.706796,,,,,,,,,,,,,,d65911fa-b880-4dc3-9a88-73671ad37e42,45,,,"[61.7, 72.1]",69213,0,,,,,2.3458855,,Right Foot,,,"[56.9, 77.0]",Ground Pass,,6.8593,,,Francisco Javier Chica Torres,26170.0,,,,,,1,Regular Play,José María Callejón Bueno,7029.0,Right Wing,4,Espanyol,214,['cc6d9a8a-d4a3-4e3d-aa7e-7d3d2fe53214'],43,,,,,,,,,,,,,,,,Espanyol,214,00:00:43.829,Pass,,2009/2010
,,,,,,,,,,,,,,,1.5602,,,,,,,,,,,,,,d55a5be4-ce89-413b-ba79-6c509648d666,48,,,"[54.6, 77.7]",69213,0,,,,,0.07933107,,Right Foot,,,"[78.5, 79.6]",Low Pass,,23.975405,Out,,,,,,,,,1,Regular Play,Francisco Javier Chica Torres,26170.0,Right Back,4,Espanyol,214,,44,,,,,,,,,,,,,,,,Espanyol,214,00:00:44.822,Pass,,2009/2010
,,,,,,,,,,,,,,,1.7242,,,,,,,,,,,,,,3998f30e-cfc5-41ea-b229-85f8242cd0d0,49,,,"[40.0, 1.0]",69213,1,,,,,0.50762904,,,,,"[56.0, 9.9]",High Pass,,18.30874,Incomplete,,Lionel Andrés Messi Cuccittini,5503.0,,,,,Throw-in,1,From Throw In,Carles Puyol i Saforcada,20125.0,Left Back,5,Barcelona,217,"['3a34d602-c3ac-4b5a-9d44-5da4a8e45b7d', 'ca5b0a22-1f69-469e-9dfa-8d447dc5d6d0']",8,,,,,,,,,,,,,,,,Barcelona,217,00:01:08.574,Pass,,2009/2010
,,,,,,,,,,,,,,,1.033377,,,,,,,,,,,,,,465ee2f4-b679-47c9-b611-8719e28f7399,52,,,"[46.5, 24.3]",69213,1,,,,,-1.4765879,,Right Foot,,,"[47.7, 11.6]",Low Pass,,12.756567,,,Gnégnéri Yaya Touré,3087.0,,,,,Recovery,1,From Throw In,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,5,Barcelona,217,['5a3cc1fa-43b4-4e8c-a288-dcd64829b47d'],11,,,,,,,,,,,,,,,,Barcelona,217,00:01:11.010,Pass,,2009/2010
,,,,,,,,,,,,,,,0.545246,,,,,,,,,,,,,,bdd7596a-96dd-43be-b184-3e1a1d885389,56,,,"[46.9, 14.9]",69213,1,,,,,-2.5712094,,Right Foot,,,"[36.3, 8.1]",Ground Pass,,12.593649,,,Carles Puyol i Saforcada,20125.0,,,,,,1,From Throw In,Gnégnéri Yaya Touré,3087.0,Left Center Midfield,5,Barcelona,217,"['f1f6d404-f26f-438a-addd-4f1e8eee5683', 'f3188148-f569-4776-9917-82489064e777']",12,,,,,,,,,,,,,,,,Barcelona,217,00:01:12.467,Pass,True,2009/2010
,,,,,,,,,,,,,,,1.701236,,,,,,,,,,,,,,c55b8331-7aea-4106-99c6-b0c97f087256,61,,,"[43.1, 7.4]",69213,1,,True,,,-0.34180516,,Right Foot,,,"[53.5, 3.7]",Ground Pass,,11.0385685,,,Carles Puyol i Saforcada,20125.0,,,,,Free Kick,1,From Free Kick,Gnégnéri Yaya Touré,3087.0,Left Center Midfield,6,Barcelona,217,['b2b58140-402d-44b8-b0eb-adf01ed46725'],26,,,,,,,,,,,,,,,,Barcelona,217,00:01:26.584,Pass,,2009/2010
,,,,,,,,,,,,,,,1.112482,,,,,,,,,,,,,,a7e2c054-aca0-4ff0-9ee0-f67d83c9cf4a,64,,,"[47.3, 4.1]",69213,1,,,,,2.9135838,,Right Foot,,,"[29.2, 8.3]",Ground Pass,,18.580904,,,Gabriel Alejandro Milito,25919.0,,,,,,1,From Free Kick,Carles Puyol i Saforcada,20125.0,Left Back,6,Barcelona,217,['8e6041d4-f4a6-44f4-a03c-b3d52c14494a'],32,,,,,,,,,,,,,,,,Barcelona,217,00:01:32.722,Pass,,2009/2010
,,,,,,,,,,,,,,,2.273331,,,,,,,,,,,,,,ab95ec44-726d-46c3-9c82-4dfbaaa22a1f,68,,,"[30.1, 5.4]",69213,1,,,,,0.37515473,,Left Foot,,,"[75.3, 23.2]",High Pass,,48.578594,Incomplete,,,,,,,,,1,From Free Kick,Gabriel Alejandro Milito,25919.0,Left Center Back,6,Barcelona,217,['2194256b-0706-4c54-abb6-3fb79d0f2c1a'],34,,,,,,,,,,,,,,,,Barcelona,217,00:01:34.852,Pass,,2009/2010
,,,,,,,,,,,,,,,0.706103,,,,,,,,,,,,,,7e370344-411f-4e8e-a466-33a3e4f8acea,70,,,"[50.0, 30.7]",69213,1,,,,,2.5252957,,Head,,,"[40.4, 37.5]",High Pass,,11.764353,,,Gerard Piqué Bernabéu,5213.0,,,,,Recovery,1,From Free Kick,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,6,Barcelona,217,['e3bb70ee-11dd-4245-b68c-56b8ff58830c'],39,,,,,,,,,,,,,,,,Barcelona,217,00:01:39.484,Pass,,2009/2010
