50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.4125,,,,,,,,,,,,,e856abc0-0e9b-407a-a8da-a8dd1308043f,1535,,"[51.3, 32.5]",69292,42,,True,,,-1.8745308,,Right Foot,,,,"[49.2, 25.8]",,Ground Pass,,7.0213957,,,,Antonio López Guerrero,26118.0,,,,,,,1,From Kick Off,José Manuel Jurado Marín,6870.0,Center Attacking Midfield,90,Atlético Madrid,212,['e6789b08-d334-44d8-8f75-2b5b8d664877'],6,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:42:06.839,Pass,,2009/2010
,,,,,,,,,,,,,,,,0.852306,,,,,,,,,,,,,eb49ab0a-c12a-4d7d-81ee-727c7e197953,1537,,"[49.2, 25.8]",69292,42,,,,,1.1404697,,Left Foot,,,,"[52.0, 31.9]",,Ground Pass,,6.71193,,,,José Manuel Jurado Marín,6870.0,,,,,,,1,From Kick Off,Antonio López Guerrero,26118.0,Left Back,90,Atlético Madrid,212,['806433ec-4709-401f-846b-2962dacd3d82'],8,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:42:08.251,Pass,,2009/2010
,,,,,,,,,,,,,,,,0.280924,,,,,,,,,,,,,596d8417-b378-4e06-99e6-fc79f189e722,1540,,"[49.7, 37.1]",69292,42,,,,,1.8358392,,Right Foot,,,,"[47.8, 44.1]",,Ground Pass,,7.253275,,Incomplete,,Pablo Ibáñez Tébar,26117.0,,,,,,,1,From Kick Off,José Manuel Jurado Marín,6870.0,Center Attacking Midfield,90,Atlético Madrid,212,"['0937832a-8acf-440e-902a-0c84e168b9ff', 'e4e2df60-5fb9-49ff-878d-d35dcc4abe58']",11,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:42:11.248,Pass,,2009/2010
,,,,,,,,,,,,,,,,1.636529,,,,,,,,,,,,,eaa2b2b6-d59e-43e6-819f-6390a075b098,1545,,"[33.9, 63.2]",69292,42,,,,,0.5376402,,Right Foot,,,,"[60.4, 79.0]",,High Pass,,30.852715,,,,Luis Amaranto Perea Mosquera,26120.0,,,,,,,1,From Kick Off,Pablo Ibáñez Tébar,26117.0,Right Center Back,90,Atlético Madrid,212,['19465b2e-113d-429d-ac30-267f95208fde'],17,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:42:17.831,Pass,,2009/2010
,,,,,,,,,,,,,,,,1.1483,,,,,,,,,,,,,e59a3b11-b580-42ce-be7f-64f93ff5d6c0,1550,,"[56.6, 4.8]",69292,42,,,,,2.7437184,,Right Foot,,,,"[49.7, 7.7]",,Ground Pass,,7.484651,,,,Maxwell Scherrer Cabelino Andrade,26613.0,,,,,,Recovery,1,Regular Play,Seydou Kéita,20169.0,Left Center Midfield,91,Barcelona,217,['d5a0b7ec-c7c2-46f4-b6b4-9de920a62387'],20,,,,,,,,,,,,,,,,,Barcelona,217,00:42:20.792,Pass,,2009/2010
,,,,,,,,,,,,,,,,0.810675,,,,,,,,,,,,,c21cbc04-aef1-48e7-841d-5dbdee1716a2,1553,,"[50.1, 9.2]",69292,42,,,,,-1.5031033,,Right Foot,,,,"[50.5, 3.3]",,Ground Pass,,5.9135437,,,,Seydou Kéita,20169.0,,,,,,,1,Regular Play,Maxwell Scherrer Cabelino Andrade,26613.0,Left Back,91,Barcelona,217,['bb8a688c-970d-4c3f-a8ab-f4ea56c8ca78'],22,,,,,,,,,,,,,,,,,Barcelona,217,00:42:22.021,Pass,,2009/2010
,,,,,,,,,,,,,,,,0.920862,,,,,,,,,,,,,8337c784-3252-449c-a604-b8fd922f12c7,1557,,"[43.6, 3.9]",69292,42,,,,,1.4405849,,Right Foot,,,,"[44.7, 12.3]",,Ground Pass,,8.471718,,,,Maxwell Scherrer Cabelino Andrade,26613.0,,,,,,,1,Regular Play,Seydou Kéita,20169.0,Left Center Midfield,91,Barcelona,217,['8723db65-0f18-4f8b-9d99-7c140c276403'],24,,,,,,,,,,,,,,,,,Barcelona,217,00:42:24.115,Pass,,2009/2010
,,,,,,,,,,,,,,,,1.735927,,,,,,,,,,,,,13f4d80e-c26e-4cf2-a6f4-fef922e4f7e6,1560,,"[44.7, 12.3]",69292,42,,,,,2.9082537,,Right Foot,,,,"[22.4, 17.6]",,Ground Pass,,22.92117,,,,Dmytro Chygrynskiy,18608.0,,,,,,,1,Regular Play,Maxwell Scherrer Cabelino Andrade,26613.0,Left Back,91,Barcelona,217,['31bea9ef-f727-4e4c-9571-b9822dcde2e2'],25,,,,,,,,,,,,,,,,,Barcelona,217,00:42:25.075,Pass,,2009/2010
,,,,,,,,,,,,,,,,1.57044,,,,,,,,,,,,,01140390-c330-4c5e-b95c-b3bfcaf3dccb,1563,,"[34.6, 20.1]",69292,42,,,,,-0.010256051,,Right Foot,,,,"[54.1, 19.9]",,Ground Pass,,19.501026,,,,Xavier Hernández Creus,20131.0,,,,,,,1,Regular Play,Dmytro Chygrynskiy,18608.0,Left Center Back,91,Barcelona,217,['600b5f8f-149e-47a7-9c1b-6de68248fdc2'],28,,,,,,,,,,,,,,,,,Barcelona,217,00:42:28.865,Pass,,2009/2010
,,,,,,,,,,,,,,,,1.690792,,,,,,,,,,,,,3f545d74-9ea9-4b01-b71f-f885f36cff4c,1566,,"[63.8, 19.7]",69292,42,,,,,-0.8748143,,Right Foot,,,,"[77.0, 3.9]",,Ground Pass,,20.588346,,,,Thierry Henry,15516.0,,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Right Center Midfield,91,Barcelona,217,['9c0be4ce-1e14-4b7c-8a3f-959de8d0442a'],32,,,,,,,,,,,,,,,,,Barcelona,217,00:42:32.284,Pass,,2009/2010
