bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.849,,,,,,,,,,,,5fe00e91-8437-4d09-a65d-1dfaf6f7f73c,19,,"[54.0, 70.0]",9889,0,,,,0.24497867,,Right Foot,,,,"[62.0, 72.0]",,Ground Pass,,8.246211,,,,Daniel Wass,6797.0,,,,,,,1,From Free Kick,Facundo Sebastián Roncaglia,6830.0,Right Center Back,3,Celta Vigo,209,['99d8b01d-86b2-47c3-9318-3bf8973efe13'],23,,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:23.723,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.156,,,,,,,,,,,,fcb02059-488c-406c-9b15-c4ee71cadc3b,23,,"[60.0, 74.0]",9889,0,,,,-2.896614,,Right Foot,,,,"[44.0, 70.0]",,Ground Pass,,16.492422,,,,Facundo Sebastián Roncaglia,6830.0,,,,,,,1,From Free Kick,Daniel Wass,6797.0,Right Wing Back,3,Celta Vigo,209,"['9123c773-c15f-4c61-baf7-a6661d4950f2', 'd78e9919-c84a-4285-b32b-bee787d86e9c']",25,,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:25.181,Pass,True,2017/2018
,,,,,,,,,,,,,,,,2.07,,,,,,,,,,,,46694db8-c8b9-4863-9fa0-38177952a472,27,,"[45.0, 68.0]",9889,0,,,,-2.5748634,,Right Foot,,,,"[23.0, 54.0]",,Ground Pass,,26.076809,,,,Sergi Gómez Solà,6804.0,,,,,,,1,From Free Kick,Facundo Sebastián Roncaglia,6830.0,Right Center Back,3,Celta Vigo,209,"['317241e6-2f38-40ac-8915-a13cf48068ec', '942a4187-4829-4405-8417-e581f5dca0b7']",26,,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:26.974,Pass,True,2017/2018
,,,,,,,,,,,,,,,,1.092,,,,,,,,,,,,65db1ab5-2dd5-4fec-b91b-9f508a2dfcde,30,,"[26.0, 48.0]",9889,0,,,,1.0838971,,Right Foot,,,,"[35.0, 65.0]",,Ground Pass,,19.235384,,,,Facundo Sebastián Roncaglia,6830.0,,,,,,,1,From Free Kick,Sergi Gómez Solà,6804.0,Center Back,3,Celta Vigo,209,['6bf6171a-61a6-4d81-a492-98b0ae3ab684'],31,,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:31.942,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.724,,,,,,,,,,,,3f9c4e5d-0579-4781-ab3e-f0556355f66d,33,,"[54.0, 73.0]",9889,0,,,,0.022218565,,Right Foot,,,,"[99.0, 74.0]",,High Pass,,45.01111,,,,Daniel Wass,6797.0,,,,,,,1,From Free Kick,Facundo Sebastián Roncaglia,6830.0,Right Center Back,3,Celta Vigo,209,['3e2f3956-3ca4-4d84-8fc7-ea79691b7c73'],38,,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:38.149,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.39,,,,,,,,,,,,5a4a9931-2b1a-428d-a1bf-ebafac260632,41,,"[88.0, 73.0]",9889,0,,,,-0.6287963,,Right Foot,,,,"[99.0, 65.0]",,Ground Pass,,13.601471,,Incomplete,,Iago Aspas Juncal,5217.0,,,,,,,1,Regular Play,Daniel Wass,6797.0,Right Wing Back,4,Celta Vigo,209,"['05b78b2b-2ec6-4882-b7a1-cb5c12e26186', '3d91550f-9331-4831-9f1a-4426d131a034', '8d49a326-30c4-433a-b6a0-802743f1ddf1']",59,,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:59.903,Pass,True,2017/2018
,,,,,,,,,,,,,,,,2.426,,,,,,,,,,,,3d91550f-9331-4831-9f1a-4426d131a034,43,,"[22.0, 16.0]",9889,1,,,,0.28605145,,Left Foot,,,,"[56.0, 26.0]",,High Pass,,35.44009,,Incomplete,,,,,,,,,Recovery,1,Regular Play,Thomas Vermaelen,6332.0,Left Center Back,4,Celta Vigo,209,"['5a4a9931-2b1a-428d-a1bf-ebafac260632', 'c36a3b58-371c-4d74-89c8-315269e97bee']",1,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:01.293,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.171,,,,,,,,,,,,c36a3b58-371c-4d74-89c8-315269e97bee,44,,"[65.0, 55.0]",9889,1,,,,-0.6287963,,Head,,,,"[87.0, 39.0]",,High Pass,,27.202942,,Incomplete,,,,,,,,,Recovery,1,Regular Play,Jonathan Castro Otto,6802.0,Left Center Back,4,Celta Vigo,209,"['3d91550f-9331-4831-9f1a-4426d131a034', '8cc553d3-c29c-481d-9a52-de5ef880a3b0']",3,,,,,,,,,,,,,,,,,,Celta Vigo,209,00:01:03.719,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.194,,,,,,,,,,,,8cc553d3-c29c-481d-9a52-de5ef880a3b0,45,,"[34.0, 42.0]",9889,1,,,,-0.28605145,,Head,,,,"[51.0, 37.0]",,High Pass,,17.720045,,Incomplete,,,,,,,,,Recovery,1,Regular Play,José Paulo Bezzera Maciel Júnior,5542.0,Right Center Midfield,4,Celta Vigo,209,"['39d056f9-1d2f-48b3-9f6c-086326ad7f09', 'c36a3b58-371c-4d74-89c8-315269e97bee']",4,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:04.890,Pass,,2017/2018
,,,,,,,,,,,,,,,,0.872,,,,,,,,,,,,48a4a6c0-7e6e-45be-abd8-4963d8c7a8f7,48,,"[69.0, 42.0]",9889,1,,,,-1.012197,,Right Foot,,,,"[74.0, 34.0]",,Ground Pass,,9.433981,,,,Pione Sisto Ifolo Emirmija,5516.0,,,,,,,1,Regular Play,Stanislav Lobotka,6798.0,Center Defensive Midfield,4,Celta Vigo,209,['f35a5010-c1b1-49bc-960f-1d332fd95c93'],6,,,,,,,,,,,,,,,,,,Celta Vigo,209,00:01:06.696,Pass,,2017/2018
