50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.016213,,,,,,,,,,,,7814a87d-5406-499e-9c55-e146521c7715,2649,,"[13.7, 15.6]",3773552,55,,,,2.0739915,,Left Foot,,,,"[7.7, 26.5]",,Ground Pass,,12.442266,,,Clément Lenglet,6826.0,,,,,,,2,From Goal Kick,Jordi Alba Ramos,5211.0,Left Back,96,Barcelona,217,['31d14bd4-a326-4d7c-adb1-e5823d3f6df1'],47,,,,,,,,,,,,,,,,Barcelona,217,00:10:47.733,Pass,,2020/2021
,,,,,,,,,,,,,,,,1.890795,,,,,,,,,,,,29a48088-ea0a-48f0-bc9a-7095137ad9cb,2652,,"[14.7, 31.0]",3773552,55,,,,1.0485567,,Left Foot,,,,"[30.7, 58.8]",,High Pass,,32.075535,,,Frenkie de Jong,8118.0,,,,,,,2,From Goal Kick,Clément Lenglet,6826.0,Left Center Back,96,Barcelona,217,['a2e0666c-4d51-4428-a2bb-a6178d8c676a'],50,,,,,,,,,,,,,,,,Barcelona,217,00:10:50.790,Pass,,2020/2021
,,,,,,,,,,,,,,,,0.899641,,,,,,,,,,,,c26ac113-1f15-42fd-803b-cedbf9217a44,2655,,"[40.1, 59.1]",3773552,55,,,,-1.069783,,Right Foot,,,,"[44.7, 50.7]",,Ground Pass,,9.577056,,,Sergio Busquets i Burgos,5203.0,,,,,,,2,From Goal Kick,Frenkie de Jong,8118.0,Right Center Midfield,96,Barcelona,217,['624e62fa-4eb1-4004-91e9-a5d249312091'],57,,,,,,,,,,,,,,,,Barcelona,217,00:10:57.642,Pass,,2020/2021
,,,,,,,,,,,,,,,,1.706978,,,,,,,,,,,,81d7752f-6552-4e6b-8d70-f7dc09515ec4,2658,,"[50.2, 51.3]",3773552,56,,,,-1.6432084,,Right Foot,,,,"[48.8, 32.0]",,Ground Pass,,19.35071,,,Clément Lenglet,6826.0,,,,,,,2,From Goal Kick,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,96,Barcelona,217,['8fe675fd-d07d-4850-96a5-ec91ce2c5c9a'],1,,,,,,,,,,,,,,,,Barcelona,217,00:11:01.283,Pass,,2020/2021
,,,,,,,,,,,,,,,,3.245581,,,,,,,,,,,,b74193a9-f56b-4902-a3f3-1c5ede7523d7,2661,,"[56.1, 26.2]",3773552,56,,,,-0.03029376,51ea06ac-ac75-42ee-bc0c-337cde8120c9,Left Foot,,,,"[108.9, 24.6]",,High Pass,,52.824238,,,Ousmane Dembélé,5477.0,True,,,,,,2,From Goal Kick,Clément Lenglet,6826.0,Left Center Back,96,Barcelona,217,['fe761039-875a-4311-98e3-dd9f5ec189b9'],4,,,,,,,,,,,,,,,,Barcelona,217,00:11:04.314,Pass,,2020/2021
,,,,,,,,,,,,,,,,0.907482,,,,,,,,,,,,ecc75537-7fb6-497f-b7c1-68452bb9fe63,2666,,"[99.9, 0.1]",3773552,56,True,,,2.9475584,,,,,,"[77.0, 4.6]",,Low Pass,,23.337952,,,Clément Lenglet,6826.0,,,,,,Throw-in,2,From Throw In,Jordi Alba Ramos,5211.0,Left Back,97,Barcelona,217,['f99cd7f5-d323-4fe9-8750-307d2c255e36'],23,,,,,,,,,,,,,,,,Barcelona,217,00:11:23.631,Pass,,2020/2021
,,,,,,,,,,,,,,,,1.395309,,,,,,,,,,,,7d7417b8-17ff-4614-a602-a6f197f5d2f3,2668,,"[77.9, 4.6]",3773552,56,True,,,-0.22946267,,Right Foot,,,,"[91.6, 1.4]",,Ground Pass,,14.06876,,,Jordi Alba Ramos,5211.0,,,,,,,2,From Throw In,Clément Lenglet,6826.0,Left Center Back,97,Barcelona,217,['a7302c41-9f80-4634-8d6d-46d3ea76d04d'],24,,,,,,,,,,,,,,,,Barcelona,217,00:11:24.538,Pass,,2020/2021
,,,,,,,,,,,,,,,,2.137693,,,,,,,,,,,,607b479b-de09-4782-a5e4-67d87dc3c8c9,2670,,"[91.3, 1.4]",3773552,56,True,,,2.1486983,,Left Foot,,,,"[83.8, 12.9]",,Ground Pass,,13.72953,,,Sergio Busquets i Burgos,5203.0,,,,,,,2,From Throw In,Jordi Alba Ramos,5211.0,Left Back,97,Barcelona,217,['2060b696-172e-4ae4-b34b-5e3372fd4e17'],25,,,,,,,,,,,,,,,,Barcelona,217,00:11:25.933,Pass,,2020/2021
,,,,,,,,,,,,,,,,2.323073,,,,,,,,,,,,8c6af4fb-e81e-48c9-b460-0e9ccecb4a8d,2672,,"[82.8, 16.7]",3773552,56,,,,0.6374093,,Right Foot,,,,"[117.1, 42.1]",,High Pass,,42.680794,,Incomplete,Lionel Andrés Messi Cuccittini,5503.0,,,,Through Ball,True,,2,From Throw In,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,97,Barcelona,217,"['69c98585-8225-49c3-93a2-0e80ca042a94', 'cea5a821-d0fc-4b17-943c-f5fc17ae3967']",28,,,,,,,,,,,,,,,,Barcelona,217,00:11:28.672,Pass,,2020/2021
,,,,,,,,,,,,,,,,2.357477,,,,,,,,,,,,101a614c-5b23-4ba3-9f78-7af23d774a2b,2675,,"[9.6, 39.8]",3773552,56,True,,,0.045630403,,Keeper Arm,,,,"[31.5, 40.8]",,Low Pass,,21.92282,,Incomplete,,,,,,,,,2,Regular Play,Álvaro Fernández Llorente,25598.0,Goalkeeper,98,Huesca,902,['f718a0db-6b9a-47a7-86de-cdbf53c37723'],33,,,,,,,,,,,,,,,,Huesca,902,00:11:33.646,Pass,,2020/2021
,,,,,,,,,,,,,,,,0.993075,,,,,,,,,,,,6146f7b3-7f66-4061-9030-48079df0b6e6,2677,,"[20.6, 38.7]",3773552,56,,,,0.87427235,,Right Foot,,,,"[29.8, 49.7]",,Ground Pass,,14.340154,,,Mikel Rico Moreno,6656.0,,,,,,Recovery,2,Regular Play,Dimitrios Siovas,6603.0,Left Center Back,98,Huesca,902,['0971b7a7-43ef-4b87-a998-f903d1ebfcf3'],37,,,,,,,,,,,,,,,,Huesca,902,00:11:37.247,Pass,,2020/2021
,,,,,,,,,,,,,,,,0.760368,,,,,,,,,,,,cf4f913c-e57d-436b-bb16-443de185d2db,2682,,"[35.5, 47.8]",3773552,56,,,,-0.2220819,,Left Foot,,,,"[41.7, 46.4]",,Low Pass,,6.3560996,,Incomplete,Jaime Seoane Valenciano,30483.0,,,,,,,2,Regular Play,Mikel Rico Moreno,6656.0,Center Defensive Midfield,98,Huesca,902,"['4034a634-3d29-47cd-83bc-53c8d0762e38', 'a1e55edf-f1ef-4848-9f4a-bee33476f2fc', 'ac38ffc1-9019-4273-a0fa-07452a19b20d']",41,,,,,,,,,,,,,,,,Huesca,902,00:11:41.979,Pass,True,2020/2021
,,,,,,,,,,,,,,,,1.129351,,,,,,,,,,,,7216b1bf-70c1-49b5-bb34-f0e7cb2d085c,2685,,"[43.2, 58.0]",3773552,56,,,,1.466207,,Left Foot,,,,"[45.1, 76.1]",,Ground Pass,,18.199451,,,Sergio Gómez Martín,22199.0,,,,,,Recovery,2,Regular Play,Pedro Mosquera Parada,6733.0,Right Center Midfield,98,Huesca,902,['48e4786b-b496-48f3-8369-8adb449d3bfc'],44,,,,,,,,,,,,,,,,Huesca,902,00:11:44.518,Pass,,2020/2021
,,,,,,,,,,,,,,,,1.371743,,,,,,,,,,,,ee7b51c1-b7bc-4145-8fad-8f9a88cb20e5,2689,,"[43.8, 77.2]",3773552,56,,,,-2.6284165,,Left Foot,,,,"[25.7, 67.0]",,Ground Pass,,20.776188,,,Jorge Pulido Mayoral,11677.0,,,,,,,2,Regular Play,Sergio Gómez Martín,22199.0,Right Wing,98,Huesca,902,"['1df77072-6448-42cc-b93a-0478911a8461', '608bbf1d-17ac-4001-8dab-8938bb391a49']",46,,,,,,,,,,,,,,,,Huesca,902,00:11:46.232,Pass,True,2020/2021
,,,,,,,,,,,,,,,,0.845953,,,,,,,,,,,,79016cf3-609b-4b06-bc8a-9b2093c1cbf1,2692,,"[24.9, 64.3]",3773552,56,,,,-0.89770555,,Right Foot,,,,"[30.8, 56.9]",,Ground Pass,,9.464143,,,Pedro Mosquera Parada,6733.0,,,,,,,2,Regular Play,Jorge Pulido Mayoral,11677.0,Right Back,98,Huesca,902,['19c725ab-9301-47ca-baf2-6d5b99da2b7e'],50,,,,,,,,,,,,,,,,Huesca,902,00:11:50.467,Pass,,2020/2021
,,,,,,,,,,,,,,,,1.122592,,,,,,,,,,,,fb122ace-9a27-4195-9d0b-dd8fff0d38db,2695,,"[30.0, 53.9]",3773552,56,,,,-1.1457561,,Left Foot,,,,"[38.6, 34.9]",,Ground Pass,,20.855694,,,Mikel Rico Moreno,6656.0,,,,,,,2,Regular Play,Pedro Mosquera Parada,6733.0,Right Center Midfield,98,Huesca,902,['5d560d79-cf1a-406f-9550-4efe7a6ab33f'],52,,,,,,,,,,,,,,,,Huesca,902,00:11:52.141,Pass,,2020/2021
,,,,,,,,,,,,,,,,1.37732,,,,,,,,,,,,c38a67ef-3d64-497e-9f20-32645b9472f6,2699,,"[34.9, 33.3]",3773552,56,,,,2.6068122,,Right Foot,,,,"[19.2, 42.6]",,Ground Pass,,18.24774,,,Pablo Ínsua Blanco,21399.0,,,,,,,2,Regular Play,Mikel Rico Moreno,6656.0,Center Defensive Midfield,98,Huesca,902,['52d52953-9ffa-49fe-9a01-f80adcd99ce2'],54,,,,,,,,,,,,,,,,Huesca,902,00:11:54.125,Pass,,2020/2021
,,,,,,,,,,,,,,,,1.129953,,,,,,,,,,,,b95479c6-bfa2-4dfc-a5cc-6c88bce1872b,2702,,"[19.5, 39.4]",3773552,56,,,,-1.9063286,,Right Foot,,,,"[12.7, 19.9]",,Ground Pass,,20.651634,,,Dimitrios Siovas,6603.0,,,,,,,2,Regular Play,Pablo Ínsua Blanco,21399.0,Right Center Back,98,Huesca,902,['96e88877-b11b-4bc3-952e-5931c9f3da48'],55,,,,,,,,,,,,,,,,Huesca,902,00:11:55.922,Pass,,2020/2021
,,,,,,,,,,,,,,,,1.510963,,,,,,,,,,,,7977452e-4337-441c-be8c-4aa6e5aff932,2705,,"[12.7, 19.9]",3773552,56,,,,-0.81018645,,Left Foot,,,,"[30.4, 1.3]",,Ground Pass,,25.675863,,,Javier Galán Gil,23322.0,,,,,,,2,Regular Play,Dimitrios Siovas,6603.0,Left Center Back,98,Huesca,902,['e6caaa0d-6589-4617-a93a-3563f3fcee71'],57,,,,,,,,,,,,,,,,Huesca,902,00:11:57.971,Pass,,2020/2021
