50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,963da7f8-a500-46d0-94ee-8c016795f44a,200,,"[53.9, 19.9]",266838,4,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Andrés Iniesta Luján,5216.0,Right Center Midfield,10,Barcelona,217,"['78662ffd-6158-437a-b762-0c2779182655', '8a945e21-5f74-400e-bdf6-9e4e40f453d9']",27,,,,,,,,,,,,,,,,,Barcelona,217,00:04:27.485,Ball Receipt*,True,2014/2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3a76afa8-ac14-468c-95d7-917786084deb,203,,"[89.0, 14.7]",266838,4,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Pedro Eliezer Rodríguez Ledesma,3958.0,Right Wing,10,Barcelona,217,['56fb1816-5717-47e1-9d25-76dcbbadc250'],32,,,,,,,,,,,,,,,,,Barcelona,217,00:04:32.042,Ball Receipt*,,2014/2015
,,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373d1253-ec35-4006-ac50-b1963cbd5f06,206,,"[110.8, 37.6]",266838,4,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Neymar da Silva Santos Junior,4320.0,Left Wing,10,Barcelona,217,['005363f4-60ba-4aac-b749-b21443f010af'],35,,,,,,,,,,,,,,,,,Barcelona,217,00:04:35.153,Ball Receipt*,,2014/2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29425df6-ae03-4161-bf5e-6f12660fd8b7,213,,"[74.9, 61.7]",266838,4,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ivan Rakitić,5470.0,Left Center Midfield,10,Barcelona,217,['60dc5b25-7d10-4c02-ae47-5c7f3b2c2d39'],45,,,,,,,,,,,,,,,,,Barcelona,217,00:04:45.323,Ball Receipt*,,2014/2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fe0ca354-35d9-410b-9b0d-d118d58b13c9,216,,"[74.0, 38.4]",266838,4,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,10,Barcelona,217,['f3f741dd-498f-4f54-a05e-78aed6e51cd5'],50,,,,,,,,,,,,,,,,,Barcelona,217,00:04:50.435,Ball Receipt*,,2014/2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0c26aecb-5032-4600-b0b1-0480870fbbe0,219,,"[84.5, 36.3]",266838,4,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Andrés Iniesta Luján,5216.0,Right Center Midfield,10,Barcelona,217,['1dc01b11-0612-4a54-8359-8d7a18b72929'],51,,,,,,,,,,,,,,,,,Barcelona,217,00:04:51.909,Ball Receipt*,,2014/2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77a85487-7f39-4240-ae39-a4999772941b,223,,"[87.3, 54.0]",266838,4,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,10,Barcelona,217,['776dba3d-9fb7-4eb2-8368-cc749a788e35'],53,,,,,,,,,,,,,,,,,Barcelona,217,00:04:53.820,Ball Receipt*,,2014/2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4059645c-1c19-4100-9d8c-bd8e16f76acb,227,,"[112.1, 70.3]",266838,4,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Douglas Pereira dos Santos,27318.0,Right Back,10,Barcelona,217,['5118640c-e20c-4ad7-966e-039e177cbc0a'],57,,,,,,,,,,,,,,,,,Barcelona,217,00:04:57.725,Ball Receipt*,,2014/2015
,,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439e2dba-59a4-4573-a0f3-593bf0383a10,234,,"[29.9, 3.5]",266838,5,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Nordin Amrabat,3302.0,Center Forward,10,Barcelona,217,['5395620a-3ecc-4b24-ac33-e6a0b347348b'],2,,,,,,,,,,,,,,,,,Málaga,223,00:05:02.695,Ball Receipt*,,2014/2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fdfa9a44-ec17-4995-acfe-93d819cec943,236,,"[63.9, 71.2]",266838,5,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Gerard Piqué Bernabéu,5213.0,Right Center Back,11,Barcelona,217,['a8c27bcb-5061-4c45-a52d-f420f58c7e7a'],6,,,,,,,,,,,,,,,,,Barcelona,217,00:05:06.826,Ball Receipt*,,2014/2015
