50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,fa47cfc0-c654-4d08-866f-5224a1053a36,1567,,,"[113.6, 59.8]",69241,34,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Zlatan Ibrahimović,3672.0,Center Forward,61,Barcelona,217,['27e242a3-f000-4be0-89e7-c46073074bb4'],19,,,,,,,,,,,,,,,,,Barcelona,217,00:34:19.817,Dispossessed,True,2009/2010
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0251a134-522e-409c-a06d-261553b6cc0a,1974,,,"[94.0, 36.5]",69241,43,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,81,Barcelona,217,['4a2237d5-066b-4e19-9472-27cf49820b24'],49,,,,,,,,,,,,,,,,,Barcelona,217,00:43:49.472,Dispossessed,True,2009/2010
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9ea6a950-bd2a-4913-a2fd-00b946c95ab7,1983,,,"[98.9, 21.2]",69241,43,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,81,Barcelona,217,['354b5bd8-9047-4a18-9c0d-cf84535a0530'],56,,,,,,,,,,,,,,,,,Barcelona,217,00:43:56.211,Dispossessed,True,2009/2010
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,206cd0d0-c84a-4876-95e2-c8edfb25d365,2186,,,"[40.7, 13.5]",69241,47,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Maxwell Scherrer Cabelino Andrade,26613.0,Left Back,86,Barcelona,217,['d975b9aa-30e6-4c23-b411-1e5b60a3f15f'],3,,,,,,,,,,,,,,,,,Barcelona,217,00:02:03.308,Dispossessed,True,2009/2010
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a20b7d52-e6ff-4dd0-9251-af5c9bf95f2b,2236,,,"[109.3, 2.0]",69241,47,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,"Daniel Armand N""Gom Komé",26126.0,Center Forward,89,Tenerife,627,['23a37c66-cb6b-4a61-a19d-158aed5fae5b'],55,,,,,,,,,,,,,,,,,Tenerife,627,00:02:55.553,Dispossessed,True,2009/2010
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9db3f2ae-83b2-4c4c-b9aa-b453757fb4e1,2239,,,"[14.7, 76.9]",69241,47,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Daniel Alves da Silva,4324.0,Right Back,90,Barcelona,217,['434feb9f-e39d-4b56-8b49-b1a2394d9b03'],56,,,,,,,,,,,,,,,,,Barcelona,217,00:02:56.972,Dispossessed,True,2009/2010
,,,,,,,,,,,,,,,,,2.8837,,,,,,,,,,,,,87fa7db6-7e9c-44ce-90dd-08ddedf6ab85,2767,,,"[67.9, 29.2]",69241,61,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Seydou Kéita,20169.0,Left Center Midfield,136,Barcelona,217,"['7b8cdbf3-4e96-4ecd-89f6-1d3aaf52222f', 'c3b6bdaf-ef07-4a79-8eaa-3875302607fb']",49,,,,,,,,,,,,,,,,,Barcelona,217,00:16:49.613,Dispossessed,True,2009/2010
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d3565082-a07d-4adc-a597-0a20ac3e56ed,2837,,,"[81.4, 10.1]",69241,64,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,Lionel Andrés Messi Cuccittini,5503.0,Center Attacking Midfield,140,Barcelona,217,['f8b18b66-247e-44fe-b796-6f2441ad32e6'],27,,,,,,,,,,,,,,,,,Barcelona,217,00:19:27.665,Dispossessed,True,2009/2010
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,08635698-cea0-4955-89a9-6aa4ac97d290,3282,,,"[90.8, 28.3]",69241,75,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Mikel Alonso Olano,26629.0,Right Center Midfield,166,Tenerife,627,['008159c9-1674-4932-a805-30329568a9ea'],27,,,,,,,,,,,,,,,,,Tenerife,627,00:30:27.013,Dispossessed,True,2009/2010
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f7e2aa20-8309-4091-a7ed-cafb0cdf2973,3346,,,"[107.4, 75.1]",69241,77,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Juan Luis Hens Lorite,26632.0,Right Wing,171,Tenerife,627,['947a57e2-1669-436e-8364-20ee5b294084'],54,,,,,,,,,,,,,,,,,Tenerife,627,00:32:54.761,Dispossessed,True,2009/2010
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,20805869-9861-41da-85ec-833765815422,3418,,,"[79.8, 62.6]",69241,80,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Pedro Eliezer Rodríguez Ledesma,3958.0,Right Wing,176,Barcelona,217,['c121574d-fdb0-459e-acdf-93bcc54fb792'],34,,,,,,,,,,,,,,,,,Barcelona,217,00:35:34.587,Dispossessed,True,2009/2010
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,421f3bef-38af-4a2c-841c-1fdc1ea091bc,3779,,,"[91.6, 77.9]",69241,89,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,189,Barcelona,217,['8930a691-3626-4ca8-bb5f-855bbdd890fe'],8,,,,,,,,,,,,,,,,,Barcelona,217,00:44:08.458,Dispossessed,True,2009/2010
,,,,,,,,,,,,,,,,,2.7703,,,,,,,,,,,,,ff3887a6-8117-41a2-b16f-cfbf1403e4e2,3852,,,"[34.2, 51.6]",69241,91,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Juan Luis Hens Lorite,26632.0,Right Wing,193,Barcelona,217,['4842bd21-136c-4bd8-affc-a1b90e007610'],0,,,,,,,,,,,,,,,,,Tenerife,627,00:46:00.191,Dispossessed,True,2009/2010
,,,,,,,,,,,,,,,Lost Out,Tackle,0.0,,,,,,,,,,,,,2f27ea40-c0c5-469e-ad51-b3c1945a6d22,34,,,"[35.8, 58.8]",69241,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Manuel Martínez Lara,26688.0,Center Defensive Midfield,3,Barcelona,217,['22b05d5c-b860-41a7-aa04-2fdab754ee79'],21,,,,,,,,,,,,,,,,,Tenerife,627,00:00:21.925,Duel,True,2009/2010
,,,,,,,,,,,,True,,,Won,Tackle,0.0,,,,,,,,,,,,,49f8efe0-8fd3-43ac-8d84-c27718920ec3,144,,,"[74.9, 24.9]",69241,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Seydou Kéita,20169.0,Right Center Midfield,6,Barcelona,217,['5bc43089-00b2-447b-930a-5747736aa568'],15,,,,,,,,,,,,,,,,,Barcelona,217,00:02:15.507,Duel,True,2009/2010
,,,,,,,,,,,,True,,,Success In Play,Tackle,0.0,,,,,,,,,,,,,1b491080-7211-4838-9f4f-f12eb55143e5,161,,,"[71.3, 55.8]",69241,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,6,Barcelona,217,['311dbb5e-1697-4916-a702-72e736cee547'],24,,,,,,,,,,,,,,,,,Barcelona,217,00:02:24.127,Duel,True,2009/2010
,,,,,,,,,,,,,,,Lost In Play,Tackle,0.0,,,,,,,,,,,,,d74b4693-00f3-45cd-b358-28fed5734b65,228,,,"[13.3, 27.1]",69241,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Alejandro Alfaro Ligero,24191.0,Left Wing,7,Barcelona,217,['f849c85b-d40d-4e60-ab2e-efa66b3aec9c'],34,,,,,,,,,,,,,,,,,Tenerife,627,00:03:34.723,Duel,True,2009/2010
,,,,,,,,,,,,,,,Lost In Play,Tackle,0.0,,,,,,,,,,,,,e3d543c3-dcd7-4dfc-887f-ee947f91d549,442,,,"[23.4, 75.6]",69241,7,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,11,Tenerife,627,['c8b0f385-833d-4691-9fed-ab664e27cf8b'],21,,,,,,,,,,,,,,,,,Barcelona,217,00:07:21.995,Duel,True,2009/2010
,,,,,,,,,,,,True,,,Won,Tackle,0.0,,,,,,,,,,,,,0e358e54-ecdf-4993-9c78-61e90a41711b,634,,,"[96.4, 64.5]",69241,11,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,18,Barcelona,217,['01096a6a-74e2-4f71-8804-b5972d26051a'],56,,,,,,,,,,,,,,,,,Barcelona,217,00:11:56.340,Duel,True,2009/2010
,,,,,,,,,,,,,,,,Aerial Lost,0.0,,,,,,,,,,,,,e41c39a9-832b-4455-96ea-393869ee23b4,714,,,"[88.3, 60.1]",69241,14,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,"Daniel Armand N""Gom Komé",26126.0,Center Forward,24,Tenerife,627,['75325104-0b6d-431d-a39f-311dd71c5940'],22,,,,,,,,,,,,,,,,,Tenerife,627,00:14:22.415,Duel,True,2009/2010
,,,,,,,,,,,,,,,,Aerial Lost,0.0,,,,,,,,,,,,,9908ea10-fae2-4c0d-883b-7e245159e9e9,808,,,"[7.8, 45.1]",69241,16,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Jose Antonio Culebras Arenas,25888.0,Right Back,26,Barcelona,217,['3c22df50-a0d9-49d4-9fb3-73f3be32bc44'],12,,,,,,,,,,,,,,,,,Tenerife,627,00:16:12.084,Duel,True,2009/2010
,,,,,,,,,,,,,,,Won,Tackle,0.0,,,,,,,,,,,,,b821e54f-cbac-4f29-9f02-a48c652f24ba,841,,,"[46.3, 63.0]",69241,17,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Juan Luis Hens Lorite,26632.0,Right Wing,28,Barcelona,217,['04f540da-8d96-416d-899d-5a13b7a9a4de'],41,,,,,,,,,,,,,,,,,Tenerife,627,00:17:41.823,Duel,True,2009/2010
,,,,,,,,,,,,,,,Success In Play,Tackle,0.0,,,,,,,,,,,,,4645b6c8-84ff-4675-ac06-05e2a682f8ee,857,,,"[54.5, 66.4]",69241,17,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Manuel Martínez Lara,26688.0,Center Defensive Midfield,28,Barcelona,217,['8939d30f-d091-4f22-a1aa-f91349437838'],54,,,,,,,,,,,,,,,,,Tenerife,627,00:17:54.157,Duel,True,2009/2010
,,,,,,,,,,,,True,,,Lost Out,Tackle,0.0,,,,,,,,,,,,,daa5f387-77d2-4a78-98fc-8988aae85194,862,,,"[73.2, 4.1]",69241,17,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Gnégnéri Yaya Touré,3087.0,Center Defensive Midfield,28,Barcelona,217,['85bb1eb6-ef60-4af4-b2d9-1fc21a796574'],56,,,,,,,,,,,,,,,,,Barcelona,217,00:17:56.422,Duel,True,2009/2010
,,,,,,,,,,,,,,,Lost Out,Tackle,0.0,,,,,,,,,,,,,1b2aa92f-f214-4cc1-9595-8724b12ee2b2,949,,,"[23.6, 76.4]",69241,19,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Jose Antonio Culebras Arenas,25888.0,Right Back,33,Barcelona,217,['56deafd3-e7a5-408e-a1e7-04045b4cc8f2'],59,,,,,,,,,,,,,,,,,Tenerife,627,00:19:59.853,Duel,True,2009/2010
,,,,,,,,,,,,,,,,Aerial Lost,0.0,,,,,,,,,,,,,e0bd6fde-1f69-4598-9df1-c2b38cba5c54,1014,,,"[74.5, 61.1]",69241,21,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Manuel Martínez Lara,26688.0,Center Defensive Midfield,37,Tenerife,627,['d7c6ee60-f7d0-496f-bb73-6e30993d318e'],21,,,,,,,,,,,,,,,,,Tenerife,627,00:21:21.611,Duel,True,2009/2010
,,,,,,,,,,,,True,,,,Aerial Lost,0.0,,,,,,,,,,,,,a23dc11d-2121-456a-a536-bbee5f85c107,1019,,,"[65.0, 64.3]",69241,21,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Pablo Sicilia Roig,26630.0,Right Center Back,38,Barcelona,217,['f9b4ab55-404a-43ed-a86c-ff7d3c39979c'],23,,,,,,,,,,,,,,,,,Tenerife,627,00:21:23.663,Duel,True,2009/2010
,,,,,,,,,,,,,,,,Aerial Lost,0.0,,,,,,,,,,,,,89af577d-467a-49f3-9663-ec8ede1c6b0c,1021,,,"[55.8, 23.7]",69241,21,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Gnégnéri Yaya Touré,3087.0,Center Defensive Midfield,38,Barcelona,217,['6a7213a0-eb13-4e60-b0b5-1cce022a42ba'],25,,,,,,,,,,,,,,,,,Barcelona,217,00:21:25.763,Duel,True,2009/2010
,,,,,,,,,,,,,,,Success In Play,Tackle,0.0,,,,,,,,,,,,,9c28e7aa-b681-45e2-a435-05a01f27d75a,1047,,,"[41.0, 45.1]",69241,21,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Mikel Alonso Olano,26629.0,Left Center Midfield,38,Barcelona,217,['b30b7f73-626b-449f-a649-6a1a9805c44d'],52,,,,,,,,,,,,,,,,,Tenerife,627,00:21:52.376,Duel,True,2009/2010
,,,,,,,,,,,,True,,,Success In Play,Tackle,0.0,,,,,,,,,,,,,55e5af3e-a95c-404e-bf86-6a2c92c24af1,1051,,,"[64.0, 65.3]",69241,21,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,38,Barcelona,217,['c36c1d2c-bd57-49c3-8cfd-f9ba4c161b33'],55,,,,,,,,,,,,,,,,,Barcelona,217,00:21:55.169,Duel,True,2009/2010
,,,,,,,,,,,,,,,Success In Play,Tackle,0.0,,,,,,,,,,,,,aa17fc18-c8fe-406a-b189-9d2c96aac3f1,1157,,,"[37.3, 66.6]",69241,25,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,45,Tenerife,627,['027c8424-2f95-4765-a6dc-c5997caf9104'],4,,,,,,,,,,,,,,,,,Barcelona,217,00:25:04.041,Duel,True,2009/2010
,,,,,,,,,,,,,,,Won,Tackle,0.0,,,,,,,,,,,,,1017247e-b575-48ce-a206-f6d1a1e9be8e,1198,,,"[23.6, 62.2]",69241,25,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Mikel Alonso Olano,26629.0,Left Center Midfield,47,Tenerife,627,['1a04d9fe-362c-4890-9f96-683d739c22a1'],40,,,,,,,,,,,,,,,,,Tenerife,627,00:25:40.940,Duel,True,2009/2010
,,,,,,,,,,,,,,,,Aerial Lost,0.0,,,,,,,,,,,,,94f483b7-54ad-48ee-abab-b03d7d8630c2,1336,,,"[58.5, 36.3]",69241,28,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,"Daniel Armand N""Gom Komé",26126.0,Center Forward,51,Barcelona,217,"['41f6d511-1cfb-472d-a867-9c411e2b9330', 'd570ad61-bf15-4cd4-9ef9-fc080bd85764']",13,,,,,,,,,,,,,,,,,Tenerife,627,00:28:13.520,Duel,True,2009/2010
,,,,,,,,,,,,True,,,Success In Play,Tackle,0.0,,,,,,,,,,,,,27e242a3-f000-4be0-89e7-c46073074bb4,1568,,,"[7.4, 21.2]",69241,34,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Héctor Sánchez Cabrera,26687.0,Left Back,62,Tenerife,627,['fa47cfc0-c654-4d08-866f-5224a1053a36'],19,,,,,,,,,,,,,,,,,Tenerife,627,00:34:19.817,Duel,True,2009/2010
