bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e0a00800-7378-457f-96dd-3c4cf1c62b02,1,,,,267561,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Rayo Vallecano,360,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 26070, 'name': 'Antonio Rodríguez Martínez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 25}, {'player': {'id': 6914, 'name': 'Roberto Román Triguero'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 11536, 'name': 'Abdoulaye Ba'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 27396, 'name': 'Jorge García Morcillo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 12626, 'name': 'Emiliano Adrián Insúa Zapata'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 14}, {'player': {'id': 26607, 'name': 'José Raúl Baena Urdiales'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 26848, 'name': 'Roberto Trashorras Gayoso'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 10851, 'name': 'Luis Carlos Pereira Carneiro'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 22}, {'player': {'id': 6879, 'name': 'Alberto Bueno Calvo'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 3130, 'name': 'Gaël Kakuta'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 12}, {'player': {'id': 6761, 'name': 'Leonardo Carrilho Baptistão'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Rayo Vallecano,360,00:00:00.000,Starting XI,,2014/2015
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,fca1420a-f049-49ea-9c3b-d61ed1bf1d32,2,,,,267561,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Rayo Vallecano,360,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4691, 'name': 'Claudio Andrés Bravo Muñoz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 7068, 'name': 'Marc Bartra Aregall'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 10609, 'name': 'Jérémy Mathieu'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 6616, 'name': 'Munir El Haddadi Mohamed'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 31}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2014/2015
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b8c61d67-554f-4f9a-aa02-4cda376af708,3,,,,267561,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Rayo Vallecano,360,['06c4f2cf-908d-490f-9281-a1d2dbdaeaac'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,06c4f2cf-908d-490f-9281-a1d2dbdaeaac,4,,,,267561,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Rayo Vallecano,360,['b8c61d67-554f-4f9a-aa02-4cda376af708'],0,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d771207a-0508-414a-9d96-aa8f500c9359,1697,,,,267561,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,105,Barcelona,217,['6a6a0bc8-fcbf-4cb7-8d7b-63260f875b96'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6a6a0bc8-fcbf-4cb7-8d7b-63260f875b96,1698,,,,267561,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,105,Barcelona,217,['d771207a-0508-414a-9d96-aa8f500c9359'],0,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,0.603436,,,,,,,,,,,,,5b6d3d5a-52d6-4167-a3e3-2cfe32362925,5,,,"[61.0, 41.0]",267561,0,,,,,1.5019399,,Right Foot,,,"[61.4, 46.8]",,Ground Pass,,5.813777,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,Kick Off,1,From Kick Off,Neymar da Silva Santos Junior,4320.0,Left Wing,2,Barcelona,217,['6f396e51-26f0-484e-ab39-e6bec3e7ced7'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.720,Pass,,2014/2015
,,,,,,,,,,,,,,,,1.814331,,,,,,,,,,,,,343e118c-8ecc-4eb5-ad47-735db82347e2,8,,,"[61.4, 45.7]",267561,0,,,,,2.9723415,,Right Foot,,,"[45.6, 48.4]",,Ground Pass,,16.029036,,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,2,Barcelona,217,['4ac45e0f-eaf4-4f9e-abf1-6c8f89a6ac6b'],1,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.411,Pass,,2014/2015
,,,,,,,,,,,,,,,,0.705589,,,,,,,,,,,,,13d91c95-c968-4aa1-86b6-fd8a2099a063,12,,,"[41.4, 56.1]",267561,0,,,,,1.8005828,,Right Foot,,,"[37.4, 73.2]",,Ground Pass,,17.561605,,,,Daniel Alves da Silva,4324.0,,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,"['22e85665-b204-47c7-b503-79741f17b18c', '35773e23-3d49-4bda-9dbc-5eda47b91f00']",3,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.885,Pass,True,2014/2015
,,,,,,,,,,,,,,,,1.300274,,,,,,,,,,,,,434a391b-de7a-4b68-ba44-ec62bc6613c0,15,,,"[37.7, 70.1]",267561,0,,,,,-0.5585993,,Right Foot,,,"[44.1, 66.1]",,Ground Pass,,7.547185,,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,From Kick Off,Daniel Alves da Silva,4324.0,Right Back,2,Barcelona,217,['1ad7d9e4-31f3-4a15-8cf9-36e0aec91c1a'],5,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:05.107,Pass,,2014/2015
,,,,,,,,,,,,,,,,0.525816,,,,,,,,,,,,,b58d17b3-0ba4-48f1-b6da-b896785cbbd9,19,,,"[44.9, 62.5]",267561,0,,,,,0.90027475,,Right Foot,,,"[51.8, 71.2]",,Ground Pass,,11.1040535,,,,Xavier Hernández Creus,20131.0,,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['c7b2772f-1d98-4295-9c4b-181e742a7f2d'],6,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:06.447,Pass,,2014/2015
,,,,,,,,,,,,,,,,3.984449,,,,,,,,,,,,,6cf93166-0b8b-4b60-86cf-aff94e4619a6,22,,,"[51.1, 73.2]",267561,0,,,,,-0.3092199,,Right Foot,,,"[111.2, 54.0]",,High Pass,,63.092392,,Incomplete,,Munir El Haddadi Mohamed,6616.0,,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Right Center Midfield,2,Barcelona,217,"['1bfe69de-79cc-4870-9688-b46789be2b44', 'ad4f6b07-78dc-4763-8193-aca76f2fb8d0']",8,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:08.162,Pass,,2014/2015
,,,,,,,,,,,,,,,,0.941459,,,,,,,,,,,,,28b2b360-abdf-486f-8da9-4aad4a3e17a3,26,,,"[15.0, 28.0]",267561,0,,,,,1.19029,,Keeper Arm,,,"[17.8, 35.0]",,Ground Pass,,7.539231,,,,José Raúl Baena Urdiales,26607.0,,,,,,,1,Regular Play,Antonio Rodríguez Martínez,26070.0,Goalkeeper,3,Rayo Vallecano,360,['81a414dc-0436-44b7-95c1-f0de2624b2c5'],15,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:15.861,Pass,,2014/2015
,,,,,,,,,,,,,,,,1.091733,,,,,,,,,,,,,0ba942a8-70ed-4a59-934f-1a8311574837,29,,,"[16.2, 30.5]",267561,0,,,,,-1.5019399,,Right Foot,,,"[17.2, 16.0]",,Ground Pass,,14.534442,,,,Jorge García Morcillo,27396.0,,,,,,,1,Regular Play,José Raúl Baena Urdiales,26607.0,Right Center Midfield,3,Rayo Vallecano,360,['842b4f5b-0231-430d-b3c6-d5c088654caa'],17,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:17.849,Pass,,2014/2015
,,,,,,,,,,,,,,,,1.170131,,,,,,,,,,,,,2982a602-a46b-4e3e-b61d-34ac7ddf2267,32,,,"[17.2, 16.0]",267561,0,,,,,1.8743671,,Left Foot,,,"[14.6, 24.3]",,Ground Pass,,8.6977005,,,,José Raúl Baena Urdiales,26607.0,,,,,,,1,Regular Play,Jorge García Morcillo,27396.0,Left Center Back,3,Rayo Vallecano,360,['921808c5-37d0-46c5-89ef-929f2e48f3b4'],19,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:19.463,Pass,,2014/2015
,,,,,,,,,,,,,,,,2.2067,,,,,,,,,,,,,65c7ca5d-14f5-4d92-a6f2-feae32bb2989,35,,,"[14.2, 19.3]",267561,0,,,,,-0.41012734,,Left Foot,,,"[53.3, 2.3]",,High Pass,,42.635784,,,,Gaël Kakuta,3130.0,,,,,,,1,Regular Play,José Raúl Baena Urdiales,26607.0,Right Center Midfield,3,Rayo Vallecano,360,['1114bf3b-cc30-4bbd-acb4-25a15db4f12e'],21,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:21.674,Pass,,2014/2015
