ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,56d8078b-5b95-4c09-8962-a535ec597bd0,1,,,69171,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sevilla,213,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 25946, 'name': 'Andrés Palop Cervera'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 26482, 'name': 'Aquivaldo Mosquera Romaña'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 26481, 'name': 'Sébastien Squillaci'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 26018, 'name': 'Julien Escudé'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 6913, 'name': 'Fernando Navarro i Corbacho'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 6349, 'name': 'Federico Julián Fazio'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 25954, 'name': 'Enzo Maresca'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 26483, 'name': 'Tom De Mul'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 20}, {'player': {'id': 25960, 'name': 'Frédéric Oumar Kanouté'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 12}, {'player': {'id': 22102, 'name': 'Adriano Correia Claro'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 6}, {'player': {'id': 25943, 'name': 'Luís Fabiano Clemente'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Sevilla,213,00:00:00.000,Starting XI,,2008/2009
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3dddb7c2-d434-495f-85dd-2d6ca40a7c7b,2,,,69171,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sevilla,213,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5558, 'name': 'Rafael Márquez Álvarez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 5}, {'player': {'id': 3087, 'name': 'Gnégnéri Yaya Touré'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 20169, 'name': 'Seydou Kéita'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 15516, 'name': 'Thierry Henry'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 19298, 'name': ""Samuel Eto''o Fils""}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2008/2009
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9f6987c6-5dfa-4b05-9be0-8cd05c50999c,3,,,69171,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sevilla,213,['8155ac6e-a8e4-4d82-91a9-2f8c0019aa1b'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2008/2009
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8155ac6e-a8e4-4d82-91a9-2f8c0019aa1b,4,,,69171,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sevilla,213,['9f6987c6-5dfa-4b05-9be0-8cd05c50999c'],0,,,,,,,,,,,,,,,,,,Sevilla,213,00:00:00.000,Half Start,,2008/2009
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7a45a671-8379-41a8-9ded-d75aca24164f,1807,,,69171,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,104,Sevilla,213,['6d818a51-45fa-4148-817d-cc5390357689'],0,,,,,,,,,,,,,,,,,,Sevilla,213,00:00:00.000,Half Start,,2008/2009
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6d818a51-45fa-4148-817d-cc5390357689,1808,,,69171,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,104,Sevilla,213,['7a45a671-8379-41a8-9ded-d75aca24164f'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2008/2009
,,,,,,,,,,,,,,,0.3927,,,,,,,,,,,,,a9fa9ca4-08ec-4083-8d03-124d1bd50a25,5,,"[60.0, 40.0]",69171,0,True,,,1.94013,,Left Foot,,,,"[58.8, 43.1]",,Ground Pass,,3.3241541,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,Kick Off,1,From Kick Off,Samuel Eto''o Fils,19298.0,Center Forward,2,Barcelona,217,['a6e29605-3661-4bd3-996e-d05b7210bd1e'],1,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.132,Pass,,2008/2009
,,,,,,,,,,,,,,,1.1012,,,,,,,,,,,,,728489c4-720a-4acc-a775-49b9e80a909f,7,,"[58.8, 43.1]",69171,0,True,,,-2.7839293,,Right Foot,,,,"[48.9, 39.4]",,Ground Pass,,10.568822,,,,Gnégnéri Yaya Touré,3087.0,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,2,Barcelona,217,['8b7e7007-fdc6-4218-81a7-3fceed58cb1f'],1,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.666,Pass,,2008/2009
,,,,,,,,,,,,,,,1.14606,,,,,,,,,,,,,7bd54481-e3af-47fc-bd94-c8bda2737753,11,,"[46.1, 40.6]",69171,0,,,,2.8939114,,Right Foot,,,,"[28.7, 45.0]",,Ground Pass,,17.947702,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Gnégnéri Yaya Touré,3087.0,Center Defensive Midfield,2,Barcelona,217,"['ba99c69e-0dd4-4baa-8cab-b7d40d7727e4', 'c3415783-f3b8-40a8-8e89-b73ea74b9fe4']",3,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.539,Pass,True,2008/2009
,,,,,,,,,,,,,,,1.08358,,,,,,,,,,,,,aaa76d7f-09bc-4feb-9d03-546e05259803,14,,"[27.9, 45.4]",69171,0,,,,-1.6367797,,Right Foot,,,,"[26.4, 22.7]",,Ground Pass,,22.749506,,,,Rafael Márquez Álvarez,5558.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['e8954d62-e64e-4189-a770-8e18d340b221'],5,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:05.007,Pass,,2008/2009
