bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,2.269951,,,,,,,,,,,,,,,7224ec87-d672-4eac-96cd-e514b58ba26f,19,,"[22.4, 59.7]",267212,0,,,,,-2.285543,,Right Foot,,,"[7.3, 42.3]",,Ground Pass,,23.038446,,,,Marc-André ter Stegen,20055.0,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Right Center Back,2,Barcelona,217,['8c17564b-8a3d-40dc-ae9c-7191456c3bde'],16,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:16.863,Pass,,2016/2017
,,,,,,,,,,,,,,,,,2.630593,,,,,,,,,,,,,,,c9436633-a31a-41cb-9292-7a50a5c0b369,23,,"[7.1, 41.9]",267212,0,,,,,-0.83069295,,Right Foot,,,"[40.8, 5.0]",,High Pass,,49.972992,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Marc-André ter Stegen,20055.0,Goalkeeper,2,Barcelona,217,"['7c765be0-139c-4a17-b553-03552ff9e78c', 'a89c4d2c-0cf8-4a2e-9fb7-dc7e1bd56726']",19,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:19.919,Pass,True,2016/2017
,,,,,,,,,,,,,,,,,2.25,,,,,,,,,,,,,,,9ea40280-0aac-4749-b94e-514e22b866e1,26,,"[40.8, 5.0]",267212,0,,,,,2.5299957,,Right Foot,,,"[25.4, 15.8]",,High Pass,,18.809572,,,,Samuel Yves Umtiti,5492.0,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Wing Back,2,Barcelona,217,['50b9a490-7555-4e1b-8859-146799dcd712'],22,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:22.590,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.1598,,,,,,,,,,,,,,,033e5803-54ab-4714-8bcc-684bd34b30f8,29,,"[26.6, 16.2]",267212,0,,,,,0.100781,,Head,,,"[35.5, 17.1]",,High Pass,,8.94539,,Incomplete,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Samuel Yves Umtiti,5492.0,Left Center Back,2,Barcelona,217,"['19cd1ca0-9b1c-4aec-867e-77ce19a05622', '25f16d80-ba21-4945-850a-2072632500ab']",24,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:24.840,Pass,,2016/2017
,,,,,,,,,,,,,,,,,4.1671,,,,,,,,,,,,,,,19cd1ca0-9b1c-4aec-867e-77ce19a05622,31,,"[84.6, 63.0]",267212,0,,,,,0.31998998,,Right Foot,,,"[118.7, 74.3]",,Low Pass,,35.92353,,,,Mamadou Koné,26553.0,,,,,Recovery,1,From Kick Off,Víctor David Díaz Miguel,24133.0,Right Back,2,Barcelona,217,"['033e5803-54ab-4714-8bcc-684bd34b30f8', 'c6517a19-d78a-42c3-a843-ed04015d53e6']",26,,,,,,,,,,,,,,,,,,Leganés,205,00:00:26.000,Pass,,2016/2017
,,,,,,,,,,,,,,,,,5.207414,,,,,,,,,,,,,,,a7ca349a-1bf2-4b0e-bc2c-c4e806bddc22,35,,"[118.7, 70.6]",267212,0,,,,,-1.9968048,,Right Foot,True,,"[96.6, 21.9]",,High Pass,,53.479904,,Incomplete,,,,,True,,,,1,From Kick Off,Mamadou Koné,26553.0,Right Wing,2,Barcelona,217,['b96e7577-6468-478b-807e-3bb57f6cd5d1'],30,,,,,,,,,,,,,,,,,,Leganés,205,00:00:30.491,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.299846,,,,,,,,,,,,,,,fabb86b2-e12a-46ad-ad17-c504ad2fbc18,39,,"[27.9, 59.3]",267212,0,,,,,-2.69325,,Left Foot,,,"[20.0, 55.5]",,Ground Pass,,8.766413,,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Kick Off,Rafael Alcântara do Nascimento,6998.0,Right Wing Back,2,Barcelona,217,"['976da743-39ba-468b-980a-13c45dd70e55', 'ebf41bcb-cbb7-4117-9f1a-0481ce41f2e3']",37,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:37.896,Pass,True,2016/2017
,,,,,,,,,,,,,,,,,0.955726,,,,,,,,,,,,,,,06595831-dc10-4266-8f7f-222e19c98b7b,43,,"[19.4, 59.9]",267212,0,,,,,0.7953646,,Right Foot,,,"[34.3, 75.1]",,Ground Pass,,21.284971,,,,Rafael Alcântara do Nascimento,6998.0,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Right Center Back,2,Barcelona,217,"['2b3311a0-12c4-40df-a8b6-c9f7d447d364', '6e3156ac-371c-4c91-a987-f5505039f74c']",40,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:40.039,Pass,True,2016/2017
,,,,,,,,,,,,,,,,,1.1771,,,,,,,,,,,,,,,02ab9292-865c-44a3-8a9b-d8a9624fae86,49,,"[85.8, 0.1]",267212,0,,,,,0.7527301,,,,,"[93.7, 7.5]",,High Pass,,10.82451,,,,Gabriel Appelt Pires,6597.0,,,,,Throw-in,1,From Throw In,Diego Rico Salguero,6895.0,Left Back,3,Leganés,205,['9b836f7b-f04b-425e-9669-a6a866987c4c'],52,,,,,,,,,,,,,,,,,,Leganés,205,00:00:52.501,Pass,,2016/2017
,,,,,,,,,,,,,,,,,2.547102,,,,,,,,,,,,,,,31ef3ee9-777e-4610-8804-f2b4d81a90fe,53,,"[29.4, 80.0]",267212,1,,,,,-2.6305354,,,,,"[8.0, 68.0]",,High Pass,,24.534874,,,,Gerard Piqué Bernabéu,5213.0,,,,,Throw-in,1,From Throw In,Javier Alejandro Mascherano,5506.0,Right Center Back,4,Barcelona,217,['f02f153c-3385-40eb-be1d-a69327da2fa7'],1,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:01.977,Pass,,2016/2017
