ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,0.3708,,,,,,,,,,,,,6a33c914-6627-48e5-9f86-c15e76df715b,1471,,"[106.2, 19.9]",70271,26,,,,,0.94200003,,Right Foot,,,,"[108.6, 23.2]",,Ground Pass,,4.080441,Incomplete,,David Villa Sánchez,12737.0,,,,,,,1,Regular Play,Andrés Iniesta Luján,5216.0,Right Center Midfield,58,Barcelona,217,"['26af21ee-2060-4074-b140-dc5787091746', '70079697-bea5-48a2-9348-7d4c76aba7c7']",28,,,,,,,,,,,,,,,,,Barcelona,217,00:26:28.431,Pass,,2012/2013
,,,,,,,,,,,,,0.689069,,,,,,,,,,,,,bc3600a5-602e-4342-99f0-75eeb4f8632f,1477,,"[23.1, 62.8]",70271,26,,,,,1.1396576,,Right Foot,,,,"[27.7, 72.8]",,Ground Pass,,11.00727,,,Jorge Andújar Moreno,6672.0,,,,,,,1,Regular Play,Hedwiges Maduro,26396.0,Right Center Midfield,59,Sevilla,213,"['4a8c4a48-1166-4474-a265-8ef02966ba8a', '8a62367c-383a-44f4-8d60-9573f1ce0487']",31,,,,,,,,,,,,,,,,,Sevilla,213,00:26:31.330,Pass,True,2012/2013
,,,,,,,,,,,,,0.7777,,,,,,,,,,,,,46ecf50c-d801-49b8-a289-b3713b3dda62,1481,,"[55.3, 77.2]",70271,26,,,,,0.11211071,,Right Foot,,,,"[70.4, 78.9]",,Ground Pass,,15.195394,,,Ivan Rakitić,5470.0,,,,,,,1,Regular Play,Jorge Andújar Moreno,6672.0,Right Back,59,Sevilla,213,"['9a335367-d454-4487-b226-5eb9289177c4', 'c5f374de-6e9e-4c7c-baae-49c5cc53e72d']",36,,,,,,,,,,,,,,,,,Sevilla,213,00:26:36.237,Pass,True,2012/2013
,,,,,,,,,,,,,1.727,,,,,,,,,,,,,adb71b0c-e33e-4276-aecc-d62cf4bebb71,1484,,"[70.6, 80.2]",70271,26,,,,,-0.19486392,,Right Foot,,,,"[85.8, 77.2]",,Low Pass,,15.493224,Incomplete,,Jesús Navas González,6821.0,,,,,,,1,Regular Play,Ivan Rakitić,5470.0,Center Attacking Midfield,59,Sevilla,213,"['26683089-f4f2-4af2-8533-7b11e034d897', '66c01779-a660-40bf-a3a3-1a6e9ef7d8af']",38,,,,,,,,,,,,,,,,,Sevilla,213,00:26:38.259,Pass,,2012/2013
,,,,,,,,,,,,,2.125628,,,,,,,,,,,,,26683089-f4f2-4af2-8533-7b11e034d897,1486,,"[35.2, 3.8]",70271,26,,,,,2.624791,,Right Foot,,,,"[3.0, 22.1]",,Low Pass,,37.036873,,,Víctor Valdés Arribas,20176.0,,,,,,Recovery,1,Regular Play,Javier Alejandro Mascherano,5506.0,Right Center Back,60,Barcelona,217,"['adb71b0c-e33e-4276-aecc-d62cf4bebb71', 'dd6c2b7b-21a4-4a4d-98fc-471e005950be']",39,,,,,,,,,,,,,,,,,Barcelona,217,00:26:39.986,Pass,,2012/2013
,,,,,,,,,,,,,1.401064,,,,,,,,,,,,,11fa1694-86a4-4dec-89c9-d54842349c89,1489,,"[5.8, 28.6]",70271,26,,,,,0.4148143,,Right Foot,,,,"[16.7, 33.4]",,Ground Pass,,11.91008,,,Gerard Piqué Bernabéu,5213.0,,,,,,,1,Regular Play,Víctor Valdés Arribas,20176.0,Goalkeeper,60,Barcelona,217,['26191ae4-5ccb-4037-b731-66c35570ca7a'],44,,,,,,,,,,,,,,,,,Barcelona,217,00:26:44.764,Pass,,2012/2013
,,,,,,,,,,,,,0.813938,,,,,,,,,,,,,32ba1163-99d1-4c24-a8ab-70307d55086c,1492,,"[20.8, 31.5]",70271,26,,,,,-0.04455648,,Right Foot,,,,"[36.5, 30.8]",,Ground Pass,,15.715597,,,Thiago Alcântara do Nascimento,5208.0,,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Left Center Back,60,Barcelona,217,['d8f88ed4-239e-44cc-af16-82234f54534b'],47,,,,,,,,,,,,,,,,,Barcelona,217,00:26:47.508,Pass,,2012/2013
,,,,,,,,,,,,,1.304743,,,,,,,,,,,,,144ee955-b812-486f-b413-c40e3fd91d97,1495,,"[37.1, 29.1]",70271,26,,,,,-2.2444665,,Right Foot,,,,"[28.0, 17.7]",,Ground Pass,,14.5866375,,,Javier Alejandro Mascherano,5506.0,,,,,,,1,Regular Play,Thiago Alcântara do Nascimento,5208.0,Left Center Midfield,60,Barcelona,217,['1188197d-42bc-491b-946c-7ca02092db30'],49,,,,,,,,,,,,,,,,,Barcelona,217,00:26:49.302,Pass,,2012/2013
,,,,,,,,,,,,,0.876751,,,,,,,,,,,,,fb456bef-fc55-4606-908b-6d5d8ec1a993,1498,,"[37.1, 15.6]",70271,26,,,,,1.5480729,,Left Foot,,,,"[37.4, 28.8]",,Ground Pass,,13.203408,,,Thiago Alcântara do Nascimento,5208.0,,,,,,,1,Regular Play,Javier Alejandro Mascherano,5506.0,Right Center Back,60,Barcelona,217,['ce1adc33-5d28-4a5e-ab32-ef93b97099e9'],52,,,,,,,,,,,,,,,,,Barcelona,217,00:26:52.864,Pass,,2012/2013
,,,,,,,,,,,,,1.744065,,,,,,,,,,,,,b37d93ff-acb8-4500-b7b7-cdd61ec9a2e5,1501,,"[41.7, 37.3]",70271,26,,,,,1.3665826,,Right Foot,,,,"[48.7, 71.1]",,Low Pass,,34.517242,,,Daniel Alves da Silva,4324.0,,,,,,,1,Regular Play,Thiago Alcântara do Nascimento,5208.0,Left Center Midfield,60,Barcelona,217,['1b1aaa2e-e30b-42fe-94ed-20af019a21ea'],55,,,,,,,,,,,,,,,,,Barcelona,217,00:26:55.654,Pass,,2012/2013
,,,,,,,,,,,,,0.788023,,,,,,,,,,,,,7a70bdbf-0a12-4801-a7d9-7577eff70c84,1504,,"[61.1, 64.1]",70271,27,,,,,-1.3896362,,Right Foot,,,,"[64.8, 43.9]",,Ground Pass,,20.536066,,,Thiago Alcântara do Nascimento,5208.0,,,,,,,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,60,Barcelona,217,['548f6ea8-184b-4861-adcf-478dea0f59a0'],1,,,,,,,,,,,,,,,,,Barcelona,217,00:27:01.798,Pass,,2012/2013
,,,,,,,,,,,,,1.407771,,,,,,,,,,,,,2439b03c-5e8e-4ebb-9412-99ef2d03f7c7,1508,,"[61.5, 45.8]",70271,27,,,,,-1.9920586,,Right Foot,,,,"[53.3, 27.5]",,Ground Pass,,20.053179,,,Javier Alejandro Mascherano,5506.0,,,,,,,1,Regular Play,Thiago Alcântara do Nascimento,5208.0,Left Center Midfield,60,Barcelona,217,['5da13f25-40d0-4312-95f1-4d6c1bb89e53'],3,,,,,,,,,,,,,,,,,Barcelona,217,00:27:03.620,Pass,,2012/2013
,,,,,,,,,,,,,1.817538,,,,,,,,,,,,,f89528b1-8a5b-4bcb-9bf8-5c8f009cce79,1511,,"[63.0, 28.6]",70271,27,,,,,-1.1211447,,Right Foot,,,,"[75.5, 2.7]",,High Pass,,28.758652,,,Martín Montoya Torralbo,6593.0,,,,,,,1,Regular Play,Javier Alejandro Mascherano,5506.0,Right Center Back,60,Barcelona,217,['eed50f16-eee1-47d2-961a-74c9c4b634e8'],9,,,,,,,,,,,,,,,,,Barcelona,217,00:27:09.735,Pass,,2012/2013
,,,,,,,,,,,,,0.848426,,,,,,,,,,,,,e93fa504-50d6-41da-8e33-defaa7ed83bb,1514,,"[79.8, 3.4]",70271,27,,,,,2.219947,,Left Foot,,,,"[69.1, 17.5]",,Ground Pass,,17.700283,,,Andrés Iniesta Luján,5216.0,,,,,,,1,Regular Play,Martín Montoya Torralbo,6593.0,Left Back,60,Barcelona,217,['7cf8c919-7fb1-41e5-ae5e-60e3c44dde76'],13,,,,,,,,,,,,,,,,,Barcelona,217,00:27:13.101,Pass,,2012/2013
,,,,,,,,,,,,,1.081076,,,,,,,,,,,,,20eb854b-89c9-4757-9ba6-b78b96bf3fc2,1517,,"[73.1, 17.1]",70271,27,,,,,1.8991987,,Right Foot,,,,"[68.5, 30.6]",,Ground Pass,,14.262188,,,Thiago Alcântara do Nascimento,5208.0,,,,,,,1,Regular Play,Andrés Iniesta Luján,5216.0,Right Center Midfield,60,Barcelona,217,['b5f05f1d-4dca-4e5b-a2bf-94218910f177'],18,,,,,,,,,,,,,,,,,Barcelona,217,00:27:18.366,Pass,,2012/2013
,,,,,,,,,,,,,0.938043,,,,,,,,,,,,,3b05b972-e513-403a-b544-a1242b3cf4c7,1520,,"[70.5, 33.4]",70271,27,,,,,0.21866895,,Right Foot,,,,"[82.2, 36.0]",,Ground Pass,,11.985408,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,1,Regular Play,Thiago Alcântara do Nascimento,5208.0,Left Center Midfield,60,Barcelona,217,['38ae960b-ff5a-4201-ad73-77759f2b9615'],20,,,,,,,,,,,,,,,,,Barcelona,217,00:27:20.351,Pass,,2012/2013
,,,,,,,,,,,,,3.2664,,,,,,,,,,,,,817f2d23-50b3-46f0-bdde-01e32462dc8a,1529,,"[7.0, 45.0]",70271,28,,,,,-0.4739729,,Right Foot,,,,"[57.1, 19.3]",,High Pass,,56.307194,,,Fernando Navarro i Corbacho,6913.0,,,,,,Goal Kick,1,From Goal Kick,António Alberto Bastos Pimparel,27111.0,Goalkeeper,62,Sevilla,213,['b688f563-c47d-474f-9da9-2eeea2d90f87'],56,,,,,,,,,,,,,,,,,Sevilla,213,00:28:56.357,Pass,,2012/2013
,,,,,,,,,,,,,0.5423,,,,,,,,,,,,,8c854a05-9d62-4321-86ca-8b0fe34a95a5,1532,,"[57.1, 19.3]",70271,28,,,,True,-1.076855,,,,,,"[60.6, 12.8]",,Low Pass,,7.3824115,,,Manuel del Moral Fernández,24507.0,,,,,,,1,From Goal Kick,Fernando Navarro i Corbacho,6913.0,Left Back,62,Sevilla,213,"['16e250a2-0e74-465a-b6a7-1b9f3ba147f4', 'f8e669c3-20cf-4de6-83f1-0c8dac766151']",59,,,,,,,,,,,,,,,,,Sevilla,213,00:28:59.663,Pass,True,2012/2013
,,,,,,,,,,,,,0.5251,,,,,,,,,,,,,0c083c62-1625-4a1a-b8db-86ff134718b0,1537,,"[71.7, 11.9]",70271,29,,,,,1.7263912,,Right Foot,,,,"[70.1, 22.1]",,Ground Pass,,10.324728,Incomplete,,Ivan Rakitić,5470.0,,,,,,,1,From Goal Kick,Manuel del Moral Fernández,24507.0,Left Wing,62,Sevilla,213,"['00b77647-2aa9-46c3-b249-f44f3ba0d974', '279ed0e2-0c8d-4251-9734-64db4235db53', '4bb35db7-e36a-4f44-bdee-b6e8a97fb3cc', '4bc5008c-d7b4-44c3-9b14-b6cc59e268df']",1,,,,,,,,,,,,,,,,,Sevilla,213,00:29:01.602,Pass,True,2012/2013
,,,,,,,,,,,,,2.411536,,,,,,,,,,,,,3905a45e-859d-47c7-ac2c-96d80d68dc34,1542,,"[66.8, 52.8]",70271,29,,,,,-0.9319266,,Right Foot,,,,"[97.7, 11.2]",,High Pass,,51.820557,,,David Villa Sánchez,12737.0,,,True,,,,1,Regular Play,Andrés Iniesta Luján,5216.0,Right Center Midfield,63,Barcelona,217,['9e227aee-9390-4d84-8b6b-6083323bde96'],6,,,,,,,,,,,,,,,,,Barcelona,217,00:29:06.761,Pass,,2012/2013
,,,,,,,,,,,,,1.166906,,,,,,,,,,,,,a503a7c7-7599-4094-94e5-f51df02e9d18,1545,,"[96.6, 12.3]",70271,29,,,,,2.6731944,,Right Foot,,,,"[79.8, 20.8]",,Low Pass,,18.827906,,,Alexandre Dimitri Song-Billong,27053.0,,,,,,,1,Regular Play,David Villa Sánchez,12737.0,Right Wing,63,Barcelona,217,['86d8c0dd-101e-4a67-9a80-ccdc1d09b8d2'],12,,,,,,,,,,,,,,,,,Barcelona,217,00:29:12.826,Pass,,2012/2013
,,,,,,,,,,,,,0.783393,,,,,,,,,,,,,5cc112a7-6020-46d0-b88d-cc13a2a42e2c,1548,,"[88.1, 22.3]",70271,29,,,,,2.1887627,,Right Foot,,,,"[82.2, 30.6]",,Ground Pass,,10.18332,,,Andrés Iniesta Luján,5216.0,,,,,,,1,Regular Play,Alexandre Dimitri Song-Billong,27053.0,Center Defensive Midfield,63,Barcelona,217,['510a5d10-4575-4df4-bc1e-80510bcd3955'],16,,,,,,,,,,,,,,,,,Barcelona,217,00:29:16.402,Pass,,2012/2013
,,,,,,,,,,,,,0.7198,,,,,,,,,,,,,06d8eb13-3c31-4fb9-9ef0-ac98ee5545b9,1552,,"[88.1, 23.4]",70271,29,,,,,0.061867844,,Right Foot,,,,"[99.4, 24.1]",,Ground Pass,,11.321661,Incomplete,,David Villa Sánchez,12737.0,,,,,,,1,Regular Play,Andrés Iniesta Luján,5216.0,Right Center Midfield,63,Barcelona,217,"['00f3c71b-2678-473a-97ce-10bab582b9c7', 'f6ccd570-bbad-4067-bcc5-5dcc2fa623f5']",18,,,,,,,,,,,,,,,,,Barcelona,217,00:29:18.881,Pass,,2012/2013
