50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,1.305715,,,,,,,,,,,,,,9d6c57c9-0621-4507-8e41-397e0942fdf2,18,,"[45.0, 43.7]",267101,0,,,,-1.3481354,,Right Foot,,,,"[49.8, 22.5]",,Ground Pass,,21.736605,,,Lucas Digne,6849.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Center Back,2,Barcelona,217,['1cad056c-8dcf-4c74-ac82-f77d9d7dd64b'],11,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:11.473,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.683237,,,,,,,,,,,,,,211355f4-9241-4f18-acdf-3caa8cc70aee,21,,"[50.4, 24.4]",267101,0,,,,1.8455467,,Left Foot,,,,"[46.2, 39.3]",,Ground Pass,,15.480633,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Lucas Digne,6849.0,Left Center Back,2,Barcelona,217,['7771d015-1d39-44d9-a51e-77d862899686'],14,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:14.906,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.370781,,,,,,,,,,,,,,d71ddd3d-3a2e-44c5-bcf7-6bd870403e82,24,,"[47.2, 47.1]",267101,0,,,,-1.382799,,Right Foot,,,,"[51.1, 26.6]",,Ground Pass,,20.867678,,,Lucas Digne,6849.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Center Back,2,Barcelona,217,['af1e8f29-d022-4ab5-bf17-354a0d0eac68'],19,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:19.285,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.786392,,,,,,,,,,,,,,6c7e2ced-3740-403d-b701-dbc7198b0743,27,,"[62.2, 20.3]",267101,0,,,,1.9195673,,Left Foot,,,,"[55.0, 40.1]",,Ground Pass,,21.06846,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Lucas Digne,6849.0,Left Center Back,2,Barcelona,217,['2ccfbb59-88db-42ca-98c3-4a9e0c3d0a64'],24,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:24.964,Pass,,2016/2017
,,,,,,,,,,,,,,,,,2.466728,,,,,,,,,,,,,,e509af97-4f31-4d08-b201-9084d9c4d0e4,30,,"[56.2, 35.2]",267101,0,,,,-0.87043846,,Right Foot,,,,"[84.1, 2.1]",,High Pass,,43.28995,,,Arda Turan,11094.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Center Back,2,Barcelona,217,['293bae72-e7d1-484e-b7e1-ca27007116c1'],27,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:27.769,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.436477,,,,,,,,,,,,,,028096fe-1d09-4629-9fd4-2f2fc79111f8,34,,"[84.8, 10.1]",267101,0,,,,2.0952663,,Right Foot,,,,"[77.8, 22.2]",,Ground Pass,,13.978912,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Arda Turan,11094.0,Left Wing Back,2,Barcelona,217,"['45ff49f6-6c66-43d6-9d64-0f9b4fba9dd5', '959bb765-2472-477c-a194-6181c08ccab0']",32,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:32.623,Pass,True,2016/2017
,,,,,,,,,,,,,,,,,2.791259,,,,,,,,,,,,,,98466951-c534-4f7d-838d-7767f3c6d793,42,,"[55.8, 41.5]",267101,0,,,,-0.7298002,,Left Foot,,,,"[85.2, 15.2]",,Ground Pass,,39.4468,Incomplete,,Roberto Torres Morales,23947.0,,,,,,1,From Kick Off,Fausto Antonio Tienza Nuñez,23821.0,Center Defensive Midfield,2,Barcelona,217,"['a83f23e3-e120-4eeb-8b80-cedce4b27eda', 'fd9778e5-cbe3-4a18-b084-42c580ae9f2f']",38,,,,,,,,,,,,,,,,,,Osasuna,422,00:00:38.609,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.314815,,,,,,,,,,,,,,260e595e-a2de-412a-a282-c15c94822588,45,,"[52.1, 58.6]",267101,0,,,,2.3771703,,Right Foot,,,,"[44.8, 65.6]",,Ground Pass,,10.113852,,,André Filipe Tavares Gomes,10802.0,,,,,Recovery,1,From Kick Off,Ivan Rakitić,5470.0,Right Center Midfield,2,Barcelona,217,['a31f0555-2e55-4a6c-9633-7b9dba5ce9f5'],42,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:42.625,Pass,,2016/2017
,,,,,,,,,,,,,,,,,0.839616,,,,,,,,,,,,,,427b38b4-2165-4d3f-95bd-4f4a9bdc4083,48,,"[43.9, 65.6]",267101,0,,,,-1.8872278,,Right Foot,,,,"[40.2, 54.3]",,Ground Pass,,11.890332,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Kick Off,André Filipe Tavares Gomes,10802.0,Right Wing Back,2,Barcelona,217,['b8963318-d61e-4d63-b6e7-d6f0e4f7cf8c'],44,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:44.617,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.363852,,,,,,,,,,,,,,4f13da82-ca9d-4914-862c-b2b88651c625,51,,"[46.3, 52.1]",267101,0,,,,-1.688308,,Right Foot,,,,"[44.6, 37.7]",,Ground Pass,,14.5,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Right Center Back,2,Barcelona,217,['00ae0f50-7748-476f-8f44-c55cfcdc02a4'],46,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:46.701,Pass,,2016/2017
