ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.8562,,,,,,,,,,,,df97a25e-16a4-403d-9880-6705cbdfd318,18,,"[58.5, 3.1]",266961,0,,,,2.957429,,Right Foot,,,"[48.3, 5.0]",,Low Pass,,10.375452,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Sandro Ramírez Castillo,3508.0,Left Wing,2,Barcelona,217,"['9fef0470-bae0-4e67-883f-816ab9f09323', 'e9674862-90b2-4b7a-b1e7-edc0a806cee4']",8,,,,,,,,,,,,,,,,,Barcelona,217,00:00:08.481,Pass,True,2015/2016
,,,,,,,,,,,,,,,1.2823,,,,,,,,,,,,55e188e7-9c76-437d-a35c-14273898f120,21,,"[44.3, 9.3]",266961,0,,,,0.72846496,,Left Foot,,,"[54.5, 18.4]",,Ground Pass,,13.669309,,,,Andrés Iniesta Luján,5216.0,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,['2133b70b-dbc4-4119-b988-8a035515fee0'],14,,,,,,,,,,,,,,,,,Barcelona,217,00:00:14.304,Pass,,2015/2016
,,,,,,,,,,,,,,,3.468119,,,,,,,,,,,,f969c4ae-fbf2-489f-8c6d-2ed67982c8c3,24,,"[49.9, 21.7]",266961,0,,,,1.8305148,,Right Foot,,,"[36.8, 71.0]",,High Pass,,51.010784,,,,Daniel Alves da Silva,4324.0,,True,,,,1,From Kick Off,Andrés Iniesta Luján,5216.0,Left Center Midfield,2,Barcelona,217,['3031a231-f11b-4ac4-ab64-2a55044f2105'],17,,,,,,,,,,,,,,,,,Barcelona,217,00:00:17.233,Pass,,2015/2016
,,,,,,,,,,,,,,,1.3041,,,,,,,,,,,,89ec7110-1167-4512-be8e-eab3180407d5,27,,"[40.0, 69.9]",266961,0,,,,-0.65242946,,Right Foot,,,"[48.9, 63.1]",,Ground Pass,,11.200446,,,,Ivan Rakitić,5470.0,,,,,,1,From Kick Off,Daniel Alves da Silva,4324.0,Right Back,2,Barcelona,217,['5df977ee-a304-4b43-a456-1fc29c0be984'],24,,,,,,,,,,,,,,,,,Barcelona,217,00:00:24.336,Pass,,2015/2016
,,,,,,,,,,,,,,,1.1942,,,,,,,,,,,,727a2f7a-2503-436b-838a-a40fb2b36daa,29,,"[47.8, 63.7]",266961,0,,,,1.7875216,,Right Foot,,,"[45.4, 74.6]",,Low Pass,,11.161093,,,,Daniel Alves da Silva,4324.0,,,,,,1,From Kick Off,Ivan Rakitić,5470.0,Right Center Midfield,2,Barcelona,217,['aed14ed1-c895-4022-91a7-a10ec7a0a4b8'],25,,,,,,,,,,,,,,,,,Barcelona,217,00:00:25.640,Pass,,2015/2016
,,,,,,,,,,,,,,,3.3031,,,,,,,,,,,,bc3ad29d-a94c-4040-ba8e-32a7c73eb9c9,32,,"[50.5, 71.7]",266961,0,,,,-1.4784974,,Right Foot,,,"[56.1, 11.2]",,High Pass,,60.75862,,,,Jordi Alba Ramos,5211.0,,True,,,,1,From Kick Off,Daniel Alves da Silva,4324.0,Right Back,2,Barcelona,217,['c67b941f-23a8-45a9-b46e-dc978e5f664b'],29,,,,,,,,,,,,,,,,,Barcelona,217,00:00:29.907,Pass,,2015/2016
,,,,,,,,,,,,,,,1.8043,,,,,,,,,,,,df51edf9-d4f2-4f4a-ba48-3c6e72366478,35,,"[56.8, 10.9]",266961,0,,,,0.20431587,,Left Foot,,,"[79.0, 15.5]",,Ground Pass,,22.671568,,,,Andrés Iniesta Luján,5216.0,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,['a83d4395-6608-4b32-9a0a-eab0741eaba2'],33,,,,,,,,,,,,,,,,,Barcelona,217,00:00:33.658,Pass,,2015/2016
,,,,,,,,,,,,,,,1.7698,,,,,,,,,,,,0b40ef5e-ca93-485a-8ac3-550622eae004,39,,"[84.1, 16.6]",266961,0,,,,0.29067248,,Right Foot,,,"[107.5, 23.6]",,Ground Pass,,24.424578,,,,Luis Alberto Suárez Díaz,5246.0,,,,,,1,From Kick Off,Andrés Iniesta Luján,5216.0,Left Center Midfield,2,Barcelona,217,"['dd5ac812-db7d-4db6-974f-58f16b521bec', 'eb82c1ff-081e-4901-9db4-4fc044740e37']",36,,,,,,,,,,,,,,,,,Barcelona,217,00:00:36.795,Pass,True,2015/2016
,,,,,,,,,,,,,,,3.0519,,,,,,,,,,,,4111b157-96c1-4dc8-a366-11968406abed,44,,"[7.0, 37.0]",266961,1,,,,-0.58526665,,Right Foot,,,"[57.7, 3.4]",,High Pass,,60.823105,,,,Fernando Navarro i Corbacho,6913.0,,,,,Goal Kick,1,From Goal Kick,Germán Darío Lux,27305.0,Goalkeeper,3,RC Deportivo La Coruña,219,['f2c0bf96-1b29-4901-98de-da54aca31f59'],6,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:01:06.513,Pass,,2015/2016
,,,,,,,,,,,,,,,1.5977,,,,,,,,,,,,2e872a19-5987-4f38-9b70-64e478cd514a,46,,"[57.7, 3.7]",266961,1,,,,0.52195704,,Head,,,"[73.0, 12.5]",,High Pass,,17.650213,,Incomplete,,Lucas Pérez Martínez,6732.0,,,,,,1,From Goal Kick,Fernando Navarro i Corbacho,6913.0,Left Back,3,RC Deportivo La Coruña,219,"['597dfc5b-097a-4aa2-ac7f-35b7631ba9a2', 'e8e9dba9-d7c0-4862-97c1-6f10e7e5e932']",9,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:01:09.605,Pass,,2015/2016
