50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,1.8915,,,,,,,,,,,,317fb008-fc6a-4d69-b25b-90d564a9c175,19,,"[11.4, 30.5]",267220,0,,,,,-1.3681377,,Right Foot,,,"[15.9, 8.6]",,Ground Pass,,22.35755,,,Javier Alejandro Mascherano,5506.0,,,,,,,1,From Kick Off,Marc-André ter Stegen,20055.0,Goalkeeper,2,Barcelona,217,['a9200f7e-aa56-4820-8a3f-9b74c3530172'],12,,,,,,,,,,,,,,,,,Barcelona,217,00:00:12.066,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.6627,,,,,,,,,,,,387ce8bd-0705-42bb-a528-3f5fe1449247,22,,"[14.5, 9.6]",267220,0,,,,,2.131306,,Right Foot,,,"[2.7, 28.4]",,Ground Pass,,22.196396,,,Marc-André ter Stegen,20055.0,,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Left Center Back,2,Barcelona,217,['da385671-6dff-4024-b3c7-e73acf3270d1'],15,,,,,,,,,,,,,,,,,Barcelona,217,00:00:15.259,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.8441,,,,,,,,,,,,4a95888e-fe2b-487d-9170-ade378ed5eb5,26,,"[0.3, 29.9]",267220,0,,,,,1.4503629,,Right Foot,,,"[4.1, 61.3]",,Ground Pass,,31.6291,,,Gerard Piqué Bernabéu,5213.0,,,,,,,1,From Kick Off,Marc-André ter Stegen,20055.0,Goalkeeper,2,Barcelona,217,['f6ee05a9-ca97-4810-a713-14a1a577c9c6'],17,,,,,,,,,,,,,,,,,Barcelona,217,00:00:17.963,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.1438,,,,,,,,,,,,643626c1-d98d-4007-ad29-45bc61197b55,29,,"[2.5, 65.0]",267220,0,,,,,0.81957287,,Right Foot,,,"[13.8, 77.1]",,Ground Pass,,16.555965,,,Sergi Roberto Carnicer,6379.0,,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['7f7147a3-aa09-4384-8cda-fca6f5adce98'],20,,,,,,,,,,,,,,,,,Barcelona,217,00:00:20.484,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.6839,,,,,,,,,,,,26039428-7d13-4d81-acad-8f8c05c016fd,33,,"[13.2, 67.5]",267220,0,,,,,-1.7911588,,Right Foot,,,"[7.6, 42.5]",,Ground Pass,,25.619524,,,Marc-André ter Stegen,20055.0,,,,,,,1,From Kick Off,Sergi Roberto Carnicer,6379.0,Right Back,2,Barcelona,217,['13450721-bd9d-49be-8edb-3f8a348f0789'],23,,,,,,,,,,,,,,,,,Barcelona,217,00:00:23.675,Pass,,2016/2017
,,,,,,,,,,,,,,,,,2.2098,,,,,,,,,,,,5a9ccf44-9213-4762-b95a-68c3c43c44f5,36,,"[8.7, 43.1]",267220,0,,,,,-1.3291035,,Right Foot,,,"[14.0, 21.6]",,Ground Pass,,22.143621,,,Javier Alejandro Mascherano,5506.0,,,,,,,1,From Kick Off,Marc-André ter Stegen,20055.0,Goalkeeper,2,Barcelona,217,['eb90ec97-9d9d-481e-8778-bbde8b3b5759'],25,,,,,,,,,,,,,,,,,Barcelona,217,00:00:25.975,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.9121,,,,,,,,,,,,3a5b2aab-9ace-441f-84d9-b9a901841f29,39,,"[23.9, 19.3]",267220,0,,,,,-0.72274965,,Right Foot,,,"[38.3, 6.6]",,Ground Pass,,19.20026,,,Jordi Alba Ramos,5211.0,,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Left Center Back,2,Barcelona,217,['4ea63d16-9b26-41b8-9226-33e196973ff7'],29,,,,,,,,,,,,,,,,,Barcelona,217,00:00:29.272,Pass,,2016/2017
,,,,,,,,,,,,,,,,,0.9071,,,,,,,,,,,,61c163b7-f650-4699-ac31-58205afe21f9,42,,"[56.6, 9.3]",267220,0,,,,,0.20216879,,Left Foot,,,"[72.7, 12.6]",,Ground Pass,,16.43472,,,Neymar da Silva Santos Junior,4320.0,,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,['4c606a3a-17d1-4a21-8816-a533761c9c97'],34,,,,,,,,,,,,,,,,,Barcelona,217,00:00:34.056,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.7673,,,,,,,,,,,,93560c1b-a147-4d92-9144-1a1397395291,53,,"[59.5, 18.9]",267220,0,,True,,,2.5169573,,Right Foot,,,"[50.9, 25.1]",,Ground Pass,,10.601887,,,Sergio Busquets i Burgos,5203.0,,,,,,Free Kick,1,From Free Kick,Ivan Rakitić,5470.0,Right Center Midfield,3,Barcelona,217,['fea7d35c-3a88-4c7f-91cd-eeec79775f1c'],44,,,,,,,,,,,,,,,,,Barcelona,217,00:00:44.094,Pass,,2016/2017
,,,,,,,,,,,,,,,,,2.1972,,,,,,,,,,,,6b2ba401-679a-44dd-8ac0-d402816e3f47,55,,"[50.9, 25.1]",267220,0,,,,,1.6762432,,Right Foot,,,"[48.0, 52.5]",,Ground Pass,,27.55304,,,Gerard Piqué Bernabéu,5213.0,,,,,,,1,From Free Kick,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,3,Barcelona,217,['c7cc3370-7a00-4a7d-8b74-b707aed5c63c'],47,,,,,,,,,,,,,,,,,Barcelona,217,00:00:47.087,Pass,,2016/2017
