bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.520583,,,,,,,,,,,,,,,d7aabafa-7311-4c63-b473-2613c89c6dde,16,,"[52.6, 72.9]",69212,0,,,,,-2.4136026,,Right Foot,,,,"[38.8, 60.6]",,Ground Pass,,18.48594,,,Rafael Márquez Álvarez,5558.0,,,,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Right Back,2,Barcelona,217,['bc857b45-c58c-4e9c-b2ab-f76ec8c156bf'],17,,,,,,,,,,,,,,,,,Barcelona,217,00:00:17.184,Pass,,2008/2009
,,,,,,,,,,,,,,,,2.070726,,,,,,,,,,,,,,,e80547ff-d4ec-4e97-908c-6fe05b9d26d9,19,,"[41.0, 62.5]",69212,0,,,,,-1.6073654,,Right Foot,,,,"[39.8, 29.7]",,Ground Pass,,32.821945,,,Gerard Piqué Bernabéu,5213.0,,,,,,,1,From Kick Off,Rafael Márquez Álvarez,5558.0,Right Center Back,2,Barcelona,217,['36ad842f-9a6c-4d6d-a7b7-9cf4041b143e'],20,,,,,,,,,,,,,,,,,Barcelona,217,00:00:20.740,Pass,,2008/2009
,,,,,,,,,,,,,,,,1.563654,,,,,,,,,,,,,,,c2210c58-1724-41d5-b601-e89cb9b086fc,22,,"[39.8, 26.6]",69212,0,,,,,-1.2315037,,Right Foot,,,,"[47.0, 6.2]",,Ground Pass,,21.633308,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Left Center Back,2,Barcelona,217,['b99ebe6f-26ee-4aa3-918e-de6d5ee7c818'],22,,,,,,,,,,,,,,,,,Barcelona,217,00:00:22.989,Pass,,2008/2009
,,,,,,,,,,,,,,,,0.941626,,,,,,,,,,,,,,,f8f680ec-d7d6-416f-9c73-d2cb10088188,26,,"[41.3, 6.7]",69212,0,,,,,0.64215523,,Left Foot,,,,"[53.2, 15.6]",,Ground Pass,,14.860013,,,Eiður Smári Guðjohnsen,11270.0,,,,,,,1,From Kick Off,Eric-Sylvain Bilal Abidal,20177.0,Left Back,2,Barcelona,217,"['9cb3b462-52fb-46d2-8b91-e9ff05ec6994', 'd644f42e-f700-42ba-9115-cab5305434b5']",25,,,,,,,,,,,,,,,,,Barcelona,217,00:00:25.933,Pass,True,2008/2009
,,,,,,,,,,,,,,,,0.667441,,,,,,,,,,,,,,,0a08e711-b785-406a-a2ec-bf62516975ed,29,,"[53.7, 18.1]",69212,0,,,,,-0.9461609,,Left Foot,,,,"[63.0, 5.2]",,Ground Pass,,15.90283,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,,1,From Kick Off,Eiður Smári Guðjohnsen,11270.0,Left Center Midfield,2,Barcelona,217,['8e014736-105b-40f5-9cad-a59944b6b0d4'],28,,,,,,,,,,,,,,,,,Barcelona,217,00:00:28.440,Pass,,2008/2009
,,,,,,,,,,,,,,,,1.106042,,,,,,,,,,,,,,,426bec23-acca-4f8a-aa02-cdbc66bcedbe,32,,"[63.0, 5.8]",69212,0,,,,,0.7408932,,Left Foot,,,,"[75.9, 17.6]",,Ground Pass,,17.48285,,,Andrés Iniesta Luján,5216.0,,,,,,,1,From Kick Off,Eric-Sylvain Bilal Abidal,20177.0,Left Back,2,Barcelona,217,['4dce9b9d-7447-4c97-810a-f2debd672430'],29,,,,,,,,,,,,,,,,,Barcelona,217,00:00:29.462,Pass,,2008/2009
,,,,,,,,,,,,,,,,0.798539,,,,,,,,,,,,,,,d2c03ab4-75c7-4e00-a871-0e0b988215e0,36,,"[74.4, 17.6]",69212,0,,,,,2.642246,,Right Foot,,,,"[67.8, 21.2]",,Ground Pass,,7.5179787,,,Eiður Smári Guðjohnsen,11270.0,,,,,,,1,From Kick Off,Andrés Iniesta Luján,5216.0,Left Wing,2,Barcelona,217,['01283fc3-23e4-45a0-a17d-044143ac255a'],30,,,,,,,,,,,,,,,,,Barcelona,217,00:00:30.752,Pass,,2008/2009
,,,,,,,,,,,,,,,,1.1446,,,,,,,,,,,,,,,f0c1f1ec-0901-4d5e-872a-132cb2995eb1,40,,"[71.0, 20.5]",69212,0,,,,,-0.5098871,,Right Foot,,,,"[86.2, 12.0]",,Low Pass,,17.415224,,Incomplete,Eric-Sylvain Bilal Abidal,20177.0,,,,,,,1,From Kick Off,Eiður Smári Guðjohnsen,11270.0,Left Center Midfield,2,Barcelona,217,"['2b1be5c4-0ef4-47ae-8baf-6df5714b5290', '9f1aa0fa-537d-40f2-b67b-e8fc94ac6eed']",31,,,,,,,,,,,,,,,,,Barcelona,217,00:00:31.671,Pass,,2008/2009
,,,,,,,,,,,,,,,,2.7979,,,,,,,,,,,,,,,9f1aa0fa-537d-40f2-b67b-e8fc94ac6eed,42,,"[34.8, 69.0]",69212,0,,,,,0.7462026,,Right Foot,,,,"[45.4, 78.8]",,Low Pass,,14.436066,,,Maximiliano Rubén Rodríguez,26124.0,,,,,,Recovery,1,Regular Play,Luis Amaranto Perea Mosquera,26120.0,Right Back,3,Atlético Madrid,212,"['3f987178-52f9-44d9-9dc2-df42d20cd0f8', 'f0c1f1ec-0901-4d5e-872a-132cb2995eb1']",32,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:32.815,Pass,,2008/2009
,,,,,,,,,,,,,,,,1.9668,,,,,,,,,,,,,,,27450bd2-2954-46b0-b92e-2ed8d1f18c83,45,,"[43.4, 77.5]",69212,0,,,,,-0.4636476,,Right Foot,,,,"[59.0, 69.7]",,Ground Pass,,17.44133,,,Raúl García Escudero,6391.0,,,,,,,1,Regular Play,Maximiliano Rubén Rodríguez,26124.0,Left Midfield,3,Atlético Madrid,212,['54dd6f08-2000-45c9-9c54-04a2d385260d'],35,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:35.613,Pass,,2008/2009
