bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,"[95.6, 7.3]",,,,,,,,,,,,1.620695,,,,,,,,,,,,,a8f20782-02d0-4791-a454-30ba6e771061,1684,,"[94.4, 4.5]",70276,43,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,David Villa Sánchez,12737.0,Left Wing,103,Barcelona,217,"['018f42aa-873f-4266-8f52-f9907589e078', '4901652d-efa9-4754-8440-bee05a99c5c7', 'a2c0bd9b-4460-448f-aff7-a9e3f5cbd274']",8,,,,,,,,,,,,,,,,,Barcelona,217,00:43:08.317,Carry,True,2012/2013
,,,,,"[59.5, 62.3]",,,,,,,,,,,,1.2925,,,,,,,,,,,,,e7a86a61-a629-4170-9db1-f9a03f9c68ee,1690,,"[60.1, 61.2]",70276,43,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Andrija Delibašić,27121.0,Center Forward,104,Rayo Vallecano,360,"['088cb662-4b04-4873-a3fe-cc4dd4a90214', '68d51b86-5a55-4b24-a7d8-8b69c2cd5f54', 'bd3f57f6-8096-4ec0-bab2-883943179a6b']",14,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:43:14.325,Carry,True,2012/2013
,,,,,"[56.2, 56.2]",,,,,,,,,,,,0.7336,,,,,,,,,,,,,d58f4ad0-4045-41e3-9b15-db921c40a236,1693,,"[57.3, 55.1]",70276,43,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Alejandro Damián Domínguez,26646.0,Left Center Midfield,104,Rayo Vallecano,360,"['82456959-33ee-40da-987f-fbb50fb64d49', 'f58c1530-bf87-4c43-8062-fb3536a51fd7']",16,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:43:16.580,Carry,,2012/2013
,,,,,"[76.1, 51.4]",,,,,,,,,,,,2.5009,,,,,,,,,,,,,95c09bd3-f09d-4057-ad30-8a1f5128ca00,1696,,"[57.2, 50.3]",70276,43,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Leonardo Carrilho Baptistão,6761.0,Right Midfield,104,Rayo Vallecano,360,"['6adbef01-7ce2-4f0c-bea3-ac4b30b5ad2f', '75bc4ce0-b45d-4d7b-94e8-c68767f16629', 'f9ad0458-0364-440e-be5d-37561ac6e5df']",17,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:43:17.994,Carry,True,2012/2013
,,,,,"[103.5, 50.8]",,,,,,,,,,,,1.5132,,,,,,,,,,,,,f0854c20-d6d7-4e07-8cac-b336dfed054c,1701,,"[91.7, 47.7]",70276,43,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Andrija Delibašić,27121.0,Center Forward,104,Rayo Vallecano,360,"['17a9f82b-3847-4088-897d-98f619421cf3', '20b3aa66-d731-4377-85b8-08d2862a63c8', 'a7b8c0c2-e424-4818-9c21-4b0269d09683']",21,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:43:21.943,Carry,True,2012/2013
,,,,,"[58.7, 71.7]",,,,,,,,,,,,1.540013,,,,,,,,,,,,,2e25fe89-07b5-40a4-b5b0-2a2cbe3a9f2e,1718,,"[58.9, 71.9]",70276,44,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Sergio Rodríguez García,26409.0,Left Center Back,107,Rayo Vallecano,360,"['035d14e5-fac5-4d84-93b1-6c3dd7befbd9', '59a62c68-5e8c-4338-90aa-3b92b7da68bd']",22,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:44:22.495,Carry,,2012/2013
,,,,,"[62.7, 62.2]",,,,,,,,,,,,4.4092,,,,,,,,,,,,,2b852671-c7e0-421d-b10e-877667868067,1721,,"[63.6, 70.5]",70276,44,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Alejandro Damián Domínguez,26646.0,Left Center Midfield,107,Rayo Vallecano,360,"['680c396c-313c-4842-b3ad-29f57a3399db', 'a478118b-f8d9-480d-bd56-0c1f2bf2bc4d', 'e5dfa6cb-3088-4a0e-a876-28c40037f74b']",25,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:44:25.334,Carry,True,2012/2013
,,,,,"[51.0, 64.5]",,,,,,,,,,,,1.6222,,,,,,,,,,,,,f54e7a68-8a63-4a62-a2a1-64a1b6cc0024,1725,,"[51.0, 63.3]",70276,44,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Sergio Rodríguez García,26409.0,Left Center Back,107,Rayo Vallecano,360,"['8bf28596-3007-4495-beed-53b5a861be15', 'bd5fb3c3-734e-4952-82c4-a78b0f63ca96', 'e8da6e69-fd91-4008-b3ca-fb2195a2f882']",31,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:44:31.184,Carry,True,2012/2013
,,,,,"[71.0, 27.6]",,,,,,,,,,,,0.040034,,,,,,,,,,,,,06116375-84bc-48d2-b196-21c9dc5d3697,1737,,"[70.3, 27.6]",70276,45,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Xavier Hernández Creus,20131.0,Right Center Midfield,108,Barcelona,217,"['0274e0f4-b3bc-4226-87e4-52c9223f3ea8', 'd1f7db64-b779-419e-a153-349468a8a1e9']",4,,,,,,,,,,,,,,,,,Barcelona,217,00:45:04.473,Carry,,2012/2013
,,,,,"[88.6, 32.0]",,,,,,,,,,,,1.090117,,,,,,,,,,,,,fe846352-1919-4dfe-bf7a-b5c5392477f8,1740,,"[85.2, 34.7]",70276,45,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Pedro Eliezer Rodríguez Ledesma,3958.0,Right Wing,108,Barcelona,217,"['29789837-58a1-4fa2-ace4-63aea473bd28', 'e5099dad-e321-4ac1-a7d1-b7271f6912e2']",5,,,,,,,,,,,,,,,,,Barcelona,217,00:45:05.652,Carry,,2012/2013
