50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,5.261365,,,,,,,,,,,,,,,291d17f4-6f47-4144-962d-99929ca7efb3,18,,"[34.6, 65.8]",70270,0,,,,,-2.0196934,,Right Foot,,,"[9.6, 13.9]",Low Pass,,57.607376,,,,Javier Alejandro Mascherano,5506.0,,True,,,,1,From Kick Off,Daniel Alves da Silva,4324.0,Right Back,2,Barcelona,217,"['52c2f778-e13f-4acf-86aa-1c4fcb89bb0d', '7b61ec4e-62d2-4b5d-ad90-bf20438e683d']",8,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:08.783,Pass,True,2012/2013
,,,,,,,,,,,,,,,,,,1.483178,,,,,,,,,,,,,,,d9872c3e-ac32-4d7b-b439-4b8592665819,21,,"[9.6, 11.6]",70270,0,,,,,1.7833061,,Right Foot,,,"[4.4, 35.7]",Ground Pass,,24.654613,,,,Víctor Valdés Arribas,20176.0,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Left Center Back,2,Barcelona,217,['4d2187ad-7923-43e9-88bf-188db8fdcae2'],18,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:18.285,Pass,,2012/2013
,,,,,,,,,,,,,,,,,,2.492327,,,,,,,,,,,,,,,31d2120e-414a-4383-a915-9fd5589d1d59,25,,"[4.9, 39.2]",70270,0,,,,,0.5942137,,Right Foot,,,"[49.3, 69.2]",High Pass,,53.58507,,,,Daniel Alves da Silva,4324.0,,,,,,1,From Kick Off,Víctor Valdés Arribas,20176.0,Goalkeeper,2,Barcelona,217,['c4ede2c9-86ca-46bd-933e-a1908c7b632a'],21,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:21.413,Pass,,2012/2013
,,,,,,,,,,,,,,,,,,0.0734,,,,,,,,,,,,,,,95ad83bb-632b-4e3b-a205-6ddc65f7e42a,29,,"[58.6, 72.5]",70270,0,,,,,1.0370882,,Right Foot,,,"[59.9, 74.7]",Ground Pass,,2.5553865,,Incomplete,,Alexis Alejandro Sánchez Sánchez,3385.0,,,,,,1,From Kick Off,Daniel Alves da Silva,4324.0,Right Back,2,Barcelona,217,"['afe470d1-5a9b-48a1-bd85-269819452374', 'be61cc9c-fe9e-42b6-8099-f99453f64040']",25,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:25.959,Pass,,2012/2013
,,,,,,,,,,,,,,,,,,0.2787,,,,,,,,,,,,,,,52eeee62-efbc-472a-8c85-53bde9650d52,34,,"[115.9, 13.7]",70270,0,,,,,1.5707964,,Left Foot,,,"[115.9, 15.6]",High Pass,,1.9,,Incomplete,,,,,,,,,1,Regular Play,Guilherme Magdalena Siqueira,26780.0,Left Back,3,Granada,1049,"['13041e6e-5d88-4d2e-8be9-6bb7da1f3f52', 'd1b687db-c557-4aef-94bc-220ab22890bf']",32,,,,,,,,,,,,,,,,,,Granada,1049,00:00:32.555,Pass,True,2012/2013
,,,,,,,,,,,,,,,,,,0.2828,,,,,,,,,,,,,,,9f0dc573-4cee-4c0a-8e3c-bc5497047c01,41,,"[101.7, 78.2]",70270,0,,,,,0.0,,Right Foot,,,"[103.1, 78.2]",Ground Pass,,1.4,,Incomplete,,Allan Romeo Nyom,3991.0,,,,,,1,Regular Play,Gabriel Andrei Torje,10731.0,Right Wing,3,Granada,1049,"['54e4c7de-5a0d-4d92-983b-2d9ab628d6f3', 'de421949-1d9b-49d5-b63e-e7561c7b6174']",42,,,,,,,,,,,,,,,,,,Granada,1049,00:00:42.246,Pass,,2012/2013
,,,,,,,,,,,,,,,,,,2.052846,,,,,,,,,,,,,,,87b1eee8-0853-4cd2-90e5-9828dc3d1dcf,44,,"[19.1, 3.4]",70270,0,,,,,0.057999395,,Right Foot,,,"[34.6, 4.3]",High Pass,,15.526107,,,,David Villa Sánchez,12737.0,,,,,Recovery,1,Regular Play,Francesc Fàbregas i Soler,3478.0,Left Center Midfield,4,Barcelona,217,['72606476-621a-48af-98b6-c3b111d67fdb'],43,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:43.082,Pass,,2012/2013
,,,,,,,,,,,,,,,,,,1.395588,,,,,,,,,,,,,,,0a0a83df-ac86-4517-b5f5-519dc46460f2,47,,"[34.6, 4.3]",70270,0,,,,,1.849096,,Right Foot,,,"[32.8, 10.6]",Ground Pass,,6.5520988,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,Regular Play,David Villa Sánchez,12737.0,Left Wing,4,Barcelona,217,['34dd76ce-7d32-469e-956a-4ce5e35c7d2e'],45,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:45.453,Pass,,2012/2013
,,,,,,,,,,,,,,,,,,3.1889,,,,,,,,,,,,,,,8d9c509a-3e29-4ea7-ba01-922284a3da38,51,,"[33.8, 11.7]",70270,0,,,,,3.0093896,,Right Foot,,,"[15.0, 14.2]",Ground Pass,,18.965494,,,,Adriano Correia Claro,22102.0,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,4,Barcelona,217,['81b66a5b-5f03-4b5f-92e2-c96ffa89ab12'],46,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:46.889,Pass,,2012/2013
,,,,,,,,,,,,,,,,,,0.852323,,,,,,,,,,,,,,,e711bc9d-2e20-4181-ba0c-647de875edae,55,,"[14.1, 9.2]",70270,0,,,,,-0.6893094,,Left Foot,,,"[23.2, 1.7]",Ground Pass,,11.792371,,,,Francesc Fàbregas i Soler,3478.0,,,,,,1,Regular Play,Adriano Correia Claro,22102.0,Left Back,4,Barcelona,217,['9bb4f7ca-c7a4-4313-973a-d60b59074b94'],51,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:51.588,Pass,,2012/2013
,,,,,,,,,,,,,,,,,,0.8286,,,,,,,,,,,,,,,5ffb0482-dbca-4b4e-a223-c199dbb73999,58,,"[18.9, 2.8]",70270,0,,,,,2.3639462,,Right Foot,,,"[12.4, 9.2]",Ground Pass,,9.121951,,,,Adriano Correia Claro,22102.0,,,,,,1,Regular Play,Francesc Fàbregas i Soler,3478.0,Left Center Midfield,4,Barcelona,217,['0ce90df0-e9ef-4608-8318-9f15b9021bbb'],53,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:53.780,Pass,,2012/2013
,,,,,,,,,,,,,,,,,,3.0169,,,,,,,,,,,,,,,cb07724c-4277-4cde-bb2b-6cdf91cad586,63,,"[2.8, 1.3]",70270,0,,,,,0.2581422,,Left Foot,,,"[50.9, 14.0]",High Pass,,49.748367,,Incomplete,,David Villa Sánchez,12737.0,,,,,,1,Regular Play,Adriano Correia Claro,22102.0,Left Back,4,Barcelona,217,"['9ef4688f-0b60-465e-af16-aec27ecc58cd', 'a5e86d3b-dc24-4b64-a419-7da5a9d38b4d', 'f91b0f91-b53e-41f9-86ed-4ffc93ac16a8']",59,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:59.941,Pass,True,2012/2013
,,,,,,,,,,,,,,,,,,1.7042,,,,,,,,,,,,,,,f91b0f91-b53e-41f9-86ed-4ffc93ac16a8,65,,"[70.1, 67.0]",70270,1,,,,,0.27880368,,Left Foot,,,"[96.3, 74.5]",High Pass,,27.252338,,,,Gabriel Andrei Torje,10731.0,,,,,Recovery,1,Regular Play,Íñigo López Montaña,26573.0,Right Center Back,4,Barcelona,217,"['3a856611-96c8-4be3-b489-3aaba250dd4f', 'cb07724c-4277-4cde-bb2b-6cdf91cad586']",2,,,,,,,,,,,,,,,,,,Granada,1049,00:01:02.958,Pass,,2012/2013
,,,,,,,,,,,,,,,,,,0.1541,,,,,,,,,,,,,,,5bfaefd6-8023-4bd8-91ee-935f22a0a2e9,68,,"[96.3, 74.5]",70270,1,,,,True,0.094951704,,,,,"[98.4, 74.7]",Low Pass,,2.1095023,,Incomplete,,,,,,,,,1,Regular Play,Gabriel Andrei Torje,10731.0,Right Wing,4,Barcelona,217,"['708c0657-258b-4680-b927-3236713236c6', 'b2c9ea3d-7d30-45bd-a0be-e1ba1de5b481']",4,,,,,,,,,,,,,,,,,,Granada,1049,00:01:04.662,Pass,True,2012/2013
,,,,,,,,,,,,,,,,,,2.89813,,,,,,,,,,,,,,,a3b9f782-27da-4747-b895-5afab6241ea5,72,,"[9.0, 25.9]",70270,1,,,,,-1.0164888,,Right Foot,,,"[16.8, 13.3]",Ground Pass,,14.818907,,,,Javier Alejandro Mascherano,5506.0,,,,,,1,Regular Play,Víctor Valdés Arribas,20176.0,Goalkeeper,4,Barcelona,217,['53eee1fc-86a0-4c7c-a193-4902df3a453c'],18,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:18.430,Pass,,2012/2013
,,,,,,,,,,,,,,,,,,1.139233,,,,,,,,,,,,,,,9d545f09-bbfb-4928-a268-38c7374816b3,75,,"[21.1, 10.6]",70270,1,,,,,-0.46072364,,Right Foot,,,"[34.8, 3.8]",Ground Pass,,15.29477,,,,Adriano Correia Claro,22102.0,,,,,,1,Regular Play,Javier Alejandro Mascherano,5506.0,Left Center Back,4,Barcelona,217,['05a7fd03-4938-44fa-990f-118e14f43353'],22,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:22.067,Pass,,2012/2013
