ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_in_play,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1b048edb-19bb-43bc-ac30-a77679dc6302,1,,,266117,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4691, 'name': 'Claudio Andrés Bravo Muñoz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 10609, 'name': 'Jérémy Mathieu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 22102, 'name': 'Adriano Correia Claro'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 6616, 'name': 'Munir El Haddadi Mohamed'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 31}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2014/2015
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,cdf7427a-904b-40bf-852b-8077ff96f3eb,2,,,266117,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 26659, 'name': 'Roberto Fernández Alvarellos'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 3991, 'name': 'Allan Romeo Nyom'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 4498, 'name': 'Jean-Sylvain Claude Babin'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 6585, 'name': 'Jeison Fabián Murillo Cerón'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 4546, 'name': 'Dimitri Foulquier'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 6743, 'name': 'Manuel Rolando Iturra Urrutia'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 22811, 'name': 'Héctor Yuste Cantón'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 25707, 'name': 'Francisco Manuel Rico Castro'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 4}, {'player': {'id': 24783, 'name': 'Javier Márquez Moreno'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 8}, {'player': {'id': 6918, 'name': 'Isaac Ajayi Success'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 29}, {'player': {'id': 27109, 'name': 'Youssef El-Arabi'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Granada,1049,00:00:00.000,Starting XI,,2014/2015
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9cb0d471-45d9-4dcb-b957-80c74b5b1cff,3,,,266117,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['2c58bf7b-f584-4356-a94f-8d0bee584d6d'],0,,,,,,,,,,,,,,,,,,Granada,1049,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2c58bf7b-f584-4356-a94f-8d0bee584d6d,4,,,266117,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['9cb0d471-45d9-4dcb-b957-80c74b5b1cff'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b241f4f3-9728-4ece-91ee-f43058493709,1832,,,266117,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,88,Barcelona,217,['874e5eed-3253-4fbe-9d7c-7c24fb707158'],0,,,,,,,,,,,,,,,,,,Granada,1049,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,874e5eed-3253-4fbe-9d7c-7c24fb707158,1833,,,266117,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,88,Barcelona,217,['b241f4f3-9728-4ece-91ee-f43058493709'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,0.348922,,,,,,,,,,,,,f1120e8b-096b-4f75-bcc8-a21f1005fe04,5,,"[60.0, 40.0]",266117,0,,,,,1.7738415,,Right Foot,,,,"[59.3, 43.4]",,Ground Pass,,3.471311,,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,Kick Off,1,From Kick Off,Neymar da Silva Santos Junior,4320.0,Left Wing,2,Barcelona,217,['aded991c-aada-49b2-847b-22d27ca3fd3f'],1,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.577,Pass,,2014/2015
,,,,,,,,,,,,,,0.871098,,,,,,,,,,,,,d9ecc9bc-70df-418d-aa41-7db6ca397033,8,,"[59.3, 44.0]",266117,0,,,,,-2.9638023,,Right Foot,,,,"[46.5, 41.7]",,Ground Pass,,13.004999,,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,2,Barcelona,217,['4ea9514d-8336-44ed-b5f8-bd38838ee887'],2,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:02.816,Pass,,2014/2015
,,,,,,,,,,,,,,1.160457,,,,,,,,,,,,,cb3da673-f4d6-4f7d-96be-bd105ee870e5,11,,"[45.9, 41.0]",266117,0,,,,,-1.4009373,,Right Foot,,,,"[51.8, 6.6]",,Ground Pass,,34.90229,,,,,Adriano Correia Claro,22102.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['28a38d16-2cf6-4d1c-962e-2ca79149034f'],4,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:04.649,Pass,,2014/2015
,,,,,,,,,,,,,,1.058552,,,,,,,,,,,,,dc200059-c176-46e2-b079-91ae34b0dcca,14,,"[51.4, 8.7]",266117,0,,,,,1.7991737,,Left Foot,,,,"[47.1, 27.2]",,Ground Pass,,18.993156,,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Adriano Correia Claro,22102.0,Left Back,2,Barcelona,217,['7882e020-32b2-44ac-9a4e-1c896c8dc349'],7,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:07.728,Pass,,2014/2015
