bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,3.2653,,,,,,,,,,,,,089b627e-d24b-4fbe-88b9-1702be71f736,2858,,"[20.7, 41.7]",69277,76,,,,,0.6510057,,Right Foot,,"[63.1, 74.0]",,High Pass,,53.301502,,,Incomplete,,Carles Puyol i Saforcada,20125.0,,,,,,,2,Regular Play,Víctor Valdés Arribas,20176.0,Goalkeeper,171,Barcelona,217,"['112a3dca-2143-4be5-8a60-1519f173a1eb', 'abeb9ba7-a72a-4669-9ab8-71a070d94dfb']",51,,,,,,,,,,,,,,,,,Barcelona,217,00:31:51.982,Pass,,2009/2010
,,,,,,,,,,,,,,,1.0999,,,,,,,,,,,,,35e157f6-d956-4a05-854f-a253829e71ea,2862,,"[64.4, 80.0]",69277,77,,,,,-1.1215363,,,,"[72.5, 63.2]",,Low Pass,,18.650738,,,,,Andrés Iniesta Luján,5216.0,,,,,,Throw-in,2,From Throw In,Carles Puyol i Saforcada,20125.0,Right Back,172,Barcelona,217,['9b97314a-1afe-4c9e-ab2f-277bb3b7f104'],3,,,,,,,,,,,,,,,,,Barcelona,217,00:32:03.642,Pass,,2009/2010
,,,,,,,,,,,,,,,0.4967,,,,,,,,,,,,,a8cb06e7-794a-478b-9b11-76c4a79c8420,2866,,"[71.3, 62.9]",69277,77,,,,,-0.9312091,,Left Foot,,"[77.4, 54.7]",,Ground Pass,,10.220078,,,,,Zlatan Ibrahimović,3672.0,,,,,,,2,From Throw In,Andrés Iniesta Luján,5216.0,Left Wing,172,Barcelona,217,['9a4f19bc-8088-4609-b1de-2eb6edfe04cf'],5,,,,,,,,,,,,,,,,,Barcelona,217,00:32:05.743,Pass,,2009/2010
,,,,,,,,,,,,,,,1.1597,,,,,,,,,,,,,7e04831e-e954-411e-a863-659248d6af09,2870,,"[75.9, 53.6]",69277,77,,,,,-1.9534036,,Right Foot,,"[72.6, 45.4]",,Ground Pass,,8.839118,,,,,Andrés Iniesta Luján,5216.0,,,,,,,2,From Throw In,Zlatan Ibrahimović,3672.0,Center Forward,172,Barcelona,217,"['bd952797-76cc-49ef-b8af-89937ff76de0', 'e44af186-a020-49c3-b99a-79825ce71162']",7,,,,,,,,,,,,,,,,,Barcelona,217,00:32:07.113,Pass,True,2009/2010
,,,,,,,,,,,,,,,2.0541,,,,,,,,,,,,,4b6fbaf6-ce2b-4ada-ba15-7fa0549de3a0,2873,,"[72.6, 45.3]",69277,77,,,,,-1.1849136,,Left Foot,,"[85.6, 13.3]",,Ground Pass,,34.539833,,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,2,From Throw In,Andrés Iniesta Luján,5216.0,Left Wing,172,Barcelona,217,['0246b477-db46-4379-8b0d-118c7e29e1cd'],9,,,,,,,,,,,,,,,,,Barcelona,217,00:32:09.251,Pass,,2009/2010
,,,,,,,,,,,,,,,1.5662,,,,,,,,,,,,,772673ac-4c2d-41c8-a8c9-78a1b48747ba,2876,,"[97.2, 18.8]",69277,77,,,,,2.4742866,,Left Foot,,"[87.3, 26.6]",,Ground Pass,,12.603571,,,,,Andrés Iniesta Luján,5216.0,,,,,,,2,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,172,Barcelona,217,['ad339e00-d4c6-4cb9-a750-99478b208c90'],15,,,,,,,,,,,,,,,,,Barcelona,217,00:32:15.616,Pass,,2009/2010
,,,,,,,,,,,,,,,1.8187,,,,,,,,,,,,,3c63f906-6c70-40d0-8666-8347c98430da,2879,,"[85.8, 27.0]",69277,77,,,,,0.79537785,,Right Foot,,"[110.6, 52.3]",,High Pass,,35.427814,,,Incomplete,,Carles Puyol i Saforcada,20125.0,,,,,,,2,From Throw In,Andrés Iniesta Luján,5216.0,Left Wing,172,Barcelona,217,"['46d45a63-b7d4-41ba-8547-647d46580618', 'ab0d3438-90a2-4335-9969-bb2ab276ecc8']",18,,,,,,,,,,,,,,,,,Barcelona,217,00:32:18.006,Pass,,2009/2010
,,,,,,,,,,,,,,,3.8771,,,,,,,,,,,,,f83d0559-ca3a-44ad-a99a-812b2cd0e631,2882,,"[7.5, 35.9]",69277,77,,,,,-0.6642684,,Left Foot,,"[43.9, 7.4]",,Low Pass,,46.22997,,,,,Masoud Shojaei Soleimani,5238.0,,,,,,Recovery,2,Regular Play,José Romero Urtasun,25865.0,Left Center Back,173,Osasuna,422,['dd299816-9c1c-4594-b3b3-2d56cbd8c62a'],21,,,,,,,,,,,,,,,,,Osasuna,422,00:32:21.007,Pass,,2009/2010
,,,,,,,,,,,,,,,2.8641,,,,,,,,,,,,,1873648e-4bda-4748-b051-95762cc6625b,2889,,"[31.6, 1.0]",69277,77,,,,,0.18141519,,,,"[65.4, 7.2]",,High Pass,,34.363934,,,,,Walter Gerardo Pandiani Urquiza,26516.0,,,,,,Throw-in,2,From Throw In,Ignacio Monreal Eraso,3498.0,Left Back,174,Osasuna,422,['01f75162-beb3-41bc-9bf9-f5f5d63861f7'],51,,,,,,,,,,,,,,,,,Osasuna,422,00:32:51.026,Pass,,2009/2010
,,,,,,,,,,,,,,,2.1003,,,,,,,,,,,,,ee47e5c2-f645-43f4-91d9-ca4c1c1a268e,2893,,"[55.6, 80.0]",69277,78,,,,,-2.6231372,,,,"[40.0, 71.1]",,Low Pass,,17.960234,,,,,Rafael Márquez Álvarez,5558.0,,,,,,Throw-in,2,From Throw In,Carles Puyol i Saforcada,20125.0,Right Back,175,Barcelona,217,['7c48366e-1902-43e8-aead-724005a75bd3'],12,,,,,,,,,,,,,,,,,Barcelona,217,00:33:12.978,Pass,,2009/2010
