50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ee8b7759-6ac2-4bce-b0da-720216d78f8e,1,,,267192,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Celta Vigo,209,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 10612, 'name': 'Yoel Rodríguez Oterino'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6805, 'name': 'Hugo Mallo Novegil'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 6794, 'name': 'Gustavo Daniel Cabral Cáceres'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 6890, 'name': 'Andreu Fontàs Prat'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 26788, 'name': 'Jon Aurtenetxe Borde'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 6998, 'name': 'Rafael Alcântara do Nascimento'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 25986, 'name': 'Borja Oubiña Meléndez'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 19668, 'name': 'Augusto Matías Fernández'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 24}, {'player': {'id': 27200, 'name': 'Alejandro López Sánchez'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 6724, 'name': 'Manuel Agudo Durán'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 6707, 'name': 'Charles Días Barbosa de Oliveira'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Celta Vigo,209,00:00:00.000,Starting XI,,2013/2014
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,abdb29c4-ed54-4cc3-a3e2-9b70b695d103,2,,,267192,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Celta Vigo,209,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 7068, 'name': 'Marc Bartra Aregall'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 22102, 'name': 'Adriano Correia Claro'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 3478, 'name': 'Francesc Fàbregas i Soler'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 27053, 'name': 'Alexandre Dimitri Song-Billong'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 3385, 'name': 'Alexis Alejandro Sánchez Sánchez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2013/2014
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6a6b5cde-51e4-4297-93e6-81c9c0b99518,3,,,267192,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Celta Vigo,209,['fc20ca1d-5a0c-4cb7-83ff-aee54303a5f1'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2013/2014
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,fc20ca1d-5a0c-4cb7-83ff-aee54303a5f1,4,,,267192,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Celta Vigo,209,['6a6b5cde-51e4-4297-93e6-81c9c0b99518'],0,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:00.000,Half Start,,2013/2014
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c66a3e8a-2b2d-4546-aa84-56700b949be0,1914,,,267192,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,109,Barcelona,217,['23974ed1-aae0-4e73-b4cc-31ce4b9d19ff'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2013/2014
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,23974ed1-aae0-4e73-b4cc-31ce4b9d19ff,1915,,,267192,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,109,Barcelona,217,['c66a3e8a-2b2d-4546-aa84-56700b949be0'],0,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:00.000,Half Start,,2013/2014
,,,,,,,,,,,,,,,,0.29628,,,,,,,,,,,,,ac64145c-261b-4ee7-b96e-46ec9b84143f,5,,"[61.0, 41.0]",267192,0,,,,,1.735945,,Right Foot,,,,"[60.7, 42.8]",,Ground Pass,,1.8248287,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,Kick Off,1,From Kick Off,Francesc Fàbregas i Soler,3478.0,Right Center Midfield,2,Barcelona,217,['f52a1b91-7eb3-4338-90b7-d212e4b009bc'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.625,Pass,,2013/2014
,,,,,,,,,,,,,,,,1.329482,,,,,,,,,,,,,c9629483-870c-47f4-ab88-1fc2e4ce0749,8,,"[61.0, 42.8]",267192,0,,,,,-2.804537,,Right Foot,,,,"[49.3, 38.7]",,Ground Pass,,12.39758,,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,2,Barcelona,217,['4d78a060-e85d-43a8-8304-d79d28a0ab39'],1,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.171,Pass,,2013/2014
,,,,,,,,,,,,,,,,0.989391,,,,,,,,,,,,,ca7bd806-1bd2-4b49-ba5e-a2d9a0d328f7,11,,"[49.3, 38.7]",267192,0,,,,,1.5131679,,Right Foot,,,,"[49.9, 49.1]",,Ground Pass,,10.417294,,,,Alexandre Dimitri Song-Billong,27053.0,,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['4cd10cec-c2c5-43e2-abe0-175c3709a5b6'],2,,,,,,,,,,,,,,,,,Barcelona,217,00:00:02.558,Pass,,2013/2014
,,,,,,,,,,,,,,,,1.141735,,,,,,,,,,,,,fff77bae-70d5-4c2e-86e6-add1afef92ae,14,,"[51.7, 57.6]",267192,0,,,,,2.158799,,Left Foot,,,,"[43.5, 69.9]",,Ground Pass,,14.782761,,,,Daniel Alves da Silva,4324.0,,,,,,,1,From Kick Off,Alexandre Dimitri Song-Billong,27053.0,Left Center Midfield,2,Barcelona,217,['f9fee07e-fd79-412e-8f29-f2e86faa1f2b'],4,,,,,,,,,,,,,,,,,Barcelona,217,00:00:04.928,Pass,,2013/2014
,,,,,,,,,,,,,,,,0.787789,,,,,,,,,,,,,24d5be83-9b6f-4c29-b284-2c4958235d23,17,,"[41.8, 70.3]",267192,0,,,,,-2.244553,,Left Foot,,,,"[31.9, 57.9]",,Ground Pass,,15.867262,,,,Marc Bartra Aregall,7068.0,,,,,,,1,From Kick Off,Daniel Alves da Silva,4324.0,Right Back,2,Barcelona,217,['9515719f-3770-40a7-9be2-f59ecdfc3ede'],7,,,,,,,,,,,,,,,,,Barcelona,217,00:00:07.533,Pass,,2013/2014
,,,,,,,,,,,,,,,,1.157208,,,,,,,,,,,,,dd5809fc-b257-4476-a829-6533d344b799,20,,"[30.5, 49.7]",267192,0,,,,,-1.5244378,,Right Foot,,,,"[31.4, 30.3]",,Ground Pass,,19.420866,,,,Carles Puyol i Saforcada,20125.0,,,,,,,1,From Kick Off,Marc Bartra Aregall,7068.0,Left Center Back,2,Barcelona,217,['b8341317-78fd-47e6-9fa3-17b554dc37be'],9,,,,,,,,,,,,,,,,,Barcelona,217,00:00:09.466,Pass,,2013/2014
,,,,,,,,,,,,,,,,1.034542,,,,,,,,,,,,,c7d7fbdd-254e-42a3-8d26-0fb2871a500f,23,,"[35.5, 29.3]",267192,0,,,,,-1.134505,,Right Foot,,,,"[43.1, 13.0]",,Ground Pass,,17.984716,,,,Adriano Correia Claro,22102.0,,,,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Right Center Back,2,Barcelona,217,['a6d9c0ab-2a7a-4ac0-aca2-f960f6afb3a8'],11,,,,,,,,,,,,,,,,,Barcelona,217,00:00:11.836,Pass,,2013/2014
,,,,,,,,,,,,,,,,1.602755,,,,,,,,,,,,,07e19f4f-2c3f-4886-9771-9253f35da8b7,26,,"[43.3, 13.9]",267192,0,,,,,1.7916251,,Left Foot,,,,"[35.6, 48.2]",,Ground Pass,,35.153664,,,,Marc Bartra Aregall,7068.0,,,,,,,1,From Kick Off,Adriano Correia Claro,22102.0,Left Back,2,Barcelona,217,['363afa22-da9b-4c83-9b91-da81e74118bc'],15,,,,,,,,,,,,,,,,,Barcelona,217,00:00:15.327,Pass,,2013/2014
,,,,,,,,,,,,,,,,1.835323,,,,,,,,,,,,,3e9b4a7d-a02e-43e7-86d7-3eef7c20252c,29,,"[53.0, 55.9]",267192,0,,,,,-1.8766752,,Right Foot,,,,"[45.2, 31.2]",,Low Pass,,25.902317,,,,Carles Puyol i Saforcada,20125.0,,,,,,,1,From Kick Off,Marc Bartra Aregall,7068.0,Left Center Back,2,Barcelona,217,['1637eab2-e577-48ac-9867-99f4b8ef9b42'],21,,,,,,,,,,,,,,,,,Barcelona,217,00:00:21.227,Pass,,2013/2014
