bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.887427,,,,,,,,,,,,,,,d83e44b7-ff35-4bfb-8864-6017ba7069f4,18,,"[64.0, 63.0]",16205,0,,,,,2.6224465,,Right Foot,,,"[57.0, 67.0]",,Ground Pass,,8.062258,,,,,Nélson Cabral Semedo,6374.0,,,,,,1,From Kick Off,Arturo Erasmo Vidal Pardo,8206.0,Right Center Midfield,2,Barcelona,217,"['91a69f24-d0bb-4c7c-8783-63b83f40ef1e', 'd89958ef-1e3b-46f6-92e0-1d45af1871fe']",9,,,,,,,,,,,,,,,,,Barcelona,217,00:00:09.286,Pass,True,2018/2019
,,,,,,,,,,,,,,,,2.118497,,,,,,,,,,,,,,,f3e31498-d511-49ba-b0b4-73d6ff907e52,22,,"[57.0, 70.0]",16205,0,,,,,-2.2318394,,Right Foot,,,"[43.0, 52.0]",,Ground Pass,,22.803509,,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Nélson Cabral Semedo,6374.0,Right Back,2,Barcelona,217,"['2407f5a0-5622-4ab3-a300-81d3cd45fd36', '91a69f24-d0bb-4c7c-8783-63b83f40ef1e', 'bd03d2b2-50c4-43e3-8b14-7278e86dd59c']",10,,,,,,,,,,,,,,,,,Barcelona,217,00:00:10.214,Pass,True,2018/2019
,,,,,,,,,,,,,,,,2.098253,,,,,,,,,,,,,,,d9122732-6c38-4659-b1e0-a8d83a79dd40,25,,"[43.0, 52.0]",16205,0,,,,,-1.3940874,,Right Foot,,,"[48.0, 24.0]",,Ground Pass,,28.442924,,,,,Samuel Yves Umtiti,5492.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['0765c535-f195-4206-b68c-2f4d99865f9d'],12,,,,,,,,,,,,,,,,,Barcelona,217,00:00:12.372,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.545136,,,,,,,,,,,,,,,950c3aef-31c3-4cc5-ac20-a358fd24c796,28,,"[48.0, 24.0]",16205,0,,,,,-0.87090343,,Left Foot,,,"[64.0, 5.0]",,Ground Pass,,24.839485,,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Samuel Yves Umtiti,5492.0,Left Center Back,2,Barcelona,217,['a38ce533-2b9c-4e88-aaff-7e11ad934fe2'],15,,,,,,,,,,,,,,,,,Barcelona,217,00:00:15.701,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.412448,,,,,,,,,,,,,,,8512fec2-2e3a-4dda-89f5-4663b80f2303,32,,"[65.0, 5.0]",16205,0,,,,,1.8736812,,Other,,,"[60.0, 21.0]",,Ground Pass,,16.763054,,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,"['10e11a05-bf25-4efa-87c0-78bd42cd47c4', 'f0ff54c4-1dc5-4a6a-9e85-59601fecda9f']",18,,,,,,,,,,,,,,,,,Barcelona,217,00:00:18.233,Pass,True,2018/2019
,,,,,,,,,,,,,,,,2.476581,,,,,,,,,,,,,,,1b0021de-fd5a-4422-bd5d-26fffcf15389,35,,"[62.0, 29.0]",16205,0,,,,,1.7405746,,Right Foot,,,"[56.0, 64.0]",,Ground Pass,,35.510563,,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['76d2f1d4-9187-44e0-9b2d-b6c37e41fb1a'],20,,,,,,,,,,,,,,,,,Barcelona,217,00:00:20.627,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.445981,,,,,,,,,,,,,,,9c139f67-330b-4acf-86cb-3826ad531508,38,,"[64.0, 62.0]",16205,0,,,,,-2.5702553,,Right Foot,,,"[50.0, 53.0]",,Ground Pass,,16.643316,,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['08087d30-0b68-4ff2-b4b2-fca982c5f171'],26,,,,,,,,,,,,,,,,,Barcelona,217,00:00:26.630,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.306521,,,,,,,,,,,,,,,f45df0af-4726-4ec3-8d4f-98bdb0b380b6,41,,"[50.0, 51.0]",16205,0,,,,,-1.1341692,,Right Foot,,,"[57.0, 36.0]",,Ground Pass,,16.552946,,,,,Arthur Henrique Ramos de Oliveira Melo,11392.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['f98c439a-618c-4f6e-babe-fa27123629f1'],29,,,,,,,,,,,,,,,,,Barcelona,217,00:00:29.426,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.545925,,,,,,,,,,,,,,,7c7f8567-cb56-4ea6-ac8f-212dd2fff396,44,,"[55.0, 44.0]",16205,0,,,,,-1.5363272,,Right Foot,,,"[56.0, 15.0]",,Ground Pass,,29.017237,,,,,Samuel Yves Umtiti,5492.0,,,,,,1,From Kick Off,Arthur Henrique Ramos de Oliveira Melo,11392.0,Left Center Midfield,2,Barcelona,217,['81419b9e-9670-464a-a0f0-76b0b0a1dafc'],33,,,,,,,,,,,,,,,,,Barcelona,217,00:00:33.878,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.122165,,,,,,,,,,,,,,,2918ff34-8315-44c9-bc78-dd1ba5988483,47,,"[71.0, 15.0]",16205,0,,,,,-0.94200003,,Right Foot,,,"[79.0, 4.0]",,Ground Pass,,13.601471,,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Samuel Yves Umtiti,5492.0,Left Center Back,2,Barcelona,217,['b5855e45-8b50-4854-8965-162c330702c6'],38,,,,,,,,,,,,,,,,,Barcelona,217,00:00:38.613,Pass,,2018/2019
