ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,1.858433,,,,,,,,,,,,,5c706a5a-9b8b-4abc-a0c6-c177d3418253,17,,"[64.4, 41.9]",69219,0,,,,,-1.8178936,,Right Foot,,,"[58.8, 19.7]",,Low Pass,,22.895414,,,,Carlos Bellvís Llorens,23793.0,,,,,,1,From Kick Off,Ricardo León Brito,26626.0,Left Defensive Midfield,2,Tenerife,627,['fffd17a6-a919-4402-acc4-78e622db2c2e'],8,,,,,,,,,,,,,,,,,,,Tenerife,627,00:00:08.835,Pass,,2009/2010
,,,,,,,,,,,,,2.773033,,,,,,,,,,,,,828479b5-497a-4510-8f00-2ed602733af3,20,,"[58.8, 19.7]",69219,0,,,,,-0.4790819,,Left Foot,,,"[94.8, 1.0]",,High Pass,,40.567104,,Out,,Alejandro Alfaro Ligero,24191.0,,,,,,1,From Kick Off,Carlos Bellvís Llorens,23793.0,Left Back,2,Tenerife,627,['4034ed30-2049-4f8a-8054-c96f846e6889'],10,,,,,,,,,,,,,,,,,,,Tenerife,627,00:00:10.733,Pass,,2009/2010
,,,,,,,,,,,,,0.998641,,,,,,,,,,,,,9c1abb4f-ef0b-470a-b520-c9f1f2b712f9,22,,"[23.5, 80.0]",69219,0,,,,,-0.91874844,,,,,"[30.6, 70.7]",,Low Pass,,11.700427,,,,Xavier Hernández Creus,20131.0,,,,,Throw-in,1,From Throw In,Daniel Alves da Silva,4324.0,Right Back,3,Barcelona,217,['c76a6b08-d949-48da-9e8f-2342b2f05618'],21,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:21.926,Pass,,2009/2010
,,,,,,,,,,,,,0.996777,,,,,,,,,,,,,f582ccb7-b6cd-467a-bfe1-3554f5706b80,25,,"[28.6, 71.6]",69219,0,,,,,2.8222063,,Right Foot,,,"[15.9, 75.8]",,Ground Pass,,13.3764715,,,,Daniel Alves da Silva,4324.0,,,,,,1,From Throw In,Xavier Hernández Creus,20131.0,Right Center Midfield,3,Barcelona,217,['8d939489-7486-4a11-8fde-613a93d76400'],23,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:23.342,Pass,,2009/2010
,,,,,,,,,,,,,3.856692,,,,,,,,,,,,,e17bba2b-4a30-4333-b67e-59c5cb291dd2,29,,"[15.6, 76.0]",69219,0,,,,,0.061776962,,Right Foot,,,"[73.8, 79.6]",,High Pass,,58.311234,,Out,,,,,,,,,1,From Throw In,Daniel Alves da Silva,4324.0,Right Back,3,Barcelona,217,,24,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:24.627,Pass,,2009/2010
,,,,,,,,,,,,,0.9867,,,,,,,,,,,,,42fe3ecc-f64b-48f0-84cd-feb9a7169a0a,30,,"[46.1, 1.0]",69219,0,,,,,1.7852681,,,,,"[43.9, 11.1]",,Low Pass,,10.336827,,,,Ricardo León Brito,26626.0,,,,,Throw-in,1,From Throw In,Carlos Bellvís Llorens,23793.0,Left Back,4,Tenerife,627,['b251199c-1d0d-4ecd-96a0-e17a0e83cd1f'],39,,,,,,,,,,,,,,,,,,,Tenerife,627,00:00:39.780,Pass,,2009/2010
,,,,,,,,,,,,,4.431174,,,,,,,,,,,,,3527aa36-0bf1-4595-8b48-d1598553ca22,36,,"[51.6, 9.6]",69219,0,,,,,-0.13091362,,Right Foot,,,"[111.6, 1.7]",,High Pass,,60.51785,,Out,,Juan Francisco Martínez Modesto,24166.0,,,,,Free Kick,1,From Free Kick,Pablo Sicilia Roig,26630.0,Left Center Back,5,Tenerife,627,['47e53add-fd47-42a6-a509-29a9ae1bcde5'],55,,,,,,,,,,,,,,,,,,,Tenerife,627,00:00:55.841,Pass,,2009/2010
,,,,,,,,,,,,,2.602106,,,,,,,,,,,,,3dd683ec-778a-438b-9484-f95d317cdba3,38,,"[14.1, 80.0]",69219,1,,,,,-0.12933184,,,,,"[48.7, 75.5]",,High Pass,,34.891403,,Incomplete,,,,,,,,Throw-in,1,From Throw In,Daniel Alves da Silva,4324.0,Right Back,6,Barcelona,217,['74ffd29e-b092-4af7-aa84-57e0a2c94772'],10,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:10.963,Pass,,2009/2010
,,,,,,,,,,,,,2.9501,,,,,,,,,,,,,dd0996dc-a339-4851-a9ba-4d4def0e73e0,42,,"[73.8, 4.8]",69219,1,,,,,0.40428054,,Left Foot,,,"[113.3, 21.7]",,High Pass,,42.963474,,Pass Offside,,Juan Francisco Martínez Modesto,24166.0,,,,,,1,Regular Play,Carlos Bellvís Llorens,23793.0,Left Back,7,Tenerife,627,"['a1874913-8e8a-4e69-ab7b-c6214b261a58', 'd933e40d-48f1-4c23-8464-a4c369762476']",15,,,,,,,,,,,,,,,,,,,Tenerife,627,00:01:15.049,Pass,True,2009/2010
,,,,,,,,,,,,,4.399796,,,,,,,,,,,,,5781f7f5-923f-445d-aeed-cbb0ee3a157b,44,,"[11.5, 59.3]",69219,1,,True,,,0.16113494,,Right Foot,,,"[96.4, 73.1]",,High Pass,,86.014244,,Incomplete,,,,,,,,Free Kick,1,From Free Kick,Carles Puyol i Saforcada,20125.0,Right Center Back,8,Barcelona,217,['e9e3aef5-0e97-450c-a8f3-085b3207d6ae'],38,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:38.883,Pass,,2009/2010
