ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.322285,,,,,,,,,,,,e2c0fe83-2f9b-45a6-ba40-9780ffeed56d,17,,,"[38.7, 23.9]",303725,0,,,,-1.1463443,,Left Foot,,"[43.4, 13.5]",,Ground Pass,,11.412712,,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,From Kick Off,Clément Lenglet,6826.0,Left Center Back,2,Barcelona,217,['3e4e02db-9bfd-433f-9f99-84707a84aeb5'],10,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:10.938,Pass,,2019/2020
,,,,,,,,,,,,,,,,1.371779,,,,,,,,,,,,55561338-cc08-4a2b-b3ee-31d456bece67,20,,,"[43.4, 13.8]",303725,0,,,,2.2649453,,Left Foot,,"[29.5, 30.5]",,Ground Pass,,21.727861,,,,,Clément Lenglet,6826.0,,,,,,1,From Kick Off,Sergi Roberto Carnicer,6379.0,Left Center Midfield,2,Barcelona,217,['3d12debc-0f84-4318-89bf-b6a0e96c2d2d'],12,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:12.302,Pass,,2019/2020
,,,,,,,,,,,,,,,,2.068339,,,,,,,,,,,,877e8ae1-abc0-4776-95d7-2c98d4f7e13f,24,,,"[26.5, 30.6]",303725,0,,,,2.7493863,,Left Foot,,"[4.5, 39.7]",,Ground Pass,,23.807772,,,,,Marc-André ter Stegen,20055.0,,,,,,1,From Kick Off,Clément Lenglet,6826.0,Left Center Back,2,Barcelona,217,"['44aed77d-f4be-4525-88b2-638df219f870', '515caaad-a320-430c-b22c-e0807ffc07d8']",14,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:14.678,Pass,True,2019/2020
,,,,,,,,,,,,,,,,2.291102,,,,,,,,,,,,18334825-3187-47c7-a56c-151656b61eb8,27,,,"[3.9, 41.4]",303725,0,,,,0.8148881,,Right Foot,,"[36.8, 76.3]",,High Pass,,47.962692,,,,,Nélson Cabral Semedo,6374.0,,,,,,1,From Kick Off,Marc-André ter Stegen,20055.0,Goalkeeper,2,Barcelona,217,['8d71a73b-53b6-4849-b53c-743acb2f9324'],18,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:18.384,Pass,,2019/2020
,,,,,,,,,,,,,,,,0.456638,,,,,,,,,,,,721f0f11-7e9e-42dd-b2ba-e36683818c3f,29,,,"[36.8, 76.4]",303725,0,,,,0.43833655,,Head,,"[43.2, 79.4]",,Low Pass,,7.0682387,,,Out,,,,,,,,,1,From Kick Off,Nélson Cabral Semedo,6374.0,Right Back,2,Barcelona,217,,20,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:20.675,Pass,,2019/2020
,,,,,,,,,,,,,,,,2.815177,,,,,,,,,,,,522f15e2-5919-4a74-9894-f78d8cdab872,30,,,"[71.9, 0.1]",303725,0,,,,0.6268879,,,,"[103.1, 22.7]",,High Pass,,38.52532,,,,,Gerard Moreno Balaguero,6766.0,,,,,Throw-in,1,From Throw In,Alberto Moreno Pérez,3515.0,Left Back,3,Villarreal,222,['f58f4b83-6569-46a6-9d34-5ef15f585cd0'],27,,,,,,,,,,,,,,,,,,,Villarreal,222,00:00:27.395,Pass,,2019/2020
,,,,,,,,,,,,,,,,0.98982,,,,,,,,,,,,e0a4bbc8-de0a-4f78-a2ed-33009c5b70ed,34,,,"[15.3, 54.1]",303725,0,,,,0.8652282,,Head,,"[24.5, 64.9]",,High Pass,,14.187318,,,,,Nélson Cabral Semedo,6374.0,,,,,Recovery,1,From Throw In,Clément Lenglet,6826.0,Left Center Back,3,Villarreal,222,['1b15e9d9-3f0b-475b-9569-3c8ab5fc95b5'],32,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:32.319,Pass,,2019/2020
,,,,,,,,,,,,,,,,1.701372,,,,,,,,,,,,b254a7ea-b911-40e5-8898-8ad98f1a51a6,37,,,"[24.8, 65.0]",303725,0,,,,-0.5131122,,Left Foot,,"[44.5, 53.9]",,High Pass,,22.611944,,,Incomplete,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Throw In,Nélson Cabral Semedo,6374.0,Right Back,3,Villarreal,222,"['057611eb-42bd-4ffd-a6c9-1169d62ca875', 'f2e3432b-2e6b-471a-95c8-93a8e4458192']",33,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:33.527,Pass,,2019/2020
,,,,,,,,,,,,,,,,2.066772,,,,,,,,,,,,f2e3432b-2e6b-471a-95c8-93a8e4458192,39,,,"[75.6, 26.2]",303725,0,,,,1.419951,,Head,,"[77.5, 38.7]",,Low Pass,,12.643576,,,,,André-Frank Zambo Anguissa,3141.0,,,,,Recovery,1,From Throw In,Vicente Iborra De La Fuente,3497.0,Left Defensive Midfield,3,Villarreal,222,"['b254a7ea-b911-40e5-8898-8ad98f1a51a6', 'ee7186d2-c94c-4b08-88fb-2f10030f4011']",35,,,,,,,,,,,,,,,,,,,Villarreal,222,00:00:35.228,Pass,,2019/2020
,,,,,,,,,,,,,,,,3.588762,,,,,,,,,,,,b2b28514-8051-45bb-be61-0854fa8b3d96,41,,,"[77.3, 38.7]",303725,0,,,,1.6491168,,Right Foot,,"[74.2, 78.2]",,High Pass,,39.62146,,,,,Mario Gaspar Pérez Martínez,6772.0,,,,,,1,From Throw In,André-Frank Zambo Anguissa,3141.0,Right Defensive Midfield,3,Villarreal,222,['18392c80-cf4f-45c1-8c65-3a29e520c6c9'],37,,,,,,,,,,,,,,,,,,,Villarreal,222,00:00:37.295,Pass,,2019/2020
