50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,cf04d983-a2eb-4590-8415-de7c9f61c4b7,1,,,,303682,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6374, 'name': 'Nélson Cabral Semedo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 6826, 'name': 'Clément Lenglet'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 8118, 'name': 'Frenkie de Jong'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 30756, 'name': 'Anssumane Fati'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 31}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 17}]}",Barcelona,217,00:00:00.000,Starting XI,,2019/2020
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ee917936-9c91-4680-92ec-1b5f2467667d,2,,,,303682,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 23344, 'name': 'Aitor Fernández Abarisketa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 11676, 'name': 'Jorge Miramón Santagertrudis'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 6682, 'name': 'Sergio Postigo Redondo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 6592, 'name': 'Rúben Miguel Nunes Vezo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 6784, 'name': 'Antonio García Aranda'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 11669, 'name': 'Gonzalo Julián Melero Manzanares'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 17303, 'name': 'Nikola Vukčević'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 6680, 'name': 'Rubén Rochina Naixes'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 16}, {'player': {'id': 6688, 'name': 'José Ángel Gómez Campaña'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 24}, {'player': {'id': 6668, 'name': 'José Luis Morales Nogales'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 11}, {'player': {'id': 6684, 'name': 'Roger Martí Salvador'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Levante UD,221,00:00:00.000,Starting XI,,2019/2020
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6d1a2726-0112-4f2d-9571-b752c72405b6,3,,,,303682,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['627919ef-436a-4397-a3c6-4462a827b40a'],0,,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,627919ef-436a-4397-a3c6-4462a827b40a,4,,,,303682,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['6d1a2726-0112-4f2d-9571-b752c72405b6'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,cdd21efa-b83b-455b-acd7-e96a87856c25,2043,,,,303682,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,91,Barcelona,217,['0869b769-7cf4-49f6-8587-b965485ec6fa'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0869b769-7cf4-49f6-8587-b965485ec6fa,2044,,,,303682,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,91,Barcelona,217,['cdd21efa-b83b-455b-acd7-e96a87856c25'],0,,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,,,,,0.628033,,,,,,,,,,,,,321eca09-827b-4d70-b353-1ce28956e1e2,5,,,"[61.0, 40.1]",303682,0,,,,3.1221776,,Right Foot,,,"[50.7, 40.3]",,Ground Pass,,10.301942,,,José Ángel Gómez Campaña,6688.0,,,,,Kick Off,1,From Kick Off,Roger Martí Salvador,6684.0,Left Center Forward,2,Levante UD,221,['974363f5-3e6a-42ba-b308-80c15c3241bf'],0,,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.495,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,,0.756156,,,,,,,,,,,,,3e4425c2-8fd9-400b-84d9-4cd618e735c3,10,,,"[69.8, 33.7]",303682,0,,,,-0.9453113,,Right Foot,,,"[73.7, 28.3]",,Ground Pass,,6.661081,,,Gonzalo Julián Melero Manzanares,11669.0,,,,,,1,From Kick Off,José Ángel Gómez Campaña,6688.0,Left Midfield,2,Levante UD,221,"['886d578a-e28c-454e-95a6-117fc53859f7', '98cbe9b4-7629-423a-984f-ce6d243799cf']",4,,,,,,,,,,,,,,,,,Levante UD,221,00:00:04.370,Pass,True,2019/2020
,,,,,,,,,,,,,,,,,,,0.539836,,,,,,,,,,,,,3a1e6e1a-5889-4b85-acd8-341afadc0e95,12,,,"[75.9, 28.3]",303682,0,,,,-3.0727363,,Right Foot,,,"[73.0, 28.1]",,Ground Pass,,2.9068885,,,José Ángel Gómez Campaña,6688.0,,,,,,1,From Kick Off,Gonzalo Julián Melero Manzanares,11669.0,Right Defensive Midfield,2,Levante UD,221,['e4c88115-6553-4c8b-9307-762eeeb3b259'],5,,,,,,,,,,,,,,,,,Levante UD,221,00:00:05.126,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,,0.730136,,,,,,,,,,,,,82a99872-da97-47d1-857b-c18aa71717f0,15,,,"[77.6, 4.8]",303682,0,,,,-0.5633163,,Left Foot,,,"[79.5, 3.6]",,Ground Pass,,2.2472205,,,Antonio García Aranda,6784.0,,,,,,1,From Kick Off,José Ángel Gómez Campaña,6688.0,Left Midfield,2,Levante UD,221,['2144e705-bc46-4ba3-9f1f-b6a110fb29f6'],7,,,,,,,,,,,,,,,,,Levante UD,221,00:00:07.851,Pass,,2019/2020
