ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,1.202197,,,,,,,,,,,,,6ef138ec-b3d8-4b69-821a-60d148f11620,19,,"[45.3, 76.4]",68333,0,,,,,0.060639847,,Right Foot,,,,"[73.3, 78.1]",,Ground Pass,,28.05156,,,,,Ludovic Giuly,25878.0,,,,,,,1,From Kick Off,Oleguer Presas Renom,25873.0,Right Back,2,Barcelona,217,"['311a3f96-8342-472c-962f-dc0c6af4e801', 'cd6944a1-26ff-4ae5-99ef-f20541a7c81e']",9,,,,,,,,,,,,,,,,,Barcelona,217,00:00:09.570,Pass,True,2006/2007
,,,,,,,,,,,,,,0.9931,,,,,,,,,,,,,31dce8f3-116b-4204-8227-63b4a70ddff1,27,,"[59.8, 67.7]",68333,0,,,,,-2.130736,,Right Foot,,,,"[51.4, 54.3]",,Ground Pass,,15.815183,,,,,José Edmílson Gomes de Moraes,25910.0,,,,,,,1,From Kick Off,Ludovic Giuly,25878.0,Right Wing,2,Barcelona,217,['cb238590-97ed-4e2b-8395-6b7453ab3226'],13,,,,,,,,,,,,,,,,,Barcelona,217,00:00:13.641,Pass,,2006/2007
,,,,,,,,,,,,,,1.393999,,,,,,,,,,,,,15ccef7b-ec92-4597-8f9c-69b2d366e0a5,32,,"[49.1, 62.6]",68333,0,,,,,-2.5757384,,Left Foot,,,,"[34.3, 53.2]",,Ground Pass,,17.532825,,,,,Lilian Thuram,15071.0,,,,,,,1,From Kick Off,José Edmílson Gomes de Moraes,25910.0,Center Defensive Midfield,2,Barcelona,217,['8407b488-e3ee-41c0-9508-a17d0fe9a027'],16,,,,,,,,,,,,,,,,,Barcelona,217,00:00:16.142,Pass,,2006/2007
,,,,,,,,,,,,,,2.2013,,,,,,,,,,,,,c98f0a37-016e-4260-acf7-551c4b393e86,35,,"[32.2, 52.3]",68333,0,,,,,1.3535029,,Right Foot,,,,"[37.3, 75.4]",,Low Pass,,23.656288,,,,,Oleguer Presas Renom,25873.0,,,,,,,1,From Kick Off,Lilian Thuram,15071.0,Right Center Back,2,Barcelona,217,['b76bb60f-5e42-4f08-b9e5-6b06ba220b03'],17,,,,,,,,,,,,,,,,,Barcelona,217,00:00:17.536,Pass,,2006/2007
,,,,,,,,,,,,,,2.1393,,,,,,,,,,,,,7a7a587c-f477-4f28-b6c1-39e53c78f093,39,,"[36.6, 77.0]",68333,0,,,,,0.024762738,,Right Foot,,,,"[68.9, 77.8]",,High Pass,,32.309906,,,Incomplete,,Ludovic Giuly,25878.0,,,,,,,1,From Kick Off,Oleguer Presas Renom,25873.0,Right Back,2,Barcelona,217,"['20903da3-28da-495a-a13b-c3a4b9c52472', '722ed95a-b150-4da6-b62c-eb8dc1578c85']",21,,,,,,,,,,,,,,,,,Barcelona,217,00:00:21.029,Pass,,2006/2007
,,,,,,,,,,,,,,1.243831,,,,,,,,,,,,,d104b7f1-96ee-41b3-81ac-b0a777e8525d,42,,"[69.6, 80.0]",68333,0,,,,,-2.6087487,,,,,,"[57.9, 73.1]",,Low Pass,,13.583077,,,,,José Edmílson Gomes de Moraes,25910.0,,,,,,Throw-in,1,From Throw In,Oleguer Presas Renom,25873.0,Right Back,3,Barcelona,217,['f4ebc10c-2e88-4dbd-8eca-4960362aaa85'],30,,,,,,,,,,,,,,,,,Barcelona,217,00:00:30.308,Pass,,2006/2007
,,,,,,,,,,,,,,1.921489,,,,,,,,,,,,,80fbd5e4-3492-4ecf-8ada-c34e174774a2,46,,"[56.2, 74.5]",68333,0,,,,,-1.8943919,,Left Foot,,,,"[45.3, 42.0]",,Ground Pass,,34.27915,,,,,Carles Puyol i Saforcada,20125.0,,,,,,,1,From Throw In,José Edmílson Gomes de Moraes,25910.0,Center Defensive Midfield,3,Barcelona,217,"['16bb6821-5618-4da2-aefd-738c255b8ebb', 'a4bebaca-d63f-4f1b-bf93-eca00aa1e95d']",33,,,,,,,,,,,,,,,,,Barcelona,217,00:00:33.872,Pass,True,2006/2007
,,,,,,,,,,,,,,2.5307,,,,,,,,,,,,,51efdd65-d794-41df-9bc6-140fe39c8d0e,49,,"[44.5, 40.9]",68333,0,,,,,-1.3922887,,Left Foot,,,,"[50.4, 8.2]",,Ground Pass,,33.228,,,,,Giovanni van Bronckhorst,17797.0,,,,,,,1,From Throw In,Carles Puyol i Saforcada,20125.0,Left Center Back,3,Barcelona,217,['3c5b62cf-9fc0-4667-9c81-8b88383d5d0a'],37,,,,,,,,,,,,,,,,,Barcelona,217,00:00:37.389,Pass,,2006/2007
,,,,,,,,,,,,,,1.2412,,,,,,,,,,,,,d73fd016-8667-4a84-b8ff-ec49d98855ee,53,,"[47.0, 7.1]",68333,0,,,,,0.0,,Left Foot,,,,"[63.0, 7.1]",,Ground Pass,,16.0,,,,,Ronaldo de Assis Moreira,25879.0,,,,,,,1,From Throw In,Giovanni van Bronckhorst,17797.0,Left Back,3,Barcelona,217,"['97ba449d-9a17-4d2d-9775-f3816b38dcad', 'cdcfa397-cd37-43e4-a337-f28b128816ff']",40,,,,,,,,,,,,,,,,,Barcelona,217,00:00:40.265,Pass,True,2006/2007
,,,,,,,,,,,,,,3.209378,,,,,,,,,,,,,2262e690-9761-4989-8d29-c3b574abc14a,63,,"[69.2, 75.7]",68333,1,,,,,-1.179862,,Right Foot,,,,"[88.2, 29.6]",,High Pass,,49.861908,,,,,Ismael Urzáiz Aranda,15608.0,,,True,,,Free Kick,1,From Free Kick,Unai Expósito Medina,26032.0,Right Back,4,Athletic Club,215,['6b94bb21-7290-40df-b0ed-55e9fa5a1f38'],3,,,,,,,,,,,,,,,,,Athletic Club,215,00:01:03.299,Pass,,2006/2007
,,,,,,,,,,,,,,1.060195,,,,,,,,,,,,,85225f5e-e505-4b23-9f6e-522c2eb9709f,65,,"[88.2, 29.6]",68333,1,,,,,-0.1990819,,Head,,,,"[99.6, 27.3]",,High Pass,,11.6297035,,,Incomplete,,Igor Gabilondo del Campo,26034.0,,,,,,,1,From Free Kick,Ismael Urzáiz Aranda,15608.0,Center Forward,4,Athletic Club,215,"['f4c1ba35-8205-42f2-a71d-4756ba254e82', 'f8a58b41-b033-4b9c-9690-de2080ddba87']",6,,,,,,,,,,,,,,,,,Athletic Club,215,00:01:06.509,Pass,,2006/2007
,,,,,,,,,,,,,,1.7771,,,,,,,,,,,,,d2307ba2-ff00-4d27-ba40-96415ed0a256,70,,"[26.9, 55.8]",68333,1,,,,,0.8973204,,Right Foot,,,,"[42.3, 75.1]",,Ground Pass,,24.691092,,,,,Ludovic Giuly,25878.0,,,,,,,1,Regular Play,Lilian Thuram,15071.0,Right Center Back,5,Barcelona,217,['cf082a2c-f62f-4153-a0d3-0166e5c25ae7'],9,,,,,,,,,,,,,,,,,Barcelona,217,00:01:09.385,Pass,,2006/2007
,,,,,,,,,,,,,,1.1617,,,,,,,,,,,,,95d8d595-b54d-468b-8d59-31c901376020,76,,"[38.8, 80.0]",68333,1,,,,,-0.29083258,,,,,,"[53.5, 75.6]",,High Pass,,15.34438,,,,,Ludovic Giuly,25878.0,,,,,,Throw-in,1,From Throw In,Oleguer Presas Renom,25873.0,Right Back,6,Barcelona,217,['62a9d51f-7e49-446f-8a77-2953dba78bc7'],25,,,,,,,,,,,,,,,,,Barcelona,217,00:01:25.354,Pass,,2006/2007
