bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,player_off_permanent,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9a2f9eda-9e41-42c4-95b8-82048a408af2,3867,,"[109.2, 63.1]",9636,86,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Luis Alberto Suárez Díaz,5246.0,,Left Center Forward,172,Barcelona,217,"['dbce9155-c2ad-46d6-b4fb-c40b6c9b6e73', 'ebb3b438-cedb-48c7-a195-0ecbae954164']",55,,,,,,,,,,,,,,,,,,Barcelona,217,00:41:55.797,Ball Receipt*,True,2017/2018
,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82d2ef0c-282a-4bb7-a9c3-b85662c53dbf,3870,,"[114.0, 45.7]",9636,86,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,André Filipe Tavares Gomes,10802.0,,Left Midfield,172,Barcelona,217,['883960b6-6ce4-47e6-9d58-a02888daeda2'],59,,,,,,,,,,,,,,,,,,Barcelona,217,00:41:59.484,Ball Receipt*,,2017/2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5fbcc5f3-9ff4-4f02-8c8c-54b5977bbe66,3873,,"[116.2, 29.2]",9636,87,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,Gerard Piqué Bernabéu,5213.0,,Right Center Back,173,Barcelona,217,['919a4173-14aa-4687-adc0-eb8c14b91a00'],29,,,,,,,,,,,,,,,,,,Barcelona,217,00:42:29.725,Ball Receipt*,,2017/2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b7fb43a3-de0b-48a5-95d6-7b74d5bea3e3,3880,,"[96.0, 16.0]",9636,87,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,Ivan Rakitić,5470.0,,Right Defensive Midfield,173,Barcelona,217,['c5e48da7-78c5-4629-a24c-4c07b858dac1'],38,,,,,,,,,,,,,,,,,,Barcelona,217,00:42:38.190,Ball Receipt*,,2017/2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29991bef-e6a2-41bf-b417-d15e939d9b54,3882,,"[80.1, 7.7]",9636,87,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,Sergio Busquets i Burgos,5203.0,,Left Defensive Midfield,173,Barcelona,217,['77550dc0-6b8f-4ab3-a080-026a78ef4e79'],39,,,,,,,,,,,,,,,,,,Barcelona,217,00:42:39.158,Ball Receipt*,,2017/2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d439a55d-bcf3-4e7c-9f96-1540fd8929f1,3885,,"[78.8, 27.5]",9636,87,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,Sergi Roberto Carnicer,6379.0,,Right Back,173,Barcelona,217,['0ccf4a7d-e2d9-4604-999d-44acba981d29'],40,,,,,,,,,,,,,,,,,,Barcelona,217,00:42:40.366,Ball Receipt*,,2017/2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78578b5d-f094-46a3-b4d1-63e46181e8f4,3888,,"[102.1, 73.3]",9636,87,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,Lionel Andrés Messi Cuccittini,5503.0,,Right Center Forward,173,Barcelona,217,['4f907dd9-8693-4ddd-860f-5881166b0144'],45,,,,,,,,,,,,,,,,,,Barcelona,217,00:42:45.468,Ball Receipt*,,2017/2018
,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ee0a52da-51e1-4786-8b36-d6cc4d329fb4,3895,,"[112.3, 40.3]",9636,87,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,Gerard Piqué Bernabéu,5213.0,,Right Center Back,173,Barcelona,217,['05facbab-ff4d-4099-a6cb-b70b8ea5f41d'],50,,,,,,,,,,,,,,,,,,Barcelona,217,00:42:50.034,Ball Receipt*,,2017/2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,849d3957-c91c-4f29-99bd-db18d34c58ba,3905,,"[99.9, 36.3]",9636,87,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,Ivan Rakitić,5470.0,,Right Defensive Midfield,173,Barcelona,217,['3d38343a-ceaa-4e02-af8c-908917e447ce'],55,,,,,,,,,,,,,,,,,,Barcelona,217,00:42:55.044,Ball Receipt*,,2017/2018
,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f8d45bfe-b5ae-49fc-923e-e9746996be2d,3908,,"[105.6, 42.9]",9636,87,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,Luis Alberto Suárez Díaz,5246.0,,Left Center Forward,173,Barcelona,217,['08fb6f2c-746d-4469-8fa3-64ba702981ca'],56,,,,,,,,,,,,,,,,,,Barcelona,217,00:42:56.318,Ball Receipt*,,2017/2018
