ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,1.924988,,,,,,,,,,,,,,,2c41bbaf-7a00-4eda-8fce-f682e985f898,1772,,"[27.3, 23.4]",303400,36,,,,,2.1452863,,Right Foot,,,"[12.8, 45.8]",,Ground Pass,26.683516,,,,Jaume Doménech Sánchez,6898.0,,,,,,1,From Free Kick,Gabriel Armando de Abreu,6746.0,Left Center Back,68,Valencia,207,['ef765c54-6664-4567-b72d-885d8d469a34'],36,,,,,,,,,,,,,,,,,Valencia,207,00:36:36.615,Pass,,2019/2020
,,,,,,,,,,,,,,,1.995389,,,,,,,,,,,,,,,e0e9899c-20b0-417c-9157-f2105c81f1db,1776,,"[14.9, 41.8]",303400,36,,,,,-0.21310766,,Left Foot,,,"[45.4, 35.2]",,Low Pass,31.205929,,,,Carlos Soler Barragán,6583.0,,,,,,1,From Free Kick,Jaume Doménech Sánchez,6898.0,Goalkeeper,68,Valencia,207,"['9ec389a7-e7cf-474b-8615-66fe5fe4d5e1', 'e6eab6df-8edd-43d3-ae3f-a085ffd2bfd6']",40,,,,,,,,,,,,,,,,,Valencia,207,00:36:40.811,Pass,True,2019/2020
,,,,,,,,,,,,,,,0.757599,,,,,,,,,,,,,,,34f0ca55-04e1-4335-92fd-d40a299c1b27,1779,,"[45.4, 35.2]",303400,36,,,,,1.8822682,,Right Foot,,,"[38.8, 55.7]",,Low Pass,21.53625,,Incomplete,,Daniel Wass,6797.0,,,,,,1,From Free Kick,Carlos Soler Barragán,6583.0,Left Midfield,68,Valencia,207,"['750fc869-33df-4caa-a95d-c13e7d98a808', '9e7d4869-0771-4f5a-943d-a9bbc6e98828']",42,,,,,,,,,,,,,,,,,Valencia,207,00:36:42.875,Pass,,2019/2020
,,,,,,,,,,,,,,,1.075789,,,,,,,,,,,,,,,3ad72185-b2cd-4ade-ac30-082acd60c463,1783,,"[82.2, 22.8]",303400,36,,,,,0.5717292,,Right Foot,,,"[95.1, 31.1]",,Ground Pass,15.339492,,,,Arthur Henrique Ramos de Oliveira Melo,11392.0,,,,,,1,Regular Play,Anssumane Fati,30756.0,Right Wing Back,69,Barcelona,217,['a23a357e-c6bb-4a10-be77-46539d67f037'],44,,,,,,,,,,,,,,,,,Barcelona,217,00:36:44.601,Pass,,2019/2020
,,,,,,,,,,,,,,,3.422794,,,,,,,,,,,,,,,ac1d7e56-9ccc-49b6-80f6-bc8405467ee0,1789,,"[101.6, 40.1]",303400,36,,,,,1.0443659,,Right Foot,,,"[117.0, 66.6]",,Ground Pass,30.649796,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,Regular Play,Arthur Henrique Ramos de Oliveira Melo,11392.0,Left Center Midfield,69,Barcelona,217,"['73dae134-db47-42db-85a8-f98b109c3b94', '7c3c12f4-94d7-4bdf-88fb-d0554cba0461', '8f854f25-e7da-4d35-96a2-6f85bcbd95f3', 'ea3eb1e0-a80d-4363-8243-7135823c4c81']",47,,,,,,,,,,,,,,,,,Barcelona,217,00:36:47.467,Pass,True,2019/2020
,,,,,,,,,,,,,,,0.84168,,,,,,,,,,,,,,,4bc63b97-ee2c-43ad-b41e-f7887dbab4ec,1792,,"[110.4, 64.8]",303400,36,,,,,-2.251098,,Left Foot,,,"[99.8, 51.7]",,Low Pass,16.85141,,Incomplete,,Arthur Henrique Ramos de Oliveira Melo,11392.0,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Center Forward,69,Barcelona,217,"['6d2514c8-cf5f-4990-8336-385cdb69cc96', 'cbb6619e-7162-4219-9c84-476b4480161f']",54,,,,,,,,,,,,,,,,,Barcelona,217,00:36:54.544,Pass,,2019/2020
,,,,,,,,,,,,,,,0.714372,,,,,,,,,,,,,,,b307a754-898a-4a16-82a1-8b4bad6f37ea,1796,,"[29.1, 22.5]",303400,36,,,,,-1.1296169,,Right Foot,,,"[32.5, 15.3]",,Ground Pass,7.962412,,,,Kevin Gameiro,6401.0,,,,,,1,Regular Play,Francis Joseph Coquelin,3437.0,Right Center Midfield,70,Valencia,207,['0b520d72-52a2-4b58-8037-5bfcceb58574'],57,,,,,,,,,,,,,,,,,Valencia,207,00:36:57.199,Pass,,2019/2020
,,,,,,,,,,,,,,,0.879522,,,,,,,,,,,,,,,4996052b-c74d-4205-97b6-efedce7d0c68,1800,,"[42.2, 2.0]",303400,37,,,,,2.6149654,,Right Foot,,,"[29.3, 9.5]",,Ground Pass,14.921796,,,,José Luis Gayà Peña,6596.0,,,,,,1,Regular Play,Kevin Gameiro,6401.0,Right Center Forward,70,Valencia,207,['939723ff-95cf-4869-9f72-56c045f9a02f'],5,,,,,,,,,,,,,,,,,Valencia,207,00:37:05.294,Pass,,2019/2020
,,,,,,,,,,,,,,,3.177395,,,,,,,,,,,,,,,65fd26c5-d339-44bb-b444-f0c0bcf3b1b8,1803,,"[29.3, 9.4]",303400,37,,,,,0.18964924,,Left Foot,,,"[84.0, 19.9]",,High Pass,55.698654,,Incomplete,,Maximiliano Gómez González,6297.0,,,,,,1,Regular Play,José Luis Gayà Peña,6596.0,Left Back,70,Valencia,207,"['d0da8f4d-5ce4-43ee-bd6e-b0b96a4ee8af', 'e263a13f-149a-4f37-9db3-13742682f169']",6,,,,,,,,,,,,,,,,,Valencia,207,00:37:06.244,Pass,,2019/2020
,,,,,,,,,,,,,,,2.928123,,,,,,,,,,,,,,,d0da8f4d-5ce4-43ee-bd6e-b0b96a4ee8af,1805,,"[36.1, 60.2]",303400,37,,,,,-2.4890964,,Right Foot,,,"[14.9, 44.0]",,High Pass,26.68108,,,,Marc-André ter Stegen,20055.0,,,,,Recovery,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Center Back,71,Barcelona,217,"['25069b00-fc95-4043-b13e-aff5abe482d5', '65fd26c5-d339-44bb-b444-f0c0bcf3b1b8']",9,,,,,,,,,,,,,,,,,Barcelona,217,00:37:09.421,Pass,,2019/2020
,,,,,,,,,,,,,,,2.401941,,,,,,,,,,,,,,,3f0e52e3-f8f8-4877-9ac9-556daf9c25b1,1808,,"[14.9, 41.5]",303400,37,,,,,-0.8754658,,Right Foot,,,"[42.6, 8.3]",,High Pass,43.238064,,,,Jordi Alba Ramos,5211.0,,,,,,1,Regular Play,Marc-André ter Stegen,20055.0,Goalkeeper,71,Barcelona,217,['a2104416-e77d-423f-aa08-21458adc2ebe'],13,,,,,,,,,,,,,,,,,Barcelona,217,00:37:13.527,Pass,,2019/2020
,,,,,,,,,,,,,,,2.089146,,,,,,,,,,,,,,,5ef03a02-cdc5-4740-98aa-b82ee18af7b1,1811,,"[49.0, 18.2]",303400,37,,,,,1.9445832,,Left Foot,,,"[37.9, 46.5]",,Ground Pass,30.399014,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,Regular Play,Jordi Alba Ramos,5211.0,Left Wing Back,71,Barcelona,217,['5d77711b-b94d-4d55-a61b-e8dd09f559b7'],19,,,,,,,,,,,,,,,,,Barcelona,217,00:37:19.848,Pass,,2019/2020
,,,,,,,,,,,,,,,0.901041,,,,,,,,,,,,,,,8bbc1dd7-016c-4b6d-b87f-624c4854cbd8,1814,,"[42.7, 49.6]",303400,37,,,,,0.10827059,,Right Foot,,,"[51.9, 50.6]",,Ground Pass,9.254189,,,,Frenkie de Jong,8118.0,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Center Back,71,Barcelona,217,['eed2bf31-d972-4ea7-b973-d7736477d58c'],23,,,,,,,,,,,,,,,,,Barcelona,217,00:37:23.165,Pass,,2019/2020
,,,,,,,,,,,,,,,2.369036,,,,,,,,,,,,,,,7720c012-1a35-4e12-84ef-711461c453af,1817,,"[52.3, 53.5]",303400,37,,,,,0.8960554,,Right Foot,,,"[73.1, 79.5]",,Ground Pass,33.296246,,,,Antoine Griezmann,5487.0,,,,,,1,Regular Play,Frenkie de Jong,8118.0,Right Center Midfield,71,Barcelona,217,['dc38e635-408f-4347-b683-bd6fafd958e4'],25,,,,,,,,,,,,,,,,,Barcelona,217,00:37:25.496,Pass,,2019/2020
,,,,,,,,,,,,,,,1.516331,,,,,,,,,,,,,,,82bcc8d4-3869-4791-abde-962ad7b811e9,1820,,"[77.2, 76.1]",303400,37,,,,,-2.70175,,Left Foot,,,"[70.4, 72.9]",,Ground Pass,7.515318,,,,Frenkie de Jong,8118.0,,,,,,1,Regular Play,Antoine Griezmann,5487.0,Left Center Forward,71,Barcelona,217,['f6ee5ac5-c117-47b6-bdc7-32c76f717319'],30,,,,,,,,,,,,,,,,,Barcelona,217,00:37:30.708,Pass,,2019/2020
,,,,,,,,,,,,,,,0.559027,,,,,,,,,,,,,,,e157a6d6-f6df-4845-bf6c-4e24a6f9a893,1823,,"[80.2, 71.1]",303400,37,,,,,0.6360755,,Right Foot,,,"[86.7, 75.9]",,Ground Pass,8.080223,,,,Antoine Griezmann,5487.0,,,,,,1,Regular Play,Frenkie de Jong,8118.0,Right Center Midfield,71,Barcelona,217,['11fa5e82-6de7-48b6-b6cc-89974061bb77'],35,,,,,,,,,,,,,,,,,Barcelona,217,00:37:35.665,Pass,,2019/2020
,,,,,,,,,,,,,,,2.053175,,,,,,,,,,,,,,,c7fe5b12-56a5-4727-ab3b-84c425801843,1825,,"[86.7, 75.9]",303400,37,,,,,-2.8413112,,Left Foot,,,"[67.0, 69.8]",,Ground Pass,20.622803,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,Regular Play,Antoine Griezmann,5487.0,Left Center Forward,71,Barcelona,217,['4a44e5f2-0f4d-49a3-8d3e-0821812f2631'],36,,,,,,,,,,,,,,,,,Barcelona,217,00:37:36.224,Pass,,2019/2020
,,,,,,,,,,,,,,,1.646265,,,,,,,,,,,,,,,a897dcdd-46a7-46f8-854d-63dc8fe286ba,1828,,"[66.2, 68.6]",303400,37,,,,,-1.8444556,,Right Foot,,,"[59.8, 45.8]",,Ground Pass,23.681215,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,Regular Play,Sergi Roberto Carnicer,6379.0,Right Center Back,71,Barcelona,217,['11367c4e-9a15-4c6b-a8e3-8c5e2a56ed46'],38,,,,,,,,,,,,,,,,,Barcelona,217,00:37:38.833,Pass,,2019/2020
,,,,,,,,,,,,,,,1.156288,,,,,,,,,,,,,,,6cd2e9e9-860c-4207-960e-011cfe9e038b,1831,,"[60.0, 46.0]",303400,37,,,,,-0.90975314,,Right Foot,,,"[68.4, 35.2]",,Ground Pass,13.682105,,,,Arthur Henrique Ramos de Oliveira Melo,11392.0,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Center Back,71,Barcelona,217,['0283bd53-3c10-4f91-83e6-10c48b82b079'],40,,,,,,,,,,,,,,,,,Barcelona,217,00:37:40.807,Pass,,2019/2020
