50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.7749,,,,,,,,,,,,,,,,56896d02-0030-44a3-91bb-a600e51ef722,3364,,"[114.7, 0.1]",266498,82,,,,,1.7497135,,,,,,"[113.0, 9.5]",,Low Pass,,9.552486,,,,Sergi Roberto Carnicer,6379.0,,,,,Throw-in,2,From Throw In,Neymar da Silva Santos Junior,4320.0,Left Wing,146,Barcelona,217,['b12ddcc1-4044-4fd9-8f66-9a8536571a2b'],14,,,,,,,,,,,,,,,,,Barcelona,217,00:37:14.976,Pass,,2015/2016
,,,,,,,,,,,,,,,,,0.667196,,,,,,,,,,,,,,,,6448afc5-bebf-4360-b5c4-54f8b022f870,3366,,"[113.0, 9.5]",266498,82,,,,,-1.5707964,,Right Foot,,,,"[113.0, 2.3]",,Ground Pass,,7.2,,,,Neymar da Silva Santos Junior,4320.0,,,,,,2,From Throw In,Sergi Roberto Carnicer,6379.0,Left Center Midfield,146,Barcelona,217,['3783db13-59be-4f3e-9917-44c18a235851'],15,,,,,,,,,,,,,,,,,Barcelona,217,00:37:15.751,Pass,,2015/2016
,,,,,,,,,,,,,,,,,1.376622,,,,,,,,,,,,,,,,91c0b4c0-2efa-4b21-ac28-e56cf8159dd5,3372,,"[110.4, 0.1]",266498,82,,,,,2.8644319,,,,,,"[98.8, 3.4]",,High Pass,,12.060266,,,,Jordi Alba Ramos,5211.0,,,,,Throw-in,2,From Throw In,Neymar da Silva Santos Junior,4320.0,Left Wing,147,Barcelona,217,['6b77e2e3-6baf-4320-bbae-5cc4e6ee6d7b'],25,,,,,,,,,,,,,,,,,Barcelona,217,00:37:25.847,Pass,,2015/2016
,,,,,,,,,,,,,,,,,0.691729,,,,,,,,,,,,,,,,59df59d0-92cd-44fc-a55b-225a1b2dd009,3374,,"[98.8, 3.4]",266498,82,,,,,-0.03407771,,Head,,,,"[107.6, 3.1]",,Low Pass,,8.805112,,,,Neymar da Silva Santos Junior,4320.0,,,,,,2,From Throw In,Jordi Alba Ramos,5211.0,Left Back,147,Barcelona,217,['cb920120-43ab-4255-99f3-0949301bf3ac'],27,,,,,,,,,,,,,,,,,Barcelona,217,00:37:27.263,Pass,,2015/2016
,,,,,,,,,,,,,,,,,1.3288,,,,,,,,,,,,,,,,251083e1-5e6d-4f26-8d2c-634ffdb58541,3377,,"[107.6, 3.1]",266498,82,,,,,3.1082716,,Right Foot,,,,"[98.6, 3.4]",,High Pass,,9.004998,,,,Jordi Alba Ramos,5211.0,,,,,,2,From Throw In,Neymar da Silva Santos Junior,4320.0,Left Wing,147,Barcelona,217,['5f327a5b-d2e8-4b28-bdf8-4a83f3a90797'],28,,,,,,,,,,,,,,,,,Barcelona,217,00:37:28.299,Pass,,2015/2016
,,,,,,,,,,,,,,,,,1.0834,,,,,,,,,,,,,,,,4d14c1ea-0734-4af6-9542-4ae381206210,3379,,"[98.6, 3.4]",266498,82,,,,,0.3142319,,Head,,,,"[102.6, 4.7]",,High Pass,,4.2059484,,Incomplete,,Neymar da Silva Santos Junior,4320.0,,,,,,2,From Throw In,Jordi Alba Ramos,5211.0,Left Back,147,Barcelona,217,"['3cb86678-4c82-41f6-b0dd-0e471b753e91', '5d0f000a-8d8f-49e3-9257-df2c045bd7e4']",29,,,,,,,,,,,,,,,,,Barcelona,217,00:37:29.627,Pass,,2015/2016
,,,,,,,,,,,,,,,,,1.7603,,,,,,,,,,,,,,,,5d0f000a-8d8f-49e3-9257-df2c045bd7e4,3381,,"[17.5, 75.4]",266498,82,,,,,-0.17311311,,Head,,,,"[35.8, 72.2]",,Low Pass,,18.577675,,,,Bernard Mensah,27401.0,,,,,Recovery,2,From Counter,Emiliano Buendía,11813.0,Right Back,148,Getafe,216,"['0450d0d8-3160-40dd-9e21-5fbf016d672b', '4d14c1ea-0734-4af6-9542-4ae381206210']",30,,,,,,,,,,,,,,,,,Getafe,216,00:37:30.711,Pass,,2015/2016
,,,,,,,,,,,,,,,,,0.692498,,,,,,,,,,,,,,,,17112c73-343f-4a94-b382-8c6477f7abfd,3387,,"[53.5, 80.0]",266498,82,,True,,,-2.0232713,,,,,,"[50.0, 72.8]",,Low Pass,,8.005623,,,,Emiliano Buendía,11813.0,,,,,Throw-in,2,From Throw In,Bernard Mensah,27401.0,Center Attacking Midfield,149,Getafe,216,['d7eec16d-9eca-418b-933a-b7d18f0e8262'],53,,,,,,,,,,,,,,,,,Getafe,216,00:37:53.329,Pass,,2015/2016
,,,,,,,,,,,,,,,,,3.6267,,,,,,,,,,,,,,,,b8a1dc25-27b3-4be3-9fb5-b4dfa75066b3,3391,,"[50.0, 70.0]",266498,83,,,,,-1.0039545,,Right Foot,,,,"[86.6, 12.5]",,High Pass,,68.16018,,,,Moisés Gómez Bordonado,11675.0,,True,,,Free Kick,2,From Free Kick,Santiago Vergini,27403.0,Right Center Back,150,Getafe,216,['8bb01425-2c8a-48ae-a726-958d80d212ad'],6,,,,,,,,,,,,,,,,,Getafe,216,00:38:06.644,Pass,,2015/2016
,,,,,,,,,,,,,,,,,1.28069,,,,,,,,,,,,,,,,4e2f4f5a-7eda-4d6d-914f-68a5a00a1de5,3395,,"[84.8, 17.3]",266498,83,,,,,2.4008384,,Right Foot,,,,"[69.6, 31.2]",,Ground Pass,,20.59733,,,,Álvaro Medrán Just,6736.0,,,,,,2,From Free Kick,Moisés Gómez Bordonado,11675.0,Left Midfield,150,Getafe,216,['f368846c-7119-4c4a-9038-db60d02fb2d5'],13,,,,,,,,,,,,,,,,,Getafe,216,00:38:13.376,Pass,,2015/2016
,,,,,,,,,,,,,,,,,0.981245,,,,,,,,,,,,,,,,c1a3c887-ad01-459f-8775-d893a168365f,3398,,"[69.6, 31.2]",266498,83,,,,,1.6129401,,Right Foot,,,,"[68.9, 47.8]",,Ground Pass,,16.614752,,,,Juan Antonio Rodríguez Villamuela,25881.0,,,,,,2,From Free Kick,Álvaro Medrán Just,6736.0,Left Defensive Midfield,150,Getafe,216,['5df7ac2b-ba94-45ea-a892-11dfdf697ded'],16,,,,,,,,,,,,,,,,,Getafe,216,00:38:16.484,Pass,,2015/2016
,,,,,,,,,,,,,,,,,1.908258,,,,,,,,,,,,,,,,3ac6a586-31ac-4d85-90bd-218e62a6fd62,3401,,"[68.9, 47.8]",266498,83,,,,,1.0651566,,Right Foot,,,,"[81.8, 71.1]",,Ground Pass,,26.632687,,,,Emiliano Buendía,11813.0,,,,,,2,From Free Kick,Juan Antonio Rodríguez Villamuela,25881.0,Right Defensive Midfield,150,Getafe,216,['0b46fa11-722e-4b55-b6ba-7715843e8031'],18,,,,,,,,,,,,,,,,,Getafe,216,00:38:18.449,Pass,,2015/2016
,,,,,,,,,,,,,,,,,2.0335,,,,,,,,,,,,,,,,15ebbfbb-2401-425a-92c3-c32e7011e6cc,3404,,"[88.7, 70.2]",266498,83,,,,,-1.1128252,,Right Foot,True,,,"[109.6, 27.8]",,High Pass,,47.27124,,,,Moisés Gómez Bordonado,11675.0,,True,,,,2,From Free Kick,Emiliano Buendía,11813.0,Right Back,150,Getafe,216,['2bf5000b-538e-4cdf-bfa5-a47cf166919c'],21,,,,,,,,,,,,,,,,,Getafe,216,00:38:21.948,Pass,,2015/2016
,,,,,,,,,,,,,,,,,0.6932,,,,,,,,,,,,,,,,3ea29d7f-8bff-42ee-acbe-13c0cdfc683e,3408,,"[109.2, 23.0]",266498,83,,,,,1.8290485,a0ecc485-fe3d-4bdb-a980-31e4fbd02aa2,Right Foot,,,,"[106.4, 33.6]",,Ground Pass,,10.963576,,,,Abdoul Karim Yoda,27092.0,True,,,,,2,From Free Kick,Moisés Gómez Bordonado,11675.0,Left Midfield,150,Getafe,216,['247cf87d-1986-432e-bf6b-3dcfacd58dce'],26,,,,,,,,,,,,,,,,,Getafe,216,00:38:26.072,Pass,,2015/2016
,,,,,,,,,,,,,,,,,1.516,,,,,,,,,,,,,,,,fb4bf40c-f518-495e-97b6-964f95f5607a,3416,,"[120.0, 0.1]",266498,83,,,,,1.6429976,,Right Foot,,,,"[117.7, 31.9]",,High Pass,True,31.883068,,Incomplete,,,,,,Inswinging,,Corner,2,From Corner,Moisés Gómez Bordonado,11675.0,Left Midfield,151,Getafe,216,['7464fe0d-824b-42e4-b0cf-fe333eeb0115'],59,,,,,,,,,,,,,,,,,Getafe,216,00:38:59.578,Pass,,2015/2016
,,,,,,,,,,,,,,,,,1.3199,,,,,,,,,,,,,,,,4eee2862-018d-4ff9-8b7b-235144a8c68a,3418,,"[120.0, 0.1]",266498,84,,,,,1.6712528,,Right Foot,,,,"[116.2, 37.8]",,High Pass,True,37.89103,,Incomplete,,,,,,Inswinging,,Corner,2,From Corner,Moisés Gómez Bordonado,11675.0,Left Midfield,152,Getafe,216,['94a4c81b-93e7-4ba2-936a-9adb7f984879'],21,,,,,,,,,,,,,,,,,Getafe,216,00:39:21.750,Pass,,2015/2016
,,,,,,,,,,,,,,,,,3.154,,,,,,,,,,,,,,,,f2cdeabd-1f19-4012-ab51-4ce2a97f86df,3421,,"[92.9, 27.1]",266498,84,,,,,-1.6951513,,Right Foot,,,,"[89.8, 2.3]",,High Pass,,24.992998,,,,Moisés Gómez Bordonado,11675.0,,,,,Recovery,2,From Corner,Víctor Rodríguez Romero,15893.0,Right Midfield,152,Getafe,216,['7897c19f-08ad-4f86-abbf-37dec21fd255'],25,,,,,,,,,,,,,,,,,Getafe,216,00:39:25.441,Pass,,2015/2016
