50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,player_off_permanent,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.8244,,,,,,,,,,,,,,6b7d5f88-b58a-4db4-a699-872986595569,852,,"[82.8, 31.9]",70284,15,,,,1.0303768,,Right Foot,,,"[86.4, 37.9]",,Ground Pass,,6.9971423,,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,1,Regular Play,Andrés Iniesta Luján,5216.0,,Left Center Midfield,46,Barcelona,217,['9f46a0ca-c53f-43bc-b3ef-de256b3aa9ee'],36,,,,,,,,,,,,,,,,,,,Barcelona,217,00:15:36.993,Pass,,2012/2013
,,,,,,,,,,,,,,,,2.4322,,,,,,,,,,,,,,18abf49b-a2a0-48b8-b4c9-db46f18b5a3d,859,,"[31.1, 43.5]",70284,16,,,,0.27280784,,Drop Kick,,,"[86.5, 59.0]",,High Pass,,57.527473,,,,,Radamel Falcao García Zárate,3445.0,,,,,,,1,From Keeper,Thibaut Courtois,3509.0,,Goalkeeper,48,Atlético Madrid,212,['b94fe86d-6b34-4950-9519-43fd3984e7dc'],39,,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:16:39.573,Pass,,2012/2013
,,,,,,,,,,,,,,,,1.0928,,,,,,,,,,,,,,a7d2cbdc-76c6-4732-be6b-f2ecf7808310,861,,"[85.5, 59.2]",70284,16,,,,-2.501823,,Head,,,"[76.9, 52.8]",,High Pass,,10.720075,,,Incomplete,,,,,,,,,,1,Regular Play,Radamel Falcao García Zárate,3445.0,,Center Forward,49,Atlético Madrid,212,['0bff1983-469e-4901-a1fb-b2f4e65d8e53'],42,,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:16:42.125,Pass,,2012/2013
,,,,,,,,,,,,,,,,3.0137,,,,,,,,,,,,,,0bff1983-469e-4901-a1fb-b2f4e65d8e53,862,,"[44.1, 28.2]",70284,16,,,,2.8560135,,Right Foot,,,"[9.7, 38.3]",,High Pass,,35.85206,,,,,José Manuel Pinto Colorado,26005.0,,,,,,Recovery,1,Regular Play,Andrés Iniesta Luján,5216.0,,Left Center Midfield,50,Barcelona,217,"['a7d2cbdc-76c6-4732-be6b-f2ecf7808310', 'b0f78790-9b0f-4bfa-8300-58aad7eaf924']",43,,,,,,,,,,,,,,,,,,,Barcelona,217,00:16:43.218,Pass,,2012/2013
,,,,,,,,,,,,,,,,2.211536,,,,,,,,,,,,,,d3e467c3-4fb6-4561-9ac2-6d0fbe5a8cb9,865,,"[9.7, 38.3]",70284,16,,,,0.8546514,,Right Foot,,,"[25.8, 56.8]",,Ground Pass,,24.524681,,,,,Gerard Piqué Bernabéu,5213.0,,,,,,,1,Regular Play,José Manuel Pinto Colorado,26005.0,,Goalkeeper,50,Barcelona,217,['b24c43ca-1e7e-4d24-86c3-66a88a507fbd'],48,,,,,,,,,,,,,,,,,,,Barcelona,217,00:16:48.224,Pass,,2012/2013
,,,,,,,,,,,,,,,,1.017919,,,,,,,,,,,,,,0e7bfed9-5623-4cb1-b80a-bc2207629d6e,868,,"[25.8, 56.8]",70284,16,,,,-1.0186951,,Right Foot,,,"[33.5, 44.3]",,Ground Pass,,14.68128,,,,,Alexandre Dimitri Song-Billong,27053.0,,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,,Right Center Back,50,Barcelona,217,['e08e2db3-77ad-4a68-89b7-3e71f6397dfe'],50,,,,,,,,,,,,,,,,,,,Barcelona,217,00:16:50.707,Pass,,2012/2013
,,,,,,,,,,,,,,,,0.9237,,,,,,,,,,,,,,2e296de0-cec2-447c-bda5-938581f6d797,871,,"[40.2, 37.3]",70284,16,,,,-0.614394,,Right Foot,,,"[54.8, 27.0]",,Ground Pass,,17.867569,,,,,Andrés Iniesta Luján,5216.0,,,,,,,1,Regular Play,Alexandre Dimitri Song-Billong,27053.0,,Center Defensive Midfield,50,Barcelona,217,['904232a5-621a-4c3e-af71-00b7a8755407'],54,,,,,,,,,,,,,,,,,,,Barcelona,217,00:16:54.748,Pass,,2012/2013
,,,,,,,,,,,,,,,,1.879827,,,,,,,,,,,,,,23c35686-e262-4dc8-9d53-3a63eb0f4cfd,875,,"[57.8, 25.4]",70284,16,,,,-1.9550656,,Right Foot,,,"[50.4, 7.1]",,Ground Pass,,19.739553,,,,,Jordi Alba Ramos,5211.0,,,,,,,1,Regular Play,Andrés Iniesta Luján,5216.0,,Left Center Midfield,50,Barcelona,217,"['b738a8d4-2a56-446b-864b-45dab673c9fb', 'd2894022-dd8d-459c-89ae-89132008dd88']",55,,,,,,,,,,,,,,,,,,,Barcelona,217,00:16:55.772,Pass,True,2012/2013
,,,,,,,,,,,,,,,,1.0169,,,,,,,,,,,,,,7f266be0-2b80-498f-82ae-a6d432e676b3,878,,"[50.2, 11.5]",70284,16,,,,2.000778,,Left Foot,,,"[43.0, 27.2]",,Ground Pass,,17.272232,,,,,Adriano Correia Claro,22102.0,,,,,,,1,Regular Play,Jordi Alba Ramos,5211.0,,Left Back,50,Barcelona,217,['a9753bb4-f183-4208-8439-1ebcad665010'],59,,,,,,,,,,,,,,,,,,,Barcelona,217,00:16:59.875,Pass,,2012/2013
,,,,,,,,,,,,,,,,0.9477,,,,,,,,,,,,,,f50625b2-a4ad-4940-835c-e0f8b0f06bfe,881,,"[53.2, 20.6]",70284,17,,,,-2.511015,,Right Foot,,,"[43.2, 13.3]",,Ground Pass,,12.381034,,,,,Jordi Alba Ramos,5211.0,,,,,,,1,Regular Play,Adriano Correia Claro,22102.0,,Left Center Back,50,Barcelona,217,['c214f876-c75c-4c31-88a8-e7d0d599afd2'],3,,,,,,,,,,,,,,,,,,,Barcelona,217,00:17:03.558,Pass,,2012/2013
,,,,,,,,,,,,,,,,1.3459,,,,,,,,,,,,,,978b1363-601b-40b3-a5f8-8b6765ca88db,884,,"[40.9, 15.2]",70284,17,,,,1.5294975,,Left Foot,,,"[41.9, 39.4]",,Ground Pass,,24.220652,,,,,Alexandre Dimitri Song-Billong,27053.0,,,,,,,1,Regular Play,Jordi Alba Ramos,5211.0,,Left Back,50,Barcelona,217,['b249961c-8ad4-4eab-909f-0780b330d245'],4,,,,,,,,,,,,,,,,,,,Barcelona,217,00:17:04.952,Pass,,2012/2013
,,,,,,,,,,,,,,,,0.952501,,,,,,,,,,,,,,1a56ca5f-3cce-4b66-8b2d-c5d8506d967d,887,,"[52.8, 40.1]",70284,17,,,,0.892677,,Left Foot,,,"[58.6, 47.3]",,Ground Pass,,9.24554,,,,,Francesc Fàbregas i Soler,3478.0,,,,,,,1,Regular Play,Alexandre Dimitri Song-Billong,27053.0,,Center Defensive Midfield,50,Barcelona,217,['fdba33f2-bba9-4517-8a09-b477befee2ed'],7,,,,,,,,,,,,,,,,,,,Barcelona,217,00:17:07.934,Pass,,2012/2013
,,,,,,,,,,,,,,,,1.0278,,,,,,,,,,,,,,de1bfad4-59f4-4e89-a9a4-53ae97e0d49f,889,,"[58.6, 47.3]",70284,17,,,,-1.7126933,,Right Foot,,,"[57.6, 40.3]",,Ground Pass,,7.071068,,,,,Alexandre Dimitri Song-Billong,27053.0,,,,,,,1,Regular Play,Francesc Fàbregas i Soler,3478.0,,Right Center Midfield,50,Barcelona,217,['2ed7ada1-da60-43a5-bd40-bebcee6fe8d6'],8,,,,,,,,,,,,,,,,,,,Barcelona,217,00:17:08.887,Pass,,2012/2013
,,,,,,,,,,,,,,,,1.363101,,,,,,,,,,,,,,359be596-cab2-4e6a-a9ea-7cb18ac8db1f,892,,"[65.7, 41.9]",70284,17,,,,-1.4387884,,Right Foot,,,"[68.9, 17.8]",,Ground Pass,,24.31152,,,,,Jordi Alba Ramos,5211.0,,,,,,,1,Regular Play,Alexandre Dimitri Song-Billong,27053.0,,Center Defensive Midfield,50,Barcelona,217,['05102412-24ca-422e-85b4-f1b3d6fb7311'],11,,,,,,,,,,,,,,,,,,,Barcelona,217,00:17:11.673,Pass,,2012/2013
,,,,,,,,,,,,,,,,1.1538,,,,,,,,,,,,,,7a1d48e7-f1df-489f-bf28-62026d7731d9,895,,"[72.3, 19.7]",70284,17,,,,-0.99407995,,Left Foot,,,"[79.0, 9.4]",,Ground Pass,,12.287392,,,,,Cristian Tello Herrera,6658.0,,,,,,,1,Regular Play,Jordi Alba Ramos,5211.0,,Left Back,50,Barcelona,217,['d51440cf-aee9-46df-97a7-cde2053344aa'],15,,,,,,,,,,,,,,,,,,,Barcelona,217,00:17:15.211,Pass,,2012/2013
,,,,,,,,,,,,,,,,0.762001,,,,,,,,,,,,,,b7313555-ac48-48ab-9096-0dafd8fefb3a,897,,"[79.8, 6.3]",70284,17,,,,2.4879568,,Right Foot,,,"[75.1, 9.9]",,Ground Pass,,5.920304,,,,,Andrés Iniesta Luján,5216.0,,,,,,,1,Regular Play,Cristian Tello Herrera,6658.0,,Left Wing,50,Barcelona,217,['3265f090-b972-46b1-ae92-e167696028fa'],16,,,,,,,,,,,,,,,,,,,Barcelona,217,00:17:16.365,Pass,,2012/2013
,,,,,,,,,,,,,,,,1.3159,,,,,,,,,,,,,,309b22b8-1c61-41fb-a5a5-fa6ab347203d,900,,"[73.4, 7.9]",70284,17,,,,1.7574106,,Right Foot,,,"[70.7, 22.2]",,Ground Pass,,14.552663,,,,,Alexandre Dimitri Song-Billong,27053.0,,,,,,,1,Regular Play,Andrés Iniesta Luján,5216.0,,Left Center Midfield,50,Barcelona,217,['5a98171d-3080-4846-909f-2286d9dd93f7'],18,,,,,,,,,,,,,,,,,,,Barcelona,217,00:17:18.047,Pass,,2012/2013
,,,,,,,,,,,,,,,,1.5161,,,,,,,,,,,,,,e5aa0890-a83d-434d-8b42-24bf2aafc3fc,903,,"[66.7, 28.7]",70284,17,,,,1.3697749,,Right Foot,,,"[72.1, 55.2]",,Ground Pass,,27.044592,,,Incomplete,,,,,,,,,,1,Regular Play,Alexandre Dimitri Song-Billong,27053.0,,Center Defensive Midfield,50,Barcelona,217,['eb4c3810-3244-4220-b0b8-a4071b6b6812'],21,,,,,,,,,,,,,,,,,,,Barcelona,217,00:17:21.634,Pass,,2012/2013
,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,f0df984b-0964-438a-ad3f-6db56f067ed4,909,,"[59.9, 48.4]",70284,17,,,,1.1071488,,Left Foot,,,"[62.9, 54.4]",,Ground Pass,,6.708204,,,,,Francesc Fàbregas i Soler,3478.0,,,,,,Recovery,1,Regular Play,Adriano Correia Claro,22102.0,,Left Center Back,50,Barcelona,217,['b4b81df6-0f9a-4819-a2db-6cd1a6850e78'],26,,,,,,,,,,,,,,,,,,,Barcelona,217,00:17:26.139,Pass,,2012/2013
,,,,,,,,,,,,,,,,1.19077,,,,,,,,,,,,,,4934ef61-fae2-4d1a-bde7-d992af14c1b9,912,,"[58.6, 57.8]",70284,17,,,,1.0279497,,Right Foot,,,"[65.9, 69.9]",,Ground Pass,,14.131525,,,,,Daniel Alves da Silva,4324.0,,,,,,,1,Regular Play,Francesc Fàbregas i Soler,3478.0,,Right Center Midfield,50,Barcelona,217,['9f45ea29-71bc-4bc0-ad85-6503781e9309'],27,,,,,,,,,,,,,,,,,,,Barcelona,217,00:17:27.742,Pass,,2012/2013
,,,,,,,,,,,,,,,,1.0372,,,,,,,,,,,,,,6d42b6bc-4a12-48b7-8979-d014b980d589,916,,"[69.1, 71.1]",70284,17,,,,-1.0101093,,Right Foot,,,"[74.5, 62.5]",,Ground Pass,,10.154801,,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,1,Regular Play,Daniel Alves da Silva,4324.0,,Right Back,50,Barcelona,217,"['2439abab-6839-47df-bee5-c1b0d9333948', 'a05780c8-16ea-4846-99a6-b930059c6838']",28,,,,,,,,,,,,,,,,,,,Barcelona,217,00:17:28.955,Pass,True,2012/2013
,,,,,,,,,,,,,,,,1.383001,,,,,,,,,,,,,,fe2c2069-540e-44c2-8757-1079f9d480ac,928,,"[90.4, 55.4]",70284,17,,,,0.6202495,,Left Foot,,,"[99.5, 61.9]",,Ground Pass,,11.1830225,,,,,Daniel Alves da Silva,4324.0,,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,,Center Forward,50,Barcelona,217,['383574e2-eb22-4c10-a412-ae8d6272b716'],35,,,,,,,,,,,,,,,,,,,Barcelona,217,00:17:35.590,Pass,,2012/2013
,,,,,,,,,,,,,,,,2.523899,,,,,,,,,,,,,,85a0986c-d777-4a27-9cd6-8f5f628265c9,931,,"[99.5, 61.9]",70284,17,,,,-1.4834281,,Right Foot,,,"[103.1, 20.8]",,High Pass,,41.257362,,,,,Cristian Tello Herrera,6658.0,,,True,,,,1,Regular Play,Daniel Alves da Silva,4324.0,,Right Back,50,Barcelona,217,['1ec7ce4d-f694-49ea-890f-edafd43a56a6'],37,,,,,,,,,,,,,,,,,,,Barcelona,217,00:17:37.846,Pass,,2012/2013
,,,,,,,,,,,,,,,,0.1176,,,,,,,,,,,,,,91f68ffb-fe71-423d-8c53-4d0813370b4f,934,,"[106.9, 20.4]",70284,17,,,,1.6373645,,Left Foot,,,"[106.7, 23.4]",,Low Pass,,3.0066593,,,Incomplete,,,,,,,,,,1,Regular Play,Cristian Tello Herrera,6658.0,,Left Wing,50,Barcelona,217,['396d3d01-a158-4f44-b7c0-b2c074ebfe44'],41,,,,,,,,,,,,,,,,,,,Barcelona,217,00:17:41.781,Pass,,2012/2013
,,,,,,,,,,,,,,,,2.706331,,,,,,,,,,,,,,7d9575f5-e1c5-40e5-b3c1-9b2c9c5b5a5e,938,,"[85.2, 28.0]",70284,17,,,,1.2020541,,Left Foot,,,"[101.7, 70.7]",,High Pass,,45.77707,,,,,Daniel Alves da Silva,4324.0,,,True,,,,1,Regular Play,Jordi Alba Ramos,5211.0,,Left Back,50,Barcelona,217,['826255e1-9103-4dd8-bbfd-876046399259'],46,,,,,,,,,,,,,,,,,,,Barcelona,217,00:17:46.488,Pass,,2012/2013
,,,,,,,,,,,,,,,,2.915,,,,,,,,,,,,,,3f52c06b-862c-475b-b164-233eb0ad43cc,947,,"[27.9, 3.9]",70284,18,True,,,0.96532977,,Left Foot,,,"[74.0, 70.5]",,High Pass,,80.99858,,,Incomplete,,,,,,True,,,Free Kick,1,From Free Kick,Thibaut Courtois,3509.0,,Goalkeeper,52,Atlético Madrid,212,['12a56c14-5ec7-4f4e-b782-71707190ff8c'],21,,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:18:21.010,Pass,,2012/2013
,,,,,,,,,,,,,,,,1.1941,,,,,,,,,,,,,,3e964e8a-5b31-4798-ad3e-87c0d37ecd5c,951,,"[67.6, 64.8]",70284,18,,,,-3.0818348,,Right Foot,,,"[55.9, 64.1]",,Low Pass,,11.7209215,,,,,Gabriel Fernández Arenas,6384.0,,,,,,Recovery,1,From Free Kick,Radamel Falcao García Zárate,3445.0,,Center Forward,52,Atlético Madrid,212,"['5d86915a-ec62-4b81-88f0-5baa5e972ec0', 'dc72c90e-03bd-4f32-9f0d-c7eace9c87f3']",27,,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:18:27.903,Pass,True,2012/2013
,,,,,,,,,,,,,,,,0.7706,,,,,,,,,,,,,,f2c8ad7c-47c6-41ce-92b2-763a43b09e0a,954,,"[56.1, 64.1]",70284,18,,,,-2.019139,,Right Foot,,,"[52.3, 56.2]",,Low Pass,,8.766413,,,,,Tiago Cardoso Mendes,20669.0,,,,,,,1,From Free Kick,Gabriel Fernández Arenas,6384.0,,Right Center Midfield,52,Atlético Madrid,212,['cf809819-e6b1-4534-a997-73a59cdaba41'],29,,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:18:29.177,Pass,,2012/2013
,,,,,,,,,,,,,,,,1.5046,,,,,,,,,,,,,,e0ff3d78-e642-432b-bc54-331aeb6ae2ed,958,,"[50.7, 55.6]",70284,18,,,,-0.6769814,,Right Foot,,,"[67.0, 42.5]",,Ground Pass,,20.911718,,,,,Jorge Resurrección Merodio,5199.0,,,,,,,1,From Free Kick,Tiago Cardoso Mendes,20669.0,,Center Defensive Midfield,52,Atlético Madrid,212,"['01a74a09-57b7-4e11-b8e5-ab77f541ce93', 'acc4b29f-38af-4584-89d6-4d1f695af2b6']",29,,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:18:29.988,Pass,True,2012/2013
,,,,,,,,,,,,,,,,1.185068,,,,,,,,,,,,,,5441fbfb-8117-4911-8bd5-1ceeb16006c4,961,,"[68.0, 39.1]",70284,18,,,,-1.3036538,,Right Foot,,,"[70.6, 29.6]",,Ground Pass,,9.849365,,,,,Arda Turan,11094.0,,,,,,,1,From Free Kick,Jorge Resurrección Merodio,5199.0,,Left Center Midfield,52,Atlético Madrid,212,['f85e44fb-3b80-4231-a42a-a73e28dd7c5d'],32,,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:18:32.313,Pass,,2012/2013
,,,,,,,,,,,,,,,,0.692,,,,,,,,,,,,,,c302196e-c9ae-4d29-9cc2-f70680e8f252,973,,"[83.5, 30.2]",70284,18,,,,2.2318394,,Right Foot,,,"[79.3, 35.6]",,Ground Pass,,6.8410525,,,,,Gabriel Fernández Arenas,6384.0,,,,,,,1,From Free Kick,Jorge Resurrección Merodio,5199.0,,Left Center Midfield,52,Atlético Madrid,212,['1b81e01f-788b-4b48-a029-24bb3d10a20c'],46,,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:18:46.369,Pass,,2012/2013
,,,,,,,,,,,,,,,,1.159303,,,,,,,,,,,,,,98e946b0-2456-4735-a2bc-e753390e47e6,976,,"[79.3, 35.6]",70284,18,,,,1.2256386,7b9271b7-1093-488c-871c-534744e379b9,Right Foot,,,"[85.7, 53.4]",,Ground Pass,,18.915602,,,,,Adrián López Álvarez,6735.0,True,,,,,,1,From Free Kick,Gabriel Fernández Arenas,6384.0,,Right Center Midfield,52,Atlético Madrid,212,['a21ddcd9-74ef-4530-af00-3db5945d838b'],47,,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:18:47.993,Pass,,2012/2013
