ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.976781,,,,,,,,,,,,,e69f3d2c-171f-4590-8330-0a8cba65cf41,1636,,"[38.1, 71.8]",303524,36,,,,,0.31763536,,Right Foot,,,,"[45.4, 74.2]",,Low Pass,,7.6843996,,,,Frenkie de Jong,8118.0,,,,,Recovery,1,Regular Play,Ivan Rakitić,5470.0,Center Defensive Midfield,78,Barcelona,217,"['06874ec0-fce9-482e-bb1b-9951ba2531da', '97a7ce8f-06d1-43ca-9e37-b948f49ac51e']",33,,,,,,,,,,,,,,,,Barcelona,217,00:36:33.933,Pass,,2019/2020
,,,,,,,,,,,,,,,,,0.692824,,,,,,,,,,,,,cf6f154b-0547-488f-a329-e36ef2f8e1cc,1639,,"[45.0, 74.0]",303524,36,,,,,-2.1401095,,Right Foot,,,,"[41.8, 69.0]",,Ground Pass,,5.936329,,,,Ivan Rakitić,5470.0,,,,,,1,Regular Play,Frenkie de Jong,8118.0,Right Center Midfield,78,Barcelona,217,['5a9af5c3-cdd1-4997-afc3-f93113062416'],35,,,,,,,,,,,,,,,,Barcelona,217,00:36:35.659,Pass,,2019/2020
,,,,,,,,,,,,,,,,,0.783397,,,,,,,,,,,,,3e595d4d-95fe-4b66-83a4-50d862838b75,1642,,"[42.4, 66.9]",303524,36,,,,,2.183513,,Right Foot,,,,"[35.3, 77.0]",,Ground Pass,,12.345849,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,Regular Play,Ivan Rakitić,5470.0,Center Defensive Midfield,78,Barcelona,217,['76ecce3b-3e92-456c-b703-286c07565c6f'],36,,,,,,,,,,,,,,,,Barcelona,217,00:36:36.391,Pass,,2019/2020
,,,,,,,,,,,,,,,,,1.070409,,,,,,,,,,,,,aeb03f26-45e6-44df-bd21-3cf42f589f46,1645,,"[35.5, 78.0]",303524,36,,,,,-2.101012,,Right Foot,,,,"[30.4, 69.3]",,Ground Pass,,10.084641,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,Regular Play,Sergi Roberto Carnicer,6379.0,Right Back,78,Barcelona,217,['1c2e8368-97cb-41dc-aa2c-5bd61918d47c'],37,,,,,,,,,,,,,,,,Barcelona,217,00:36:37.255,Pass,,2019/2020
,,,,,,,,,,,,,,,,,1.962018,,,,,,,,,,,,,db0b19fe-f7a1-484d-9b15-072f77c2e665,1648,,"[30.2, 67.1]",303524,36,,,,,-1.5766102,,Right Foot,,,,"[30.0, 32.7]",,Ground Pass,,34.40058,,,,Clément Lenglet,6826.0,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,78,Barcelona,217,['2f09b2b5-146e-49e1-8e5c-df98dc292db0'],39,,,,,,,,,,,,,,,,Barcelona,217,00:36:39.958,Pass,,2019/2020
,,,,,,,,,,,,,,,,,1.708439,,,,,,,,,,,,,d53aa402-9305-4e85-9812-814f0541f0b6,1652,,"[47.5, 26.0]",303524,36,,,,,-0.7454195,,Left Foot,,,,"[65.7, 9.2]",,Ground Pass,,24.768528,,,,Héctor Junior Firpo Adames,17304.0,,,,,,1,Regular Play,Clément Lenglet,6826.0,Left Center Back,78,Barcelona,217,"['3b395fcb-eb91-48b3-863f-6bb9af418f5d', 'ac89bc02-7c85-45c4-8e4b-1b0c11453d3f']",44,,,,,,,,,,,,,,,,Barcelona,217,00:36:44.698,Pass,True,2019/2020
,,,,,,,,,,,,,,,,,1.239619,,,,,,,,,,,,,67790ccd-1858-433f-b7cc-08ab59b30432,1655,,"[76.6, 7.7]",303524,36,,,,,1.674321,,Left Foot,,,,"[75.8, 15.4]",,Ground Pass,,7.741447,,,,Antoine Griezmann,5487.0,,,,,,1,Regular Play,Héctor Junior Firpo Adames,17304.0,Left Back,78,Barcelona,217,['cdcb91f9-5d77-43c2-8bc8-ee58e3e7b2fa'],49,,,,,,,,,,,,,,,,Barcelona,217,00:36:49.720,Pass,,2019/2020
,,,,,,,,,,,,,,,,,1.561512,,,,,,,,,,,,,1fc660c4-c84f-450d-86af-f5b16bc07e5a,1658,,"[65.3, 12.1]",303524,36,,,,,-3.0389247,,Left Foot,,,,"[48.8, 10.4]",,Ground Pass,,16.587345,,,,Clément Lenglet,6826.0,,,,,,1,Regular Play,Antoine Griezmann,5487.0,Left Wing,78,Barcelona,217,['0189a50d-47c5-4768-994b-565801278cd0'],52,,,,,,,,,,,,,,,,Barcelona,217,00:36:52.941,Pass,,2019/2020
,,,,,,,,,,,,,,,,,2.04,,,,,,,,,,,,,89237526-4924-42ba-8509-4898baf93f84,1661,,"[50.9, 27.3]",303524,36,,,,,1.6265155,,Left Foot,,,,"[49.5, 52.4]",,Ground Pass,,25.139013,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,Regular Play,Clément Lenglet,6826.0,Left Center Back,78,Barcelona,217,['10f6d7c8-262f-4773-8052-46012ea8e3e9'],57,,,,,,,,,,,,,,,,Barcelona,217,00:36:57.998,Pass,,2019/2020
,,,,,,,,,,,,,,,,,1.821317,,,,,,,,,,,,,e1847655-d376-41ef-99fb-9749be3dc9e4,1664,,"[50.5, 54.9]",303524,37,,,,,0.72297937,,Right Foot,,,,"[77.7, 78.9]",,Ground Pass,,36.27451,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,78,Barcelona,217,['b3973ea5-84ad-4950-8acf-5ff4fb6aac75'],0,,,,,,,,,,,,,,,,Barcelona,217,00:37:00.943,Pass,,2019/2020
,,,,,,,,,,,,,,,,,1.990708,,,,,,,,,,,,,62361c6f-5316-4cc5-bed0-9df2db769a46,1667,,"[77.5, 78.0]",303524,37,,,,,-3.1240506,,Right Foot,,,,"[66.1, 77.8]",,Ground Pass,,11.401754,,,,Frenkie de Jong,8118.0,,,,,,1,Regular Play,Sergi Roberto Carnicer,6379.0,Right Back,78,Barcelona,217,['cf1b90b5-5f18-4efa-9ccb-8b64d503171c'],3,,,,,,,,,,,,,,,,Barcelona,217,00:37:03.505,Pass,,2019/2020
,,,,,,,,,,,,,,,,,1.085806,,,,,,,,,,,,,133b2862-480a-42ca-9cb2-9049885de2bf,1670,,"[66.6, 74.8]",303524,37,,,,,-1.8084847,,Right Foot,,,,"[61.9, 55.4]",,Ground Pass,,19.961212,,,,Ivan Rakitić,5470.0,,,,,,1,Regular Play,Frenkie de Jong,8118.0,Right Center Midfield,78,Barcelona,217,['89b6396e-986c-4e93-9ab1-c91ee5bd08f0'],6,,,,,,,,,,,,,,,,Barcelona,217,00:37:06.540,Pass,,2019/2020
,,,,,,,,,,,,,,,,,0.946897,,,,,,,,,,,,,f0448ed9-0155-4595-ba0d-50f222464c34,1673,,"[61.6, 55.4]",303524,37,,,,,2.896614,,Right Foot,,,,"[54.8, 57.1]",,Ground Pass,,7.0092797,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,Regular Play,Ivan Rakitić,5470.0,Center Defensive Midfield,78,Barcelona,217,['a341b186-89c3-471a-87ac-da4aab86dfff'],7,,,,,,,,,,,,,,,,Barcelona,217,00:37:07.788,Pass,,2019/2020
,,,,,,,,,,,,,,,,,1.678222,,,,,,,,,,,,,a4fec424-b3ac-4de2-9771-73764779efdf,1676,,"[54.8, 57.1]",303524,37,,,,,-1.7154107,,Right Foot,,,,"[51.8, 36.5]",,Ground Pass,,20.8173,,,,Clément Lenglet,6826.0,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,78,Barcelona,217,['8b8f8a16-6503-4eb1-ba3c-ba2b7a3512e5'],8,,,,,,,,,,,,,,,,Barcelona,217,00:37:08.775,Pass,,2019/2020
,,,,,,,,,,,,,,,,,1.081933,,,,,,,,,,,,,9300cc9f-2fd7-4400-8c1f-59ddc37992e4,1679,,"[65.3, 32.3]",303524,37,,,,,1.1987286,,Left Foot,,,,"[71.7, 48.7]",,Ground Pass,,17.604546,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,Regular Play,Clément Lenglet,6826.0,Left Center Back,78,Barcelona,217,['1b46ee18-7650-4c23-8756-184c2266667d'],13,,,,,,,,,,,,,,,,Barcelona,217,00:37:13.366,Pass,,2019/2020
,,,,,,,,,,,,,,,,,1.281973,,,,,,,,,,,,,954001ca-9459-4066-b64d-44b49da86480,1686,,"[78.1, 36.3]",303524,37,,,,,-1.8692952,,Left Foot,,,,"[74.5, 24.6]",,Ground Pass,,12.241323,,,,Arthur Henrique Ramos de Oliveira Melo,11392.0,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,78,Barcelona,217,['35e69f17-bf62-41e9-9c59-919119d544c8'],17,,,,,,,,,,,,,,,,Barcelona,217,00:37:17.327,Pass,,2019/2020
,,,,,,,,,,,,,,,,,1.226722,,,,,,,,,,,,,fc57792a-4356-4c78-9d1f-92b462f9ed88,1689,,"[74.1, 21.6]",303524,37,,,,,-0.8811049,,Right Foot,,,,"[85.4, 7.9]",,Ground Pass,,17.758942,,,,Antoine Griezmann,5487.0,,,,,,1,Regular Play,Arthur Henrique Ramos de Oliveira Melo,11392.0,Left Center Midfield,78,Barcelona,217,['dbbfa593-0611-4293-a7fe-b14322216218'],19,,,,,,,,,,,,,,,,Barcelona,217,00:37:19.433,Pass,,2019/2020
,,,,,,,,,,,,,,,,,2.020433,,,,,,,,,,,,,62963b8c-22f1-4ff9-86d3-f1a44cdf2db7,1692,,"[85.0, 14.1]",303524,37,,,,,0.06999616,,Left Foot,,,,"[112.1, 16.0]",,Ground Pass,,27.166523,,,,Luis Alberto Suárez Díaz,5246.0,,,,,,1,Regular Play,Antoine Griezmann,5487.0,Left Wing,78,Barcelona,217,['08882185-2d03-4442-90ac-20bc13bd1527'],22,,,,,,,,,,,,,,,,Barcelona,217,00:37:22.326,Pass,,2019/2020
,,,,,,,,,,,,,,,,,0.322586,,,,,,,,,,,,,61db12bc-4973-4311-8581-6ff0ac472317,1696,,"[117.7, 13.6]",303524,37,,,,,1.8370484,,Left Foot,,,,"[116.8, 16.9]",,Ground Pass,,3.4205263,,Incomplete,,,,,,,,,1,Regular Play,Luis Alberto Suárez Díaz,5246.0,Center Forward,78,Barcelona,217,"['4eb1c072-7aa9-4b0a-a68d-8d208898c1a7', 'a8c245d4-e03c-4c82-8a3f-cf9db6f45c85']",25,,,,,,,,,,,,,,,,Barcelona,217,00:37:25.954,Pass,True,2019/2020
,,,,,,,,,,,,,,,,,1.689341,,,,,,,,,,,,,e36a15c0-7f48-436a-91b3-e5a4ae341438,1698,,"[120.0, 0.1]",303524,37,,,,,1.6564449,,Right Foot,,,,"[116.6, 39.7]",,High Pass,True,39.745693,,Incomplete,,,,,,Inswinging,,Corner,1,From Corner,Arthur Henrique Ramos de Oliveira Melo,11392.0,Left Center Midfield,79,Barcelona,217,['50842474-37eb-4088-8d82-b1d19697480c'],50,,,,,,,,,,,,,,,,Barcelona,217,00:37:50.934,Pass,,2019/2020
,,,,,,,,,,,,,,,,,1.099611,,,,,,,,,,,,,be255684-0d3d-45d7-8cfb-cc8fe41d7f21,1700,,"[3.5, 40.4]",303524,38,,True,,,-0.5419993,,Keeper Arm,,,,"[22.1, 29.2]",,Ground Pass,,21.711748,,,,Jorge Resurrección Merodio,5199.0,,,,,,1,From Keeper,Jan Oblak,6378.0,Goalkeeper,80,Atlético Madrid,212,['9f151356-bc62-46a3-b5cb-0601d2de34e8'],0,,,,,,,,,,,,,,,,Atlético Madrid,212,00:38:00.369,Pass,,2019/2020
,,,,,,,,,,,,,,,,,2.071983,,,,,,,,,,,,,c87850f1-74c2-4a30-8f48-2bff82e079cb,1703,,"[64.9, 14.7]",303524,38,,,,,-1.1191003,,Right Foot,,,,"[69.8, 4.6]",,Ground Pass,,11.225863,,,,João Félix Sequeira,12041.0,,,,,,1,From Keeper,Jorge Resurrección Merodio,5199.0,Left Midfield,80,Atlético Madrid,212,"['82f4eddf-262f-4fbc-bf2c-69cf63ef65c1', 'ca113b91-74d1-4371-af9e-48707236155a']",3,,,,,,,,,,,,,,,,Atlético Madrid,212,00:38:03.669,Pass,True,2019/2020
,,,,,,,,,,,,,,,,,1.304568,,,,,,,,,,,,,892979ad-29c0-4708-80ae-37bddc477ebe,1706,,"[61.9, 16.6]",303524,38,,,,,1.1612719,,Right Foot,,,,"[77.7, 53.0]",,High Pass,,39.68123,,Incomplete,,Álvaro Borja Morata Martín,3477.0,,,,,,1,From Keeper,João Félix Sequeira,12041.0,Left Center Forward,80,Atlético Madrid,212,"['0bb5cc76-b357-4178-8e1f-14912b8b425c', 'f06d8b5c-bfbc-4195-b45c-041298a5be32']",9,,,,,,,,,,,,,,,,Atlético Madrid,212,00:38:09.425,Pass,,2019/2020
