bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,01c8fad6-5d14-4d39-a2f8-b7f34bf17fbc,1,,,69259,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Madrid,220,,0,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 11179, 'name': 'Iker Casillas Fernández'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5201, 'name': 'Sergio Ramos García'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 7030, 'name': 'Raúl Albiol i Tortajada'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 6891, 'name': 'Ezequiel Marcelo Garay'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 19}, {'player': {'id': 20215, 'name': 'Álvaro Arbeloa Coca'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 26036, 'name': 'Fernando Rubén Gago'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 20133, 'name': 'Xabier Alonso Olano'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 22}, {'player': {'id': 5552, 'name': 'Marcelo Vieira da Silva Júnior'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 19724, 'name': 'Rafael van der Vaart'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 5497, 'name': 'Gonzalo Gerardo Higuaín'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 20}, {'player': {'id': 5207, 'name': 'Cristiano Ronaldo dos Santos Aveiro'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Real Madrid,220,00:00:00.000,Starting XI,,2009/2010
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f1d86c33-9ae9-4a3f-a110-9391d4a8379e,2,,,69259,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Madrid,220,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 25919, 'name': 'Gabriel Alejandro Milito'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 26613, 'name': 'Maxwell Scherrer Cabelino Andrade'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 20169, 'name': 'Seydou Kéita'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 2}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2009/2010
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,75a341c4-b6a3-4a31-9eb6-dab0ee9406f4,3,,,69259,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Madrid,220,['1efa0ab5-dca2-46b5-a564-dbf3dafcd74f'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1efa0ab5-dca2-46b5-a564-dbf3dafcd74f,4,,,69259,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Madrid,220,['75a341c4-b6a3-4a31-9eb6-dab0ee9406f4'],0,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2bb30c8c-c931-4850-a698-77cf1e961a38,1706,,,69259,45,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,117,Barcelona,217,['8e58a733-9b1d-4ee7-9d52-ca0eedb6c86b'],0,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8e58a733-9b1d-4ee7-9d52-ca0eedb6c86b,1707,,,69259,45,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,117,Barcelona,217,['2bb30c8c-c931-4850-a698-77cf1e961a38'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,,,,,0.62185,,,,,,,,,,,,,3a7d35b8-be9c-44f5-a258-98c53a27535a,5,,"[60.0, 40.0]",69259,0,,,,,-2.226492,,Right Foot,,"[58.0, 37.4]",,Ground Pass,,3.2802439,,,Rafael van der Vaart,19724.0,,,,,Kick Off,1,From Kick Off,Gonzalo Gerardo Higuaín,5497.0,Right Center Forward,2,Real Madrid,220,['1d06bdd0-538f-4297-a176-fd67afea4799'],2,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:02.904,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,1.398441,,,,,,,,,,,,,ba693f13-34c0-4934-8012-d9eb82ae3179,8,,"[56.7, 37.8]",69259,0,,,,,2.0704489,,Left Foot,,"[44.2, 60.7]",,Ground Pass,,26.089462,,,Sergio Ramos García,5201.0,,,,,,1,From Kick Off,Rafael van der Vaart,19724.0,Center Attacking Midfield,2,Real Madrid,220,['9c82d8f4-a12a-4290-8dd1-75a425831c33'],3,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:03.897,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,1.801963,,,,,,,,,,,,,8925f5ac-89d1-4a11-9160-2b97e251edd4,11,,"[43.0, 59.7]",69259,0,,,,,-2.1369207,,Right Foot,,"[29.4, 38.3]",,Ground Pass,,25.355867,,,Raúl Albiol i Tortajada,7030.0,,,,,,1,From Kick Off,Sergio Ramos García,5201.0,Right Back,2,Real Madrid,220,['41fd4e92-48e5-4cba-9552-2ecd1ca1f796'],5,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:05.527,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,3.62285,,,,,,,,,,,,,42526b19-51b7-484e-a81c-07144a9d4248,14,,"[30.0, 45.1]",69259,0,,,,,0.19448012,,Right Foot,,"[82.8, 55.5]",,High Pass,,53.814495,Incomplete,,Gonzalo Gerardo Higuaín,5497.0,,,,,,1,From Kick Off,Raúl Albiol i Tortajada,7030.0,Right Center Back,2,Real Madrid,220,"['2a4288f8-3fe5-4a94-8610-690f416ce94b', 'b8391950-c56e-4c49-bca2-7ae75c375ad6']",8,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:08.373,Pass,,2009/2010
