ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.866,,,,,,,,,,,,80030331-0c10-4cde-ae2a-83f5ff0813b7,17,,"[32.0, 23.0]",9928,0,,,,1.5707964,,Left Foot,,,"[32.0, 54.0]",,Ground Pass,,31.0,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Thomas Vermaelen,6332.0,Left Center Back,2,Barcelona,217,['7cdf9366-4376-4b35-a465-38e5e961b723'],11,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:11.288,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.718,,,,,,,,,,,,622feac6-8334-470c-a11c-f0951f01a140,20,,"[44.0, 61.0]",9928,0,,,,-2.1962814,,Right Foot,,,"[31.0, 43.0]",,Ground Pass,,22.203604,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['a8902f50-01f1-4d2c-95ef-b8417bf4ee83'],17,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:17.959,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.695,,,,,,,,,,,,f1c6274a-33dc-4104-855d-17d34dfc62da,23,,"[39.0, 38.0]",9928,0,,,,-1.2924967,,Right Foot,,,"[47.0, 10.0]",,Ground Pass,,29.12044,,,,Thomas Vermaelen,6332.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['ff10e2cb-6397-4625-a6a7-896afa3e099d'],22,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:22.073,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.223,,,,,,,,,,,,5cf67355-1fd7-4a4d-8693-cbf81f756a16,26,,"[47.0, 10.0]",9928,0,,,,-0.24497867,,Right Foot,,,"[71.0, 4.0]",,Ground Pass,,24.738634,,,,Lucas Digne,6849.0,,,,,,1,From Kick Off,Thomas Vermaelen,6332.0,Left Center Back,2,Barcelona,217,['e38ab9e9-d34c-462c-b01b-1ab052627e28'],24,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:24.834,Pass,,2017/2018
,,,,,,,,,,,,,,,,0.984,,,,,,,,,,,,0fe74650-a5dc-44ce-bc06-1d6e41c85317,29,,"[65.0, 4.0]",9928,0,,,,1.3854483,,Left Foot,,,"[68.0, 20.0]",,Ground Pass,,16.27882,,,,Andrés Iniesta Luján,5216.0,,,,,,1,From Kick Off,Lucas Digne,6849.0,Left Back,2,Barcelona,217,['67763a3f-adae-48eb-b0dc-7ae4ea44a79a'],27,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:27.645,Pass,,2017/2018
,,,,,,,,,,,,,,,,0.218,,,,,,,,,,,,d120bb5d-4f68-4a54-b0d1-9d0ed8c7d02f,33,,"[66.0, 11.0]",9928,0,,,,-0.7853982,,Right Foot,,,"[71.0, 6.0]",,Ground Pass,,7.071068,,Incomplete,,Lucas Digne,6849.0,,,,,,1,From Kick Off,Andrés Iniesta Luján,5216.0,Left Center Midfield,2,Barcelona,217,"['bcac1240-79f9-4d23-b53e-3c02dc62b710', 'e1cb8059-64e1-47b9-a727-36f25c51b6da']",29,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:29.705,Pass,,2017/2018
,,,,,,,,,,,,,,,,0.671,,,,,,,,,,,,26094459-27dd-4572-8a10-df7b6cff5fb4,36,,"[46.0, 75.0]",9928,0,,,,0.0,,Right Foot,,,"[53.0, 75.0]",,Ground Pass,,7.0,,,,Pablo Fornals Malla,6764.0,,,,,Recovery,1,Regular Play,Rodrigo Hernández Cascante,6765.0,Right Center Midfield,3,Villarreal,222,['4313544f-e916-4f9c-97f0-8e9624ec453a'],30,,,,,,,,,,,,,,,,,,,Villarreal,222,00:00:30.900,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.221,,,,,,,,,,,,1018a817-11f1-499f-a79e-9227ccaf867a,39,,"[54.0, 74.0]",9928,0,,,,-0.5191461,,Right Foot,,,"[82.0, 58.0]",,Ground Pass,,32.24903,,,,Carlos Arturo Bacca Ahumada,5688.0,,,,,,1,Regular Play,Pablo Fornals Malla,6764.0,Right Center Forward,3,Villarreal,222,['c9309ed1-630c-4d3d-8117-a02d119cc969'],32,,,,,,,,,,,,,,,,,,,Villarreal,222,00:00:32.598,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.434,,,,,,,,,,,,02a4f095-5c31-48bf-b8f3-3ae8424ed8e3,42,,"[82.0, 58.0]",9928,0,,,,1.3734008,,Right Foot,,,"[85.0, 73.0]",,Ground Pass,,15.297058,,,,Samuel Castillejo Azuaga,6829.0,,,,,,1,Regular Play,Carlos Arturo Bacca Ahumada,5688.0,Left Center Forward,3,Villarreal,222,['558752b7-c659-4d90-a16d-fb03bf6ec639'],34,,,,,,,,,,,,,,,,,,,Villarreal,222,00:00:34.468,Pass,,2017/2018
,,,,,,,,,,,,,,,,2.015,,,,,,,,,,,,f4e6a96d-244f-40a3-a8bd-3c4dde207bdf,45,,"[95.0, 65.0]",9928,0,,,,-0.6857295,,Left Foot,True,,"[117.0, 47.0]",,Ground Pass,,28.42534,True,Incomplete,,Carlos Arturo Bacca Ahumada,5688.0,,,,,,1,Regular Play,Samuel Castillejo Azuaga,6829.0,Right Midfield,3,Villarreal,222,"['0733bd23-0d37-4a70-8b1e-ba1f777b9307', 'd2f42c57-ac9d-464d-a605-32349d3d9be1']",39,,,,,,,,,,,,,,,,,,,Villarreal,222,00:00:39.597,Pass,,2017/2018
