ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,fc3d3202-06f4-4be4-bfe0-40c033d02fae,1,,,266166,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atlético Madrid,212,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6378, 'name': 'Jan Oblak'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6375, 'name': 'Juan Francisco Torres Belén'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5259, 'name': 'José María Giménez de Vargas'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 5249, 'name': 'Diego Roberto Godín Leal'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 6320, 'name': 'Filipe Luís Kasmirski'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 6384, 'name': 'Gabriel Fernández Arenas'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 20669, 'name': 'Tiago Cardoso Mendes'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 12021, 'name': 'Óliver Torres Muñoz'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 5199, 'name': 'Jorge Resurrección Merodio'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 6}, {'player': {'id': 6382, 'name': 'Fernando José Torres Sanz'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",Atlético Madrid,212,00:00:00.000,Starting XI,,2015/2016
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,90db3c89-7087-4003-b930-b1405f39f14d,2,,,266166,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atlético Madrid,212,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 6332, 'name': 'Thomas Vermaelen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 6998, 'name': 'Rafael Alcântara do Nascimento'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 12}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2015/2016
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2f941282-5a12-4c4a-b317-2239c8f2b887,3,,,266166,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atlético Madrid,212,['0fa6db4d-51fd-443c-9b3b-ca55c3219030'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0fa6db4d-51fd-443c-9b3b-ca55c3219030,4,,,266166,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atlético Madrid,212,['2f941282-5a12-4c4a-b317-2239c8f2b887'],0,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,7076e733-4e12-4f71-93f2-21891b7e857a,1959,,,266166,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,93,Barcelona,217,['47e0315c-07ed-4e82-b691-1f73459008c2'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,47e0315c-07ed-4e82-b691-1f73459008c2,1960,,,266166,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,93,Barcelona,217,['7076e733-4e12-4f71-93f2-21891b7e857a'],0,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,,,0.866277,,,,,,,,,,,,9978200a-cb7b-4913-8704-ad7c2f53fce4,5,,"[61.0, 40.1]",266166,0,,,,-2.0344439,,Right Foot,,,,"[59.5, 37.1]",,Ground Pass,,3.354102,,,,Neymar da Silva Santos Junior,4320.0,,,,,,Kick Off,1,From Kick Off,Luis Alberto Suárez Díaz,5246.0,Center Forward,2,Barcelona,217,['69fd603b-d1b8-4558-92c2-447860859384'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.231,Pass,,2015/2016
,,,,,,,,,,,,,,,,,1.477994,,,,,,,,,,,,8c2a2a1b-40bc-4bc7-9e09-13009c073443,8,,"[59.7, 36.2]",266166,0,,,,2.619353,,Right Foot,,,,"[31.9, 52.2]",,Ground Pass,,32.075535,,,,Javier Alejandro Mascherano,5506.0,,,,,,,1,From Kick Off,Neymar da Silva Santos Junior,4320.0,Left Wing,2,Barcelona,217,['adcda8a9-897a-46da-ad8c-b4b7b49fb0b2'],2,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:02.459,Pass,,2015/2016
,,,,,,,,,,,,,,,,,1.409901,,,,,,,,,,,,86a81947-c1f9-4cd9-a6c7-77224af4c24c,12,,"[34.5, 54.9]",266166,0,,,,1.2687062,,Right Foot,,,,"[41.2, 76.4]",,Ground Pass,,22.51977,,,,Sergi Roberto Carnicer,6379.0,,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Right Center Back,2,Barcelona,217,"['23e86e7e-0aad-4496-bda0-2282c44e4518', '2bc23993-f926-443c-b962-db5712e36acf']",5,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:05.016,Pass,True,2015/2016
,,,,,,,,,,,,,,,,,1.480507,,,,,,,,,,,,165b2d53-f3b4-4043-8388-c84986613e82,16,,"[42.0, 74.9]",266166,0,,,,0.11998821,,Right Foot,,,,"[56.1, 76.6]",,Ground Pass,,14.202112,,,,Ivan Rakitić,5470.0,,,,,,,1,From Kick Off,Sergi Roberto Carnicer,6379.0,Right Back,2,Barcelona,217,"['1c2f55bc-0d6a-4500-9ff9-784bcfd354f8', 'b8f33271-ab82-4d14-ae1a-8d096b65efb6']",7,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:07.483,Pass,True,2015/2016
,,,,,,,,,,,,,,,,,0.6464,,,,,,,,,,,,da1babcb-df5f-43f9-9598-d0bbc919a38f,20,,"[64.3, 74.9]",266166,0,,,,-0.579564,,Right Foot,,,,"[69.8, 71.3]",,Ground Pass,,6.5734315,,,,Rafael Alcântara do Nascimento,6998.0,,,,,,,1,From Kick Off,Ivan Rakitić,5470.0,Right Center Midfield,2,Barcelona,217,['58eea08c-d621-443b-b6b1-ffa2584133e3'],9,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:09.638,Pass,,2015/2016
,,,,,,,,,,,,,,,,,1.6209,,,,,,,,,,,,d4ebfac5-cd2c-48df-b75d-1a0d4968f1a8,25,,"[69.5, 69.2]",266166,0,,,,2.8838215,,Left Foot,,,,"[58.5, 72.1]",,Ground Pass,,11.375852,,Incomplete,,Ivan Rakitić,5470.0,,,,,,,1,From Kick Off,Rafael Alcântara do Nascimento,6998.0,Right Wing,2,Barcelona,217,"['00789973-35c8-4bec-b400-be0eeb55e6f4', '103e4900-c02a-45c6-89a0-e17299994871', 'dc4bd059-7446-4e4b-895b-ca99602264ad']",11,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:11.272,Pass,True,2015/2016
,,,,,,,,,,,,,,,,,0.85332,,,,,,,,,,,,00789973-35c8-4bec-b400-be0eeb55e6f4,27,,"[61.6, 8.0]",266166,0,,,,0.3277385,,Right Foot,,,,"[71.6, 11.4]",,Ground Pass,,10.562197,,,,Antoine Griezmann,5487.0,,,,,,Recovery,1,Regular Play,Jorge Resurrección Merodio,5199.0,Left Midfield,3,Atlético Madrid,212,"['d4ebfac5-cd2c-48df-b75d-1a0d4968f1a8', 'd9185b9f-6e72-4207-8f49-d3885e32a363']",12,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:12.893,Pass,,2015/2016
,,,,,,,,,,,,,,,,,0.624377,,,,,,,,,,,,fc5d5105-7554-463a-9487-63535301992c,30,,"[71.6, 11.4]",266166,0,,,,-1.6356404,,Left Foot,,,,"[71.1, 3.7]",,Ground Pass,,7.7162166,,,,Jorge Resurrección Merodio,5199.0,,,,,,,1,Regular Play,Antoine Griezmann,5487.0,Left Center Forward,3,Atlético Madrid,212,['7b7996a5-2f1f-4a66-8ff3-15e29be5725f'],13,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:13.811,Pass,,2015/2016
,,,,,,,,,,,,,,,,,1.706824,,,,,,,,,,,,b9412bac-7433-4621-87cf-9890a01a7483,36,,"[79.6, 0.1]",266166,0,,,,0.65284663,,,,,,"[96.6, 13.1]",,Low Pass,,21.400934,,,,Fernando José Torres Sanz,6382.0,,,,,,Throw-in,1,From Throw In,Filipe Luís Kasmirski,6320.0,Left Back,4,Atlético Madrid,212,['fecc7297-ec17-4a6d-ad6e-0b56b99cf875'],30,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:30.696,Pass,,2015/2016
,,,,,,,,,,,,,,,,,0.9929,,,,,,,,,,,,548df29c-4e77-4539-a0db-d94a62a7c377,39,,"[89.6, 15.8]",266166,0,,,,3.0971775,,Right Foot,,,,"[85.1, 16.0]",,Low Pass,,4.504442,,Incomplete,,,,,,,,,,1,From Throw In,Fernando José Torres Sanz,6382.0,Right Center Forward,4,Atlético Madrid,212,['711285fb-5500-49eb-9f5f-2d12630db756'],33,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:33.779,Pass,,2015/2016
,,,,,,,,,,,,,,,,,0.627748,,,,,,,,,,,,0f398208-2899-4bde-955f-66bfa1f1685e,45,,"[81.9, 17.5]",266166,0,,,,1.7514149,,Left Foot,,,,"[79.8, 29.0]",,Ground Pass,,11.690166,,,,Óliver Torres Muñoz,12021.0,,,,,,,1,From Throw In,Tiago Cardoso Mendes,20669.0,Left Defensive Midfield,4,Atlético Madrid,212,['175eb438-3d1c-4719-896c-833d68025b92'],36,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:36.942,Pass,,2015/2016
,,,,,,,,,,,,,,,,,0.776666,,,,,,,,,,,,c9624d7d-f07e-45fc-9d15-b9525958c775,48,,"[79.8, 29.0]",266166,0,,,,-2.7969453,,Right Foot,,,,"[72.0, 26.2]",,Ground Pass,,8.28734,,,,Gabriel Fernández Arenas,6384.0,,,,,,,1,From Throw In,Óliver Torres Muñoz,12021.0,Right Midfield,4,Atlético Madrid,212,['4209448d-058e-4117-bf9e-10e621133661'],37,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:37.767,Pass,,2015/2016
,,,,,,,,,,,,,,,,,1.964696,,,,,,,,,,,,37bdf306-208d-4e1f-aaf7-d6c57f9027fe,51,,"[72.0, 26.2]",266166,0,,,,1.4363341,,Right Foot,,,,"[77.1, 63.9]",,High Pass,,38.043396,,,,Juan Francisco Torres Belén,6375.0,,,,,,,1,From Throw In,Gabriel Fernández Arenas,6384.0,Right Defensive Midfield,4,Atlético Madrid,212,['45156475-e585-47ff-9b92-fd4bc3366c20'],38,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:38.584,Pass,,2015/2016
,,,,,,,,,,,,,,,,,0.571893,,,,,,,,,,,,eff5f43f-157b-430a-8e54-e438918b87fd,54,,"[87.5, 76.0]",266166,0,,,,-1.4864897,,Right Foot,,,,"[88.7, 61.8]",,Ground Pass,,14.250614,,,,Óliver Torres Muñoz,12021.0,,,,,,,1,From Throw In,Juan Francisco Torres Belén,6375.0,Right Back,4,Atlético Madrid,212,['e3773f79-fbbf-4d02-ba40-a97c6b02d831'],45,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:45.180,Pass,,2015/2016
,,,,,,,,,,,,,,,,,0.928748,,,,,,,,,,,,b895e95e-8194-4bf0-a59a-3f14d54ad18b,57,,"[94.4, 55.7]",266166,0,,,,0.6706398,,Right Foot,,,,"[112.3, 69.9]",,Ground Pass,,22.848413,,,,Juan Francisco Torres Belén,6375.0,,,,,,,1,From Throw In,Óliver Torres Muñoz,12021.0,Right Midfield,4,Atlético Madrid,212,['15bd0e23-0ff3-48f0-92e9-335aec713053'],49,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:49.154,Pass,,2015/2016
,,,,,,,,,,,,,,,,,1.424841,,,,,,,,,,,,4a70a75c-cf77-448e-b08e-2b00b12189bf,60,,"[112.3, 69.6]",266166,0,,,,-1.8007008,4332cadf-4b3f-4230-9138-edd592d5f014,Right Foot,True,,,"[105.7, 41.4]",,High Pass,,28.962044,,,,Fernando José Torres Sanz,6382.0,True,,,,,,1,From Throw In,Juan Francisco Torres Belén,6375.0,Right Back,4,Atlético Madrid,212,['487753d0-ed7b-472d-bc97-6f297df6b274'],51,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:51.052,Pass,,2015/2016
,,,,,,,,,,,,,,,,,1.798663,,,,,,,,,,,,6f8fbb3e-961d-423c-a51e-234e1979c6e5,65,,"[7.0, 44.1]",266166,1,True,,,0.66153747,,Right Foot,,,,"[21.0, 55.0]",,Ground Pass,,17.742886,,,,Sergio Busquets i Burgos,5203.0,,,,,,Goal Kick,1,From Goal Kick,Marc-André ter Stegen,20055.0,Goalkeeper,5,Barcelona,217,['f326da68-619b-4dec-b544-beb382871331'],4,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:04.852,Pass,,2015/2016
,,,,,,,,,,,,,,,,,1.417414,,,,,,,,,,,,765fe890-59e6-4642-9f0a-09b566859f37,67,,"[22.1, 57.7]",266166,1,,,,1.3684747,,Right Foot,,,,"[26.1, 77.2]",,Ground Pass,,19.906029,,,,Sergi Roberto Carnicer,6379.0,,,,,,,1,From Goal Kick,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,5,Barcelona,217,['05f7ab5f-6096-475c-8da2-a7a962817d80'],6,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:06.742,Pass,,2015/2016
