50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,30610a0f-c2c3-4ecf-9394-e988ba259634,1,,,70289,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,,0,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6755, 'name': 'Sergio Asenjo Andrés'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6772, 'name': 'Mario Gaspar Pérez Martínez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 7034, 'name': 'Mateo Pablo Musacchio'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 6746, 'name': 'Gabriel Armando de Abreu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 27155, 'name': 'Bojan Jokić'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 6622, 'name': 'Tomás Pina Isla'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 22819, 'name': 'Bruno Soriano Llido'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 6771, 'name': 'Manuel Trigueros Muñoz'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 25921, 'name': 'Rubén Gracia Calmache'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 23865, 'name': 'Jérémy Perbet'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 5987, 'name': 'Giovani dos Santos Ramírez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Villarreal,222,00:00:00.000,Starting XI,,2013/2014
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,bf2d5cfc-0974-49e0-80ff-b54321d1c129,2,,,70289,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,,0,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 26005, 'name': 'José Manuel Pinto Colorado'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 7068, 'name': 'Marc Bartra Aregall'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 22102, 'name': 'Adriano Correia Claro'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3385, 'name': 'Alexis Alejandro Sánchez Sánchez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2013/2014
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8378c3dc-324b-44de-8ca0-b66608a36d66,3,,,70289,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,['bef4b051-82be-4f36-9a6d-807fe548ac1f'],0,,,,,,,,,,,,,,,Villarreal,222,00:00:00.000,Half Start,,2013/2014
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,bef4b051-82be-4f36-9a6d-807fe548ac1f,4,,,70289,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,['8378c3dc-324b-44de-8ca0-b66608a36d66'],0,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2013/2014
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2e892cef-ba1d-47ec-a3f0-396a4e02c346,1996,,,70289,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,85,Villarreal,222,['3f5208e5-5a20-4089-a37e-89a1318475a9'],0,,,,,,,,,,,,,,,Villarreal,222,00:00:00.000,Half Start,,2013/2014
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3f5208e5-5a20-4089-a37e-89a1318475a9,1997,,,70289,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,85,Villarreal,222,['2e892cef-ba1d-47ec-a3f0-396a4e02c346'],0,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2013/2014
,,,,,,,,,,,,,,,,,,,,0.222577,,,,,,,,,,,,,694b0629-15ef-458b-a9d5-916b0d750a19,5,,"[61.0, 41.0]",70289,0,,,,,-1.4157996,,Right Foot,,,"[61.5, 37.8]",,Ground Pass,,3.238827,,,,,Jérémy Perbet,23865.0,,,,,Kick Off,1,From Kick Off,Giovani dos Santos Ramírez,5987.0,Center Forward,2,Villarreal,222,['73f157bf-323a-48db-8880-1e5599e2ae74'],0,,,,,,,,,,,,,,,Villarreal,222,00:00:00.247,Pass,,2013/2014
,,,,,,,,,,,,,,,,,,,,0.659472,,,,,,,,,,,,,569eb72e-796b-4672-b6dd-96d4c39855d4,8,,"[61.3, 37.6]",70289,0,,,,,2.9917803,,Left Foot,,,"[45.4, 40.0]",,Ground Pass,,16.080112,,,,,Bruno Soriano Llido,22819.0,,,,,,1,From Kick Off,Jérémy Perbet,23865.0,Left Wing,2,Villarreal,222,['d7b2d1de-069d-4699-8671-0340d4335c50'],0,,,,,,,,,,,,,,,Villarreal,222,00:00:00.977,Pass,,2013/2014
,,,,,,,,,,,,,,,,,,,,1.82439,,,,,,,,,,,,,efce32f7-4414-4833-8ce3-eec5a480ad5f,11,,"[43.9, 42.1]",70289,0,,,,,-1.773918,,Left Foot,,,"[36.3, 5.2]",,Ground Pass,,37.674526,,,,,Bojan Jokić,27155.0,,,,,,1,From Kick Off,Bruno Soriano Llido,22819.0,Left Defensive Midfield,2,Villarreal,222,['77f99ead-6141-48df-8b49-7dc2f427e06c'],3,,,,,,,,,,,,,,,Villarreal,222,00:00:03.946,Pass,,2013/2014
,,,,,,,,,,,,,,,,,,,,2.5583,,,,,,,,,,,,,de6c7f6d-78fe-4dc5-86f2-32d0b6c88a49,14,,"[36.3, 5.2]",70289,0,,,,,0.22868682,,Left Foot,,,"[82.7, 16.0]",,High Pass,,47.64032,,,Incomplete,,Jérémy Perbet,23865.0,,,,,,1,From Kick Off,Bojan Jokić,27155.0,Left Back,2,Villarreal,222,"['884515bd-a5fa-4c2b-a1dc-f2a678f2df78', 'd4cc61b0-b9e7-4ec9-9bb2-e057dc9a844c']",7,,,,,,,,,,,,,,,Villarreal,222,00:00:07.390,Pass,,2013/2014
