50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,,0.905741,,,,,,,,,,,,,207710d8-b6ae-4d41-a4e8-11a91936c98e,2212,,"[80.8, 71.6]",69334,51,,,,1.080839,,Left Foot,,,"[84.0, 77.6]",,Ground Pass,,6.8,,,,Daniel Alves da Silva,4324.0,,,,,,2,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,123,Barcelona,217,['2d7ce8c3-bdae-4d41-9378-ef8cb89f4e96'],25,,,,,,,,,,,,,,,,,,Barcelona,217,00:06:25.412,Pass,,2011/2012
,,,,,,,,,,,,,,,,,,,0.537303,,,,,,,,,,,,,8af7dfee-b108-4d0f-9d60-23c70fc2fccf,2216,,"[83.1, 77.6]",69334,51,,,,-1.8037755,,Right Foot,,,"[81.7, 71.7]",,Low Pass,,6.063827,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,2,From Throw In,Daniel Alves da Silva,4324.0,Right Back,123,Barcelona,217,"['836d0c02-c46e-4f45-a931-1b8ed83136c2', 'c4d1a0de-dae2-4e68-a1df-77f9f405d333']",26,,,,,,,,,,,,,,,,,,Barcelona,217,00:06:26.558,Pass,True,2011/2012
,,,,,,,,,,,,,,,,,,,0.621917,,,,,,,,,,,,,3f0b8eb9-3745-4ae4-9ea4-0a064e3ed5f1,2219,,"[81.8, 71.6]",69334,51,,,,1.3182421,,Left Foot,,,"[83.4, 77.8]",,Low Pass,,6.4031243,,,,Daniel Alves da Silva,4324.0,,,,,,2,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,123,Barcelona,217,['9b8bbb9c-e4c6-4cb6-b595-7cf6208dc170'],27,,,,,,,,,,,,,,,,,,Barcelona,217,00:06:27.269,Pass,,2011/2012
,,,,,,,,,,,,,,,,,,,1.810994,,,,,,,,,,,,,1c60a631-f55b-4caa-8e8c-75b90075c413,2223,,"[73.3, 71.7]",69334,51,,,,-2.3061044,,Left Foot,,,"[55.3, 51.8]",,Ground Pass,,26.833002,,,,Sergio Busquets i Burgos,5203.0,,,,,,2,From Throw In,Daniel Alves da Silva,4324.0,Right Back,123,Barcelona,217,['4ed06878-7f1f-40f2-b2c8-660c967b74f9'],30,,,,,,,,,,,,,,,,,,Barcelona,217,00:06:30.821,Pass,,2011/2012
,,,,,,,,,,,,,,,,,,,2.003368,,,,,,,,,,,,,5ece21b9-48a9-479a-87d7-2ba8dbb41da3,2226,,"[55.6, 49.7]",69334,51,,,,-1.5397718,,Left Foot,,,"[56.5, 20.7]",,Ground Pass,,29.013962,,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,2,From Throw In,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,123,Barcelona,217,['fd2a6414-ac49-49c9-9a62-c9c4960c11ff'],33,,,,,,,,,,,,,,,,,,Barcelona,217,00:06:33.516,Pass,,2011/2012
,,,,,,,,,,,,,,,,,,,0.783367,,,,,,,,,,,,,c21e9c55-a140-4ae6-9ae9-389011720e3c,2230,,"[56.2, 22.5]",69334,51,,,,0.888209,,Left Foot,,,"[67.5, 36.4]",,Ground Pass,,17.913681,,,,Xavier Hernández Creus,20131.0,,,,,,2,From Throw In,Eric-Sylvain Bilal Abidal,20177.0,Left Back,123,Barcelona,217,['55841cbd-b614-4035-a683-4f620872b242'],37,,,,,,,,,,,,,,,,,,Barcelona,217,00:06:37.028,Pass,,2011/2012
,,,,,,,,,,,,,,,,,,,1.240987,,,,,,,,,,,,,bdeb4cb9-21bd-4e7b-9714-fe47db4188c3,2233,,"[84.3, 26.5]",69334,51,,,,-1.0679531,,Right Foot,,,"[92.0, 12.5]",,Ground Pass,,15.9777975,,,,Francesc Fàbregas i Soler,3478.0,,,,,,2,From Throw In,Xavier Hernández Creus,20131.0,Left Center Midfield,123,Barcelona,217,['d3bf4820-d78c-4e4f-aff4-7c10971b2b5a'],42,,,,,,,,,,,,,,,,,,Barcelona,217,00:06:42.038,Pass,,2011/2012
,,,,,,,,,,,,,,,,,,,1.755071,,,,,,,,,,,,,01016c9f-4b53-4800-a603-6e6a900f2593,2236,,"[92.0, 12.5]",69334,51,,,,2.5316758,,Right Foot,,,"[75.4, 24.1]",,Ground Pass,,20.25142,,,,Sergio Busquets i Burgos,5203.0,,,,,,2,From Throw In,Francesc Fàbregas i Soler,3478.0,Center Forward,123,Barcelona,217,['a52dc74f-b5e3-4442-8e6d-5314a833d4a2'],45,,,,,,,,,,,,,,,,,,Barcelona,217,00:06:45.128,Pass,,2011/2012
,,,,,,,,,,,,,,,,,,,0.78902,,,,,,,,,,,,,b293202e-81fe-4956-9d12-5d61fdea9187,2239,,"[75.5, 24.5]",69334,51,,,,0.93971694,,Right Foot,,,"[81.2, 32.3]",,Ground Pass,,9.660746,,,,Andrés Iniesta Luján,5216.0,,,,,,2,From Throw In,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,123,Barcelona,217,['e8064741-de5d-4fb8-98d9-cb6fbaf1ed49'],47,,,,,,,,,,,,,,,,,,Barcelona,217,00:06:47.896,Pass,,2011/2012
,,,,,,,,,,,,,,,,,,,0.985155,,,,,,,,,,,,,4b55eb51-ae50-4162-851a-11325b8c8a9e,2242,,"[80.6, 33.0]",69334,51,,,,0.99982786,,Right Foot,,,"[89.4, 46.7]",,Ground Pass,,16.282812,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,2,From Throw In,Andrés Iniesta Luján,5216.0,Right Center Midfield,123,Barcelona,217,['012bdea3-ca1d-42ff-8cf8-c4f8b4d254dc'],49,,,,,,,,,,,,,,,,,,Barcelona,217,00:06:49.362,Pass,,2011/2012
