50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_in_play,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,aeecc7ef-0f29-4b3d-926c-8871c33f415d,1,,,69308,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 20177, 'name': 'Eric-Sylvain Bilal Abidal'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 26613, 'name': 'Maxwell Scherrer Cabelino Andrade'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 12737, 'name': 'David Villa Sánchez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2010/2011
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2648a3a5-94f7-4f4d-8383-a544daf7f412,2,,,69308,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6768, 'name': 'Diego López Rodríguez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 25984, 'name': 'Ángel Domingo López Ruano'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 6}, {'player': {'id': 20127, 'name': 'Carlos Marchena López'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 7034, 'name': 'Mateo Pablo Musacchio'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 20134, 'name': 'Joan Capdevila Méndez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 6997, 'name': 'Borja Valero Iglesias'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 22819, 'name': 'Bruno Soriano Llido'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 11386, 'name': 'Santiago Cazorla González'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 25921, 'name': 'Rubén Gracia Calmache'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 26698, 'name': 'Nilmar Honorato da Silva'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 7}, {'player': {'id': 7141, 'name': 'Giuseppe Rossi'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 22}]}",Villarreal,222,00:00:00.000,Starting XI,,2010/2011
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,6af077a5-450b-405a-8a96-a3509c4b198a,3,,,69308,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['971bfdc0-d287-4ff2-854b-e78b3e76ffe8'],0,,,,,,,,,,,,,,,,,Villarreal,222,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,971bfdc0-d287-4ff2-854b-e78b3e76ffe8,4,,,69308,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['6af077a5-450b-405a-8a96-a3509c4b198a'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,3baa00bf-0dbc-483c-b7da-01c6ab1fdd11,1976,,,69308,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,114,Barcelona,217,['3f6b9056-cf35-4692-a973-572565b5e07d'],0,,,,,,,,,,,,,,,,,Villarreal,222,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,3f6b9056-cf35-4692-a973-572565b5e07d,1977,,,69308,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,114,Barcelona,217,['3baa00bf-0dbc-483c-b7da-01c6ab1fdd11'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,,,,,,0.3618,,,,,,,,,,,,,,55323b7b-a149-4af0-8e14-92595dd53302,5,,"[61.0, 41.0]",69308,0,,,,,-1.5707964,,Right Foot,,,,"[61.0, 40.3]",,Ground Pass,,0.7,,,,Giuseppe Rossi,7141.0,,,,,Kick Off,1,From Kick Off,Nilmar Honorato da Silva,26698.0,Right Center Forward,2,Villarreal,222,['5fdca422-86f1-4e84-895d-3f21c3b71801'],0,,,,,,,,,,,,,,,,,Villarreal,222,00:00:00.752,Pass,,2010/2011
,,,,,,,,,,,,,,,,,,1.3529,,,,,,,,,,,,,,dcbf0745-2829-47df-9ad8-36eac7b207ac,8,,"[61.0, 40.5]",69308,0,,,,,-3.119374,,Left Foot,,,,"[52.0, 40.3]",,Ground Pass,,9.002222,,,,Bruno Soriano Llido,22819.0,,,,,,1,From Kick Off,Giuseppe Rossi,7141.0,Left Center Forward,2,Villarreal,222,['e60abf4c-8c6c-4bda-b58c-37b5d20541a4'],1,,,,,,,,,,,,,,,,,Villarreal,222,00:00:01.130,Pass,,2010/2011
,,,,,,,,,,,,,,,,,,1.769754,,,,,,,,,,,,,,4998025b-8b41-4011-acfc-9d9e4a54179b,11,,"[51.8, 40.3]",69308,0,,,,,1.8724154,,Left Foot,,,,"[43.4, 67.3]",,Ground Pass,,28.276491,,,,Ángel Domingo López Ruano,25984.0,,,,,,1,From Kick Off,Bruno Soriano Llido,22819.0,Left Defensive Midfield,2,Villarreal,222,['789a499b-8905-43aa-b89f-f1b623847111'],2,,,,,,,,,,,,,,,,,Villarreal,222,00:00:02.869,Pass,,2010/2011
,,,,,,,,,,,,,,,,,,0.851,,,,,,,,,,,,,,292852e6-1504-4698-90e9-a52d19393b0f,15,,"[42.8, 65.6]",69308,0,,,,,0.5070985,,Right Foot,,,,"[49.1, 69.1]",,Ground Pass,,7.206941,,,,Santiago Cazorla González,11386.0,,,,,,1,From Kick Off,Ángel Domingo López Ruano,25984.0,Right Back,2,Villarreal,222,"['1f053874-6090-4e44-a2d1-64d49cf1c897', 'd2712507-dba6-4d07-9474-c1dbd522e6af']",5,,,,,,,,,,,,,,,,,Villarreal,222,00:00:05.165,Pass,True,2010/2011
