50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,0.5272,,,,,,,,,,,,,,,,44b12038-40fc-4e1f-8111-28debe6380e3,18,,"[47.5, 12.3]",267343,0,,,,,0.43240777,,Right Foot,,,"[55.3, 15.9]",,Ground Pass,8.5906925,Incomplete,,Xavier Hernández Creus,20131.0,,,,,,Recovery,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Granada,1049,"['32a38b7b-68dd-43bc-9649-42ca984b1f8a', '386dfd64-a6e7-42f3-b0a5-dd052005da78', '80faf2c3-703c-4d29-a79c-00a63001bf8d']",6,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:06.832,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,3.185195,,,,,,,,,,,,,,,,32a38b7b-68dd-43bc-9649-42ca984b1f8a,20,,"[64.8, 64.2]",267343,0,,,,,0.53517175,,Right Foot,,,"[90.1, 79.2]",,High Pass,29.412413,Out,,,,,,,,,Recovery,1,From Kick Off,Manuel Rolando Iturra Urrutia,6743.0,Right Defensive Midfield,2,Granada,1049,['44b12038-40fc-4e1f-8111-28debe6380e3'],7,,,,,,,,,,,,,,,,,,Granada,1049,00:00:07.359,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,1.267,,,,,,,,,,,,,,,,e9c61ed4-a809-44fa-9eab-cfe25c9f3c1e,21,,"[39.9, 0.1]",267343,0,,,,,0.7531513,,,,,"[51.1, 10.6]",,High Pass,15.352199,,,Luis Alberto Suárez Díaz,5246.0,,,,,,Throw-in,1,From Throw In,Jordi Alba Ramos,5211.0,Left Back,3,Barcelona,217,['15952ff4-5e12-4133-88dd-d664b3a732cb'],23,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:23.463,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,0.9976,,,,,,,,,,,,,,,,fa7a2ce5-ad1c-471e-83fc-cc960a690e21,23,,"[51.5, 11.9]",267343,0,,,,,2.3094995,,Right Foot,,,"[46.4, 17.5]",,Low Pass,7.574299,Incomplete,,Javier Alejandro Mascherano,5506.0,,,,,,,1,From Throw In,Luis Alberto Suárez Díaz,5246.0,Center Forward,3,Barcelona,217,"['350cf731-a677-4389-8e0c-9a12a69c736c', '97bdf5dc-1dbd-43dc-b11f-4c4dbc0c267a']",24,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:24.730,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,1.783496,,,,,,,,,,,,,,,,932b6fe9-0d5e-48e9-91a0-8fc9cf73febc,27,,"[70.9, 61.3]",267343,0,,,,,-0.33647504,,Left Foot,,,"[93.2, 53.5]",,High Pass,23.624775,,,Jhon Andrés Córdoba Copete,8817.0,,,,,,,1,Regular Play,Javier Márquez Moreno,24783.0,Right Center Forward,4,Granada,1049,['45700b2c-cc70-4021-932e-63cabb9047a5'],26,,,,,,,,,,,,,,,,,,Granada,1049,00:00:26.466,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,3.036201,,,,,,,,,,,,,,,,71e6cf9e-dddb-406c-b120-af1aa12ca41e,29,,"[93.8, 51.8]",267343,0,,,,True,-1.9174639,,,,,"[86.9, 32.7]",,High Pass,20.308126,Incomplete,,Alhassane Bangoura,23761.0,,,,,,,1,Regular Play,Jhon Andrés Córdoba Copete,8817.0,Left Center Forward,4,Granada,1049,"['0191348e-53b1-48fd-82e1-81149078011e', '5f48aaa9-d864-45e5-a0f2-2f9a6798ae27', 'eb672149-210e-4a4a-af5a-088a3f78b29f']",28,,,,,,,,,,,,,,,,,,Granada,1049,00:00:28.290,Pass,True,2014/2015
,,,,,,,,,,,,,,,,,,0.9732,,,,,,,,,,,,,,,,0191348e-53b1-48fd-82e1-81149078011e,32,,"[33.2, 47.4]",267343,0,,,,,1.0783106,,Right Foot,,,"[37.6, 55.6]",,Low Pass,9.305912,Incomplete,,Ivan Rakitić,5470.0,,,,,,Recovery,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,4,Granada,1049,"['6dcc7b28-d625-49af-9283-dc5a8704596a', '71e6cf9e-dddb-406c-b120-af1aa12ca41e', 'dd0033e3-8ba6-499b-b481-1e8b5cc5a1cf']",31,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:31.326,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,0.8411,,,,,,,,,,,,,,,,b5134478-0bfb-407f-8168-3624160c8eaa,43,,"[9.9, 59.8]",267343,0,,,,,-2.1429899,,Left Foot,,,"[6.1, 53.9]",,Ground Pass,7.017834,,,Marc Bartra Aregall,7068.0,,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,5,Barcelona,217,['53bf881e-0321-407a-94aa-cb6f0e7d17a3'],39,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:39.313,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,1.7568,,,,,,,,,,,,,,,,d0129253-7098-49a2-8b9c-94123fdb3281,46,,"[6.1, 53.5]",267343,0,,,,,1.0885339,,Right Foot,,,"[13.9, 68.4]",,Low Pass,16.818146,Unknown,,,,,,,,,,1,Regular Play,Marc Bartra Aregall,7068.0,Right Center Back,5,Barcelona,217,,40,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:40.194,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,1.618327,,,,,,,,,,,,,,,,11294c28-3b56-4481-bb64-742ca54ceff6,54,,"[18.9, 74.1]",267343,2,,True,,,-1.1926869,,Right Foot,,,"[33.2, 38.1]",,Ground Pass,38.73616,,,Javier Alejandro Mascherano,5506.0,,,,,,Free Kick,1,From Free Kick,Claudio Andrés Bravo Muñoz,4691.0,Goalkeeper,6,Barcelona,217,['595244d1-0ee5-4287-9b78-1cf8c31506e7'],57,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:57.934,Pass,,2014/2015
