50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_out,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,2.043,,,,,,,,,,,,,f4971589-f642-4ce2-8074-db34c856993a,17,,,"[30.0, 33.0]",9754,0,,,2.329174,,Left Foot,,,,"[12.0, 52.0]",,Ground Pass,,26.172504,,,,Gerónimo Rulli,6694.0,,,,,,1,From Kick Off,Raúl Rodríguez Navas,6693.0,Left Center Back,2,Real Sociedad,210,['494a1f0e-5ac5-4d5b-bc8c-8cf36a3eac47'],13,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:13.031,Pass,,2017/2018
,,,,,,,,,,,,,,,,,2.625,,,,,,,,,,,,,01b801ab-f450-45b9-a807-d6712c1e6fb9,20,,,"[14.0, 54.0]",9754,0,,,-0.99172205,,Right Foot,,,,"[48.0, 2.0]",,High Pass,,62.1289,,Out,,Kévin Manuel Rodrigues,6885.0,,True,,,,1,From Kick Off,Gerónimo Rulli,6694.0,Goalkeeper,2,Real Sociedad,210,['2e2766b2-1a06-44af-8c5f-8fe1b6e06c2c'],17,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:17.576,Pass,,2017/2018
,,,,,,,,,,,,,,,,,0.865,,,,,,,,,,,,,7e7c11d6-1b79-48f0-99ec-9aed54cc078f,22,,,"[75.0, 80.0]",9754,0,,,-2.4668517,,,,,,"[65.0, 72.0]",,High Pass,,12.806249,,,,Sergio Busquets i Burgos,5203.0,,,,,Throw-in,1,From Throw In,Sergi Roberto Carnicer,6379.0,Right Back,3,Barcelona,217,['82549152-5679-4662-a9c9-22b85c41b772'],25,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:25.861,Pass,,2017/2018
,,,,,,,,,,,,,,,,,0.532,,,,,,,,,,,,,b294c6d5-3f8d-486b-b18b-0dbd42c431d8,26,,,"[72.0, 67.0]",9754,0,,,0.49934673,,Right Foot,,,,"[83.0, 73.0]",,Ground Pass,,12.529964,,,,José Paulo Bezzera Maciel Júnior,5542.0,,,,,,1,From Throw In,Sergio Busquets i Burgos,5203.0,Left Center Midfield,3,Barcelona,217,['a7ded794-7d0e-4d3b-ae45-f5201738ee22'],29,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:29.147,Pass,,2017/2018
,,,,,,,,,,,,,,,,,0.309,,,,,,,,,,,,,d2d74ceb-627d-4d02-8448-a638c3ebe8cc,30,,,"[77.0, 75.0]",9754,0,,,2.896614,,Right Foot,,,,"[73.0, 76.0]",,Ground Pass,,4.1231055,,Incomplete,,Sergi Roberto Carnicer,6379.0,,,,,,1,From Throw In,José Paulo Bezzera Maciel Júnior,5542.0,Right Wing,3,Barcelona,217,"['467f898e-fb65-4769-87b3-3209de778a51', '53f437c1-38dd-4e5f-bbe3-1408b61755d1']",30,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:30.643,Pass,,2017/2018
,,,,,,,,,,,,,,,,,0.921,,,,,,,,,,,,,b38bff5d-649e-476b-a44a-0d44b337079c,38,,,"[67.0, 71.0]",9754,0,,,-0.13255154,,Right Foot,,,,"[82.0, 69.0]",,Ground Pass,,15.132746,,,,Sergio Busquets i Burgos,5203.0,,,,,Recovery,1,From Throw In,Sergi Roberto Carnicer,6379.0,Right Back,3,Barcelona,217,"['3f757653-5f21-4fa3-869a-5b0b8379e1ac', 'b46a4e54-a6a3-4907-84ba-f04dbbee7904']",32,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:32.967,Pass,True,2017/2018
,,,,,,,,,,,,,,,,,1.525,,,,,,,,,,,,,437d0508-4391-400b-9bde-da89c044fa15,42,,,"[80.0, 66.0]",9754,0,,,0.15991312,,Right Foot,,,,"[111.0, 71.0]",,Ground Pass,,31.400637,,,,José Paulo Bezzera Maciel Júnior,5542.0,,,,,,1,From Throw In,Sergio Busquets i Burgos,5203.0,Left Center Midfield,3,Barcelona,217,"['306d3657-db46-41ed-9486-8d1ee32d82fc', 'd0e42d30-c2e1-4a0b-92c0-c8abe41766b9']",35,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:35.701,Pass,True,2017/2018
,,,,,,,,,,,,,,,,,0.546,,,,,,,,,,,,,afcb88f9-ebcf-439d-892c-f0b3ae313e72,46,,,"[106.0, 72.0]",9754,0,,,-2.4227626,,Left Foot,,,,"[98.0, 65.0]",,Ground Pass,,10.630146,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,From Throw In,José Paulo Bezzera Maciel Júnior,5542.0,Right Wing,3,Barcelona,217,"['1e19d38f-6126-49be-b1e9-b9a822ed9c5a', 'a8c9b529-8e08-4acb-91c3-22996e17dc43']",40,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:40.768,Pass,True,2017/2018
,,,,,,,,,,,,,,,,,0.472,,,,,,,,,,,,,5d85a286-2006-42f5-a94b-c3a3e77cdb94,49,,,"[98.0, 65.0]",9754,0,,,2.5213432,,Right Foot,,,,"[91.0, 70.0]",,Ground Pass,,8.602325,,,,José Paulo Bezzera Maciel Júnior,5542.0,,,,,,1,From Throw In,Sergi Roberto Carnicer,6379.0,Right Back,3,Barcelona,217,['cf0d7e7a-fb1f-4c29-8568-ade62f962138'],41,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:41.389,Pass,,2017/2018
,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,78b42e70-458b-4b46-aa7d-7fde4e46d0b5,55,,,"[64.0, 58.0]",9754,0,,,-2.1251037,,Right Foot,,,,"[51.0, 37.0]",,Ground Pass,,24.698177,,,,Thomas Vermaelen,6332.0,,,,,Free Kick,1,From Free Kick,Ivan Rakitić,5470.0,Right Center Midfield,4,Barcelona,217,['220ee799-06f6-4b6e-854b-fde0104c1759'],54,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:54.740,Pass,,2017/2018
