50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.610755,,,,,,,,,,,,8b7ec4e1-d08b-4c28-8ddd-37b7735ffd4e,1030,,"[37.9, 67.2]",9799,24,True,,,0.8902751,,Right Foot,,,"[43.0, 73.5]",,Ground Pass,8.105554,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,From Throw In,Ivan Rakitić,5470.0,Right Center Midfield,59,Barcelona,217,['b29ea0ec-7345-4e33-b0a7-db9e1716e79e'],58,,,,,,,,,,,,,,,,,Barcelona,217,00:24:58.722,Pass,,2017/2018
,,,,,,,,,,,,,,,,0.728432,,,,,,,,,,,,c4c568fc-f7ca-4703-9524-e32d592aebaf,1032,,"[43.8, 73.5]",9799,24,,,,-0.44610554,,Right Foot,,,"[53.0, 69.1]",,Low Pass,10.198039,,Incomplete,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Throw In,Sergi Roberto Carnicer,6379.0,Right Back,59,Barcelona,217,"['004d5153-093d-4cfb-9656-c8d4d7fa7724', '2120faf6-1197-4239-bc38-9c5b2f0b0563']",59,,,,,,,,,,,,,,,,,Barcelona,217,00:24:59.816,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.4275,,,,,,,,,,,,46fe7b21-9ca7-4765-9166-e9acbaad9948,1036,,"[62.1, 10.1]",9799,25,,,,0.3137507,,Right Foot,,,"[80.9, 16.2]",,High Pass,19.764868,,Incomplete,,,,,,,,Recovery,1,From Throw In,Anaitz Arbilla Zabala,6709.0,Left Center Back,59,Barcelona,217,['99b932f1-b12a-4b5b-ba36-8082dbfc1f5b'],1,,,,,,,,,,,,,,,,,Eibar,322,00:25:01.184,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.192589,,,,,,,,,,,,99b932f1-b12a-4b5b-ba36-8082dbfc1f5b,1037,,"[39.2, 63.9]",9799,25,,,,-1.6240792,,Head,,,"[38.4, 48.9]",,High Pass,15.021318,,,,Sergio Busquets i Burgos,5203.0,,,,,Interception,1,From Throw In,Ivan Rakitić,5470.0,Right Center Midfield,59,Barcelona,217,"['46fe7b21-9ca7-4765-9166-e9acbaad9948', 'f35ebb7d-63f4-4afa-b5b5-685d1afc6fe6']",2,,,,,,,,,,,,,,,,,Barcelona,217,00:25:02.612,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.336393,,,,,,,,,,,,6cf2ee72-96f6-464c-a69a-68f2970a3b92,1039,,"[39.5, 48.6]",9799,25,,,,0.663426,,Head,,,"[48.2, 55.4]",,High Pass,11.0421915,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Throw In,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,59,Barcelona,217,['81683b03-333c-4e22-8788-d2ff0f838f41'],3,,,,,,,,,,,,,,,,,Barcelona,217,00:25:03.804,Pass,,2017/2018
,,,,,,,,,,,,,,,,0.976338,,,,,,,,,,,,2c355868-b4a8-473c-a584-a41ff88f2394,1041,,"[48.2, 55.4]",9799,25,,,,-2.0654075,,Head,,,"[43.4, 46.5]",,High Pass,10.111875,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Center Forward,59,Barcelona,217,['1faf4c7e-9851-4027-9245-d43c0ac95abf'],5,,,,,,,,,,,,,,,,,Barcelona,217,00:25:05.141,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.123289,,,,,,,,,,,,721033cc-f4d3-4070-9aa9-617e4550dd50,1043,,"[43.4, 46.5]",9799,25,,,,-0.51806855,,Head,,,"[53.4, 40.8]",,Low Pass,11.51043,,,,Andrés Iniesta Luján,5216.0,,,,,,1,From Throw In,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,59,Barcelona,217,['41be3a25-7213-4380-86cb-772e78d5db4c'],6,,,,,,,,,,,,,,,,,Barcelona,217,00:25:06.117,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.383261,,,,,,,,,,,,d9f879d6-15b1-45ca-87a0-5e2f8fc974ea,1052,,"[56.7, 34.3]",9799,25,,,,1.0036241,,Right Foot,,,"[66.0, 48.9]",,Ground Pass,17.310402,,,,Fabián Ariel Orellana Valenzuela,7105.0,,,,,Recovery,1,Regular Play,Anaitz Arbilla Zabala,6709.0,Left Center Back,60,Eibar,322,['9b2f6a6d-d7b2-4b02-a7c7-63016b0f2a80'],9,,,,,,,,,,,,,,,,,Eibar,322,00:25:09.908,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.225809,,,,,,,,,,,,49e874de-30a8-4330-8748-3dfee72ed9d4,1056,,"[64.9, 50.8]",9799,25,,,,2.1900387,,Right Foot,,,"[58.2, 60.2]",,Ground Pass,11.543396,,,,Rubén Peña Jiménez,6710.0,,,,,,1,Regular Play,Fabián Ariel Orellana Valenzuela,7105.0,Right Wing,60,Eibar,322,['bd02d6c4-0da8-426f-b57b-324bb0f1e4ca'],11,,,,,,,,,,,,,,,,,Eibar,322,00:25:11.716,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.879309,,,,,,,,,,,,4680c321-e24f-4ad5-a092-fb7d5a5643d3,1059,,"[64.7, 66.7]",9799,25,,,,0.26474717,,Right Foot,,,"[87.2, 72.8]",,Ground Pass,23.31223,,,,Fabián Ariel Orellana Valenzuela,7105.0,,,,,,1,Regular Play,Rubén Peña Jiménez,6710.0,Right Back,60,Eibar,322,['7d397534-8c95-475c-8c8a-02c0493adfbc'],14,,,,,,,,,,,,,,,,,Eibar,322,00:25:14.069,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.222291,,,,,,,,,,,,aeb87259-1967-4868-972a-44f0f4695b79,1062,,"[100.0, 71.5]",9799,25,,,,-2.148323,,Right Foot,,,"[84.1, 47.1]",,Ground Pass,29.123358,,,,Papa Kouly Diop,6867.0,,,,,,1,Regular Play,Fabián Ariel Orellana Valenzuela,7105.0,Right Wing,60,Eibar,322,['c29cf088-34a5-4e36-a074-bdae8b526b0e'],20,,,,,,,,,,,,,,,,,Eibar,322,00:25:20.155,Pass,,2017/2018
