ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e1a44fb5-2184-4a25-a839-43c5500ffec1,1,,,69278,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 20177, 'name': 'Eric-Sylvain Bilal Abidal'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 12737, 'name': 'David Villa Sánchez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2010/2011
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b53eec97-4dd1-4c4e-a283-353691541174,2,,,69278,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6755, 'name': 'Sergio Asenjo Andrés'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 26233, 'name': 'Manuel Gaspar Haro'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 19288, 'name': 'Martín Gastón Demichelis'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 26669, 'name': 'Weligton Róbson Pena de Oliveira'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 26731, 'name': 'Patrick Jan Mtiliga'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 25954, 'name': 'Enzo Maresca'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 8234, 'name': 'Ignacio Camacho Barnola'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 26234, 'name': 'Antonio Galdeano Benítez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 26730, 'name': 'Quincy Owusu-Abeyie'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 21}, {'player': {'id': 25859, 'name': 'Sérgio Paulo Barbosa Valente'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 25923, 'name': 'Júlio César Clement Baptista'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 6}]}",Málaga,223,00:00:00.000,Starting XI,,2010/2011
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b5e08e42-f020-49c0-b10a-ece42bfa9aad,3,,,69278,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['fef748a7-6d07-46ab-9283-8ada01e72d78'],0,,,,,,,,,,,,,,,,,,Málaga,223,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,fef748a7-6d07-46ab-9283-8ada01e72d78,4,,,69278,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['b5e08e42-f020-49c0-b10a-ece42bfa9aad'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,bd18b58d-ea38-447c-9e37-57ac907d6932,2193,,,69278,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,85,Málaga,223,['e954d50e-cc86-4e8b-9219-680a064d17cf'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e954d50e-cc86-4e8b-9219-680a064d17cf,2194,,,69278,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,85,Málaga,223,['bd18b58d-ea38-447c-9e37-57ac907d6932'],0,,,,,,,,,,,,,,,,,,Málaga,223,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,,,,0.4295,,,,,,,,,,,,,eb49627e-e9b2-42a1-ae19-298de68c4bcb,5,,"[61.0, 40.1]",69278,0,True,,,2.2584677,,Right Foot,,,"[58.7, 42.9]",,Ground Pass,,3.6235342,,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,Kick Off,1,From Kick Off,David Villa Sánchez,12737.0,Left Wing,2,Barcelona,217,['eb87b9a8-b164-4a3f-af45-210487bb663a'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.442,Pass,,2010/2011
,,,,,,,,,,,,,,,,1.5193,,,,,,,,,,,,,d3384e58-9cca-4548-9a6f-288e6735771d,7,,"[59.1, 43.0]",69278,0,,,,-3.0079849,,Right Foot,,,"[40.5, 40.5]",,Ground Pass,,18.76726,,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,2,Barcelona,217,['bcadb7ad-3606-43f7-9dc3-7e0441678b3b'],1,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.175,Pass,,2010/2011
,,,,,,,,,,,,,,,,0.8245,,,,,,,,,,,,,bf8dec29-0ccd-493d-a9d1-a12f5847b55a,9,,"[41.0, 41.3]",69278,0,,,,1.0608243,,Right Foot,,,"[47.6, 53.1]",,Ground Pass,,13.520355,,,,,Xavier Hernández Creus,20131.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['52b6eb3c-3fc4-427e-ae3a-da312d7ba97b'],2,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:02.695,Pass,,2010/2011
,,,,,,,,,,,,,,,,1.0704,,,,,,,,,,,,,c4a24106-cbe1-4c2d-b9d4-ea5ed3693302,11,,"[49.3, 54.6]",69278,0,,,,-2.1273956,,Right Foot,,,"[43.7, 45.6]",,Ground Pass,,10.6,,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Right Center Midfield,2,Barcelona,217,['637537be-c03d-4aab-b762-8fc9d75f6c61'],3,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.519,Pass,,2010/2011
