ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,38211b95-008e-403d-bab4-723886c4e9f3,1,,,,69335,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Málaga,223,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3659, 'name': 'Wilfredo Daniel Caballero'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 4788, 'name': 'Jesús Gámez Duarte'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 19288, 'name': 'Martín Gastón Demichelis'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 20269, 'name': 'Joris Mathijsen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 3498, 'name': 'Ignacio Monreal Eraso'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 8234, 'name': 'Ignacio Camacho Barnola'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 25954, 'name': 'Enzo Maresca'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 11386, 'name': 'Santiago Cazorla González'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 12}, {'player': {'id': 4926, 'name': 'Francisco Román Alarcón Suárez'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 22}, {'player': {'id': 10798, 'name': 'Eliseu Pereira dos Santos'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 18}, {'player': {'id': 19729, 'name': 'Ruud van Nistelrooy'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Málaga,223,00:00:00.000,Starting XI,,2011/2012
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,50a6bda9-3911-4d5a-b4f0-80957e13f13d,2,,,,69335,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Málaga,223,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 20177, 'name': 'Eric-Sylvain Bilal Abidal'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 5208, 'name': 'Thiago Alcântara do Nascimento'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3385, 'name': 'Alexis Alejandro Sánchez Sánchez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 22102, 'name': 'Adriano Correia Claro'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 21}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2011/2012
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9586e028-bf6e-4093-8b83-2579da31ee3e,3,,,,69335,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Málaga,223,['c7c792ed-e20b-4d4b-9a55-2c751c07b787'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c7c792ed-e20b-4d4b-9a55-2c751c07b787,4,,,,69335,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Málaga,223,['9586e028-bf6e-4093-8b83-2579da31ee3e'],0,,,,,,,,,,,,,,,,,,Málaga,223,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c74a0df7-39cd-4dbf-83e8-72de40d6b241,2240,,,,69335,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,86,Málaga,223,['b0e8927d-8ad5-44e0-87b2-35d4e5928749'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b0e8927d-8ad5-44e0-87b2-35d4e5928749,2241,,,,69335,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,86,Málaga,223,['c74a0df7-39cd-4dbf-83e8-72de40d6b241'],0,,,,,,,,,,,,,,,,,,Málaga,223,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,0.8681,,,,,,,,,,,,,347215ca-9eac-47d6-ab9e-e863dbb71a18,5,,,"[60.0, 40.0]",69335,0,,,,1.5707964,,Right Foot,,,"[60.0, 43.4]",,Ground Pass,,3.4,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,Kick Off,1,From Kick Off,Alexis Alejandro Sánchez Sánchez,3385.0,Right Wing,2,Barcelona,217,['11144814-8b72-4d7d-a764-793dbeb958ed'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.615,Pass,,2011/2012
,,,,,,,,,,,,,,,1.2772,,,,,,,,,,,,,94ccbe03-3e66-4692-bd96-f01ac1406481,8,,,"[59.7, 43.4]",69335,0,,,,-2.874732,,Right Foot,,,"[45.8, 39.6]",,Ground Pass,,14.410066,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,2,Barcelona,217,['bd6ec172-7aa5-4bdd-8e01-1edb6b81b680'],1,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.523,Pass,,2011/2012
,,,,,,,,,,,,,,,0.9246,,,,,,,,,,,,,50e60f92-300d-41e7-afc9-11b32195a78a,11,,,"[45.8, 39.6]",69335,0,,,,1.4574629,,Right Foot,,,"[47.2, 51.9]",,Ground Pass,,12.379418,,,,Thiago Alcântara do Nascimento,5208.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['95cb7d92-323a-4c97-b289-a92a479d585c'],2,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:02.841,Pass,,2011/2012
,,,,,,,,,,,,,,,1.9304,,,,,,,,,,,,,62ed07c3-0e0b-4416-a95b-5e9eff5edc69,13,,,"[47.2, 51.9]",69335,0,,,,-2.506317,,Right Foot,,,"[33.5, 41.8]",,Ground Pass,,17.020576,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Thiago Alcântara do Nascimento,5208.0,Right Center Midfield,2,Barcelona,217,['9fd68b0c-50bd-4fc5-b458-414ce6af8868'],3,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.765,Pass,,2011/2012
