50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.273281,,,,,,,,,,,,4261661b-9d9e-4d63-b926-4b20d999398f,18,,"[28.6, 20.2]",266885,0,,,,-1.0906214,,Right Foot,,,,"[36.1, 5.8]",,Ground Pass,,16.23607,,,,Jérémy Mathieu,10609.0,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Left Center Back,2,Barcelona,217,['0e79a29c-4a32-4470-9c8a-25602538ba2d'],9,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:09.254,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.058201,,,,,,,,,,,,6181eb64-51aa-46c4-b920-3919376c690b,22,,"[35.7, 5.5]",266885,0,,,,2.3561945,,Left Foot,,,,"[19.7, 21.5]",,Ground Pass,,22.627417,,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Kick Off,Jérémy Mathieu,10609.0,Left Back,2,Barcelona,217,['d6e5f621-2fe7-4b5d-93fd-5e9ad24f8891'],12,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:12.287,Pass,,2015/2016
,,,,,,,,,,,,,,,,2.212211,,,,,,,,,,,,702bbc3e-2454-4b09-bf47-e3b4769f6330,25,,"[16.9, 20.8]",266885,0,,,,1.6601634,,Right Foot,,,,"[14.4, 48.7]",,Ground Pass,,28.011784,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Left Center Back,2,Barcelona,217,['5ad6d007-8589-44a5-93f1-c0946e4b415d'],14,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:14.285,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.629925,,,,,,,,,,,,50717052-a22c-4847-a668-773ce30827d6,28,,"[13.7, 47.8]",266885,0,,,,-2.0771227,,Right Foot,,,,"[7.6, 36.8]",,Ground Pass,,12.5781555,,,,Claudio Andrés Bravo Muñoz,4691.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['ca4da37e-8e5d-4df6-b05d-f467964e4f4c'],19,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:19.108,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.373073,,,,,,,,,,,,93eafa4d-5819-4bdc-a24e-671f4360c177,31,,"[8.7, 36.0]",266885,0,,,,-1.4564327,,Right Foot,,,,"[10.4, 21.2]",,Ground Pass,,14.897315,,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Kick Off,Claudio Andrés Bravo Muñoz,4691.0,Goalkeeper,2,Barcelona,217,['5dc821df-00f8-4918-895a-ffd4f57944bf'],24,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:24.564,Pass,,2015/2016
,,,,,,,,,,,,,,,,2.3656,,,,,,,,,,,,bf6057a9-99b0-489f-ad6b-b15e82d56337,34,,"[10.5, 24.5]",266885,0,,,,-0.6790471,,Right Foot,,,,"[35.9, 4.0]",,High Pass,,32.640617,,,,Jérémy Mathieu,10609.0,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Left Center Back,2,Barcelona,217,['35a28570-a0a1-4d60-8e51-9edf08aad252'],28,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:28.632,Pass,,2015/2016
,,,,,,,,,,,,,,,,0.008339,,,,,,,,,,,,f9087e30-9e9a-46c7-b04b-82e95f1892b4,38,,"[40.9, 5.0]",266885,0,,,,0.84781694,,Left Foot,,,,"[42.4, 6.7]",,Ground Pass,,2.2671568,,Incomplete,,Neymar da Silva Santos Junior,4320.0,,,,,,1,From Kick Off,Jérémy Mathieu,10609.0,Left Back,2,Barcelona,217,"['d2d249b5-0b66-4d50-900a-da417dfb26ae', 'eaa6eb8f-4d40-48a0-af2e-08d01b80c93a']",32,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:32.306,Pass,,2015/2016
,,,,,,,,,,,,,,,,0.8351,,,,,,,,,,,,2d0f6b5e-4af8-4935-80b2-ca9e6b5bd9f5,41,,"[49.1, 0.1]",266885,0,,,,1.5707964,,,,,,"[49.1, 6.8]",,Low Pass,,6.7,,,,Andrés Iniesta Luján,5216.0,,,,,Throw-in,1,From Throw In,Jérémy Mathieu,10609.0,Left Back,3,Barcelona,217,['50d46b29-f0de-4a53-8e8a-e05c70ed0a84'],43,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:43.308,Pass,,2015/2016
,,,,,,,,,,,,,,,,0.7333,,,,,,,,,,,,90533e39-64af-4b74-a9cc-75ecf996ca73,45,,"[49.3, 7.7]",266885,0,,,,-1.5273454,,Right Foot,,,,"[49.5, 3.1]",,Ground Pass,,4.604346,,,,Jérémy Mathieu,10609.0,,,,,,1,From Throw In,Andrés Iniesta Luján,5216.0,Left Center Midfield,3,Barcelona,217,"['22a80cb2-b546-43e9-bab6-46536249e9bb', '3401caf4-5810-4d1d-af7a-db74f1fec701']",44,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:44.163,Pass,True,2015/2016
,,,,,,,,,,,,,,,,1.580979,,,,,,,,,,,,42abb801-3bf7-4aca-b33a-fe03a997e4cd,48,,"[49.7, 3.1]",266885,0,,,,3.1057336,,Left Foot,,,,"[27.4, 3.9]",,Low Pass,,22.314344,,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Throw In,Jérémy Mathieu,10609.0,Left Back,3,Barcelona,217,['f90c8c39-cc0d-4a79-b5e6-aac186525596'],44,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:44.977,Pass,,2015/2016
