50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,1.2713,,,,,,,,,,,,,,,,587bad54-9c35-4011-8998-ec90d8a50c93,3194,,"[120.0, 80.0]",70282,68,,,,-1.7286316,f553f8e5-1067-4b44-ad3a-f7ed3c20cc0e,Left Foot,,,"[114.7, 46.7]",High Pass,True,33.719135,,,,Adil Rami,3253.0,True,,,Inswinging,,Corner,2,From Corner,Alberto Facundo Costa,26728.0,Center Attacking Midfield,154,Valencia,207,['d4be8a7c-8c10-4031-9c22-964a93b10f15'],10,,,,,,,,,,,,,,,,,,Valencia,207,00:23:10.193,Pass,,2012/2013
,,,,,,,,,,,,,,,,,1.941522,,,,,,,,,,,,,,,,76842b8f-1f21-4145-bed2-f65b0acae97a,3198,,"[6.0, 44.0]",70282,68,True,,,1.1894367,,Right Foot,,,"[14.1, 64.2]",Ground Pass,,21.763502,,,,Gerard Piqué Bernabéu,5213.0,,,,,,Goal Kick,2,From Goal Kick,Víctor Valdés Arribas,20176.0,Goalkeeper,155,Barcelona,217,['b0193a2d-96ad-454b-ac0d-1eeeec21de32'],25,,,,,,,,,,,,,,,,,,Barcelona,217,00:23:25.619,Pass,,2012/2013
,,,,,,,,,,,,,,,,,0.9854,,,,,,,,,,,,,,,,0291b715-2992-438d-86f5-9416a9fe5edf,3200,,"[12.9, 64.2]",70282,68,,,,-0.35877067,,Right Foot,,,"[25.7, 59.4]",Ground Pass,,13.670406,,,,Xavier Hernández Creus,20131.0,,,,,,,2,From Goal Kick,Gerard Piqué Bernabéu,5213.0,Right Center Back,155,Barcelona,217,['0f447602-53e1-46d8-891e-d6913f5f1625'],28,,,,,,,,,,,,,,,,,,Barcelona,217,00:23:28.989,Pass,,2012/2013
,,,,,,,,,,,,,,,,,1.3629,,,,,,,,,,,,,,,,e3914e38-4f3d-48cd-96e2-fa9fb10ba58e,3204,,"[27.7, 58.5]",70282,68,,,,-0.1896571,,Right Foot,,,"[50.1, 54.2]",Ground Pass,,22.808989,,Incomplete,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,2,From Goal Kick,Xavier Hernández Creus,20131.0,Right Center Midfield,155,Barcelona,217,"['2372deaa-1497-4ff5-95ee-991c6b0d2246', '9625faa3-81bc-4032-8cf9-83393a8a419c', 'af032642-1a49-46e8-bd4a-b171848a8e4d']",30,,,,,,,,,,,,,,,,,,Barcelona,217,00:23:30.556,Pass,True,2012/2013
,,,,,,,,,,,,,,,,,5.573211,,,,,,,,,,,,,,,,3eda1174-9afe-4af0-98f0-4df525fe023e,3209,,"[74.6, 16.2]",70282,68,,,,1.2617749,,Left Foot,,,"[95.0, 80.1]",High Pass,,67.07735,,Out,,Juan Bernat Velasco,15651.0,,,True,,,,2,From Goal Kick,Víctor Ruíz Torre,6752.0,Right Defensive Midfield,155,Barcelona,217,"['4971e88d-0143-4021-8588-2a7121a45d2e', 'e5eac8c3-0e07-4f92-9cec-0ed052b31cc0']",35,,,,,,,,,,,,,,,,,,Valencia,207,00:23:35.509,Pass,True,2012/2013
,,,,,,,,,,,,,,,,,2.1227,,,,,,,,,,,,,,,,104cac2d-626c-487a-a685-d62e38420a80,3211,,"[20.4, 1.0]",70282,68,,,,0.14512633,,,,,"[46.4, 4.8]",High Pass,,26.276224,,,,Sergio Busquets i Burgos,5203.0,,,,,,Throw-in,2,From Throw In,Jordi Alba Ramos,5211.0,Left Back,156,Barcelona,217,['ccd5bb55-c3bb-441f-8fd9-108d4c1b0462'],52,,,,,,,,,,,,,,,,,,Barcelona,217,00:23:52.995,Pass,,2012/2013
,,,,,,,,,,,,,,,,,2.0005,,,,,,,,,,,,,,,,101e4bc5-1586-48be-9b8d-ee0b13b16f9e,3215,,"[71.4, 80.0]",70282,69,,,,-2.79229,,,,,"[56.3, 74.5]",Low Pass,,16.070469,,,,Adil Rami,3253.0,,,,,,Throw-in,2,From Throw In,João Pedro da Silva Pereira,20138.0,Right Back,157,Valencia,207,['66d710ab-9233-4867-be84-499667ca228a'],4,,,,,,,,,,,,,,,,,,Valencia,207,00:24:04.678,Pass,,2012/2013
,,,,,,,,,,,,,,,,,2.5278,,,,,,,,,,,,,,,,03fabc3e-e3f9-4699-9aa2-b743e4b0da08,3218,,"[63.8, 62.8]",70282,69,,,,0.431695,,Left Foot,,,"[90.5, 75.1]",High Pass,,29.396938,,Incomplete,,Juan Bernat Velasco,15651.0,,,,,,,2,From Throw In,Adil Rami,3253.0,Right Center Back,157,Valencia,207,"['66742b3f-4eac-438d-8574-ebab96842f3d', 'ec299a1d-b0fb-409e-9e20-593906cdf444']",11,,,,,,,,,,,,,,,,,,Valencia,207,00:24:11.191,Pass,,2012/2013
,,,,,,,,,,,,,,,,,0.8364,,,,,,,,,,,,,,,,8f83a787-4cb3-4ced-9088-8a6956fb7786,3222,,"[84.8, 77.1]",70282,69,,,,-0.08047101,,Right Foot,,,"[97.2, 76.1]",Low Pass,,12.440257,,Pass Offside,,Roberto Soldado Rillo,26009.0,,,,,,Recovery,2,From Throw In,João Pedro da Silva Pereira,20138.0,Right Back,157,Valencia,207,['7187c6f7-11b1-43ae-95f3-89f33f66d859'],15,,,,,,,,,,,,,,,,,,Valencia,207,00:24:15.887,Pass,,2012/2013
,,,,,,,,,,,,,,,,,1.630806,,,,,,,,,,,,,,,,0041c591-f3db-4513-aafa-24f55b1b9eca,3225,,"[25.2, 8.0]",70282,70,True,,,-0.19270076,,Right Foot,,,"[45.7, 4.0]",Ground Pass,,20.886599,,,,Jordi Alba Ramos,5211.0,,,,,,Free Kick,2,From Free Kick,Carles Puyol i Saforcada,20125.0,Left Center Back,158,Barcelona,217,['d9fb3e5b-ee01-4fb7-8b88-434ff1d8f5fb'],1,,,,,,,,,,,,,,,,,,Barcelona,217,00:25:01.650,Pass,,2012/2013
,,,,,,,,,,,,,,,,,1.2704,,,,,,,,,,,,,,,,a3693e80-ac1d-4f3e-9e7e-6aebd3c2953f,3227,,"[46.4, 4.0]",70282,70,,,,2.640227,,Left Foot,,,"[36.0, 9.7]",Ground Pass,,11.859595,,,,Sergio Busquets i Burgos,5203.0,,,,,,,2,From Free Kick,Jordi Alba Ramos,5211.0,Left Back,158,Barcelona,217,['469d6a41-76b6-490b-b37c-dd17a31583ad'],4,,,,,,,,,,,,,,,,,,Barcelona,217,00:25:04.816,Pass,,2012/2013
,,,,,,,,,,,,,,,,,1.503235,,,,,,,,,,,,,,,,5343ba2b-2619-4698-bf73-2ed1a6af6d9e,3230,,"[36.0, 9.7]",70282,70,,,,1.5707964,,Right Foot,,,"[36.0, 25.8]",Ground Pass,,16.1,,,,Xavier Hernández Creus,20131.0,,,,,,,2,From Free Kick,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,158,Barcelona,217,['3b578a4f-91bf-4682-a1b4-61483cd319b8'],7,,,,,,,,,,,,,,,,,,Barcelona,217,00:25:07.474,Pass,,2012/2013
,,,,,,,,,,,,,,,,,1.338858,,,,,,,,,,,,,,,,5b12a180-53ef-483d-bfba-fa754167d6e0,3233,,"[51.8, 51.1]",70282,70,,,,0.9403949,,Right Foot,,,"[62.6, 65.9]",Ground Pass,,18.321571,,,,Daniel Alves da Silva,4324.0,,,,,,,2,From Free Kick,Xavier Hernández Creus,20131.0,Right Center Midfield,158,Barcelona,217,['08d23a61-ceef-4cff-b5a4-cad57a283855'],14,,,,,,,,,,,,,,,,,,Barcelona,217,00:25:14.182,Pass,,2012/2013
,,,,,,,,,,,,,,,,,0.734,,,,,,,,,,,,,,,,a7792b8d-72fc-4bbc-a403-805712a60901,3236,,"[62.6, 67.9]",70282,70,,,,0.648145,,Right Foot,,,"[72.9, 75.7]",Ground Pass,,12.920139,,,,Pedro Eliezer Rodríguez Ledesma,3958.0,,,,,,,2,From Free Kick,Daniel Alves da Silva,4324.0,Right Back,158,Barcelona,217,['57868933-78e0-4c79-965b-b11d7ce9c123'],17,,,,,,,,,,,,,,,,,,Barcelona,217,00:25:17.252,Pass,,2012/2013
,,,,,,,,,,,,,,,,,1.019623,,,,,,,,,,,,,,,,bc736c6a-b1b2-41ee-b7e3-ba21935b5c82,3238,,"[72.9, 75.7]",70282,70,,,,-2.9996955,,Right Foot,,,"[58.2, 73.6]",Ground Pass,,14.849242,,,,Daniel Alves da Silva,4324.0,,,,,,,2,From Free Kick,Pedro Eliezer Rodríguez Ledesma,3958.0,Right Wing,158,Barcelona,217,['66b64d39-4587-4737-a16b-4ac15d50839a'],17,,,,,,,,,,,,,,,,,,Barcelona,217,00:25:17.986,Pass,,2012/2013
,,,,,,,,,,,,,,,,,0.787882,,,,,,,,,,,,,,,,5a8197a2-5507-4f44-af74-aeefd3ab247a,3241,,"[57.6, 73.6]",70282,70,,,,-1.6822726,,Right Foot,,,"[56.1, 60.2]",Ground Pass,,13.483694,,,,Xavier Hernández Creus,20131.0,,,,,,,2,From Free Kick,Daniel Alves da Silva,4324.0,Right Back,158,Barcelona,217,['97b2b144-4c61-4aa8-a983-4751d27c6bdf'],19,,,,,,,,,,,,,,,,,,Barcelona,217,00:25:19.483,Pass,,2012/2013
,,,,,,,,,,,,,,,,,5.137948,,,,,,,,,,,,,,,,ab1c40d7-3a91-406b-9dc6-9508d2cbea78,3244,,"[56.7, 60.8]",70282,70,,,,-1.9329561,,Right Foot,,,"[35.9, 5.9]",High Pass,,58.708176,,,,Carles Puyol i Saforcada,20125.0,,,True,,,,2,From Free Kick,Xavier Hernández Creus,20131.0,Right Center Midfield,158,Barcelona,217,['7e6c211e-2c03-4a63-8422-16293bd62a7e'],21,,,,,,,,,,,,,,,,,,Barcelona,217,00:25:21.757,Pass,,2012/2013
,,,,,,,,,,,,,,,,,0.602627,,,,,,,,,,,,,,,,5513178e-9ab9-4175-b7b2-0806d00d2c9d,3247,,"[32.5, 8.5]",70282,70,,,,-0.4636476,,Right Foot,,,"[42.7, 3.4]",Ground Pass,,11.403947,,,,Jordi Alba Ramos,5211.0,,,,,,,2,From Free Kick,Carles Puyol i Saforcada,20125.0,Left Center Back,158,Barcelona,217,['bc555d7a-0700-4598-bc9b-c0435edec7e9'],28,,,,,,,,,,,,,,,,,,Barcelona,217,00:25:28.254,Pass,,2012/2013
,,,,,,,,,,,,,,,,,2.292384,,,,,,,,,,,,,,,,dcbf65ec-ef91-497b-bf47-3df6b71f9c53,3250,,"[42.7, 3.4]",70282,70,,,,2.615913,,Left Foot,,,"[11.5, 21.5]",Ground Pass,,36.070072,,,,Víctor Valdés Arribas,20176.0,,,,,,,2,From Free Kick,Jordi Alba Ramos,5211.0,Left Back,158,Barcelona,217,['fee493b6-113a-44d6-b850-3d15d1ef75ce'],29,,,,,,,,,,,,,,,,,,Barcelona,217,00:25:29.605,Pass,,2012/2013
,,,,,,,,,,,,,,,,,1.926988,,,,,,,,,,,,,,,,535d1616-2cbf-428f-8bc1-5ed3e79ae240,3253,,"[11.5, 21.5]",70282,70,,,,1.2541219,,Right Foot,,,"[21.2, 51.1]",Ground Pass,,31.148836,,,,Gerard Piqué Bernabéu,5213.0,,,,,,,2,From Free Kick,Víctor Valdés Arribas,20176.0,Goalkeeper,158,Barcelona,217,['dbbda316-5bc4-4829-a95a-e500ecf0c6c0'],33,,,,,,,,,,,,,,,,,,Barcelona,217,00:25:33.260,Pass,,2012/2013
,,,,,,,,,,,,,,,,,0.963671,,,,,,,,,,,,,,,,31e57877-cff3-4286-8eab-1ba189579c72,3256,,"[32.5, 62.0]",70282,70,,,,0.99563414,,Right Foot,,,"[41.9, 76.5]",Ground Pass,,17.280336,,,,Daniel Alves da Silva,4324.0,,,,,,,2,From Free Kick,Gerard Piqué Bernabéu,5213.0,Right Center Back,158,Barcelona,217,['7323926d-52ee-40c3-a419-fed28188d977'],38,,,,,,,,,,,,,,,,,,Barcelona,217,00:25:38.019,Pass,,2012/2013
,,,,,,,,,,,,,,,,,0.9278,,,,,,,,,,,,,,,,8d8ad0fd-9833-42a7-8fb0-74564b9e491c,3259,,"[41.9, 76.5]",70282,70,,,,-1.599524,,Right Foot,,,"[41.4, 59.1]",Ground Pass,,17.407183,,,,Xavier Hernández Creus,20131.0,,,,,,,2,From Free Kick,Daniel Alves da Silva,4324.0,Right Back,158,Barcelona,217,['9c3b4181-195b-43ca-877f-3a30cdf6f975'],39,,,,,,,,,,,,,,,,,,Barcelona,217,00:25:39.223,Pass,,2012/2013
,,,,,,,,,,,,,,,,,0.475441,,,,,,,,,,,,,,,,8e9bda30-de48-47fb-b796-f9832172aaeb,3262,,"[38.0, 59.1]",70282,70,,,,1.7707044,,Right Foot,,,"[34.9, 74.4]",Ground Pass,,15.610893,,,,Daniel Alves da Silva,4324.0,,,,,,,2,From Free Kick,Xavier Hernández Creus,20131.0,Right Center Midfield,158,Barcelona,217,"['87a5920b-603c-4186-b6c2-5e08067ea36c', '8ca8d80d-b13e-4e6a-b13c-680b8681a249']",40,,,,,,,,,,,,,,,,,,Barcelona,217,00:25:40.151,Pass,True,2012/2013
,,,,,,,,,,,,,,,,,1.4814,,,,,,,,,,,,,,,,f50d9e96-b36a-43de-bad2-f4486d0db765,3266,,"[33.4, 71.0]",70282,70,,,,-0.3752708,,Left Foot,,,"[56.5, 61.9]",High Pass,,24.827806,,Incomplete,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,2,From Free Kick,Daniel Alves da Silva,4324.0,Right Back,158,Barcelona,217,"['119dc04b-69e0-4c87-9ab1-fb51ce33cb21', '28c15794-cde2-47bb-80da-3ce6921cb33a', '5ce05511-e2c7-4f2e-ad07-be09c3c0a6cb']",40,,,,,,,,,,,,,,,,,,Barcelona,217,00:25:40.826,Pass,True,2012/2013
,,,,,,,,,,,,,,,,,1.3638,,,,,,,,,,,,,,,,119dc04b-69e0-4c87-9ab1-fb51ce33cb21,3268,,"[64.5, 19.1]",70282,70,,,,0.5394823,,Head,,,"[80.2, 28.5]",Low Pass,,18.298906,,Incomplete,,Roberto Soldado Rillo,26009.0,,,,,,Recovery,2,From Free Kick,Aly Cissokho,27146.0,Left Back,158,Barcelona,217,"['10bb19c1-b53c-44ef-88b8-7efbdb4772eb', '7ecddd8b-c906-44f0-8b27-1bfcfd8f1e60', 'f50d9e96-b36a-43de-bad2-f4486d0db765']",42,,,,,,,,,,,,,,,,,,Valencia,207,00:25:42.307,Pass,,2012/2013
,,,,,,,,,,,,,,,,,0.7148,,,,,,,,,,,,,,,,7222aee4-42c7-4e0c-bb69-938da27214a6,3272,,"[42.0, 53.8]",70282,70,,,,-0.35415816,,Right Foot,,,"[53.9, 49.4]",Ground Pass,,12.687395,,,,Francesc Fàbregas i Soler,3478.0,,,,,,,2,From Free Kick,Andrés Iniesta Luján,5216.0,Left Wing,158,Barcelona,217,['553a36f4-6c35-4ad6-b3c5-23cdee0c7d9c'],45,,,,,,,,,,,,,,,,,,Barcelona,217,00:25:45.468,Pass,,2012/2013
,,,,,,,,,,,,,,,,,1.023775,,,,,,,,,,,,,,,,5e020159-9a36-495e-a201-05669d5a3984,3274,,"[53.9, 49.4]",70282,70,,,,0.57562697,,Right Foot,,,"[63.3, 55.5]",Ground Pass,,11.205802,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,2,From Free Kick,Francesc Fàbregas i Soler,3478.0,Left Center Midfield,158,Barcelona,217,['58cde647-da49-48a9-9172-6804e70a4be0'],46,,,,,,,,,,,,,,,,,,Barcelona,217,00:25:46.183,Pass,,2012/2013
