ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_in_play,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.9988,,,,,,,,,,,,,,,,6983debd-3fe2-4483-b59a-d4f33fc8831e,17,,"[23.1, 1.0]",266724,0,,,,0.83988965,,,,,,"[28.3, 6.8]",,Low Pass,,7.7897367,,,,Francesc Fàbregas i Soler,3478.0,,,,,,Throw-in,1,From Throw In,Jordi Alba Ramos,5211.0,Left Back,3,Barcelona,217,['7c3a4b4a-c4d8-4355-90a3-afcb6a1d87cf'],21,,,,,,,,,,,,,,,,,Barcelona,217,00:00:21.064,Pass,,2012/2013
,,,,,,,,,,,,,,,1.512106,,,,,,,,,,,,,,,,7c92d719-bba5-44de-9d69-6398a18cdd06,20,,"[28.3, 6.8]",266724,0,,,,3.0971775,,Right Foot,,,,"[14.8, 7.4]",,Low Pass,,13.513327,,,,Jordi Alba Ramos,5211.0,,,,,,,1,From Throw In,Francesc Fàbregas i Soler,3478.0,Left Center Midfield,3,Barcelona,217,['94683060-feee-41cb-b387-ac754188a39a'],22,,,,,,,,,,,,,,,,,Barcelona,217,00:00:22.103,Pass,,2012/2013
,,,,,,,,,,,,,,,0.8495,,,,,,,,,,,,,,,,a5eadb99-43a3-4c43-b50b-611d5d019d4a,24,,"[15.1, 7.7]",266724,0,,,,-0.18394345,,Right Foot,,,,"[28.0, 5.3]",,Low Pass,,13.121357,,Incomplete,,Francesc Fàbregas i Soler,3478.0,,,,,,,1,From Throw In,Jordi Alba Ramos,5211.0,Left Back,3,Barcelona,217,"['104f9055-c772-4fea-a1af-037e150b348f', '98bed478-dd5f-4e4c-b8ef-8b71704cc077', 'e21edd5d-e471-41dd-8ab8-75d9fcb39407']",23,,,,,,,,,,,,,,,,,Barcelona,217,00:00:23.754,Pass,True,2012/2013
,,,,,,,,,,,,,,,1.5376,,,,,,,,,,,,,,,,2c9840ba-70bb-41d7-9686-8c0ef2afd294,27,,"[30.7, 1.0]",266724,0,,,,0.26811078,,,,,,"[48.9, 6.0]",,High Pass,,18.874321,,,,Cristian Tello Herrera,6658.0,,,,,,Throw-in,1,From Throw In,Jordi Alba Ramos,5211.0,Left Back,4,Barcelona,217,['97336151-d8f3-41e7-8e42-7214c981a0a7'],32,,,,,,,,,,,,,,,,,Barcelona,217,00:00:32.838,Pass,,2012/2013
,,,,,,,,,,,,,,,0.4604,,,,,,,,,,,,,,,,1288caf2-5c1a-44e7-a88a-ff1340b01f7d,31,,"[50.0, 6.8]",266724,0,,,,1.8121518,,Right Foot,,,,"[48.4, 13.3]",,Low Pass,,6.6940274,,Incomplete,,Francesc Fàbregas i Soler,3478.0,,,,,,,1,From Throw In,Cristian Tello Herrera,6658.0,Right Wing,4,Barcelona,217,"['59247f8b-0d43-434f-9f20-d92171900d60', '6fde0ba5-9eac-4ab5-a15c-5fef8ca519ae', 'dba6d137-b669-4419-aab2-ae32c726052b']",34,,,,,,,,,,,,,,,,,Barcelona,217,00:00:34.416,Pass,True,2012/2013
,,,,,,,,,,,,,,,1.0747,,,,,,,,,,,,,,,,6fde0ba5-9eac-4ab5-a15c-5fef8ca519ae,33,,"[72.6, 67.7]",266724,0,,,,-2.3013046,,Head,,,,"[68.3, 62.9]",,Low Pass,,6.4443774,,,,Tomás Pina Isla,6622.0,,,,,,Recovery,1,Regular Play,Jose Luis Martí Soler,25948.0,Left Defensive Midfield,5,Mallorca,1043,"['1288caf2-5c1a-44e7-a88a-ff1340b01f7d', 'dded7321-e4e7-4cb2-9114-60c2572f414d']",34,,,,,,,,,,,,,,,,,Mallorca,1043,00:00:34.876,Pass,,2012/2013
,,,,,,,,,,,,,,,0.7872,,,,,,,,,,,,,,,,0b4eb7d9-2202-4601-b060-8ce95c405513,36,,"[71.9, 60.5]",266724,0,,,,-0.6340227,,Right Foot,,,,"[82.1, 53.0]",,Ground Pass,,12.660568,,,,Tomer Hemed,3040.0,,,,,,,1,Regular Play,Tomás Pina Isla,6622.0,Right Defensive Midfield,5,Mallorca,1043,['159b141e-1b92-4451-ad27-c20f6b60e9eb'],37,,,,,,,,,,,,,,,,,Mallorca,1043,00:00:37.336,Pass,,2012/2013
,,,,,,,,,,,,,,,2.2938,,,,,,,,,,,,,,,,9f3ce5bd-2ef7-45f1-ac45-e6e120a4f0dc,40,,"[82.6, 52.8]",266724,0,,,,1.6866544,,Right Foot,,,,"[79.9, 76.0]",,Low Pass,,23.356585,,,,Emilio Nsue López,13581.0,,,,,,,1,Regular Play,Tomer Hemed,3040.0,Left Center Forward,5,Mallorca,1043,['682a02aa-9eee-4495-93fc-efd8e337ab0c'],38,,,,,,,,,,,,,,,,,Mallorca,1043,00:00:38.657,Pass,,2012/2013
,,,,,,,,,,,,,,,0.7058,,,,,,,,,,,,,,,,5c843d8f-7cea-443c-b006-20fde5e915e8,44,,"[79.3, 76.6]",266724,0,,,,-1.6222972,,Right Foot,,,,"[78.8, 66.9]",,Ground Pass,,9.712878,,,,Tomás Pina Isla,6622.0,,,,,,,1,Regular Play,Emilio Nsue López,13581.0,Right Midfield,5,Mallorca,1043,"['5343da09-bcb8-4b61-b877-a3f777b7551d', '80c4fbbe-18f6-4354-a08f-5de68b4e733d']",41,,,,,,,,,,,,,,,,,Mallorca,1043,00:00:41.578,Pass,True,2012/2013
,,,,,,,,,,,,,,,2.0644,,,,,,,,,,,,,,,,87228954-050a-484c-bf8b-0306421e8120,47,,"[78.8, 66.9]",266724,0,,,,2.7256227,,Left Foot,,,,"[58.2, 76.0]",,Ground Pass,,22.520435,,,,Joaquín Navarro Jiménez,6923.0,,,,,,,1,Regular Play,Tomás Pina Isla,6622.0,Right Defensive Midfield,5,Mallorca,1043,['0e6ea3b8-0038-4488-919d-8ae4e92bcd5e'],42,,,,,,,,,,,,,,,,,Mallorca,1043,00:00:42.323,Pass,,2012/2013
,,,,,,,,,,,,,,,2.3593,,,,,,,,,,,,,,,,85248479-0379-450d-ad40-1b7cb8b292b9,50,,"[58.0, 75.8]",266724,0,,,,-2.5417485,,Right Foot,,,,"[40.6, 63.9]",,Ground Pass,,21.080086,,,,Pedro Tonon Geromel,25261.0,,,,,,,1,Regular Play,Joaquín Navarro Jiménez,6923.0,Right Back,5,Mallorca,1043,['a5aaa144-2243-4a67-8423-d25922789ea3'],44,,,,,,,,,,,,,,,,,Mallorca,1043,00:00:44.468,Pass,,2012/2013
,,,,,,,,,,,,,,,2.9291,,,,,,,,,,,,,,,,40e97eff-6edd-49d7-998a-779c0c49b799,53,,"[40.5, 63.7]",266724,0,,,,-2.7026136,,Right Foot,,,,"[12.6, 50.6]",,Ground Pass,,30.822395,,,,Dudú Aouate,26146.0,,,,,,,1,Regular Play,Pedro Tonon Geromel,25261.0,Right Center Back,5,Mallorca,1043,['d266549a-bd8e-43cc-9ed3-5dfa5b172c98'],47,,,,,,,,,,,,,,,,,Mallorca,1043,00:00:47.201,Pass,,2012/2013
,,,,,,,,,,,,,,,3.4703,,,,,,,,,,,,,,,,720e4598-3f04-40d0-b972-8fe653f4b913,56,,"[19.9, 55.7]",266724,0,,,,0.035759877,,Right Foot,,,,"[78.6, 57.8]",,High Pass,,58.737553,,Incomplete,,,,,,,,,,1,Regular Play,Dudú Aouate,26146.0,Goalkeeper,5,Mallorca,1043,['fd53a246-d343-4807-9636-42a729087fa9'],56,,,,,,,,,,,,,,,,,Mallorca,1043,00:00:56.527,Pass,,2012/2013
